ranking_scope,rank,object_type,relative_path,logical_bytes,logical_human,allocated_entry_bytes,allocated_entry_human,file_count_or_blank,extension_or_blank,primary_artifact_family_or_blank
largest_directories,1,directory,.,129757083392,120.85 GiB,130838429696,121.85 GiB,410938,,
largest_directories,2,directory,artifacts,69275266273,64.52 GiB,69488840704,64.72 GiB,128824,,
largest_directories,3,directory,artifacts/local_retained_sources,54511489491,50.77 GiB,54564610048,50.82 GiB,25949,,
largest_directories,4,directory,docs,34043943876,31.71 GiB,34796445696,32.41 GiB,238146,,
largest_directories,5,directory,docs/analysis,33780003321,31.46 GiB,34527313920,32.16 GiB,235944,,
largest_directories,6,directory,docs/analysis/compensation_extraction,33211519594,30.93 GiB,33951703040,31.62 GiB,232948,,
largest_directories,7,directory,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04,32212254769,30.00 GiB,32241958912,30.03 GiB,14451,,
largest_directories,8,directory,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf,29902127442,27.85 GiB,29913452544,27.86 GiB,5484,,
largest_directories,9,directory,.git,15062418352,14.03 GiB,15073140736,14.04 GiB,3744,,
largest_directories,10,directory,.git/objects,15057920315,14.02 GiB,15068291072,14.03 GiB,3640,,
largest_directories,11,directory,.git/objects/pack,14735670661,13.72 GiB,14735695872,13.72 GiB,12,,
largest_directories,12,directory,artifacts/local_structured_external_data,13278184880,12.37 GiB,13207207936,12.30 GiB,19976,,
largest_directories,13,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04,13134381252,12.23 GiB,13062156288,12.17 GiB,19404,,
largest_directories,14,directory,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28,12516015500,11.66 GiB,12526346240,11.67 GiB,5070,,
largest_directories,15,directory,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28,12475949771,11.62 GiB,12485926912,11.63 GiB,4961,,
largest_directories,16,directory,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources,12475949771,11.62 GiB,12485926912,11.63 GiB,4961,,
largest_directories,17,directory,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources,12475949771,11.62 GiB,12485931008,11.63 GiB,4961,,
largest_directories,18,directory,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04,10113702715,9.42 GiB,10121949184,9.43 GiB,3279,,
largest_directories,19,directory,tmp,9884928139,9.21 GiB,9928151040,9.25 GiB,14987,,
largest_directories,20,directory,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30,6557753939,6.11 GiB,6565273600,6.11 GiB,3672,,
largest_directories,21,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers,4734648763,4.41 GiB,4739010560,4.41 GiB,757,,
largest_directories,22,directory,tmp/source_review_pilots,4524452506,4.21 GiB,4536561664,4.23 GiB,4717,,
largest_directories,23,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers,3691294558,3.44 GiB,3547672576,3.30 GiB,586,,
largest_directories,24,directory,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/02_MERGED-EXTERNAL-CANDIDATE-REVIEW,3636803118,3.39 GiB,3637530624,3.39 GiB,318,,
largest_directories,25,directory,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003,3468275354,3.23 GiB,3470671872,3.23 GiB,1183,,
largest_directories,26,directory,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003,3468275354,3.23 GiB,3470671872,3.23 GiB,1183,,
largest_directories,27,directory,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02,3265531012,3.04 GiB,3271450624,3.05 GiB,2865,,
largest_directories,28,directory,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004,3256717193,3.03 GiB,3259260928,3.04 GiB,1230,,
largest_directories,29,directory,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004,3256717193,3.03 GiB,3259265024,3.04 GiB,1230,,
largest_directories,30,directory,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001,3211332961,2.99 GiB,3213840384,2.99 GiB,1283,,
largest_directories,31,directory,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001,3211332961,2.99 GiB,3213840384,2.99 GiB,1283,,
largest_directories,32,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24,3196733637,2.98 GiB,3204468736,2.98 GiB,3051,,
largest_directories,33,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations,2761942602,2.57 GiB,2763915264,2.57 GiB,355,,
largest_directories,34,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes,2685021497,2.50 GiB,2686595072,2.50 GiB,741,,
largest_directories,35,directory,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002,2539624263,2.37 GiB,2542153728,2.37 GiB,1265,,
largest_directories,36,directory,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002,2539624263,2.37 GiB,2542153728,2.37 GiB,1265,,
largest_directories,37,directory,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html,2310038403,2.15 GiB,2328358912,2.17 GiB,8947,,
largest_directories,38,directory,tmp/broad_state_whole_corpus_available_external_data_non_ocr_extraction_2026-08-05_logs,2087039254,1.94 GiB,2087096320,1.94 GiB,25,,
largest_directories,39,directory,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003,1766585622,1.65 GiB,1768480768,1.65 GiB,920,,
largest_directories,40,directory,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004,1740094131,1.62 GiB,1741975552,1.62 GiB,914,,
largest_directories,41,directory,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/04_EXTERNAL-DATA-SOURCE-REVIEW-DOWNLOAD,1619921706,1.51 GiB,1620705280,1.51 GiB,343,,
largest_directories,42,directory,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001,1567187135,1.46 GiB,1569099776,1.46 GiB,923,,
largest_directories,43,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/indexes,1488052224,1.39 GiB,1490812928,1.39 GiB,6,,
largest_directories,44,directory,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002,1483887051,1.38 GiB,1485717504,1.38 GiB,915,,
largest_directories,45,directory,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/06_EXTERNAL-DATA-EXTRACTION,1358189240,1.26 GiB,1359331328,1.27 GiB,491,,
largest_directories,46,directory,artifacts/local_extracted_text,1312030768,1.22 GiB,1441685504,1.34 GiB,51977,,
largest_directories,47,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/indexes,1259741184,1.17 GiB,1271443456,1.18 GiB,6,,
largest_directories,48,directory,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/03_EXTERNAL-DATA-VERIFICATION,1179171146,1.10 GiB,1180090368,1.10 GiB,410,,
largest_directories,49,directory,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/01_RESIDUAL-HOSTED-SEARCH-SCOUT,1115336734,1.04 GiB,1115717632,1.04 GiB,146,,
largest_directories,50,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1,1111127453,1.03 GiB,1113632768,1.04 GiB,995,,
largest_directories,51,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts,1110067306,1.03 GiB,1112563712,1.04 GiB,992,,
largest_directories,52,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content,1109526689,1.03 GiB,1110515712,1.03 GiB,492,,
largest_directories,53,directory,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27,1087145671,1.01 GiB,1088274432,1.01 GiB,507,,
largest_directories,54,directory,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources,1083844645,1.01 GiB,1084841984,1.01 GiB,463,,
largest_directories,55,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1,1050943802,1002.26 MiB,1053470720,1004.67 MiB,997,,
largest_directories,56,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts,1049880674,1001.24 MiB,1052397568,1003.64 MiB,994,,
largest_directories,57,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content,1049339398,1000.73 MiB,1050349568,1001.69 MiB,494,,
largest_directories,58,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1,1032357115,984.53 MiB,1034883072,986.94 MiB,997,,
largest_directories,59,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts,1031290563,983.52 MiB,1033809920,985.92 MiB,994,,
largest_directories,60,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content,1030748002,983.00 MiB,1031761920,983.96 MiB,494,,
largest_directories,61,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction,1014354770,967.36 MiB,1014407168,967.41 MiB,27,,
largest_directories,62,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes,1013462690,966.51 MiB,1013514240,966.56 MiB,25,,
largest_directories,63,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24,1011251823,964.40 MiB,1013940224,966.97 MiB,1059,,
largest_directories,64,directory,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26,980738592,935.31 MiB,981647360,936.17 MiB,421,,
largest_directories,65,directory,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources,978700187,933.36 MiB,979513344,934.14 MiB,387,,
largest_directories,66,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs,966765938,921.98 MiB,966782976,922.00 MiB,10,,
largest_directories,67,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/quarantine,926519248,883.60 MiB,769994752,734.32 MiB,13,,
largest_directories,68,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/quarantine/unaccepted_prepare_attempt_20260806T002802Z,926519248,883.60 MiB,769994752,734.32 MiB,13,,
largest_directories,69,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes,873257326,832.80 MiB,874434560,833.93 MiB,557,,
largest_directories,70,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers,872765884,832.33 MiB,873345024,832.89 MiB,192,,
largest_directories,71,directory,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004,794025369,757.24 MiB,795168768,758.33 MiB,572,,
largest_directories,72,directory,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04,732465178,698.53 MiB,732925952,698.97 MiB,173,,
largest_directories,73,directory,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001,713161203,680.12 MiB,714366976,681.27 MiB,575,,
largest_directories,74,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/lanes,703137262,670.56 MiB,703270912,670.69 MiB,55,,
largest_directories,75,directory,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04,657496108,627.04 MiB,767086592,731.55 MiB,42429,,
largest_directories,76,directory,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003,626671471,597.64 MiB,627847168,598.76 MiB,577,,
largest_directories,77,directory,.claude,622331943,593.50 MiB,624373760,595.45 MiB,938,,
largest_directories,78,directory,.claude/worktrees,622329676,593.50 MiB,624369664,595.45 MiB,937,,
largest_directories,79,directory,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/05_EXTERNAL-DATA-READINESS,614288247,585.83 MiB,614825984,586.34 MiB,207,,
largest_directories,80,directory,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005,598238839,570.53 MiB,599412736,571.64 MiB,569,,
largest_directories,81,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers/lanes,553728611,528.08 MiB,554106880,528.44 MiB,185,,
largest_directories,82,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_004,537215292,512.33 MiB,537550848,512.65 MiB,149,,
largest_directories,83,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_003,537020348,512.14 MiB,537325568,512.43 MiB,148,,
largest_directories,84,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_005,536989215,512.11 MiB,537317376,512.43 MiB,148,,
