artifact_family,current_bytes,cleanup_class,deletion_risk,prerequisite_1,prerequisite_2,prerequisite_3,archive_dependency,source_library_dependency,clean_repo_dependency,human_approval_required,rollback_path,recommended_action
original_sources,69428281552,DELETE_ORIGINAL_SOURCE_LOCAL_COPY_AFTER_LIBRARY_CONFIRMED,HIGH,28-volume source transfer remains complete by user confirmation,recipient/download checksum verification is strongly recommended,historical and clean archives confirmed durable,historical bundle transferred,"26,635-source library available externally",accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,restore originals or derived text from external source library,eligible only in Wave 4 after explicit approval
docs_analysis_other,16809712604,KEEP_UNTIL_REMOTE_ARCHIVE_CONFIRMED,HIGH,historical Git bundle uploaded,bundle checksum confirmed after transfer,clean private GitHub repository pushed,mandatory,source library externally available,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,restore tracked history from historical Git bundle,keep until Wave 5 prerequisites; then retire only under full-retirement approval
git_metadata,15062418352,KEEP_UNTIL_REMOTE_ARCHIVE_CONFIRMED,CRITICAL,historical Git bundle uploaded,bundle checksum confirmed after transfer,clean private GitHub repository pushed,mandatory,source library externally available,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,restore tracked history from historical Git bundle,keep until Wave 5 prerequisites; then retire only under full-retirement approval
tmp_other,8029501002,DELETE_LOW_RISK,LOW,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 1 after explicit approval
reconciliation,5514912625,DELETE_RECONSTRUCTIBLE,MEDIUM,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 3 after explicit approval
artifacts_other,3728090977,REVIEW_MANUALLY,MEDIUM,resolve path-level ownership,check for credentials/private material,record surviving copy or reconstruction route,historical Git bundle and compact summer record confirmed durable,source-library coverage checked where source-like,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,restore tracked items from Git bundle; source-like items from source library; otherwise no deletion,path-level review; promote each path to KEEP or an approved deletion class
compact_observations,2081516662,DELETE_RECONSTRUCTIBLE,MEDIUM,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 3 after explicit approval
tmp_relays_archives,1834632186,DELETE_SUPERSEDED,LOW,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 2 after explicit approval
raw_spans,1721433569,DELETE_RECONSTRUCTIBLE,MEDIUM,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 3 after explicit approval
normalization,1540037734,DELETE_RECONSTRUCTIBLE,MEDIUM,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 3 after explicit approval
extracted_text,1416294317,DELETE_ORIGINAL_SOURCE_LOCAL_COPY_AFTER_LIBRARY_CONFIRMED,HIGH,28-volume source transfer remains complete by user confirmation,recipient/download checksum verification is strongly recommended,historical and clean archives confirmed durable,historical bundle transferred,"26,635-source library available externally",accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,restore originals or derived text from external source library,eligible only in Wave 4 after explicit approval
project_other,1162374931,REVIEW_MANUALLY,HIGH,resolve path-level ownership,check for credentials/private material,record surviving copy or reconstruction route,historical Git bundle and compact summer record confirmed durable,source-library coverage checked where source-like,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,restore tracked items from Git bundle; source-like items from source library; otherwise no deletion,path-level review; promote each path to KEEP or an approved deletion class
raw_fields,939220163,DELETE_RECONSTRUCTIBLE,MEDIUM,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 3 after explicit approval
reports,214175681,DELETE_SUPERSEDED,MEDIUM,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 2 after explicit approval
handoff_packages,136292155,KEEP_LOCAL,LOW,none,none,none,none,none,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,not applicable,keep; reconsider only after the complete handoff is accepted
visual_intermediates,134541581,DELETE_RECONSTRUCTIBLE,MEDIUM,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 3 after explicit approval
matching,3044741,DELETE_RECONSTRUCTIBLE,MEDIUM,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 3 after explicit approval
tmp_caches,580543,DELETE_LOW_RISK,VERY_LOW,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 1 after explicit approval
tmp_logs,22017,DELETE_LOW_RISK,VERY_LOW,compact summer record transferred,accepted clean release remains available,frozen path manifest matches current filesystem,historical bundle transferred for tracked lineage,required for reconstruction of evidence-derived layers,accepted release tag handoff-release-2026-08-07 and verified clean bundle,yes,"recompute from source library and retained code, or restore tracked state from Git bundle",eligible in Wave 1 after explicit approval
