size_rank_within_published_directories,relative_path,logical_bytes,logical_human,allocated_entry_bytes,allocated_entry_human,descendant_file_count,descendant_directory_count,inclusion_reason,snapshot_generated_at
1,.,129757083392,120.85 GiB,130838429696,121.85 GiB,410938,120823,mandatory_root|at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
2,artifacts,69275266273,64.52 GiB,69488840704,64.72 GiB,128824,49971,mandatory_root|at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
3,artifacts/local_retained_sources,54511489491,50.77 GiB,54564610048,50.82 GiB,25949,31,mandatory_root|at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
4,docs,34043943876,31.71 GiB,34796445696,32.41 GiB,238146,66276,mandatory_root|at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
5,docs/analysis,33780003321,31.46 GiB,34527313920,32.16 GiB,235944,66106,mandatory_root|at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
6,docs/analysis/compensation_extraction,33211519594,30.93 GiB,33951703040,31.62 GiB,232948,65877,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
7,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04,32212254769,30.00 GiB,32241958912,30.03 GiB,14451,13,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
8,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf,29902127442,27.85 GiB,29913452544,27.86 GiB,5484,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
9,.git,15062418352,14.03 GiB,15073140736,14.04 GiB,3744,292,mandatory_root|at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
10,.git/objects,15057920315,14.02 GiB,15068291072,14.03 GiB,3640,258,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
11,.git/objects/pack,14735670661,13.72 GiB,14735695872,13.72 GiB,12,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
12,artifacts/local_structured_external_data,13278184880,12.37 GiB,13207207936,12.30 GiB,19976,548,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
13,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04,13134381252,12.23 GiB,13062156288,12.17 GiB,19404,498,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
14,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28,12516015500,11.66 GiB,12526346240,11.67 GiB,5070,10,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
15,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28,12475949771,11.62 GiB,12485926912,11.63 GiB,4961,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
16,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources,12475949771,11.62 GiB,12485926912,11.63 GiB,4961,4,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
17,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources,12475949771,11.62 GiB,12485931008,11.63 GiB,4961,4,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
