artifact_family,current_bytes,current_human,cleanup_class,deletion_risk,proposed_wave,reason,deletion_executed
original_sources,69428281552,64.66 GiB,DELETE_ORIGINAL_SOURCE_LOCAL_COPY_AFTER_LIBRARY_CONFIRMED,HIGH,4,"The 26,635 canonical originals were packaged and locally verified before the user-confirmed external transfer.",False
docs_analysis_other,16809712604,15.66 GiB,KEEP_UNTIL_REMOTE_ARCHIVE_CONFIRMED,HIGH,5,Mixed tracked history and large analytical outputs remain until the historical bundle and compact record are durably transferred.,False
git_metadata,15062418352,14.03 GiB,KEEP_UNTIL_REMOTE_ARCHIVE_CONFIRMED,CRITICAL,5,The complete all-refs Git bundle must be transferred and confirmed before local Git history is retired.,False
tmp_other,8029501002,7.48 GiB,DELETE_LOW_RISK,LOW,1,Task-owned staging and worker state; preserve only items promoted to compact history.,False
reconciliation,5514912625,5.14 GiB,DELETE_RECONSTRUCTIBLE,MEDIUM,3,Large reconciliation databases are processing intermediates with compact final summaries and reproducible code.,False
artifacts_other,3728090977,3.47 GiB,REVIEW_MANUALLY,MEDIUM,manual_or_keep,Mixed ignored artifacts need a path-level review before disposal.,False
compact_observations,2081516662,1.94 GiB,DELETE_RECONSTRUCTIBLE,MEDIUM,3,Large compact administrative intermediates are superseded by final compact handoff tables and can be recomputed from retained sources and code.,False
tmp_relays_archives,1834632186,1.71 GiB,DELETE_SUPERSEDED,LOW,2,Superseded relay packages and snapshots after compact summer record transfer.,False
raw_spans,1721433569,1.60 GiB,DELETE_RECONSTRUCTIBLE,MEDIUM,3,Raw spans are overproduced extraction intermediates; accepted evidence boundaries are preserved elsewhere.,False
normalization,1540037734,1.43 GiB,DELETE_RECONSTRUCTIBLE,MEDIUM,3,Normalization layers are recomputable and their accepted boundaries are preserved in compact outputs.,False
extracted_text,1416294317,1.32 GiB,DELETE_ORIGINAL_SOURCE_LOCAL_COPY_AFTER_LIBRARY_CONFIRMED,HIGH,4,"Canonical companions are in the source-library release; extras are convenience representations, not source authority.",False
project_other,1162374931,1.08 GiB,REVIEW_MANUALLY,HIGH,manual_or_keep,"This mixed family includes environment state, inbox material, and small project roots that need path-level review.",False
raw_fields,939220163,895.71 MiB,DELETE_RECONSTRUCTIBLE,MEDIUM,3,"Raw field hits are noisy extraction products, not final evidence.",False
reports,214175681,204.25 MiB,DELETE_SUPERSEDED,MEDIUM,2,The accepted atlas and handoff documents are in the clean release; historical tracked reports remain in the Git bundle.,False
handoff_packages,136292155,129.98 MiB,KEEP_LOCAL,LOW,manual_or_keep,Keep compact source-library navigation/package metadata locally through transfer and cleanup approval.,False
visual_intermediates,134541581,128.31 MiB,DELETE_RECONSTRUCTIBLE,MEDIUM,3,Final atlas/selected figures remain in the clean release; rendering intermediates are reproducible.,False
matching,3044741,2.90 MiB,DELETE_RECONSTRUCTIBLE,MEDIUM,3,Matching intermediates produced no compatible external panel and are preserved only as historical processing state.,False
tmp_caches,580543,566.94 KiB,DELETE_LOW_RISK,VERY_LOW,1,Regenerable cache material.,False
tmp_logs,22017,21.50 KiB,DELETE_LOW_RISK,VERY_LOW,1,Ephemeral logs with decisions summarized in compact history.,False
