gold_id,obs_id_or_source_id,gold_label,expected_score_band,observed_score,score_band_observed,boundary_test_pass,failure_type,notes
gold_001,ma_somerville_police_spsoa_2012,clear_positive,76_100,100,76_100,yes,,"The document describes Massachusetts JLMC jurisdiction, a Voluntary 3A agreement, and an interest-arbitration award that applies statutory criteria (ability to pay, comparable wages/benefits, and cost of living) to unresolved successor bargaining issues including wages. It directly frames and resolves contract economic terms through formal impasse-resolution institutions."
gold_002,ma_somerville_police_spea_2012,clear_positive,76_100,92,76_100,yes,,"The text describes Massachusetts JLMC certification and an interest arbitration process when negotiations were exhausted, with the panel explicitly applying statutory criteria (ability to pay, comparables, cost of living) to set wage and duration terms for a successor agreement. It also contains an arbitration award that directly specifies wage increases and contract duration language."
gold_003,ma_wayland_fire_jlmc_2020,clear_positive,76_100,78,76_100,yes,,"The document is a “STIPULATED AWARD” issued “BEFORE THE JOINT LABOR-MANAGEMENT COMMITTEE,” explicitly setting multiple wage and pay provisions as part of the award. This indicates wage-setting is framed/resolved through a formal impasse-resolution/arbitration mechanism tied to contract economic terms."
gold_004,ma_wayland_public_works_2020,false_positive_trap,1_25,5,1_25,yes,,"The agreement contains a grievance arbitration procedure for disputes under the contract, but it does not describe any impasse-resolution mechanism (e.g., factfinding/mediation/JLMC/interest arbitration) shaping wage-setting or successor-contract terms."
gold_005,ma_wayland_library_2020,clear_negative,0,10,1_25,yes,,"The contract includes arbitration for unresolved grievances, but it limits arbitration to interpreting/applying agreement provisions and bars changing the agreement’s terms, with no indication it is used to resolve wage-setting or successor-contract impasses via statutory criteria or factfinding/mediation. There is no impasse-resolution backstop tied to economic-term formation."
gold_006,ma_worcester_fire_2017,clear_negative,0,0,0,yes,,"The document sets out negotiated wage and benefits terms but contains no indication that any impasse-resolution institution (interest arbitration, factfinding, mediation after impasse, JLMC, or statutory wage-setting criteria) shapes successor contract economic terms. It also does not reference arbitration awards or stipulated awards tied to wages."
gold_007,ma_boston_clerical_admin_2023,false_positive_trap,1_25,15,1_25,yes,,"The agreement includes final-and-binding arbitration, but it is framed as a grievance/arbitration mechanism for contractual breaches or discrete issues (e.g., disputes over pay related to grievance items), not as an impasse-resolution institution for shaping successor-contract wage setting. There is no mention of factfinding, mediation after impasse, interest arbitration, or similar wage-setting backstops."
gold_008,ma_arlington_public_works_2018,ambiguous,26_50,60,51_75,yes,,"The agreement’s duration clause explicitly references an impasse-resolution mechanism (mediation and fact-finding) under Chapter 1078 if negotiations cannot reach agreement on unspecified matters, which can include money issues presented to the town meeting. However, the text does not clearly show that these processes directly award or dictate wage/economic terms as part of contract formation beyond the general impasse procedure reference."
gold_009,ma_seekonk_public_works_2023,false_positive_trap,0,10,1_25,yes,,"The agreement includes a grievance arbitration procedure, but it is explicitly for resolving “grievances only” and is not tied to wage-setting or successor-contract economic impasse resolution. There is no indication of factfinding, mediation after impasse, JLMC, statutory criteria, or interest arbitration governing contract formation or wage settlements."
gold_010,ma_seekonk_teacher_2021,false_positive_trap,1_25,5,1_25,yes,,"The only arbitration mechanism described is part of an employee grievance procedure (Level Four) resolving disputes over contract interpretation, not a wage-setting or successor-contract impasse backstop. There is no mention of factfinding, mediation after impasse, JLMC, or interest arbitration tied to setting wages or economic terms."
gold_011,boston_bps_btu_negotiations_page,clear_negative,0,0,0,yes,,"The provided text only references a minimum/maximum teacher salary table with Masters comparisons to surrounding districts and does not mention any formal impasse-resolution institution (e.g., interest arbitration, factfinding, mediation after impasse, JLMC) shaping wage-setting or successor-contract terms."
gold_012,ma_arlington_public_works_2015,ambiguous,26_50,60,51_75,yes,,"The agreement’s duration clause provides that if bargaining cannot be reached on re-opened matters, the parties may use an impasse procedure that includes mediation and fact-finding for money issues. While it does not describe interest arbitration or binding awards, it is a formal impasse-resolution backstop tied to successor contract economic matters."
