gold_id,obs_id_or_source_id,gold_label,expected_score_band,observed_score,score_band_observed,boundary_test_pass,failure_type,notes
gold_001,ma_somerville_police_spsoa_2012,clear_positive,76_100,96,76_100,yes,,The document expressly describes JLMC (Massachusetts Joint Labor Management Committee) interest arbitration to resolve an exhausted successor negotiation impasse and states that the arbitration panel applies statutory criteria. It directly frames how wage increases/duration and other economic terms are determined in the award.
gold_002,ma_somerville_police_spea_2012,clear_positive,76_100,96,76_100,yes,,"The document describes Massachusetts JLMC jurisdiction leading to interest arbitration, and explicitly states the arbitration panel considered statutory criteria (ability to pay, comparable wages/benefits, cost of living) to set successor contract wage and duration outcomes."
gold_003,ma_wayland_fire_jlmc_2020,clear_positive,76_100,88,76_100,yes,,"The document is explicitly a Joint Labor-Management Committee “Stipulated Award” that amends wages and duration, including across-the-board base wage increases and new wage steps, reflecting formal settlement in the context of a structured labor committee process rather than ordinary grievance arbitration."
gold_004,ma_wayland_public_works_2020,clear_negative,0,0,0,yes,,"The document contains a grievance-and-arbitration procedure, but it is framed for disputes arising under interpretation/application of the existing agreement—not for resolving bargaining impasses or setting successor-contract wages/economic terms. There is no interest arbitration, factfinding, mediation after impasse, JLMC, or statutory wage-setting/backstop language."
gold_005,ma_wayland_library_2020,clear_negative,0,10,1_25,yes,,"The contract includes grievance arbitration for unresolved disputes, but it does not describe any impasse-resolution or interest-arbitration mechanism for setting wages or successor-contract economic terms. The arbitration jurisdiction is limited to grievances about interpretation/application of contract provisions."
gold_006,ma_worcester_fire_2017,clear_negative,0,0,0,yes,,"The document sets out negotiated wages and benefits and references contract funding under G.L. c. 150E, but it contains no indication that wage-setting or successor-contract terms are determined through any impasse-resolution mechanism such as interest arbitration, factfinding, mediation after impasse, JLMC, or stipulated/arbitration awards."
gold_007,ma_boston_clerical_admin_2023,false_positive_trap,1_25,20,1_25,yes,,"The document provides for grievance/arbitration and an arbitration-like process for Compensation Grade Appeals, but it does not indicate any impasse-resolution mechanism (e.g., interest arbitration, mediation after impasse, factfinding, JLMC) shaping wage-setting or successor-contract settlement. Arbitration is used to resolve disputes over applied contract terms/grade determinations rather than to backstop an unresolved contract negotiation impasse."
gold_008,ma_arlington_public_works_2018,false_positive_trap,1_25,70,51_75,no,false_positive_trap_above_25;boilerplate_grievance_arbitration_trap_above_25,"The agreement explicitly provides an impasse procedure using mediation and fact-finding if successor (reopened) negotiations on matters cannot be reached by a deadline, which is a formal impasse-resolution backstop for bargaining over terms (including money issues presented to Town Meeting). Ordinary grievance/arbitration provisions are present but are not tied to successor wage-setting in the provided text."
gold_009,ma_seekonk_public_works_2023,false_positive_trap,0,10,1_25,yes,,"The agreement includes a grievance “arbitration” step, but it is explicitly limited to settling grievances and does not describe any impasse-resolution or interest-arbitration mechanism for setting wages or successor economic terms. No factfinding/mediation-after-impasse or statutory wage-setting criteria are referenced."
gold_010,ma_seekonk_teacher_2021,false_positive_trap,1_25,15,1_25,yes,,"The only arbitration described is part of a grievance procedure (i.e., resolving disputes about the meaning/application of the existing contract), not an impasse-resolution mechanism shaping wages or successor bargaining. There is no factfinding, mediation, interest arbitration, or statutory wage-setting criteria tied to contract formation."
gold_011,boston_bps_btu_negotiations_page,clear_negative,0,0,0,yes,,"The provided text discusses a dry-run mechanism proxy involving minimum/maximum salary comparisons to surrounding districts, but it contains no mention of impasse-resolution institutions (e.g., interest arbitration, factfinding, mediation after impasse, JLMC, or statutory wage-setting criteria). There is therefore no evidence of a formal impasse-resolution backstop shaping wage-setting or successor-contract terms."
