gold_id,obs_id_or_source_id,source_corpus,source_type,city,occupation_class,safety_flag,gold_label,expected_score_band,evidence_type,boilerplate_grievance_arbitration_trap,economic_terms_link,arbitration_or_impasse_backstop_score,score_band_observed,rationale,supporting_excerpts,no_evidence_explanation,ambiguity_flag,boilerplate_grievance_arbitration_flag,quote_verification_status,excerpts_failed,excerpts_flagged_irrelevant,prompt_version
gold_001,ma_somerville_police_spsoa_2012,causal,arbitration_award,Somerville,police,1,clear_positive,76_100,interest_arbitration,no,yes,100,76_100,"The document describes Massachusetts JLMC jurisdiction, a Voluntary 3A agreement, and an interest-arbitration award that applies statutory criteria (ability to pay, comparable wages/benefits, and cost of living) to unresolved successor bargaining issues including wages. It directly frames and resolves contract economic terms through formal impasse-resolution institutions.","[""Under the Collective Bargaining Laws of Massachusetts, the Interest Arbitration process is utilized when \""there is an exhaustion of the process of collective bargaining which constitutes a potential threat to public welfare\""."", ""In reaching the conclusions in the present award, the Arbitration Panel has considered the criteria set forth in the statute including the municipality's ability to pay, wages and benefits of comparable towns, and the cost of living."", ""the Arbitration Panel has considered the criteria set forth in the statute including the municipality's ability to pay, wages and benefits of comparable towns, and the cost of living.""]",,false,false,mixed_relevant_and_irrelevant,0,3,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_002,ma_somerville_police_spea_2012,causal,arbitration_award,Somerville,police,1,clear_positive,76_100,wage_reasoning_award,no,yes,92,76_100,"The text describes Massachusetts JLMC certification and an interest arbitration process when negotiations were exhausted, with the panel explicitly applying statutory criteria (ability to pay, comparables, cost of living) to set wage and duration terms for a successor agreement. It also contains an arbitration award that directly specifies wage increases and contract duration language.","[""In reaching the conclusions in the present award, the Arbitration Panel has considered the criteria set forth in the statute including the municipality's ability to pay, wages and benefits of comparable towns, and the cost of living.""]",,false,false,mixed_relevant_and_irrelevant,0,5,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_003,ma_wayland_fire_jlmc_2020,causal,arbitration_award,Wayland,fire,1,clear_positive,76_100,jlmc,no,yes,78,76_100,"The document is a “STIPULATED AWARD” issued “BEFORE THE JOINT LABOR-MANAGEMENT COMMITTEE,” explicitly setting multiple wage and pay provisions as part of the award. This indicates wage-setting is framed/resolved through a formal impasse-resolution/arbitration mechanism tied to contract economic terms.","[""STIPULATED AWARD""]",,false,false,mixed_relevant_and_irrelevant,0,5,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_004,ma_wayland_public_works_2020,causal,cba,Wayland,public_works,0,false_positive_trap,1_25,grievance_arbitration_boilerplate,yes,no,5,1_25,"The agreement contains a grievance arbitration procedure for disputes under the contract, but it does not describe any impasse-resolution mechanism (e.g., factfinding/mediation/JLMC/interest arbitration) shaping wage-setting or successor-contract terms.",[],"While the document includes arbitration for contract grievances, it does not indicate that wage setting or successor bargaining is resolved through any formal impasse-resolution institution or awards mechanism.",false,true,some_excerpts_failed,1,2,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_005,ma_wayland_library_2020,causal,cba,Wayland,library,0,clear_negative,0,ordinary_cba_no_impasse,no,no,10,1_25,"The contract includes arbitration for unresolved grievances, but it limits arbitration to interpreting/applying agreement provisions and bars changing the agreement’s terms, with no indication it is used to resolve wage-setting or successor-contract impasses via statutory criteria or factfinding/mediation. There is no impasse-resolution backstop tied to economic-term formation.",[],"The only arbitration provision described is grievance arbitration (Step 5), not interest arbitration or any impasse-resolution mechanism for wages/successor bargaining. The text does not reference factfinding, mediation after impasse, JLMC, stipulated/awarded wage settlements, or statutory wage-setting criteria.",false,true,no_supporting_excerpts,0,0,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_006,ma_worcester_fire_2017,causal,cba,Worcester,fire,1,clear_negative,0,ordinary_cba_no_impasse,no,no,0,0,"The document sets out negotiated wage and benefits terms but contains no indication that any impasse-resolution institution (interest arbitration, factfinding, mediation after impasse, JLMC, or statutory wage-setting criteria) shapes successor contract economic terms. It also does not reference arbitration awards or stipulated awards tied to wages.",[],"No passages in the provided text mention impasse-resolution mechanisms (interest arbitration, factfinding, mediation after impasse, JLMC) or any arbitration award/stipulated award that would determine wage-setting or successor-contract economic terms.",false,false,no_supporting_excerpts,0,0,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_007,ma_boston_clerical_admin_2023,causal,cba,Boston,clerical_admin,0,false_positive_trap,1_25,grievance_arbitration_boilerplate,yes,no,15,1_25,"The agreement includes final-and-binding arbitration, but it is framed as a grievance/arbitration mechanism for contractual breaches or discrete issues (e.g., disputes over pay related to grievance items), not as an impasse-resolution institution for shaping successor-contract wage setting. There is no mention of factfinding, mediation after impasse, interest arbitration, or similar wage-setting backstops.",[],"No provisions indicate that wage-setting or successor-contract economic terms are determined or framed by formal impasse-resolution institutions (e.g., interest arbitration, factfinding, mediation after impasse, JLMC, or statutory wage-setting criteria). The arbitration language present is for grievance resolution rather than contract impasse/wage backstops.",false,true,no_supporting_excerpts,0,0,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_008,ma_arlington_public_works_2018,causal,cba,Arlington,public_works,0,ambiguous,26_50,mediation_impasse,no,yes,60,51_75,"The agreement’s duration clause explicitly references an impasse-resolution mechanism (mediation and fact-finding) under Chapter 1078 if negotiations cannot reach agreement on unspecified matters, which can include money issues presented to the town meeting. However, the text does not clearly show that these processes directly award or dictate wage/economic terms as part of contract formation beyond the general impasse procedure reference.",[],,true,false,verified_but_irrelevant_only,0,2,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_009,ma_seekonk_public_works_2023,causal,cba,Seekonk,public_works,0,false_positive_trap,0,grievance_arbitration_boilerplate,yes,no,10,1_25,"The agreement includes a grievance arbitration procedure, but it is explicitly for resolving “grievances only” and is not tied to wage-setting or successor-contract economic impasse resolution. There is no indication of factfinding, mediation after impasse, JLMC, statutory criteria, or interest arbitration governing contract formation or wage settlements.",[],Arbitration is limited to grievances under the contract and is not presented as an impasse-resolution mechanism for wage-setting or successor-contract bargaining. No factfinding/mediation-after-impasse/JLMC/interest-arbitration criteria appear.,false,true,verified_but_irrelevant_only,0,2,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_010,ma_seekonk_teacher_2021,causal,cba,Seekonk,teacher,0,false_positive_trap,1_25,grievance_arbitration_boilerplate,yes,no,5,1_25,"The only arbitration mechanism described is part of an employee grievance procedure (Level Four) resolving disputes over contract interpretation, not a wage-setting or successor-contract impasse backstop. There is no mention of factfinding, mediation after impasse, JLMC, or interest arbitration tied to setting wages or economic terms.",[],"While the agreement includes arbitration for employee grievances, it does not indicate any formal impasse-resolution institution shaping wage-setting or successor-contract economic terms (no interest arbitration, factfinding, mediation-after-impasse, JLMC, or stipulated-award wage backstop).",false,true,no_supporting_excerpts,0,0,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_011,boston_bps_btu_negotiations_page,discourse,bargaining_update,Boston,teacher,0,clear_negative,0,mechanism_proxy,no,yes,0,0,"The provided text only references a minimum/maximum teacher salary table with Masters comparisons to surrounding districts and does not mention any formal impasse-resolution institution (e.g., interest arbitration, factfinding, mediation after impasse, JLMC) shaping wage-setting or successor-contract terms.",[],No excerpts or clear statements in the provided text link wage-setting or contract formation to formal impasse-resolution backstops; it only indicates peer salary comparison content.,false,false,no_supporting_excerpts,0,0,v10_gold_repaired_dryrun_2026-06-30_candidate
gold_012,ma_arlington_public_works_2015,causal,cba,Arlington,public_works,0,ambiguous,26_50,mediation_impasse,no,yes,60,51_75,"The agreement’s duration clause provides that if bargaining cannot be reached on re-opened matters, the parties may use an impasse procedure that includes mediation and fact-finding for money issues. While it does not describe interest arbitration or binding awards, it is a formal impasse-resolution backstop tied to successor contract economic matters.",[],,true,false,verified_but_irrelevant_only,0,2,v10_gold_repaired_dryrun_2026-06-30_candidate
