gold_id,obs_id_or_source_id,source_corpus,source_type,city,occupation_class,safety_flag,gold_label,expected_score_band,evidence_type,boilerplate_grievance_arbitration_trap,economic_terms_link,arbitration_or_impasse_backstop_score,score_band_observed,rationale,supporting_excerpts,no_evidence_explanation,ambiguity_flag,boilerplate_grievance_arbitration_flag,quote_verification_status,excerpts_failed,excerpts_flagged_irrelevant,prompt_version
gold_001,ma_somerville_police_spsoa_2012,causal,arbitration_award,Somerville,police,1,clear_positive,76_100,interest_arbitration,no,yes,96,76_100,The document expressly describes JLMC (Massachusetts Joint Labor Management Committee) interest arbitration to resolve an exhausted successor negotiation impasse and states that the arbitration panel applies statutory criteria. It directly frames how wage increases/duration and other economic terms are determined in the award.,"[""Under the Collective Bargaining Laws of Massachusetts, the Interest Arbitration process is utilized when \""there is an exhaustion of the process of collective bargaining which constitutes a potential threat to public welfare\""."", ""In reaching the conclusions in the present award, the Arbitration Panel has considered the criteria set forth in the statute including the municipality's ability to pay, wages and benefits of comparable towns, and the cost of living.""]",,false,false,mixed_relevant_and_irrelevant,0,4,v10_gold_dryrun_2026-06-29_candidate
gold_002,ma_somerville_police_spea_2012,causal,arbitration_award,Somerville,police,1,clear_positive,76_100,wage_reasoning_award,no,yes,96,76_100,"The document describes Massachusetts JLMC jurisdiction leading to interest arbitration, and explicitly states the arbitration panel considered statutory criteria (ability to pay, comparable wages/benefits, cost of living) to set successor contract wage and duration outcomes.","[""Under the Collective Bargaining Laws of Massachusetts, the Interest Arbitration process is utilized when \""there is an exhaustion of the process of collective bargaining which constitutes a potential threat to public welfare\""."", ""In reaching the conclusions in the present award, the Arbitration Panel has considered the criteria set forth in the statute including the municipality's ability to pay, wages and benefits of comparable towns, and the cost of living.""]",,false,false,mixed_relevant_and_irrelevant,0,6,v10_gold_dryrun_2026-06-29_candidate
gold_003,ma_wayland_fire_jlmc_2020,causal,arbitration_award,Wayland,fire,1,clear_positive,76_100,jlmc,no,yes,88,76_100,"The document is explicitly a Joint Labor-Management Committee “Stipulated Award” that amends wages and duration, including across-the-board base wage increases and new wage steps, reflecting formal settlement in the context of a structured labor committee process rather than ordinary grievance arbitration.","[""STIPULATED AWARD""]",,false,false,mixed_relevant_and_irrelevant,0,7,v10_gold_dryrun_2026-06-29_candidate
gold_004,ma_wayland_public_works_2020,causal,cba,Wayland,public_works,0,clear_negative,0,ordinary_cba_no_impasse,no,no,0,0,"The document contains a grievance-and-arbitration procedure, but it is framed for disputes arising under interpretation/application of the existing agreement—not for resolving bargaining impasses or setting successor-contract wages/economic terms. There is no interest arbitration, factfinding, mediation after impasse, JLMC, or statutory wage-setting/backstop language.",[],"No passages indicate that wage-setting or successor-contract economic terms are determined through formal impasse-resolution institutions (interest arbitration, factfinding, mediation after impasse, JLMC, statutory wage criteria). The only arbitration described is a grievance arbitration over alleged contractual violations.",false,true,no_supporting_excerpts,0,0,v10_gold_dryrun_2026-06-29_candidate
gold_005,ma_wayland_library_2020,causal,cba,Wayland,library,0,clear_negative,0,ordinary_cba_no_impasse,no,no,10,1_25,"The contract includes grievance arbitration for unresolved disputes, but it does not describe any impasse-resolution or interest-arbitration mechanism for setting wages or successor-contract economic terms. The arbitration jurisdiction is limited to grievances about interpretation/application of contract provisions.",[],"There is arbitration, but it is grievance-based (contract interpretation/application) rather than an impasse-resolution or interest-arbitration backstop for wage-setting or successor-contract economic terms.",false,true,verified_but_irrelevant_only,0,3,v10_gold_dryrun_2026-06-29_candidate
gold_006,ma_worcester_fire_2017,causal,cba,Worcester,fire,1,clear_negative,0,ordinary_cba_no_impasse,no,no,0,0,"The document sets out negotiated wages and benefits and references contract funding under G.L. c. 150E, but it contains no indication that wage-setting or successor-contract terms are determined through any impasse-resolution mechanism such as interest arbitration, factfinding, mediation after impasse, JLMC, or stipulated/arbitration awards.",[],"No passages mention impasse-resolution backstops (interest arbitration, factfinding, mediation after impasse, JLMC, or arbitration/stipulated awards) shaping wages or successor contract economic terms; the text only describes agreed terms and administrative implementation.",false,false,no_supporting_excerpts,0,0,v10_gold_dryrun_2026-06-29_candidate
gold_007,ma_boston_clerical_admin_2023,causal,cba,Boston,clerical_admin,0,false_positive_trap,1_25,grievance_arbitration_boilerplate,yes,no,20,1_25,"The document provides for grievance/arbitration and an arbitration-like process for Compensation Grade Appeals, but it does not indicate any impasse-resolution mechanism (e.g., interest arbitration, mediation after impasse, factfinding, JLMC) shaping wage-setting or successor-contract settlement. Arbitration is used to resolve disputes over applied contract terms/grade determinations rather than to backstop an unresolved contract negotiation impasse.",[],,true,true,some_excerpts_failed,1,3,v10_gold_dryrun_2026-06-29_candidate
gold_008,ma_arlington_public_works_2018,causal,cba,Arlington,public_works,0,false_positive_trap,1_25,grievance_arbitration_boilerplate,yes,no,70,51_75,"The agreement explicitly provides an impasse procedure using mediation and fact-finding if successor (reopened) negotiations on matters cannot be reached by a deadline, which is a formal impasse-resolution backstop for bargaining over terms (including money issues presented to Town Meeting). Ordinary grievance/arbitration provisions are present but are not tied to successor wage-setting in the provided text.",[],,false,false,verified_but_irrelevant_only,0,2,v10_gold_dryrun_2026-06-29_candidate
gold_009,ma_seekonk_public_works_2023,causal,cba,Seekonk,public_works,0,false_positive_trap,0,grievance_arbitration_boilerplate,yes,no,10,1_25,"The agreement includes a grievance “arbitration” step, but it is explicitly limited to settling grievances and does not describe any impasse-resolution or interest-arbitration mechanism for setting wages or successor economic terms. No factfinding/mediation-after-impasse or statutory wage-setting criteria are referenced.",[],,false,true,verified_but_irrelevant_only,0,1,v10_gold_dryrun_2026-06-29_candidate
gold_010,ma_seekonk_teacher_2021,causal,cba,Seekonk,teacher,0,false_positive_trap,1_25,grievance_arbitration_boilerplate,yes,no,15,1_25,"The only arbitration described is part of a grievance procedure (i.e., resolving disputes about the meaning/application of the existing contract), not an impasse-resolution mechanism shaping wages or successor bargaining. There is no factfinding, mediation, interest arbitration, or statutory wage-setting criteria tied to contract formation.",[],,false,true,verified_but_irrelevant_only,0,3,v10_gold_dryrun_2026-06-29_candidate
