extraction_id,search_id,city,state,source_title,source_url,source_owner,document_type_guess,source_corpus_recommendation,unit_or_occupation_guess,occupation_class_guess,safety_flag_guess,cycle_or_document_date,attribute,attribute_signal,score_or_level,short_verbatim_excerpt,named_comparator_cities,impasse_process_terms,wage_terms,evidence_relevance,extraction_confidence,ingestion_recommendation,notes
gws_ext_001,gws_boston_001,Boston,MA,BTU contract negotiations page,https://www.bostonpublicschools.org/school-committee/btu-contract-negotiations,Boston Public Schools,bargaining_update,mechanism_proxy,BTU educators and paraprofessionals,teacher,0,2024-2025,comparability_emphasis,high,high,Minimum and Maximum Teacher Salary with a Masters Comparisons to Surrounding Districts,Cambridge; Wellesley; Brookline; Newton; Watertown; Milton; Dedham; Needham,,salary; maximum teacher salary,direct,high,add_to_mechanism_queue,Seeded from verified Boston BTU deep dive; web-search function not executed.
gws_ext_002,gws_boston_001,Boston,MA,BTU contract negotiations page,https://www.bostonpublicschools.org/school-committee/btu-contract-negotiations,Boston Public Schools,bargaining_update,mechanism_proxy,BTU educators and paraprofessionals,teacher,0,2024-2025,named_comparator_signal,high,high,Minimum and Maximum Teacher Salary with a Masters Comparisons to Surrounding Districts,Cambridge; Wellesley; Brookline; Newton; Watertown; Milton; Dedham; Needham,,teacher salary,direct,high,add_to_mechanism_queue,Known comparator table should be rediscovered by any useful search/extraction run.
gws_ext_003,gws_boston_001,Boston,MA,BTU contract negotiations page,https://www.bostonpublicschools.org/school-committee/btu-contract-negotiations,Boston Public Schools,bargaining_update,mechanism_proxy,BTU educators and paraprofessionals,teacher,0,2024-2025,arbitration_or_impasse_backstop,none,0,Minimum and Maximum Teacher Salary with a Masters Comparisons to Surrounding Districts,Cambridge; Wellesley; Brookline; Newton; Watertown; Milton; Dedham; Needham,,teacher salary,irrelevant,high,add_to_mechanism_queue,Peer-wage comparison alone is not v10 arbitration or impasse evidence.
gws_ext_004,gws_boston_001,Boston,MA,BTU contract negotiations page,https://www.bostonpublicschools.org/school-committee/btu-contract-negotiations,Boston Public Schools,bargaining_update,mechanism_proxy,BTU educators and paraprofessionals,teacher,0,2024-2025,source_ingestability,medium,mechanism_proxy,Minimum and Maximum Teacher Salary with a Masters Comparisons to Surrounding Districts,Cambridge; Wellesley; Brookline; Newton; Watertown; Milton; Dedham; Needham,,teacher salary,context_only,high,add_to_mechanism_queue,Public mechanism-proxy lead not a production causal row.
gws_ext_005,gws_boston_002,Boston,MA,FINAL April 16 2025 BTU CBA School Committee Presentation,https://resources.finalsite.net/images/v1744817505/bostonpublicschoolsorg/xur4pktuwowr7kgoeiow/FINALApril162025BTUCBAPresentation.pdf,Boston Public Schools,school_committee_presentation,mechanism_proxy,BTU educators and paraprofessionals,teacher,0,2025-04-16,wage_reasoning_density,high,high,FINAL April 16 2025 BTU CBA School Committee Presentation,,,BTU CBA,direct,medium,add_to_mechanism_queue,Known public presentation for wage-package explanation; exact slide text not re-extracted in this seed.
gws_ext_006,gws_boston_002,Boston,MA,FINAL April 16 2025 BTU CBA School Committee Presentation,https://resources.finalsite.net/images/v1744817505/bostonpublicschoolsorg/xur4pktuwowr7kgoeiow/FINALApril162025BTUCBAPresentation.pdf,Boston Public Schools,school_committee_presentation,mechanism_proxy,BTU educators and paraprofessionals,teacher,0,2025-04-16,source_ingestability,medium,mechanism_proxy,FINAL April 16 2025 BTU CBA School Committee Presentation,,,BTU CBA,context_only,medium,add_to_mechanism_queue,Mechanism-proxy presentation; do not ingest as causal CBA or award.
gws_ext_007,gws_boston_003,Boston,MA,Salary Grids and CBAs,https://ohr.bostonpublicschools.org/careers1/salary-grids-cbas,Boston Public Schools Office of Human Resources,salary_schedule,acquisition_lead_only,multiple non-safety units,other,0,current public page,source_ingestability,low,lead_only,Salary Grids and CBAs,,,,context_only,medium,stage_for_manual_review,Index route only in this pilot.
gws_ext_008,gws_somerville_001,Somerville,MA,Somerville Police Superior Officers Association CBA and JLMC award packet,https://cdn.muckrock.com/foia_files/2020/08/27/SPSOA_1997_-_2018_reduced.pdf,MuckRock public FOIA release,arbitration_award,causal,police superior officers,police,1,2012-2018,arbitration_or_impasse_backstop,high,high,MA G.L. c. 1078 (JLMC),,JLMC; arbitration award; MA G.L. c. 1078,FY13; FY14; FY15; FY16; FY17; FY18,direct,high,skip,Known v9/v10 calibration source already in causal corpus.
gws_ext_009,gws_somerville_001,Somerville,MA,Somerville Police Superior Officers Association CBA and JLMC award packet,https://cdn.muckrock.com/foia_files/2020/08/27/SPSOA_1997_-_2018_reduced.pdf,MuckRock public FOIA release,arbitration_award,causal,police superior officers,police,1,2012-2018,comparability_emphasis,high,high,MA G.L. c. 1078 (JLMC),,JLMC; arbitration award,wages and benefits,direct,high,skip,Known high-comparability safety award family from v9.
gws_ext_010,gws_somerville_001,Somerville,MA,Somerville Police Superior Officers Association CBA and JLMC award packet,https://cdn.muckrock.com/foia_files/2020/08/27/SPSOA_1997_-_2018_reduced.pdf,MuckRock public FOIA release,arbitration_award,causal,police superior officers,police,1,2012-2018,source_ingestability,high,already_in_corpus,MA G.L. c. 1078 (JLMC),,JLMC; arbitration award,,direct,high,skip,Already in data/contracts.csv; no action in this pilot.
