doc_id,city,occupation_class,safety_flag,source_type,year_or_cycle,text,comparability_emphasis,gabriel_notes,prompt_tokens,completion_tokens
ma_worcester_fire_2017,Worcester,fire,1,cba,2017-2020,"MEMORANDUM OF AGREEMENT
between
CITY OF WORCESTER
and
LOCAL 1009, I.A.F.F.
[FY 2018 — FY 2020]

This Memorandum of Agreement sets forth the agreements of the parties for a new agreement, to
supplement",0,"No passages compare Worcester wages/benefits to other cities or units; wage terms are set as uniform percentages (e.g., “2% effective July 1, 2017/2018/2019”).",2951,57
ma_worcester_clerical_admin_2017,Worcester,clerical_admin,0,cba,2017-2020,"MEMORANDUM OF AGREEMENT
                                                      between
                                            THE CITY OF WORCESTER
                                                ",0,No language in the agreement uses wage comparisons to other communities/units; Article 5 only sets stated 2% base wage increases and a step without comparators.,1774,60
ma_worcester_public_works_2017,Worcester,public_works,0,cba,2017-2020,"MEMORANDUM OF AGREEMENT (DRAFT #1)
                                                           between
                                               THE CITY OF WORCESTER
                             ",0,The text sets wage increases as “two percent (2%) base wage increase” effective 2018–2020 but contains no comparisons to other communities or units.,2348,47
ma_boston_police_2020,Boston,police,1,cba,2020-2025,"MEMORANDA OF AGREEMENT
CITY OF BOSTON
AND
BOSTON POLICE PATROLMENS’ ASSOCIATION

MOA #1
JULY 1, 2020 — JUNE 30, 2023

This Memorandum of Agreement amends the Collective Bargaining Agreement effective ",0,"The text sets specific pay percentages and dollar benefits (e.g., “July 2020 — 2.0%” and “Five (5) Years: $388.04”) without any wage comparisons to other communities/units.",2922,62
ma_boston_clerical_admin_2023,Boston,clerical_admin,0,cba,2023-2027,"COLLECTIVE
   BARGAINING
   AGREEMENT
                  BETWEEN



    CITY OF BOSTON
                     AND

UNITED STEELWORKERS, AFL-CIO,
            CLC
                ONBEHALFOF




           ",5,"The provided text mentions wages generally (e.g., “exclusive representative… relative to wages”) but includes no comparison to other communities/units to justify pay terms.",2397,77
ma_somerville_police_spsoa_2012,Somerville,police,1,arbitration_award,2012-2018,"j
I
l




                   AGREEiVIENT BE1WEEN

                             THE

                   CITY OF SOi\'IERVILLE



    SOJ\IERVILLE POLICE SUPERIOR OFFICERS ASSOCL\ TION




             ",0,"The provided text contains no wage comparison language (e.g., no references to peer communities, other units, or market comparators) to justify any pay terms.",2760,46
ma_somerville_police_spea_2012,Somerville,police,1,arbitration_award,2012-2015,"AGREEMENT BETWEEN

           THE CITY OF SOMERVILLE

                      AND

THE SOMERVILLE POLICE EMPLOYEES ASSOCIATION



           July I, 2004- June 30, 2008
                                ",5,"Aside from a general reference to bargaining over ""wages"" (Article I, Section 1), the provided text contains no wage-comparability or peer-utility comparison language to justify any pay terms.",2411,100
ma_arlington_fire_2021,Arlington,fire,1,cba,2021-2024,"Bargaining Agreement between the Town of Arlington
                    and the International Association of Firefighters,
                                   AFL-CIO, Local 1297

                      ",0,"The provided text contains no wage or salary comparisons to other communities/units (e.g., only grievance, management rights, and general vacation/dues terms are shown).",2776,71
ma_arlington_public_works_2015,Arlington,public_works,0,cba,2015-2018,"Bargaining Agreement between the Town of Arlington
                                 and the
      American Federation of State, County and Municipal Employees,
                   Council 93, Local - 6",0,"No wage-comparability language appears in the provided text; it only states general bargaining purposes (e.g., Article I “establishment of rates of pay”) without referencing other units/cities.",2660,83
ma_arlington_public_works_2018,Arlington,public_works,0,cba,2018-2021,"Bargaining Agreement between the Town of Arlington
                                   and the
  American Federation of State, County and Municipal Employees, Council
                        93, Local ",10,"The text contains only generic wage-setting language (e.g., “establishment of rates of pay”) and no references to comparing Arlington pay to other units or communities.",2661,95
ma_arlington_public_works_2021,Arlington,public_works,0,cba,2021-2024,"Bargaining Agreement between the Town of Arlington
                                and the
 American Federation of State, County and Municipal Employees, Council
                       93, Local - 680",0,The provided text defines bargaining purposes and management rights but includes no wage comparisons to other communities/units to justify any pay terms.,1375,39
ma_newton_police_2015,Newton,police,1,cba,2015-2018,"COLLECTIVE BARGAINING AGREEMENTS

CITY OF NEWTON
AND
NEWTON POLICE ASSOCIATION

EFFECTIVE

JULY 1, 2014 — JUNE 30, 2015
AND

JULY 1, 2015 —- JUNE 30, 2018

TABLE OF CONTENTS

ARTICLE

ARTICLE I
RECOGN",0,"The provided text contains no wage-comparability language (e.g., no mentions of peer communities or other units) before the Wages article.",3073,99
