canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
EXTCAND-af13d3a68a85065cec632b9e,EXTLOC-5b1ef0083ae930f83bfd7977,,
EXTCAND-a3488f591140132313f64036,EXTLOC-408e4edaac166c424dda5d41,,
EXTCAND-335ae8f8b6502e602ae93b8e,EXTLOC-860d4905756073587ba4ca71,,
EXTCAND-4548f46b0c1b52dd148ab216,EXTLOC-ac0d93f0a8eee0557f88d8c3,,
RESCAND-f1c95d023ba940f7c0e36b95,EXTLOC-3be02bf49f9766788af43c69,,
EXTCAND-6c266d7fe39ee989f11cb8cb,EXTLOC-13823e684dcaa98c88a26d10,,
EXTCAND-f772ec0bd6fc68dab3a527ad,EXTLOC-329672c2ce5b2cd932f18fee,,
RESCAND-7f9a155efc01727c019ab7c4,EXTLOC-675d78b29bb7d36d3123d76e,,
RESCAND-813d5484f0ae7b564d286cb4,EXTLOC-ca917bc74cbf7172d277f040,,
RESCAND-6a9cd27fe2b7c25daf58098e,EXTLOC-5b65b44e295882e9f7648ac6,,
RESCAND-fd8470ab5498bd64bfc8166a,EXTLOC-7fcc93a12f7e48a6d8f2c590,,
RESCAND-88a3c314a59c20fb010ee555,EXTLOC-1fa77c06001aaa3e61c37aae,,
RESCAND-3432ca278f2477b30a2b9003,EXTLOC-d523423033f945812258df91,,
RESCAND-1545b5322154019abec50c8f,EXTLOC-b8b09b1acad5ff2c91af81e0,,
RESCAND-1b970425540c0ffdc556fdcd,EXTLOC-01bbecac5c67b226c9d11d0e,,
RESCAND-f554aa3e87d57cb3e7a0a328,EXTLOC-d5102498c783ec0bb38c4e01,,
RESCAND-458622a1e22d13bf8a8e70c5,EXTLOC-4c776bde02e1ae2d6fd27b74,,
RESCAND-7c0702344614524fe70894a7,EXTLOC-9e45b9e578655b95516bfe6a,,
RESCAND-ddb4c2d62a4d7e495c5d4b80,EXTLOC-70c446ebc6306425039b83bb,,
EXTCAND-36a21920d0ffc973ddae1bd6,EXTLOC-78b10ee487b68b08db6f3459,,
EXTCAND-458935312f30860ff44d20ed,EXTLOC-38d2b2cf52d9eeed5b9c71fa,,
EXTCAND-44c761568a9ff5f8a6b462b7,EXTLOC-e28d48ce9072e033fefa52d7,,
EXTCAND-7e7e758b34e75abbe140c449,EXTLOC-6d5f2d74d73fb628b19678f4,,
RESCAND-6fdba88744c5a169e97dc06f,EXTLOC-b145aa5125118895baa66f52,,
RESCAND-428b56e9a8cbfbae2444db84,EXTLOC-8ccb78ed49b53a5121bea23e,,
EXTCAND-4fa014b844a08102bc5b8476,EXTLOC-d1931bcfd115b7ea0c600f0a,,
EXTCAND-867f261c5da1be36192090f5,EXTLOC-c2afce8347578dbf5f13d685,,
EXTCAND-43b6b477e801e8fb081c528c,EXTLOC-ea51c72eb9f960b98edbd141,,
RESCAND-7e8d5ed1f3d38d23c1dd346d,EXTLOC-472b83b18e2f82e0f1f49b1d,,
RESCAND-dbdf4d5cb3744a308d0eadd9,EXTLOC-e16506325d24bf6f33578157,,
EXTCAND-452c59641bfbefbe0e26c274,EXTLOC-81924cf73c1ac2bc44cf8df5,,
EXTCAND-ad2bd27222f4ef2122696398,EXTLOC-b9b93a646193a4c868002ca4,,
EXTCAND-03fe54fa86663b5b78389459,EXTLOC-38f38cc0da08ac5832df9d0b,,
EXTCAND-35b63f0cef93fda6e7424b2b,EXTLOC-241367422775d358995ffbc1,,
RESCAND-d080b18feb32d05249ebd900,EXTLOC-57ed87ffdfa1d9c95c9d3720,,
EXTCAND-5c5deb6dd846a7c3665cb486,EXTLOC-516f8b90b5d104abc202af2e,,
EXTCAND-08382f0a8fabcbc45da2572c,EXTLOC-3c8f8ab3538d1a07b4421f5a,,
EXTCAND-3589a63448bf43ad343e9685,EXTLOC-0594230c029d045017d6aae0,,
EXTCAND-f5dead57247c4ef0447efc52,EXTLOC-2cc6daca929c0023a4e22353,,
RESCAND-8406c223cdc627757984247f,EXTLOC-a4bd281b686fc151ebb7a633,,
EXTCAND-2d2b7848887ba9eb1abf6147,EXTLOC-e291af3b92a746c9f5120de1,,
RESCAND-3bce1d722f5aee155175b43a,EXTLOC-5abb579e04b7399826126622,,
RESCAND-93e23ddbe2be4bda766b5b03,EXTLOC-8f7fe2f10ca07c60b6826620,,
RESCAND-3ec8a998676101bb26001c2a,EXTLOC-e2ce37832395fd5dc5ea432c,,
RESCAND-e97aaa16f49ad603221c1ca8,EXTLOC-7d25b7d9f32a17d15fc3d522,,
EXTCAND-5779bb9c281a71dc227d691d,EXTLOC-e5c0c3734350421f0383fb7e,,
EXTCAND-48fda10b0394cc428b720d19,EXTLOC-b0f01d874f57351cddf97b23,,
EXTCAND-739270a3f9a878300b5a6663,EXTLOC-4146cd8882566fc2f35d9058,,
RESCAND-4f5c53f7cec7a19f3bf9a60c,EXTLOC-96d8e364a8fd9c65baf0291b,,
RESCAND-9d95f141f473744e140bf0f3,EXTLOC-be1776741240d49903e42781,,
RESCAND-6ffcdef52457a897cf7bb7f8,EXTLOC-ada4bba650d1285702fc5b47,,
RESCAND-49c8ae83fa6138ab7b0e2b70,EXTLOC-fcd5a024e0fc040be29a926f,,
RESCAND-13f4bc3673538ad5915038dc,EXTLOC-e314f532dca3b84978db77fc,,
RESCAND-8ada86d87f86dfecec5ca616,EXTLOC-e4a06f73fca7a529376a820a,,
RESCAND-1bf9e8450f30269d098e978a,EXTLOC-b265ca2a18d26908b899f497,,
RESCAND-ee6cd299904ee5ffd8927e60,EXTLOC-a120c3bdd10b8050852f7fee,,
RESCAND-c1e0273d7353025bd37b4ddd,EXTLOC-c2c3d719e8fb2bc30daab121,,
