canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
RESCAND-c064c6e93f65b5066e1eb1a7,EXTLOC-e4ec7eff5c23c06aed354247,,
RESCAND-9a149eeb69edd6d78d068b5e,EXTLOC-52390f5fa5aac3fca39438a3,,
EXTCAND-a76dbabf404c32df2259f051,EXTLOC-6e3e5743299e77e221c19426,,
EXTCAND-124b2344ec232e931ebdb64d,EXTLOC-3ae67823ead530bb93018eb6,,
RESCAND-f4319c7cad7daad7a2e8e37b,EXTLOC-69e9b43a1ef2dee25d4e0fd8,,
EXTCAND-780d04c99f266751fe8834e8,EXTLOC-40ce8bf0092ed1f667781847,,
RESCAND-9d45a20839f0e69fa80bcd78,EXTLOC-9a4c0a60f9f6ad3de09cab1e,,
RESCAND-b0dd7158c11407e3ea719720,EXTLOC-e4914f1d50664fa39f0b2856,,
EXTCAND-ea188b3fe50d0f1be6b45b7e,EXTLOC-3d01b4443e43888ae5705baa,,
EXTCAND-002c869d0ddbad4228a05a15,EXTLOC-144186416a23bd7b6f023e4f,,
EXTCAND-bd9db2bff6f5f15aabb4fe04,EXTLOC-a4e01b61669663d3bd7724fa,,
EXTCAND-709109665fe133bb4940d0b7,EXTLOC-218e3c9f9915333d1c77a9d5,,
EXTCAND-70f591fbbb8467eb7e88d4d7,EXTLOC-6ccd3b2ae613101268413bb6,,
EXTCAND-cd8eddc3ae8c9a7bb05f26e4,EXTLOC-25fd71bca74827d3c81ff210,,
EXTCAND-0c300dc3bdf8949126496ad3,EXTLOC-e39550f1fbeeb3c22cf029bc,,
EXTCAND-b0875dedddd44a471a98bafb,EXTLOC-0f0100218b79e105fa47feb5,,
EXTCAND-184eadfce71314d5d59ca2f4,EXTLOC-bde165700122785eca76adad,,
EXTCAND-8cb54d000a0403a7f17dcc28,EXTLOC-9637dbb70ab0564d625ff20a,,
EXTCAND-37a8e0ae1e289d06c49408b0,EXTLOC-104efde85a69815d6ccc3310,,
RESCAND-275013011d08dca007b325c0,EXTLOC-b1c949d385a5aba6e29ba3d8,,
RESCAND-f1a6d105214ecf454360d4ba,EXTLOC-145cb49b51289cec23be96b5,,
RESCAND-72209ad5b56a481ae518cc87,EXTLOC-f04f78374cc1da12d57b9f5f,,
RESCAND-7a9cd810a6fd768736cddc99,EXTLOC-c137cb6ebbeddd54a396a357,,
