verification_locator_id,final_canonical_locator,canonical_final_locator_id,canonical_verification_locator_id,relationship
EXTLOC-151cb8b373b1b32ead430433,http://cqcounter.com/search/,EXTFINALLOC-51299f510714f03f29c14206,EXTLOC-151cb8b373b1b32ead430433,canonical
EXTLOC-49029c26e4c1c282792d8248,http://rocketcorner.com/forums/index.php?pid=411808&s=067365c441a8902227164ec9fa5a5287&showtopic=23504&st=0,EXTFINALLOC-feec7f2614218e7ba0acf8d3,EXTLOC-49029c26e4c1c282792d8248,canonical
EXTLOC-4ff1b86f66366a66e57a68a2,http://townofchampionny.gov/wp-content/uploads/2023/11/2024-Adopted-Town-of-Champion-Budget11032023.pdf,EXTFINALLOC-1740a5e977a562199ec5209a,EXTLOC-4ff1b86f66366a66e57a68a2,canonical
EXTLOC-af093a88e7ff56027b708ac8,http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=01069b1f-0441-4b53-b480-50f086483468&ssb=13652254762&ssc=https%3A%2F%2Fmn.gov%2Fdeed%2Fdata%2Fdata-tools%2Fjob-vacancy%2Fjvs-findings.jsp&ssi=96ca0c0a-bf56-49b5-baf2-ffde5e0a79aa&ssk=support%40shieldsquare.com&ssm=521785272424622871150322289460804&ssn=a6c017d08503d6bd0914c68dcdc38e6a1398aedf1b49-ce36-4a60-b1300b&sso=47853919-5876cfd800f64f161aa938992b58f5775d5752aa74dbfca0&ssp=41627899521785909240178590539652567&ssq=12365464480817353449943468439339417241969&ssr=NzQuOTIuMTAuMjIy&sst=GabrielWagesLocatorVerifier%2F3.0%28metadata-onlyacademicverification%29&ssx=W10%3D,EXTFINALLOC-21d7281e25aec0af8d197788,EXTLOC-af093a88e7ff56027b708ac8,canonical
EXTLOC-e0a8d0df765bd1eb45c304ca,http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=03c78ff2-e91c-485e-8b8e-8600b16a56be&ssb=82855282251&ssc=https%3A%2F%2Fmn.gov%2Fmmb%2Fbudget%2Fcurrent-budget%2Fprevious-budget-recommendations%2Ffy2022-2023.jsp&ssi=db046257-bf56-4dae-819b-c7aa46b8d852&ssk=support%40shieldsquare.com&ssm=400454424237110062200292507520970&ssn=f2e23974e2a0912afc6e11b42254fe12d24daedf1b49-ce36-4a60-bb9159&sso=dcb97919-5876cfd800f6f27964aab63b0613f0b719f5a981043d60d5&ssp=68091039141785941702178592721173992&ssq=07692154492623807857443468893292589620642&ssr=NzQuOTIuMTAuMjIy&sst=GabrielWagesLocatorVerifier%2F3.0%28metadata-onlyacademicverification%29&ssx=W10%3D,EXTFINALLOC-62d6a6bba7003b33225edcdf,EXTLOC-e0a8d0df765bd1eb45c304ca,canonical
EXTLOC-00bb8f4cfb1d3a92fda5428b,http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=0587f1ef-e01d-4145-bca7-c120b6369cda&ssb=66498212684&ssc=https%3A%2F%2Fmn.gov%2Fmdhr%2Femployers%2Fpay-history%2Fscenario-6.jsp&ssi=be706985-bf56-4112-b01c-a879e15253c9&ssk=support%40shieldsquare.com&ssm=038828151158286141998655172490178&ssn=4f8b0fdb44b3fda9d1a2a995beb3ba79ebddaedf1b49-ce36-4a60-b7003c&sso=c3ff5919-5876cfd800f6646a0063a01d3881ab760722360d9661a074&ssp=16128206111785902135178595200116086&ssq=00342764489133011566343468956322377090502&ssr=NzQuOTIuMTAuMjIy&sst=GabrielWagesLocatorVerifier%2F3.0%28metadata-onlyacademicverification%29&ssx=W10%3D,EXTFINALLOC-455568ad1d895b83e20dcde7,EXTLOC-00bb8f4cfb1d3a92fda5428b,canonical
EXTLOC-d347003a626f213f6bf02c63,http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=07800b1b-ef71-40b5-a419-adc56d307333&ssb=13652254762&ssc=https%3A%2F%2Fmn.gov%2Fdeed%2Fdata%2Flocallook%2Fsoutheast%2Fsoutheast-blog.jsp%3Fid%3D1045-322241&ssi=8fa38200-bf56-4691-a398-b2e281d7772e&ssk=support%40shieldsquare.com&ssm=521785272424622871150322289460804&ssn=a6c017d090ded9cec53c708573758e6a1398aedf1b49-ce36-4a60-b1300b&sso=47853919-5876cfd800f64f161aa99ca2f82004368d9e99c074dbfca0&ssp=41627899521785909240178590539652567&ssq=12365464480817353449943468439339417241969&ssr=NzQuOTIuMTAuMjIy&sst=GabrielWagesLocatorVerifier%2F3.0%28metadata-onlyacademicverification%29&ssx=W10%3D,EXTFINALLOC-90818459800d20f1a48b4587,EXTLOC-d347003a626f213f6bf02c63,canonical
EXTLOC-d599cd119b42e0aa1844bc4f,http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=083abf42-5e2a-4650-8fad-17086d74ff91&ssb=11594222091&ssc=https%3A%2F%2Fmn.gov%2Fpost%2Faboutus%2Fjobs%2Fft%2Findex.jsp%3Fid%3D1189-656869&ssi=0f249a5d-bf56-4785-a073-733a0d9ad87b&ssk=support%40shieldsquare.com&ssm=080658849232850882921163546128862&ssn=77824beec41480c4da67beef1727e2e0c98caedf1b49-ce36-4a60-b1c33c&sso=ad797919-5876cfd800f60fac7f5cda573a1c0011082e6ead24440bd7&ssp=35684505901785929804178590953214444&ssq=49788924494769106093243468873197228058164&ssr=NzQuOTIuMTAuMjIy&sst=GabrielWagesLocatorVerifier%2F3.0%28metadata-onlyacademicverification%29&ssx=W10%3D,EXTFINALLOC-0513fd1724a3122cba7ceb76,EXTLOC-d599cd119b42e0aa1844bc4f,canonical
EXTLOC-8264e65aead0de8cb5a8d12d,http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=08716c14-2189-486e-966a-80fcf8d8c80c&ssb=50295290265&ssc=https%3A%2F%2Fmn.gov%2Fpost%2Faboutus%2Fjobs%2Findex-job.jsp%3Fid%3D1189-739276&ssi=73894449-bf56-451c-8e93-22a6a8748e8b&ssk=support%40shieldsquare.com&ssm=768827828412681213078673276950942&ssn=7eacb0dd8b7942a5742b5f17d6764f01ae2daedf1b49-ce36-4a60-b9365d&sso=63ee3919-5876cfd800f6ef4316271f733d8c56f22dc56306fbb81faf&ssp=02523638321785938981178592822708656&ssq=30165904494976172153043468808603280215312&ssr=NzQuOTIuMTAuMjIy&sst=GabrielWagesLocatorVerifier%2F3.0%28metadata-onlyacademicverification%29&ssx=W10%3D,EXTFINALLOC-5c4091600dc5cd8a2d6eeb41,EXTLOC-8264e65aead0de8cb5a8d12d,canonical
EXTLOC-c59873f1b9af2b0394ec898f,http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=0999daf0-bef0-4048-bc4c-4a6f4a20587d&ssb=66498212684&ssc=https%3A%2F%2Fmn.gov%2Fmdhr%2Fcertificates%2Fconstruction%2Fcopy-of-index.jsp&ssi=985357dc-bf56-493f-b31d-b76f52c6eb24&ssk=support%40shieldsquare.com&ssm=038828151158286141968655172490178&ssn=4f8b0fdb4ecd77199e309f35b83bba79ebddaedf1b49-ce36-4a60-b7003c&sso=c3ff5919-5876cfd800f6646a006393009c04df498b42bccb9661a074&ssp=16128206111785902135178595200116086&ssq=00342764489133011566343468956322377090502&ssr=NzQuOTIuMTAuMjIy&sst=GabrielWagesLocatorVerifier%2F3.0%28metadata-onlyacademicverification%29&ssx=W10%3D,EXTFINALLOC-1d35c24584ef1bd12cc9cb09,EXTLOC-c59873f1b9af2b0394ec898f,canonical
