attempt,body_prefix_bytes_inspected,body_prefix_hex,body_prefix_sha256,completed_at,content_disposition,content_length,content_type,error_class,error_message_redacted,etag,final_observed_url,full_body_retained,http_status,lane_id,last_modified,method,raw_headers_retained,redirect_count,request_id,request_type,requested_url,retry_after,server,started_at,verification_locator_id
2,0,,,2026-08-05T15:38:39.271583+00:00,,,,ConnectError,ConnectError,,,false,,verification_lane_003,,GET,false,0,EXTREQ-b8346e8fa10c8736432def01,production_get_metadata,https://archives.obm.ohio.gov/Files/State_Accounting/Financial_Reporting/Comprehensive_Annual_Financial_Report/2017/cafr_2017.pdf,,,2026-08-05T15:38:39.122440+00:00,EXTLOC-802c5e48cf41db5a06964ee1
1,0,,,2026-08-05T15:38:39.286607+00:00,,0,text/html;charset=utf-8,,,,https://www.legis.iowa.gov/legislators/legislator?ga=52&personID=1978,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-24f1d8a532c15bff965ed71c,production_head,https://www.legis.iowa.gov/legislators/legislator?ga=52&personID=1978,,,2026-08-05T15:38:37.693584+00:00,EXTLOC-8e73a784289a539a1f404e69
1,0,,,2026-08-05T15:38:39.334342+00:00,,417314,application/pdf,,,"""609a74afc9d0db1:0""",https://cms8.revize.com/revize/farmingdale/2025%20Agendas%20and%20Pacekts/06-03-2025%20Packet.pdf,false,200,verification_lane_003,"Thu, 29 May 2025 18:44:18 GMT",HEAD,false,0,EXTREQ-67c9d7a1869e41d8344e7092,production_head,https://cms8.revize.com/revize/farmingdale/2025%20Agendas%20and%20Pacekts/06-03-2025%20Packet.pdf,,cloudflare,2026-08-05T15:38:39.170479+00:00,EXTLOC-5ae3cd4ece505ddd217bf783
1,0,,,2026-08-05T15:38:39.334457+00:00,,2476107,application/pdf,,,"""4275834f2e7ada1:0""",https://www.lrl.mn.gov/docs/2024/other/240563.pdf,false,200,verification_lane_003,"Tue, 19 Mar 2024 18:50:28 GMT",HEAD,false,0,EXTREQ-125a8367c900bf48b4690dcf,production_head,https://www.lrl.mn.gov/docs/2024/other/240563.pdf,,Microsoft-IIS/10.0,2026-08-05T15:38:39.047963+00:00,EXTLOC-4497ae9adb2d5c1d3a6e4540
1,0,,,2026-08-05T15:38:39.351230+00:00,,18966,text/html,,,"""9ef498f7b929cf1:0""",https://www.ilga.gov/documents/legislation/98/HB/09800HB5861.htm,false,200,verification_lane_003,"Fri, 14 Feb 2014 19:21:31 GMT",HEAD,false,0,EXTREQ-170d20fa3db0da4f440b6d62,production_head,https://www.ilga.gov/documents/legislation/98/HB/09800HB5861.htm,,Microsoft-IIS/10.0,2026-08-05T15:38:39.023871+00:00,EXTLOC-a04fbd90bb6878ae38948f83
1,0,,,2026-08-05T15:38:39.351867+00:00,"inline;filename=""Legislation Details (With Text).pdf""",207276,application/pdf,,,,https://columbus.legistar.com/ViewReport.ashx?Extra=WithText&GID=139&GUID=C045524F-BF27-417C-B73D-071E224978A1&ID=3889869&M=R&N=Master&Title=Legislation+Details+%28With+Text%29,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-abaa2f29fdae041e7ad3d356,production_head,https://columbus.legistar.com/ViewReport.ashx?Extra=WithText&GID=139&GUID=C045524F-BF27-417C-B73D-071E224978A1&ID=3889869&M=R&N=Master&Title=Legislation+Details+%28With+Text%29,,Microsoft-IIS/10.0,2026-08-05T15:38:38.851184+00:00,EXTLOC-eac1a1869efec98382919490
1,0,,,2026-08-05T15:38:39.371101+00:00,,,text/html; charset=utf-8,,,,https://projects.propublica.org/nonprofits/organizations/522131742,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-13e4f99d243b6badbc714168,production_head,https://projects.propublica.org/nonprofits/organizations/522131742,,cloudflare,2026-08-05T15:38:38.942200+00:00,EXTLOC-a8664bc1435c4b07e2ead04c
1,0,,,2026-08-05T15:38:39.381826+00:00,,113027,text/html; charset=utf-8,,,,https://catalog.data.gov/dataset/new-york-state-executive-budget-appropriations-non-capital-2026-27,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-8fc3a33f3bbb1e5252449140,production_head,https://catalog.data.gov/dataset/new-york-state-executive-budget-appropriations-non-capital-2026-27,,,2026-08-05T15:38:39.156119+00:00,EXTLOC-5be1f4a431cbd924d4580c74
1,0,,,2026-08-05T15:38:39.227125+00:00,,3366,text/html,,,,https://www.mass.gov/info-details/information-for-workers-and-job-applicants,false,403,verification_lane_003,,HEAD,false,0,EXTREQ-77533cec38dfc1d16d8adfa7,production_head,https://www.mass.gov/info-details/information-for-workers-and-job-applicants,,,2026-08-05T15:38:39.063633+00:00,EXTLOC-10057d058578f25d15da4a65
1,2048,3c21444f43545950452068746d6c3e0a,44d5cb23f69ece5ab4cd0a699318013cbecac85efcd96298e6d13cfb48ae60e7,2026-08-05T15:38:39.408890+00:00,,3366,text/html,,,,https://www.mass.gov/info-details/information-for-workers-and-job-applicants,false,403,verification_lane_003,,GET,false,0,EXTREQ-e5346423138bcfc323ae0965,production_get_metadata,https://www.mass.gov/info-details/information-for-workers-and-job-applicants,,,2026-08-05T15:38:39.227133+00:00,EXTLOC-10057d058578f25d15da4a65
1,0,,,2026-08-05T15:38:39.420346+00:00,,1641131,application/pdf,,,"""4dcdd525c8d71:0""",https://cms5.revize.com/revize/kewanee/Council%20Packet%2007-13-20.pdf,false,200,verification_lane_003,"Sat, 23 Oct 2021 15:45:36 GMT",HEAD,false,0,EXTREQ-c54c5d9c708afb9bc3f7e9dc,production_head,https://cms5.revize.com/revize/kewanee/Council%20Packet%2007-13-20.pdf,,,2026-08-05T15:38:39.163739+00:00,EXTLOC-004b94461a285eb9ae01a78a
1,0,,,2026-08-05T15:38:39.422951+00:00,,1636104,application/pdf,,,"""1fd7853b24c371f554c2fa1193078e58""",https://d3n9y02raazwpg.cloudfront.net/cityofalbionmi/e13d50ba-6fb1-11ef-9b71-005056a89546-4fad22e2-2991-4b27-acf2-d9e18a2d3d68-1728152953.pdf,false,200,verification_lane_003,"Sat, 05 Oct 2024 18:29:24 GMT",HEAD,false,0,EXTREQ-20b7a3f663f306e2fc4e6e84,production_head,https://d3n9y02raazwpg.cloudfront.net/cityofalbionmi/e13d50ba-6fb1-11ef-9b71-005056a89546-4fad22e2-2991-4b27-acf2-d9e18a2d3d68-1728152953.pdf,,AmazonS3,2026-08-05T15:38:39.210414+00:00,EXTLOC-788e91d2a26af16a5e0754b0
1,0,,,2026-08-05T15:38:39.432550+00:00,,,text/html; charset=utf-8,,,,https://broadview-il.gov/village-services/finance/financial-statements/,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-0d1383fa5bce195ef3078047,production_head,https://broadview-il.gov/village-services/finance/financial-statements/,,Microsoft-IIS/10.0,2026-08-05T15:38:39.145528+00:00,EXTLOC-d7bb8aea539a9daa1390d1a1
1,0,,,2026-08-05T15:38:39.320090+00:00,,,text/html; charset=UTF-8,,,,https://codelibrary.amlegal.com/codes/amherst/latest/amherst_oh/0-0-0-33036,false,403,verification_lane_003,,HEAD,false,0,EXTREQ-1b709d196fc24a5fd3b7f629,production_head,https://codelibrary.amlegal.com/codes/amherst/latest/amherst_oh/0-0-0-33036,,cloudflare,2026-08-05T15:38:39.194133+00:00,EXTLOC-68336b3590ba73484d90b4c4
1,1573,3c21444f43545950452068746d6c3e3c,04b3617320e3e9756ed2aa24647b9f506842f6c95e802bc2faa585fb8dc50839,2026-08-05T15:38:39.450029+00:00,,,text/html; charset=UTF-8,,,,https://codelibrary.amlegal.com/codes/amherst/latest/amherst_oh/0-0-0-33036,false,403,verification_lane_003,,GET,false,0,EXTREQ-f95853baee46e2a5668908c3,production_get_metadata,https://codelibrary.amlegal.com/codes/amherst/latest/amherst_oh/0-0-0-33036,,cloudflare,2026-08-05T15:38:39.320102+00:00,EXTLOC-68336b3590ba73484d90b4c4
1,0,,,2026-08-05T15:38:39.456741+00:00,,29194,text/html; charset=utf-8,,,,https://www.cohassetma.gov/FormCenter/Police-Department-19,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-fb171d3cae70d329d2db332a,production_head,https://www.cohassetma.gov/FormCenter/Police-Department-19,,cloudflare,2026-08-05T15:38:39.014883+00:00,EXTLOC-22d096ee8346f2b0c0d04178
1,0,,,2026-08-05T15:38:39.465512+00:00,,209370,application/pdf,,,,https://bainbridgetwp.com/wp-content/uploads/sites/4/2025/04/Agenda-4-14-2025-Final.pdf,false,200,verification_lane_003,"Fri, 11 Apr 2025 16:30:41 GMT",HEAD,false,0,EXTREQ-7855c54c265e8aea1e482bce,production_head,https://bainbridgetwp.com/wp-content/uploads/sites/4/2025/04/Agenda-4-14-2025-Final.pdf,,nginx,2026-08-05T15:38:39.138178+00:00,EXTLOC-75924ba35a410029414faa1f
1,0,,,2026-08-05T15:38:39.497792+00:00,,212130,application/pdf,,,"""cc3de86beeb551712f2f892db3643a5b""",https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Addendums/2022/22-MED-09-0928.pdf,false,200,verification_lane_003,"Mon, 19 Jan 2026 20:21:55 GMT",HEAD,false,0,EXTREQ-d1d601b1108bff9426aa6f64,production_head,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Addendums/2022/22-MED-09-0928.pdf,,Cloudinary,2026-08-05T15:38:39.217752+00:00,EXTLOC-c2b7107ea863cb4306761e58
1,0,,,2026-08-05T15:38:39.498780+00:00,,,text/html; charset=utf-8,,,"W/""2d51e1a4679c7aad19d6e11807282105""",https://data.ny.gov/en/Government-Finance/New-York-State-Cities-Towns-and-Villages-per-Count/y6cw-5z7p,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-b159d00e06b8ff4685dff9c7,production_head,https://data.ny.gov/en/Government-Finance/New-York-State-Cities-Towns-and-Villages-per-Count/y6cw-5z7p,,nginx,2026-08-05T15:38:38.594916+00:00,EXTLOC-1d9642159cb4d93ec0f630b4
