verification_locator_id,canonical_network_locator,canonical_candidate_id,candidate_row_count,priority_order,primary_external_data_families,administrative_source_types,official_source_flags,locator_host,repair_member_count,verification_lane_id,verification_lane_sequence
EXTLOC-564de852c100755e5b428ed7,https://ecode360.com/39951681,EXTCAND-b63834961aee16f9f4f73404,1,low,multi_family_administrative_source,payroll_roster,false,ecode360.com,0,verification_lane_002,8001
EXTLOC-ecb315381de75d67e483d79c,https://ecode360.com/40024388,RESCAND-a964417113a5702d02336691,1,low,payroll_and_earnings,payroll_roster,false,ecode360.com,0,verification_lane_002,8002
EXTLOC-9c79085fdafd645d40f466d9,https://ecode360.com/40024391,RESCAND-2a83bcbfdb8a17f5a4e7e038,1,low,multi_family_administrative_source,payroll_roster,false,ecode360.com,0,verification_lane_002,8003
EXTLOC-0316d6a42de565abdfbb853a,https://ecode360.com/40024440,EXTCAND-cd7015689057f743a9b54eb1,1,low,multi_family_administrative_source,payroll_roster,false,ecode360.com,0,verification_lane_002,8004
EXTLOC-0bfd26f865091d8c98b8f972,https://ecode360.com/40024538,RESCAND-76736bc8ea7cbdaed87bf245,1,low,multi_family_administrative_source,payroll_roster,false,ecode360.com,0,verification_lane_002,8005
EXTLOC-9973aabdabdecbee2e9c3ca1,https://ecode360.com/40024599,EXTCAND-ae97ccf303b97346bc98062c,1,low,multi_family_administrative_source,payroll_roster,false,ecode360.com,0,verification_lane_002,8006
EXTLOC-37e8531f93330e6339fa675c,https://ecode360.com/40030127,RESCAND-4ef5e80e12a8ead3550b1fd8,1,low,payroll_and_earnings,payroll_roster,false,ecode360.com,0,verification_lane_002,8007
EXTLOC-8789c3518eb1f0725b09a10f,https://ecode360.com/40030152,RESCAND-e5eba52835c3b1ffebe90ad0,1,low,payroll_and_earnings,payroll_roster,false,ecode360.com,0,verification_lane_002,8008
EXTLOC-b85840efc7bb6ba62a8e7e5e,https://ecode360.com/40032900,RESCAND-483907d95a694c4753f049f2,1,low,multi_family_administrative_source,payroll_roster,false,ecode360.com,0,verification_lane_002,8009
EXTLOC-e5b40d104ab481c8541035a3,https://ecode360.com/40032907,RESCAND-80cc4e9e1654de831c2d4e93,1,low,tenure_and_progression,other,false,ecode360.com,0,verification_lane_002,8010
EXTLOC-2c942e4143a5712b4a6dc027,https://ecode360.com/40035301,EXTCAND-56ef6d320abbbafc6b900374,1,low,multi_family_administrative_source,payroll_roster,false,ecode360.com,0,verification_lane_002,8011
EXTLOC-4e4fad2ae8022f5755339a1c,https://ecode360.com/40037474,EXTCAND-0bf0af0d2739aa8b865dd4fd,1,low,multi_family_administrative_source,payroll_roster,false,ecode360.com,0,verification_lane_002,8012
EXTLOC-0677380dcb4c530ddda9391a,https://ecode360.com/40130306,RESCAND-640d0aef8b032d66c68cdc10,1,low,multi_family_administrative_source,payroll_roster,false,ecode360.com,0,verification_lane_002,8013
EXTLOC-7cd1229f351ff582824cc662,https://ecode360.com/40130386,RESCAND-97fce66486f039f396b2e99b,1,low,payroll_and_earnings,payroll_roster,false,ecode360.com,0,verification_lane_002,8014
