duplicate_candidate_id,canonical_candidate_id,canonical_locator_id,canonical_network_locator,duplicate_basis,duplicate_confidence,duplicate_search_wave,canonical_search_wave
RESCAND-fa6470ff733eb7d79d7a7766,RESCAND-d681d4e2de94736728b88b1c,EXTLOC-16979acc2451abd9c40767fc,https://athenstx.gov/DocumentCenter/View/711/082624---FY-2025-BUDGET-WORKSHEETS,identical_normalized_locator,high,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual
RESCAND-a1d29eb23f43b285999665a5,EXTCAND-c22288960ba8555fee4b6235,EXTLOC-35530ae127a9ac90fb093fbf,https://baraboowi.gov/vertical/Sites/%7BD06131C5-F452-44C7-954E-97BD998BCA20%7D/uploads/2022_Budget_Book_Digital.pdf,identical_normalized_locator,high,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted
EXTCAND-f2c05d1cff737584dde3d6f8,EXTCAND-d8d207fd9481a431a9e40fed,EXTLOC-b1fb0b8fc3f687c64e02b9ce,https://baraboowi.gov/vertical/sites/%7BD06131C5-F452-44C7-954E-97BD998BCA20%7D/uploads/8-13-19_Council_Packet.pdf,identical_normalized_locator,high,external_search_wave_001_compacted,external_search_wave_001_compacted
EXTCAND-c722957a1677b41daf2c132d,EXTCAND-557afd28a191c901416bb77c,EXTLOC-fa35cc409b40c0713e048c2d,https://cityofmonticello.us/documents/53/2024-25_City_of_Monticello_Operating_Budget_PDF.pdf,identical_normalized_locator,high,external_search_wave_001_compacted,external_search_wave_001_compacted
EXTCAND-d3e341816fa7a73c0d8d1b76,EXTCAND-235a150411e3d78ed0e0a25a,EXTLOC-13f7a1e70ab0ea0e20985c9f,https://legislature.maine.gov/legis/bills/getPDF.asp?item=1&paper=SP0680&snum=127,identical_normalized_locator,high,external_search_wave_001_compacted,external_search_wave_001_compacted
EXTCAND-fbf7428ec7e9b888c438c247,EXTCAND-0d04d4d5bd49eef3a8dda79a,EXTLOC-1de5bd872cd9a3d38943e4fc,https://legislature.mi.gov/doc.aspx,identical_normalized_locator,high,external_search_wave_001_compacted,external_search_wave_001_compacted
EXTCAND-7bec79387bb41da95daa11df,EXTCAND-3398154f81b32420737a6815,EXTLOC-36a082511bc4bbccaadf4d97,https://www.accgov.com/DocumentCenter/View/86690/FY23-Approved-Operating--Capital-Budget,identical_normalized_locator,high,external_search_wave_001_compacted,external_search_wave_001_compacted
RESCAND-f6af04a060f2d5f82391fcc8,EXTCAND-96f1facc3049848371df16aa,EXTLOC-480153443dea7d9caf087a70,https://www.andoverks.gov/DocumentCenter/View/3345/Employee-Handbook-2025,identical_normalized_locator,high,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted
RESCAND-d53d9c927c9d5730c4c0d793,RESCAND-34a5743289813168dac6b92e,EXTLOC-5ea5600eb81c374bd8b8d707,https://www.baycitymi.gov/DocumentCenter/View/5316/2021-2022-Adopted-Budget-Book,identical_normalized_locator,high,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual
RESCAND-cea141d0a1c2949c7dff9225,RESCAND-a47f95336a72b3183a390d3d,EXTLOC-6cde6a688bdcb279985fb2ac,https://www.bloomfieldct.gov/DocumentCenter/View/5696/FY2026-Town-Managers-Proposed-Budget,identical_normalized_locator,high,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual
RESCAND-badcdb14b26af6de270faa98,RESCAND-b279641ffa42e143b1f09bcf,EXTLOC-0d67151a0e04837f9c8c1278,https://www.brightonco.gov/DocumentCenter/View/34428/City-of-Brighton---2024-ACFR,identical_normalized_locator,high,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual
RESCAND-c0668fc4869ff86a7bf4816e,RESCAND-0328fbd2f7fb9980bff773f8,EXTLOC-99fd3ccdbbd1dc4d916a8b42,https://www.buffalocomptrollerny.gov/DocumentCenter/View/610/FY-2024-to-2025-Informational-Report-on-City-Payroll-FYE-2024,identical_normalized_locator,high,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual
RESCAND-25d32ffe4a8874992a83cbd5,EXTCAND-7119332e95db632854401b58,EXTLOC-891d321aa1d60d7fd753dbd3,https://www.charleston-sc.gov/DocumentCenter/View/38747/2025-Official-Budget-Document,identical_normalized_locator,high,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted
