relationship_id,candidate_id_a,locator_a,candidate_id_b,locator_b,relationship_basis,relationship_confidence,preverification_collapsed
EXTMODREL-b3d637ad3a3c4ddd2bd7f1dd,EXTCAND-00041c031ba51a04b2f21589,https://horiconwi.gov/Directory.aspx,EXTCAND-dc6e1f68e226969c4389f5e7,https://www.horiconwi.gov/Directory.aspx,likely_http_https_or_www_alias,moderate,false
EXTMODREL-3ba8afce7716f7add19edcfd,EXTCAND-002c869d0ddbad4228a05a15,https://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=2427257,EXTCAND-709109665fe133bb4940d0b7,https://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=2722873,same_domain_title_municipality_period_path_family,moderate,false
EXTMODREL-9177ef44a94c5962c21bad68,EXTCAND-002d6f2d08be27e66a427ce6,https://library.municode.com/tx/port_lavaca/codes/code_of_ordinances?nodeId=PTIHORUCH_ART6ADDE,EXTCAND-01d808109f235b6c3d59ac64,https://library.municode.com/tx/port_lavaca/codes/code_of_ordinances?nodeId=PTIHORUCH_ART3GOBO_S3.19NE,same_domain_title_municipality_period_path_family,moderate,false
EXTMODREL-eb7429b151e3a4e500db4f1c,EXTCAND-002d6f2d08be27e66a427ce6,https://library.municode.com/tx/port_lavaca/codes/code_of_ordinances?nodeId=PTIHORUCH_ART6ADDE,EXTCAND-04265a9f215604aa0a8edf58,https://library.municode.com/tx/port_lavaca/codes/code_of_ordinances?nodeId=PTIHORUCH_ART7THBU_S7.14EMAP,same_domain_title_municipality_period_path_family,moderate,false
EXTMODREL-c6999c2bb974d989ddc47f71,EXTCAND-0050ca36940ab7139d6b9322,https://publicdocuments.fortworthtexas.gov/CSODOCS/DocView.aspx?dbid=0&id=311491&repo=City-Secretary,EXTCAND-da2e2ac3072ac0347e27723b,https://publicdocuments.fortworthtexas.gov/CSODOCS/DocView.aspx?dbid=0&id=308461&repo=City-Secretary,same_domain_title_municipality_period_path_family,moderate,false
EXTMODREL-92848dfdbdd6b879ff23a7fc,EXTCAND-00555abc6870ae4395f16251,https://library.municode.com/MI/Warren/codes/Code_of_Ordinances?nodeId=PTIICOOR_CH25PE_ARTIVGEREHELIDIBEPLTR_DIV1GEPR_S25-352PU,EXTCAND-2a6d77b59c3b3ebd738edd9a,https://library.municode.com/mi/warren/codes/code_of_ordinances?nodeId=PTIICOOR_CH25PE_ARTVITHDECOPL_SS25-422--25-430RE,same_domain_title_municipality_period_path_family,moderate,false
EXTMODREL-a134529a300487632ecd5668,EXTCAND-00690dd5819c2a688b6555b4,https://house.mi.gov/LegislativelyDirectedSpendingItems?Year=2026,EXTCAND-4153db46f26e96d46a405972,https://www.house.mi.gov/LegislativelyDirectedSpendingItems?handler=DownloadDocument&ItemId=1015,same_domain_title_municipality_period_path_family,moderate,false
EXTMODREL-f347782adf08ce6f481d7ac8,EXTCAND-00690dd5819c2a688b6555b4,https://house.mi.gov/LegislativelyDirectedSpendingItems?Year=2026,EXTCAND-e228e2230087225729c2d153,https://www.house.mi.gov/LegislativelyDirectedSpendingItems?Year=2025,same_domain_title_municipality_period_path_family,moderate,false
EXTMODREL-7ba3b044a7e7b194e7b4709a,EXTCAND-00c887490709dd0721a18d58,https://library.municode.com/NC/Atlantic_Beach/codes/code_of_ordinances?nodeId=PTICH_S8RE,EXTCAND-a4dacd98d15456b308467e45,https://library.municode.com/nc/atlantic_beach/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,same_domain_title_municipality_period_path_family,moderate,false
EXTMODREL-5d05c89efcba13eaf746d616,EXTCAND-01bf690a531b689115096cff,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTICH_CH5GEPRREOFPECI_S5.2DEVAELOF,EXTCAND-717c04f4044841f9b91b0341,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances,same_domain_title_municipality_period_path_family,moderate,false
EXTMODREL-0780a6db6c09c6d5d3ef727f,EXTCAND-01fba9847f270f447d8a6526,https://cityofhart.org/tifa.php,EXTCAND-79f90ea96b52d94483bbcc70,https://www.cityofhart.org/tifa.php,likely_http_https_or_www_alias,moderate,false
EXTMODREL-131555bea703d4a5bd623c73,EXTCAND-0237b65a744603a076f12d56,https://statejobs.ny.gov/public/vacancyDetailsView.cfm?id=206340,EXTCAND-29810d4bcf7f69ce5f280050,https://statejobs.ny.gov/public/vacancyDetailsView.cfm?id=217672,same_domain_title_municipality_period_path_family,moderate,false
