attempt,body_prefix_bytes_inspected,body_prefix_hex,body_prefix_sha256,completed_at,content_disposition,content_length,content_type,error_class,error_message_redacted,etag,final_observed_url,full_body_retained,http_status,lane_id,last_modified,method,raw_headers_retained,redirect_count,request_id,request_type,requested_url,retry_after,server,started_at,verification_locator_id
1,0,,,2026-08-05T15:26:37.628237+00:00,,,text/html; charset=utf-8,,,"W/""d3c5113ee5c09a267fa1f1a2f887a198""",https://dlg.usg.edu/record/dlg_ggpd_1176240503-2025-01-01,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-966925a2ad3774ce237af8f7,production_head,https://dlg.usg.edu/record/dlg_ggpd_1176240503-2025-01-01,,Apache/2.4.68 (Unix) OpenSSL/3.0.2 Phusion_Passenger/6.1.1,2026-08-05T15:26:31.387364+00:00,EXTLOC-0776cf711473670d9066fe46
1,0,,,2026-08-05T15:26:38.411676+00:00,,0,text/html; charset=UTF-8,,,,https://greenwoodtwpcolumbiacopa.gov/bulletin/,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-cd948aa792289731d61a445e,production_head,https://greenwoodtwpcolumbiacopa.gov/bulletin/,,Microsoft-IIS/8.5,2026-08-05T15:26:34.185695+00:00,EXTLOC-5efbf961ad0e040d3b2f27a6
1,0,,,2026-08-05T15:26:38.495194+00:00,,,text/html; charset=utf-8,,,,https://health.mcleancountyil.gov/651/County-Financial-Reports,false,200,verification_lane_003,"Wed, 05 Aug 2026 15:26:38 GMT",HEAD,false,0,EXTREQ-ecdf86234c529ca18b75b8be,production_head,https://health.mcleancountyil.gov/651/County-Financial-Reports,,cloudflare,2026-08-05T15:26:34.286902+00:00,EXTLOC-cac40d42031944b4c1d5825c
1,0,,,2026-08-05T15:26:39.899923+00:00,,4763,text/html; charset=utf-8,,,,https://houston.novusagenda.com/agendapublic/CoverSheet.aspx?ItemID=25574&MeetingID=537,false,200,verification_lane_003,,HEAD,false,0,EXTREQ-9103df34eecd503c499a2401,production_head,https://houston.novusagenda.com/agendapublic/CoverSheet.aspx?ItemID=25574&MeetingID=537,,Microsoft-IIS/10.0,2026-08-05T15:26:34.401325+00:00,EXTLOC-1faaf2e65858cdb96e161dad
1,0,,,2026-08-05T15:26:42.691868+00:00,,,,ReadTimeout,ReadTimeout,,,false,,verification_lane_003,,HEAD,false,0,EXTREQ-68de4dd2fc62e13a0e3762a9,production_head,https://content.edgar-online.com/ExternalLink/EDGAR/0001140361-22-047453.html?dest=brhc10045896_ex3-2_htm&hash=e040dd366d7ec55d9da5fbef614de14ad07e0a3ceb411fed0e2d2cc57aff3e2a,,,2026-08-05T15:26:30.377582+00:00,EXTLOC-9d30f65bf46c49a1062bec12
1,0,,,2026-08-05T15:26:54.917637+00:00,,,,ReadTimeout,ReadTimeout,,,false,,verification_lane_003,,GET,false,0,EXTREQ-046686ca65fa4528ada8986f,production_get_metadata,https://content.edgar-online.com/ExternalLink/EDGAR/0001140361-22-047453.html?dest=brhc10045896_ex3-2_htm&hash=e040dd366d7ec55d9da5fbef614de14ad07e0a3ceb411fed0e2d2cc57aff3e2a,,,2026-08-05T15:26:42.691923+00:00,EXTLOC-9d30f65bf46c49a1062bec12
2,0,,,2026-08-05T15:27:07.541320+00:00,,,,ReadTimeout,ReadTimeout,,,false,,verification_lane_003,,HEAD,false,0,EXTREQ-e18a7ca43a38a2e93a1f3c95,production_head,https://content.edgar-online.com/ExternalLink/EDGAR/0001140361-22-047453.html?dest=brhc10045896_ex3-2_htm&hash=e040dd366d7ec55d9da5fbef614de14ad07e0a3ceb411fed0e2d2cc57aff3e2a,,,2026-08-05T15:26:55.419381+00:00,EXTLOC-9d30f65bf46c49a1062bec12
2,0,,,2026-08-05T15:27:19.690955+00:00,,,,ReadTimeout,ReadTimeout,,,false,,verification_lane_003,,GET,false,0,EXTREQ-fa9c447fac1ff200c8b39752,production_get_metadata,https://content.edgar-online.com/ExternalLink/EDGAR/0001140361-22-047453.html?dest=brhc10045896_ex3-2_htm&hash=e040dd366d7ec55d9da5fbef614de14ad07e0a3ceb411fed0e2d2cc57aff3e2a,,,2026-08-05T15:27:07.541509+00:00,EXTLOC-9d30f65bf46c49a1062bec12
1,0,,,2026-08-05T15:27:20.153557+00:00,,,text/html; charset=UTF-8,,,,https://independencecharter.org/faculty/,false,200,verification_lane_003,"Wed, 05 Aug 2026 10:24:51 GMT",HEAD,false,0,EXTREQ-43aa4c4b93d84bac9e0ddee6,production_head,https://independencecharter.org/faculty/,,nginx,2026-08-05T15:27:19.742846+00:00,EXTLOC-5e0c6515032d5788b15ae733
1,0,,,2026-08-05T15:27:20.268136+00:00,,100372,application/pdf,,,"""18814-6172ba2a17fdb""",https://laketownshipmissaukee.com/wp-content/uploads/2024/04/Budget-Hearing-and-Settlement-Minutes-2023-24.pdf,false,200,verification_lane_003,"Sun, 28 Apr 2024 17:40:39 GMT",HEAD,false,0,EXTREQ-2b411bdfce1e238557146f11,production_head,https://laketownshipmissaukee.com/wp-content/uploads/2024/04/Budget-Hearing-and-Settlement-Minutes-2023-24.pdf,,Apache,2026-08-05T15:27:19.887557+00:00,EXTLOC-07ac051b85b00939d10829fc
