lane_id,prior_attempt,prior_request_id,reason,retry_after_observed,retry_id,retry_number,scheduled_at,verification_locator_id
verification_lane_001,1,EXTREQ-59e620ceb15b89c9763cb9ac,bounded_transient_failure,,EXTRETRY-40c8f3b765e1a74d4ac6cc4b,1,2026-08-05T15:10:47.887837+00:00,EXTLOC-409961b60ad532d8d4ad5073
verification_lane_001,1,EXTREQ-c295abee14d63b003c43af5b,bounded_transient_failure,,EXTRETRY-564cfbca26d50b836461a788,1,2026-08-05T15:10:47.887726+00:00,EXTLOC-1d155f4c1dc4923d0be14629
verification_lane_001,1,EXTREQ-0c476585c00b812ecabc3014,bounded_transient_failure,,EXTRETRY-ee485f157032acdcb5dfe8a9,1,2026-08-05T15:10:47.887920+00:00,EXTLOC-f974fc222184c08447e47eab
verification_lane_001,1,EXTREQ-a0c99929eb2332399889d25a,bounded_transient_failure,,EXTRETRY-4f769b0a41e43afe95d7fdab,1,2026-08-05T15:10:50.054881+00:00,EXTLOC-90d252e2af43ab5435106ef1
verification_lane_001,1,EXTREQ-51c29083ae20b3fd3faa317c,bounded_transient_failure,,EXTRETRY-1a5b2c933bd69fe789e4a542,1,2026-08-05T15:10:50.165933+00:00,EXTLOC-40b3031361c973177e2a67a5
verification_lane_001,1,EXTREQ-d021d342ff3d68b76f29c195,bounded_transient_failure,,EXTRETRY-605d8a915c513f2d2c277988,1,2026-08-05T15:10:50.171946+00:00,EXTLOC-800b70537084a082e84fd932
verification_lane_001,1,EXTREQ-ee856a3c490f41ff88bfefd8,bounded_transient_failure,,EXTRETRY-dc297f019eb580dc846e9bdf,1,2026-08-05T15:10:50.872726+00:00,EXTLOC-7c62c7a8eb003582da08c224
verification_lane_001,1,EXTREQ-f2ac6a1a37d225ea45728eb4,bounded_transient_failure,,EXTRETRY-14bbd69560988741a0a4a2c4,1,2026-08-05T15:10:51.004797+00:00,EXTLOC-260c9d759d64568cf1f835a0
verification_lane_001,1,EXTREQ-a5dff3b9016818249b2ea6b8,bounded_transient_failure,,EXTRETRY-5c09cb2d641aaffa9bb9cff1,1,2026-08-05T15:11:11.128104+00:00,EXTLOC-d7f6c39af60b2b29b53df173
verification_lane_001,1,EXTREQ-f13bec36b2d4a141efca7628,bounded_transient_failure,,EXTRETRY-94183c8b455751921b3d3fae,1,2026-08-05T15:11:11.127938+00:00,EXTLOC-b34f9998bcd96aa958002325
verification_lane_001,1,EXTREQ-9fe39ebadca29c1c3a1490e8,bounded_transient_failure,,EXTRETRY-af838583981f8204a7a10ab1,1,2026-08-05T15:11:14.150079+00:00,EXTLOC-fb9f66a260ced2efe6447f2e
verification_lane_001,1,EXTREQ-f1a92b7929f8ccec712efc81,bounded_transient_failure,,EXTRETRY-89a06795e21c1ef605ac8c12,1,2026-08-05T15:11:15.685113+00:00,EXTLOC-af65ab74444ce7c5f7e42245
verification_lane_001,1,EXTREQ-963c96b3a19c6ddb73441269,bounded_transient_failure,,EXTRETRY-9407cc48f246f879ec30b473,1,2026-08-05T15:11:15.679397+00:00,EXTLOC-7d38fcbfd8b5953eaad3c74f
verification_lane_001,1,EXTREQ-dedb9fa2d42ad58b3b176b93,bounded_transient_failure,,EXTRETRY-36d78a525766b98dfd265f51,1,2026-08-05T15:11:15.679567+00:00,EXTLOC-a0bc55a8ee7c804d4992d2c5
verification_lane_001,1,EXTREQ-936d80e1b67b8c5b3626ce15,bounded_transient_failure,,EXTRETRY-a2d685070245067747f215b0,1,2026-08-05T15:11:16.141512+00:00,EXTLOC-fe647fe1996a3dd7274aecf9
verification_lane_001,1,EXTREQ-3806c89150ec7b3930fe31cf,bounded_transient_failure,,EXTRETRY-90ea27df8a6efc7c8bb67258,1,2026-08-05T15:11:16.650428+00:00,EXTLOC-a3e5a74b6f56cb94c9163665
verification_lane_001,1,EXTREQ-c5864149c7ae7f2cbefe0635,bounded_transient_failure,,EXTRETRY-a19659e4ffb0ab8767a0f30d,1,2026-08-05T15:11:26.151624+00:00,EXTLOC-8d614052f0c2945235be123d
verification_lane_001,1,EXTREQ-981508eac2cdcdd2ffeb72ec,bounded_transient_failure,,EXTRETRY-8693ab0451cdbf44bad4ced9,1,2026-08-05T15:11:52.112539+00:00,EXTLOC-852bb3c15c8160a3b733df3b
verification_lane_001,1,EXTREQ-289bdb80a192979cdc8f0f5f,bounded_transient_failure,,EXTRETRY-e492eabf739c4c34613fa8fd,1,2026-08-05T15:11:52.681757+00:00,EXTLOC-c56892ec1a7d122f9aa706b0
