canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
EXTCAND-a70c2abf85dc248214707c4d,EXTLOC-cc3ea43705324cbcf40e1fbd,,
RESCAND-433b18b4bae61b7585556428,EXTLOC-6e28dd760c166b9bd2e12b64,,
EXTCAND-90c74731e6378d34ee3cc626,EXTLOC-18d41d35f159e6f68ce06354,,
EXTCAND-761ffcd598c1f176f26c3ab2,EXTLOC-97e2223975a6e6a944f50079,,
RESCAND-39c4d8bdffd45fb6e910da1d,EXTLOC-d0c315940b50ce077e9f7100,,
RESCAND-24047c02c355374b2acdbe99,EXTLOC-83403b511ef81ff1a5afcdf2,,
RESCAND-b72c1a51a295009d6197466a,EXTLOC-d99634635c82c9d5382b7f6d,,
RESCAND-1d687f59dd1234a464a85145,EXTLOC-bf2219e6a7d286627dc08bd1,,
RESCAND-5e47c2564c2b483f771aeacf,EXTLOC-837a1e0602e8098f0351da8f,,
RESCAND-9dc9cad3ba7d40f0f7ec35f1,EXTLOC-d2f20ae9ca8dd0dc30ec5a97,,
RESCAND-7070f89feb029fae07af0e55,EXTLOC-9d0298b0fc7ea332ba8a113e,,
RESCAND-fca14ce4051429a3aabf5df2,EXTLOC-f147e65e469d4785101fa865,,
RESCAND-d30b9032b5d1d3dafcfe4b54,EXTLOC-04b395b9a9c7fcd6e715a566,,
RESCAND-8b3ef9f7fb26f45b9f1c51a9,EXTLOC-34cb01befcbe03dff125e9ae,,
RESCAND-328df1aa3720259845548a37,EXTLOC-0bba3df2754522aa230959f5,,
RESCAND-945dba31b5f6171b14329183,EXTLOC-0ddadfc1f26743fa94a11960,,
RESCAND-5748fdef0a4d382a76512884,EXTLOC-8ff9f7ccd356d9337f23c43f,,
RESCAND-96752a7538697fadd88eae85,EXTLOC-8d4870661deb8f75589cf2b0,,
RESCAND-fce005dbff0125cbeb55956f,EXTLOC-000a2f600511f790b77eba0e,,
EXTCAND-67cc11447823fb4e73f65c74,EXTLOC-dd736a683985943f56840845,,
EXTCAND-f530a3bbca404075cb480555,EXTLOC-3237818dee5fd980f93593ab,,
EXTCAND-e6c67d3746fdffb242ba6d79,EXTLOC-2d712423e74feddc525c2077,,
RESCAND-238d3c97b21f0a83d42ebc64,EXTLOC-2cc44b273716f6adf9ec5ecc,,
EXTCAND-f14ebcc2b1242c0b023822ba,EXTLOC-11b17b0e05dc5510efd97db4,,
RESCAND-0b5f7fcb667ba484ad51073f,EXTLOC-3290e5d9ab82211c11641c1d,,
EXTCAND-f83b3b41ce9851f567dd0c5f,EXTLOC-8846c7f1aeadf7ffe160ea80,,
RESCAND-db7695f50448a5772e1961cc,EXTLOC-c01d4ca31f679de67adca6c6,,
EXTCAND-9ba4081ae159734b5b9db4a8,EXTLOC-7cd1b5fcda8f31682653b8c6,,
EXTCAND-2000c2ac5e5038dd3b905436,EXTLOC-21e30c197108ab42f236f005,,
RESCAND-9a44cef06dbab29ac49465a2,EXTLOC-9df1ba226a34dcb08ab37c60,,
RESCAND-63d1df9bd244c81687d6b33c,EXTLOC-f11ee0343559d0083f671bb4,,
RESCAND-be9aa5bead93613a4fc71bb6,EXTLOC-8fb526961ab4888945ca4b69,,
RESCAND-c02d6732d3116ff9091e0f0a,EXTLOC-48699cf204d4ef7d4f1e14ef,,
RESCAND-02a58891f5f93aa8d93aea03,EXTLOC-3d98ea1bcf4ef14edfeb6af4,,
RESCAND-0c234ee49411590600021714,EXTLOC-b988361ffca6c2386940fd9c,,
EXTCAND-fbc16c41b09d07cfa6ff25c1,EXTLOC-1b6fc9c5561782cc32b4d813,,
EXTCAND-563ac2d6079056a1c8ed35bf,EXTLOC-426e756b4964ae709a0c7b80,,
RESCAND-3f3b0e9060fce0bbe331818e,EXTLOC-332d1f8c57544c0a10a78d68,,
EXTCAND-3e13036fc1674c1861e7ca63,EXTLOC-8a7e3dac82726299b667473e,,
RESCAND-6272bee69a82eaab964e8644,EXTLOC-3d66b082f9e55ee7b2ee8bb0,,
RESCAND-c75f625e910211f33c24fcef,EXTLOC-ae624066e866269b6475ff6d,,
RESCAND-2ace2eed0cd81e0ffa620501,EXTLOC-4608da03e7c1b696a85c2969,,
RESCAND-4393d4110d38d7940ef4a2a7,EXTLOC-9675cc96e3aeaa8cde340932,,
EXTCAND-8249c32a0e504332f6a334c8,EXTLOC-e0c8748a18f3a2750582cc8a,,
