duplicate_verification_locator_id,canonical_verification_locator_id,canonical_final_locator_id,final_canonical_locator,duplicate_basis,duplicate_confidence,pre_dedup_status
EXTLOC-79e1f51193da9a9d14e63b18,EXTLOC-1cd05acbb48c1b4dba4909cc,EXTFINALLOC-79e1f51193da9a9d14e63b18,https://akenergygateway.alaska.edu/explore/communities/chuathbaluk/general,identical_verified_final_canonical_locator,high,reachable_html_shell_or_portal
EXTLOC-a79f9b518f98a4f9fdeffa59,EXTLOC-033cb93a8d22f13f54affab3,EXTFINALLOC-a79f9b518f98a4f9fdeffa59,https://andoverma.gov/ArchiveCenter/ViewFile/Item/130,identical_verified_final_canonical_locator,high,reachable_direct_document
EXTLOC-d4993ec1e727dfe25c2b3158,EXTLOC-684d75333a64d9de6154bc26,EXTFINALLOC-d4993ec1e727dfe25c2b3158,https://apps.deed.state.mn.us/lmi/projections/Results.aspx?code=331012%2C333021%2C333051&dataset=1&geog=2709CENT00,identical_verified_final_canonical_locator,high,reachable_html_shell_or_portal
EXTLOC-6b5e4f5e5f989385223e6077,EXTLOC-684d75333a64d9de6154bc26,EXTFINALLOC-d4993ec1e727dfe25c2b3158,https://apps.deed.state.mn.us/lmi/projections/Results.aspx?code=331012%2C333021%2C333051&dataset=1&geog=2709CENT00,identical_verified_final_canonical_locator,high,reachable_html_shell_or_portal
EXTLOC-a88b6a91267c2d61e2bb6ba2,EXTLOC-684d75333a64d9de6154bc26,EXTFINALLOC-d4993ec1e727dfe25c2b3158,https://apps.deed.state.mn.us/lmi/projections/Results.aspx?code=331012%2C333021%2C333051&dataset=1&geog=2709CENT00,identical_verified_final_canonical_locator,high,reachable_html_shell_or_portal
EXTLOC-f1df1028ce5b152a64d3c66f,EXTLOC-0ec94a10c2159878ba953e92,EXTFINALLOC-bb493e38f717f86da5202932,https://apps.jeffersoncountywi.gov/jc/job/,identical_verified_final_canonical_locator,high,reachable_html_shell_or_portal
EXTLOC-8fb823c282bc2aa2b5750842,EXTLOC-5238a823abe8c191e8a0af9e,EXTFINALLOC-8fb823c282bc2aa2b5750842,https://bellmeadtx.gov/ArchiveCenter/ViewFile/Item/272,identical_verified_final_canonical_locator,high,reachable_direct_document
EXTLOC-d470433dd4aa435db3df52d1,EXTLOC-46ac2e4cdeb1dddb819b8480,EXTFINALLOC-d470433dd4aa435db3df52d1,https://bfsa.ny.gov/system/files/documents/2022/05/fye2020annualreport.pdf,identical_verified_final_canonical_locator,high,reachable_direct_document
EXTLOC-d44968c3ea97639ad2e00cd5,EXTLOC-be07db2efb94c43ef681512a,EXTFINALLOC-d44968c3ea97639ad2e00cd5,https://bloomfieldtwpnj.com/1716/ADOPTED-RESOLUTIONS-2026,identical_verified_final_canonical_locator,high,reachable_html_shell_or_portal
EXTLOC-cc517963555c33e761623a8f,EXTLOC-c2eba81c8ca8a9afa59fbf93,EXTFINALLOC-c2eba81c8ca8a9afa59fbf93,https://borgertx.gov/ArchiveCenter/ViewFile/Item/342,identical_verified_final_canonical_locator,high,reachable_direct_document
EXTLOC-fbed1e6d180cd151eea4f4af,EXTLOC-d229067e33b48ef80728c8b6,EXTFINALLOC-fbed1e6d180cd151eea4f4af,https://brimfieldohio.gov/departments/police-department/,identical_verified_final_canonical_locator,high,reachable_html_shell_or_portal
EXTLOC-60c43335be3579c660fc02a3,EXTLOC-16b1268c2ae90edcc613f4e4,EXTFINALLOC-16b1268c2ae90edcc613f4e4,https://broomecountyny.gov/sites/default/files/dept/BAPAContract2020-2025.pdf,identical_verified_final_canonical_locator,high,reachable_direct_document
EXTLOC-a08b69e4740e328ce60da26c,EXTLOC-1b83b4ac93f9199ea5da3b89,EXTFINALLOC-a08b69e4740e328ce60da26c,https://broomecountyny.gov/sites/default/files/dept/Broome%20County%20Employee%20Handbook.pdf,identical_verified_final_canonical_locator,high,reachable_direct_document
EXTLOC-490e306454d66a2f555f3c55,EXTLOC-3246d1e6839b5e70749f3ce6,EXTFINALLOC-3246d1e6839b5e70749f3ce6,https://broomecountyny.gov/sites/default/files/dept/Budget/2023/2023AdoptedBudget%20FinalIndexedCorrected.pdf,identical_verified_final_canonical_locator,high,reachable_direct_document
EXTLOC-443ccd8ea5c1b5a4bc724a6d,EXTLOC-2cf65a0ad057a5da85f49d49,EXTFINALLOC-443ccd8ea5c1b5a4bc724a6d,https://broomecountyny.gov/sites/default/files/dept/legis/12162021-Adopted%20Reso's.pdf,identical_verified_final_canonical_locator,high,reachable_direct_document
EXTLOC-fd73fa32142a32f37774cbb7,EXTLOC-0cfd510093e66a5e682aab38,EXTFINALLOC-0cfd510093e66a5e682aab38,https://broomecountyny.gov/sites/default/files/dept/legis/pdfs/08_1007_Final%20Broome%20Report%20Total.pdf,identical_verified_final_canonical_locator,high,reachable_direct_document
EXTLOC-292caa8dc9a07ef697f7f95b,EXTLOC-0a83c502a936cd290ef29b78,EXTFINALLOC-ecd95051bb391da162bab24b,https://budatx.gov/m/newsflash/archive,identical_verified_final_canonical_locator,high,reachable_html_shell_or_portal
EXTLOC-f01eb83cf74d1d50dc58e8f9,EXTLOC-cdb2924af94dcf1b86bb2136,EXTFINALLOC-cdb2924af94dcf1b86bb2136,https://canandaiguanewyork.gov/ArchiveCenter/ViewFile/Item/147,identical_verified_final_canonical_locator,high,reachable_direct_document
