lane_id,prior_attempt,prior_request_id,reason,retry_after_observed,retry_id,retry_number,scheduled_at,verification_locator_id
verification_lane_004,1,EXTREQ-ea30cfb0849c8818dbe1d9d6,bounded_transient_failure,,EXTRETRY-8f2f18f70e3f34110a171b5f,1,2026-08-05T15:18:13.724037+00:00,EXTLOC-8ccb78ed49b53a5121bea23e
verification_lane_004,1,EXTREQ-8a052980666ea0fb0e80ac06,bounded_transient_failure,,EXTRETRY-d3e86e6ec02f102f67c0cae3,1,2026-08-05T15:18:16.854523+00:00,EXTLOC-e1c22363a17d17de55e5d04b
verification_lane_004,1,EXTREQ-d19369c42f3334810f2165fb,bounded_transient_failure,,EXTRETRY-24c86ae6d5cb8d3f629b30c6,1,2026-08-05T15:18:17.275315+00:00,EXTLOC-3feb2544fe10ef2a9d54f0f9
verification_lane_004,1,EXTREQ-039ebdca2f216b37d5ad1b37,bounded_transient_failure,,EXTRETRY-d820ef7dbc14c81bb8fe6e3e,1,2026-08-05T15:18:20.623350+00:00,EXTLOC-bf205a65326b697bf38eb375
verification_lane_004,1,EXTREQ-cc9709e05acffa08b3c2da94,bounded_transient_failure,,EXTRETRY-cb23b99179e27bf078213890,1,2026-08-05T15:18:20.623440+00:00,EXTLOC-404d72c3bd4e7c4270862f93
verification_lane_004,1,EXTREQ-fd8748d3551339c7598a57f5,bounded_transient_failure,,EXTRETRY-04889064e9773277f322c648,1,2026-08-05T15:18:20.623500+00:00,EXTLOC-124fbf7a1720972bd884f3cd
verification_lane_004,1,EXTREQ-f7859c42dc6c9e14f19a8b00,bounded_transient_failure,,EXTRETRY-2c8dd239c5bb64a61091e22a,1,2026-08-05T15:18:23.530597+00:00,EXTLOC-f7da147c415d45c712a0243f
verification_lane_004,1,EXTREQ-d287fd0f7919ef11a172d2bd,bounded_transient_failure,,EXTRETRY-9513dfa25324d4e0c3533f75,1,2026-08-05T15:18:24.391560+00:00,EXTLOC-f74451d1ca789fa7f652ab39
verification_lane_004,1,EXTREQ-755cc7e25dbefb011b0b35f1,bounded_transient_failure,,EXTRETRY-b6f65843baf88d1c6bcbf464,1,2026-08-05T15:18:24.623801+00:00,EXTLOC-86d1cfdc0c33cec8ac35785d
verification_lane_004,1,EXTREQ-0f8f5710abf7b9622d997b84,bounded_transient_failure,,EXTRETRY-4b074bdeaeacace2f7d3d7fe,1,2026-08-05T15:18:26.495323+00:00,EXTLOC-369a268da1656cbbe1deb4cc
verification_lane_004,1,EXTREQ-250cbcb03e1ad953d6697890,bounded_transient_failure,,EXTRETRY-ac1a470a099b112ae359c9ea,1,2026-08-05T15:18:26.592901+00:00,EXTLOC-51ae110d3e68c2cab71ca20b
verification_lane_004,1,EXTREQ-4a008db09401fe6ccbb722bb,bounded_transient_failure,,EXTRETRY-9dc13939da4d894e45f2b580,1,2026-08-05T15:18:26.687649+00:00,EXTLOC-9b741070d29f18cc4d3ff849
verification_lane_004,1,EXTREQ-0d6b0fb030dbaaa0bef3a9cc,bounded_transient_failure,,EXTRETRY-a436235363284f5b35af8e60,1,2026-08-05T15:18:26.921577+00:00,EXTLOC-8d6f3704f119d348ea8a856a
verification_lane_004,1,EXTREQ-d74231ed95b42a12568d4580,bounded_transient_failure,,EXTRETRY-5e8fc9e45809f3179e215c78,1,2026-08-05T15:18:28.329839+00:00,EXTLOC-e79fd762151a5467e529be3d
verification_lane_004,1,EXTREQ-7479e6387181cb6ea8f28a1b,bounded_transient_failure,,EXTRETRY-b0df129f44eb497c1e9c717c,1,2026-08-05T15:18:28.417173+00:00,EXTLOC-c9c04170afea6b7014d8011b
verification_lane_004,1,EXTREQ-2c5cd5b213cb069ccd2d8d81,bounded_transient_failure,,EXTRETRY-a947a9c1662cd9c402c622a0,1,2026-08-05T15:18:28.098314+00:00,EXTLOC-faba0c8eef0ae1d3ba08f5ce
verification_lane_004,1,EXTREQ-1db0ae6e26535c405e63bec8,bounded_transient_failure,,EXTRETRY-4d91a002d1e1e0a1c6f205ce,1,2026-08-05T15:18:29.053164+00:00,EXTLOC-9360e8444c1438bfc8039d62
verification_lane_004,1,EXTREQ-6f50707bc3d31e1c8ed7a752,bounded_transient_failure,,EXTRETRY-e3e2a170d53087296119b04d,1,2026-08-05T15:18:29.353353+00:00,EXTLOC-6d3c391c1b7186d9dc540f59
verification_lane_004,1,EXTREQ-5b80d947eb8d430c5ab37a91,bounded_transient_failure,,EXTRETRY-909778a242eaae08d53c0b22,1,2026-08-05T15:18:28.839480+00:00,EXTLOC-66172798604cc1524a436928
verification_lane_004,1,EXTREQ-076425f5d7950fefd48b20b4,bounded_transient_failure,,EXTRETRY-a9e8ad14a13aab2ec8699708,1,2026-08-05T15:18:29.594060+00:00,EXTLOC-60c05b39fe7e36df89085f82
verification_lane_004,1,EXTREQ-70e642cb7a29216603ee8f03,bounded_transient_failure,,EXTRETRY-1f414b5b7c65e8aaccfaea31,1,2026-08-05T15:18:29.625637+00:00,EXTLOC-0f1b28deed0658b414c6b5fc
verification_lane_004,1,EXTREQ-15dc7824a39adb4875739f8d,bounded_transient_failure,,EXTRETRY-e4c9b0a3babaf5179b8860fb,1,2026-08-05T15:18:30.222334+00:00,EXTLOC-535e31403a7d72f6da841cf6
verification_lane_004,1,EXTREQ-bffd7f3052424405faa0dfe0,bounded_transient_failure,,EXTRETRY-6e6b8f9645af9f3ad76e4bb5,1,2026-08-05T15:18:30.454105+00:00,EXTLOC-6f23797defe924df6a3c686c
verification_lane_004,1,EXTREQ-46bff6d13d799eb4ebfc736a,bounded_transient_failure,,EXTRETRY-784fa3939142bfd3b330c198,1,2026-08-05T15:18:30.815125+00:00,EXTLOC-a70f31c8235971d633bd4e17
verification_lane_004,1,EXTREQ-8e6b233a2f245e48ee77dbce,bounded_transient_failure,,EXTRETRY-cce73c021299c569ffe03807,1,2026-08-05T15:18:32.597347+00:00,EXTLOC-285caa813440822110d75c68
verification_lane_004,1,EXTREQ-8a745619a0fee483b3d2dd27,bounded_transient_failure,,EXTRETRY-00c1e35aab74b2f54c12a069,1,2026-08-05T15:18:33.185837+00:00,EXTLOC-e7d6ec5359731ce72dc9ceed
verification_lane_004,1,EXTREQ-4154c18e9e208ec0074b4f1f,bounded_transient_failure,,EXTRETRY-37b48b52d8bb3f4e578becb4,1,2026-08-05T15:18:33.987001+00:00,EXTLOC-898e50d65f8fcd502c812d5e
verification_lane_004,1,EXTREQ-ee017c50d572fc3cf7303e9b,bounded_transient_failure,,EXTRETRY-c83d82391abed86aba92bc17,1,2026-08-05T15:18:34.372159+00:00,EXTLOC-c3c1e03e7c285459d1f7d578
