MIME_type,SHA_256,administrative_source_type,analytical_rows_extracted,byte_size,candidate_fanout,canonical_payload_id,canonical_retained_source_ids,canonical_source_fanout,canonical_source_record_ids,claim_fanout,deferred_queue,department_scope,detected_file_type,diagnostic_full_text_persisted,diagnostics_json,duplicate_retained_source_ids,event_fanout,expected_claim_upgrade_tags,extraction_priority,extraction_ready,inspected_at,inspection_runtime_seconds,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,municipality,ocr_performed,original_filename,payload_origin,period,primary_extraction_queue,prior_retained_source_reuse_ids,readiness_lane_id,readiness_lane_sequence,readiness_reason_codes,readiness_result_id,readiness_status,review_priority,secondary_processing_hints,secondary_source_families,side_scope,source_family,source_quality,state,version_relationship_ids
text/html; charset=UTF-8,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac,payroll_roster,0,112559,1,EXTPAYLOAD-00036840dd1547c95ddf49b3,EXTSOURCE-00036840dd1547c95ddf49b3,1,EXTREADYQ-05ee892aced917ab99c30b4e,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":112559,""diagnostic_text_persisted"":false,""encoding"":""iso-8859-1"",""form_count"":1,""link_count"":816,""navigation_density"":0.089739,""payload_bytes"":112559,""row_element_count"":0,""script_count"":18,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":61526}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:39.078361+00:00,0.008184,RESCAND-86fac417501283fd1d0e9611,,MECHEXP-24a21baeaf1d06f52bd4fd97|MECHEXP-3d09c970abb4438a6a219ccd|MECHEXP-46f1b0b852f5b05c9bf1c512|MECHEXP-c1007c49dad782232eeb287f|MECHEXP-d30fa1ecadac5322190984a1,ROOTCOMP-6ec7d2e0b8f8ad5b11bd3e7e,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac.html,Atlantic Beach,False,execrpts.php,current_30_gib_store,2025,html_text_extraction_queue,,readiness_lane_005,5,substantive_visible_html_text,EXTREADINESS-ddc323c5a405da71ed7e3fc0,html_text_ready,high,,implementation_confirmation,unclear,payroll_and_earnings,official_administrative_summary,NC,
text/html; charset=utf-8,47e463ffa35c44071cb9a7807fd1d80b1e7c0d9ed697ac78aec28913d0af0ca6,payroll_roster,0,16960,1,EXTPAYLOAD-001ba8bdc409337d8c467913,EXTSOURCE-001ba8bdc409337d8c467913,1,EXTREADYQ-7fa59054f231714075b84a90,6,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":16960,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":29,""navigation_density"":0.028798,""payload_bytes"":16960,""row_element_count"":0,""script_count"":13,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":6727}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:57:39.132823+00:00,0.006653,EXTCAND-29cf03f93d2d594afc6e81d2,,MECHEXP-02c0fee7643a0557ed8ca866|MECHEXP-5e4fa5b6f2d5f36d6e181e40|MECHEXP-bf98c3c8b8cae711c036eb6d|MECHEXP-d56419eee3a8a2eec7270bea|MECHEXP-fadbcb4a3a5bebc5d75f359d,ROOTCOMP-cd2a3cdcbe1ff5024fd718ed,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/47e463ffa35c44071cb9a7807fd1d80b1e7c0d9ed697ac78aec28913d0af0ca6.html,North Castle,False,mem,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_002,5,substantive_visible_html_text,EXTREADINESS-bf6867d1c05a010a3e48b0d4,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,NY,
text/html,782ccc694c510fbd34957d80a6a957f97bb04607718a2439b8410a77df99c857,salary_schedule,0,34649,1,EXTPAYLOAD-00771192db7aa066f7c1f3c5,EXTSOURCE-00771192db7aa066f7c1f3c5,1,EXTREADYQ-9d34fa442d0fbbdf2151cf9c,4,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":34649,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":1,""link_count"":131,""navigation_density"":0.23227,""payload_bytes"":34649,""row_element_count"":0,""script_count"":9,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":4120}",,6,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:03:39.092851+00:00,0.001129,EXTCAND-904a901fff3b84041007e42a,,MECHEXP-0840c2377c4beb9cbb298537|MECHEXP-0c6a46c61aa312241d1ea9a2|MECHEXP-5d51df67d8c0109154a7295b|MECHEXP-c254dc04100a1d37a3de7a0b|MECHEXP-d754172da4e6dae20100ee0d,ROOTCOMP-2d37a8a5660d4b9f3b6af254,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/782ccc694c510fbd34957d80a6a957f97bb04607718a2439b8410a77df99c857.html,Altamont,False,06-05-25-53223.html,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_004,5,substantive_visible_html_text,EXTREADINESS-adafd9ef1d77140f47db06bc,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,KS,
text/html; charset=utf-8,808b6e61423b40d4a6f8bbc54456d98637cfca9d9d0e3337e664d8711295dd87,benefits_document,0,106202,1,EXTPAYLOAD-0099935e48efcdcf57b9f5a8,EXTSOURCE-0099935e48efcdcf57b9f5a8,1,EXTREADYQ-0122d8d647574b449025ee24,5,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":106202,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":68,""navigation_density"":0.228956,""payload_bytes"":106202,""row_element_count"":0,""script_count"":50,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":2122}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:57:39.140450+00:00,0.002605,RESCAND-8eed64f77f97c6a3692971f1,,MECHEXP-42e7135c196551d04313afb7|MECHEXP-b448d94bbfebad0b45630dcb|MECHEXP-c95c78193bbdd61d651d7bc5|MECHEXP-ca74a6776c066b9f00e77925|MECHEXP-e554b7357e6086e2aa479001,ROOTCOMP-10ec1cc2e4a57ec0c4b49dbb,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/808b6e61423b40d4a6f8bbc54456d98637cfca9d9d0e3337e664d8711295dd87.html,Blue Mound,False,Benefits,current_30_gib_store,2023,html_text_extraction_queue,,readiness_lane_002,8,substantive_visible_html_text,EXTREADINESS-794ee661f2a132c1cfb2ef46,html_text_ready,high,,implementation_confirmation|payroll_and_earnings,unclear,benefits_and_total_compensation,official_administrative_summary,TX,
text/html; charset=utf-8,3c409ec04ecd579301669ba2955e23d6cb3c5f05ac2de1f8b67cd61423467e07,payroll_roster,0,128443,1,EXTPAYLOAD-00b6f11cdc648372e82e9fda,EXTSOURCE-00b6f11cdc648372e82e9fda,1,EXTREADYQ-b51edbf80b051627b600416a,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":128443,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":88,""navigation_density"":0.354839,""payload_bytes"":128443,""row_element_count"":0,""script_count"":45,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":1808}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T18:54:39.010925+00:00,0.003087,RESCAND-5c78a9a4439babcdfe88aa6e,,MECHEXP-0fce3712151a40a57d72b6cc|MECHEXP-261e48a0a26d8a4e632ab3f3|MECHEXP-6db015de5987f23f3628f103|MECHEXP-e1e81ccb9a101d6bbe82da2f|MECHEXP-f74e51a5cc4d1eea1ee0c9d6,ROOTCOMP-11b00e149bbe06c8729dd152,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/3c409ec04ecd579301669ba2955e23d6cb3c5f05ac2de1f8b67cd61423467e07.html,Augusta,False,HR-Strategic-Plan-FY26-30,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_001,4,substantive_visible_html_text,EXTREADINESS-554958bfeb33353645690f3b,html_text_ready,high,,implementation_confirmation|payroll_and_earnings|tenure_and_progression,unclear,staffing_and_headcount,official_administrative_summary,KS,
text/html; charset=utf-8,804af04ef3e76ce60d41c8903adfc6092426d7742214f2dfbf29dd42ace05656,media_or_context,0,261446,1,EXTPAYLOAD-00c106b56c3fab0363bafbdb,EXTSOURCE-00c106b56c3fab0363bafbdb,1,EXTREADYQ-8636edbfcf594df7a5d500db,1,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":261446,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":92,""navigation_density"":0.007037,""payload_bytes"":261446,""row_element_count"":0,""script_count"":51,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":83218}",,22,upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T19:03:39.108541+00:00,0.007278,RESCAND-9c952fe14e44bbe024135a6f,,MECHEXP-308d058bf2a08094e4f548b6|MECHEXP-3792a76a48c88d049c1c81bc|MECHEXP-3a47a0f282936724f2759b68|MECHEXP-3b6ac662d75083ea24dea8bf|MECHEXP-3f75327c42ebfb86113aee71|MECHEXP-41c33f3fe7b9b859159b3792|MECHEXP-45f0989d12365e9eef39d680|MECHEXP-5b09f55f8a45b75939dcf2f0|MECHEXP-6ceba3d5f7af393df82dfeb3|MECHEXP-72108b284c24f6f65379d6e0|MECHEXP-7503a5ed40d11d2be44d4e8d|MECHEXP-76e9720fcfd7f7058652aafd|MECHEXP-997bbb4316e8f4081f9b779d|MECHEXP-a764aeeb3fb4f6a6bbdc15dd|MECHEXP-b0bd0fa86bf404f302347218|MECHEXP-ca7ae4836d647a9ce9c9e35a|MECHEXP-d18906137e7a58ef326c834d|MECHEXP-f30ee38bb31a49d8f9dbb302,ROOTCOMP-563a29dec913be98b896ed8d|ROOTCOMP-6533d469dedb49e66474e19c|ROOTCOMP-698963aa96704a21788a0c7c|ROOTCOMP-ef699e72c9f7359e26949fec,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/804af04ef3e76ce60d41c8903adfc6092426d7742214f2dfbf29dd42ace05656.html,Chester,False,newsflash,current_30_gib_store,2025,html_text_extraction_queue,,readiness_lane_004,8,substantive_visible_html_text,EXTREADINESS-20449688f6df14b09141c56f,html_text_ready,medium,,recruitment_and_retention,police,staffing_and_headcount,official_administrative_summary,NY,
text/html,469c927d9d7af4f12e6b57ef03932e1a55f24647e7008db3e393b993b900210e,payroll_roster,0,40378,1,EXTPAYLOAD-00caec74931993099b10c52d,EXTSOURCE-00caec74931993099b10c52d,1,EXTREADYQ-16e5dc5d527aebb7b05ef51f,2,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":40378,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":0,""link_count"":73,""navigation_density"":0.207977,""payload_bytes"":40378,""row_element_count"":0,""script_count"":9,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":2337}",,5,upgrades_growth_analysis|upgrades_local_wage_comparison,extraction_priority_high,True,2026-08-05T18:54:39.012646+00:00,0.001101,RESCAND-e733a3e454bb093c398c1515,,MECHEXP-314f9e571629ba76e1e85f1b|MECHEXP-3cbd4ca67c211111183509cc|MECHEXP-8991ac5bf0a835e66b9d2265|MECHEXP-dbcdc4b00255b49421bfb1c0,ROOTCOMP-96df05e7770ea1bf200f9c72,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/469c927d9d7af4f12e6b57ef03932e1a55f24647e7008db3e393b993b900210e.html,Athens,False,election-results,current_30_gib_store,2025,html_text_extraction_queue,,readiness_lane_001,5,substantive_visible_html_text,EXTREADINESS-c7d7b805133cba05a709b758,html_text_ready,high,,,unclear,payroll_and_earnings,official_administrative_summary,OH,EXTVERSION-4b3d8a6701b64d312e44e9bc|EXTVERSION-5a919d5ec49c1d7c7823abfb
text/html,1a45bbb558f61c5c362a37cf1b645b2ef60ff1e33a2261385137b46420e76244,payroll_roster,0,291789,1,EXTPAYLOAD-01009107b6b3f35ff8ac0e3d,EXTSOURCE-01009107b6b3f35ff8ac0e3d,1,EXTREADYQ-1d1ecc25d9d747b3ac5f1409,5,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":291789,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":1,""link_count"":37,""navigation_density"":0.040261,""payload_bytes"":291789,""row_element_count"":0,""script_count"":12,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":6154}",,10,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:57:39.148909+00:00,0.00313,RESCAND-642d68c858969cf956fd1863,,MECHEXP-0882ba60a5961d0ea9f6261d|MECHEXP-0a2a34428590f5735cd9c7d8|MECHEXP-60fa202cb022f5cc3497f0da|MECHEXP-79edfb09262b54d5addef303|MECHEXP-7d590d61deabbbf23f69ebad|MECHEXP-986811fe41ceb63f3de08515|MECHEXP-db603b521050880452be3bc0|MECHEXP-ee3c62e64fc9dffe07c8b1d6,ROOTCOMP-5374544dcbecb89f77eb884d|ROOTCOMP-84e33d91754e6c4ecfbc5c62,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1a45bbb558f61c5c362a37cf1b645b2ef60ff1e33a2261385137b46420e76244.html,Bradley,False,11085200,current_30_gib_store,2026,html_text_extraction_queue,,readiness_lane_002,11,substantive_visible_html_text,EXTREADINESS-1056b4dd7de25dc7c7d6bb19,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,multi_family_administrative_source,official_administrative_summary,ME,
text/html; charset=utf-8,7c5704eca9835f3f25110bb6274dc76496c0d41dc237fa9f2e5e56ecba97d518,payroll_roster,0,65553,1,EXTPAYLOAD-013a7600dd45bda0f76f0a3e,EXTSOURCE-013a7600dd45bda0f76f0a3e,1,EXTREADYQ-faa191323e6b0fb504301232,6,,side_independent,html,False,"{""bounded_inspection"":false,""bytes_inspected"":65553,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":1,""link_count"":82,""navigation_density"":0.218085,""payload_bytes"":65553,""row_element_count"":0,""script_count"":33,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":2647}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:06:39.093878+00:00,0.001382,EXTCAND-9dea82b9586af7cfb462a80a,,MECHEXP-19d206b9cc4ed46f251a55e6|MECHEXP-353bed323cffcf89a2951395|MECHEXP-94fe8ba6594eac361cf97037|MECHEXP-e5d83d3f0de1ac3f3888161f,ROOTCOMP-9ae946aefb435995c1e40d2c,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/7c5704eca9835f3f25110bb6274dc76496c0d41dc237fa9f2e5e56ecba97d518.html,Pasadena Park,False,patrol,current_30_gib_store,2022,html_text_extraction_queue,,readiness_lane_005,10,substantive_visible_html_text,EXTREADINESS-55a408fdb62df4ec0009b926,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,side_independent,multi_family_administrative_source,official_administrative_summary,MO,
text/html,9da5eca36b8165db9897f4b782c46c23c2bf5facfeb0b68471c5b3b9c97ff654,payroll_roster,0,19109,1,EXTPAYLOAD-013cc0551241308798c92d78,EXTSOURCE-013cc0551241308798c92d78,1,EXTREADYQ-2b002da2253cb460f29df1f3,5,,fire,html,False,"{""bounded_inspection"":false,""bytes_inspected"":19109,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":88,""navigation_density"":0.2,""payload_bytes"":19109,""row_element_count"":0,""script_count"":15,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":2995}",,11,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T18:57:39.158544+00:00,0.001165,RESCAND-13b9ce77d2d6b085256be07f,,MECHEXP-11aa3f0b5c5c93a8e4ef38c0|MECHEXP-56c7c308a2ffb0e82a868c42|MECHEXP-6ddd2fe0338d005a6a4a6f0f|MECHEXP-77d7d719ac330855cb3e31cc|MECHEXP-8be2fb65a89887e288dc7c08|MECHEXP-a2564ada3616a1d3b514b5c4|MECHEXP-c72ef61dfca4eb7922df1c13|MECHEXP-d7e9c85a84c8d988b4df715e|MECHEXP-f438cbd2c10defcdd25de864,ROOTCOMP-1f62e1ffd794397af42acc51|ROOTCOMP-3204a12657ec064cee54480a,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9da5eca36b8165db9897f4b782c46c23c2bf5facfeb0b68471c5b3b9c97ff654.html,Corning,False,citycouncil,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_002,13,substantive_visible_html_text,EXTREADINESS-1bfe2752de10b48b45881435,html_text_ready,high,,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,fire,multi_family_administrative_source,official_administrative_summary,NY,
