canonical_payload_id,SHA_256,local_artifact_path,byte_size,detected_file_type,MIME_type,original_filename,canonical_source_record_ids,canonical_retained_source_ids,duplicate_retained_source_ids,prior_retained_source_reuse_ids,version_relationship_ids,municipality,state,period,side_scope,department_scope,linked_candidate_ids,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,expected_claim_upgrade_tags,linked_search_waves,source_family,secondary_source_families,administrative_source_type,source_quality,review_priority,payload_origin,canonical_source_fanout,candidate_fanout,event_fanout,claim_fanout
EXTPAYLOAD-9e480914ad985ae4a7f1b20f,8a33595ab5b389bf7d3c843f9a8521b12875cdfa6a368c8b1a5b8cdd96fad2a2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/8a33595ab5b389bf7d3c843f9a8521b12875cdfa6a368c8b1a5b8cdd96fad2a2.html,218483,html,text/html; charset=UTF-8,data,EXTREADYQ-b11347f807af852724c7a44e,EXTSOURCE-9e480914ad985ae4a7f1b20f,,,,Chouteau,OK,2026,unclear,unclear,RESCAND-d0ac7f36814e58f2c54d6c1d,ROOTCOMP-3158cbf799971663590e9042,MECHEXP-2e7891ecedd711cb350d3652|MECHEXP-4fb92028ca18834fe7d82c14|MECHEXP-5469e7d164fc16d8f002625c|MECHEXP-a2d45748e5891deb94f8ce74|MECHEXP-c1dc9a3c64d445ac9a1b6682,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,external_search_wave_002_exhaustive_residual,payroll_and_earnings,implementation_confirmation,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,6,4
EXTPAYLOAD-13877a3ba3b0826612223289,8a399d33cf0a4ca14b3e73cec28540575c10567a5838e22b24c5ddcb7ea3f40d,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/8a399d33cf0a4ca14b3e73cec28540575c10567a5838e22b24c5ddcb7ea3f40d.html,313401,html,text/html; charset=UTF-8,data.html,EXTREADYQ-62dbe21e9b98ddaa15adfedb,EXTSOURCE-13877a3ba3b0826612223289,,,,Avon-by-the-Sea,NJ,2025,unclear,unclear,RESCAND-4c8f2dcf093f45af0e21d8c9,ROOTCOMP-8a227fa9c99cdf904ae2a840,MECHEXP-4bc1bc5f6d5a87b78b46267d|MECHEXP-5437edc2e23f2d2edf4787b2|MECHEXP-6fefc18e1fdff584066e3f40|MECHEXP-9345b283411da31fed150b57|MECHEXP-eb7c0a08cac8b93c002a1654,,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,contextual_controls|payroll_and_earnings,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,6,2
EXTPAYLOAD-c6a0fb16decb026a42ba27d8,8a39b1f9b048c85ab881f80f0f136b6a03d4990c3532ea224d1bb11d08e87ab8,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-9d338d4600ab2b81f0dc.pdf,9178040,pdf,application/pdf; Charset=UTF-8,8-13-19_Council_Packet.pdf,EXTREADYQ-465866a150696c6d0eaa8d78,RMSRD-20260802-9d338d4600ab2b81f0dc,,EXTSRCREV-3b81eb1007800446b1ba4654,,Baraboo,WI,undated,non_safety|police,non_safety|police,EXTCAND-d8d207fd9481a431a9e40fed|EXTCAND-f2c05d1cff737584dde3d6f8,ROOTCOMP-1b7b9b7d7c384365218a5078|ROOTCOMP-5f4bcb791da8f15ca9edbcfa|ROOTCOMP-835358a4980558d9df045193,MECHEXP-09bdf91288f8d199e4d46448|MECHEXP-10629a3997ee1b267fabb9e1|MECHEXP-2f094db124860a4a7ff0af26|MECHEXP-40d6d1aff0da46c6461bddc7|MECHEXP-526d4365700e7d4c747fbe52|MECHEXP-657f7b9c33e5158016557042|MECHEXP-b192e17b5f3ea55839e00091|MECHEXP-c4699228fbf824f92f98dbcf|MECHEXP-c9e021711082ae79a482c911|MECHEXP-cfd4f7ee31ae23fedcdeeffc|MECHEXP-d97494f53e985f7e65b6a200|MECHEXP-e5325be14543916d55e9481b|MECHEXP-fdca410616ac5bcfacce1b20,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source|staffing_and_headcount,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,direct_official_administrative_record,high,canonical_prior_retained_source_reuse,1,2,16,6
EXTPAYLOAD-2db7c290c16b7fda429757e6,8a3e42ce4a25c86d639f4dbba2b97a40bb1c0a4987f2621b6ffa94561bbf38e0,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/8a3e42ce4a25c86d639f4dbba2b97a40bb1c0a4987f2621b6ffa94561bbf38e0.pdf,3300527,pdf,application/pdf,FR-2015-12-18.pdf,EXTREADYQ-71afd038ed52d7aa9db34dcb,EXTSOURCE-2db7c290c16b7fda429757e6,,,,Chuathbaluk,AK,undated-source-B4X2500LIVE-20260729-004780,unclear,unclear,RESCAND-b50fc6ba739c9dbfb81c560e,ROOTCOMP-1270a740fa570d096bb60983|ROOTCOMP-31925e7a7b94d67d6bba46c3|ROOTCOMP-66773447e6a05796c9613a66,MECHEXP-11bc678fccdfd3c029869852|MECHEXP-33162c8161292340bd895cd7|MECHEXP-3b30897255b1f9b64c76a966|MECHEXP-52f7f1b7743c4c1a4e21560d|MECHEXP-5b07257bb2b86260ad522462|MECHEXP-6507d9dd2c3e7c8bbb0871eb|MECHEXP-65be90245a8a4e734a461957|MECHEXP-67856a733785676ffeda03b3|MECHEXP-76dc7c73949a5eb2efb74ff8|MECHEXP-889364e73dc1ca117e3e50eb|MECHEXP-8933896c04c74c3f3dc51745|MECHEXP-caaee7e01596c697c83fcec2|MECHEXP-da7f2f68c8a3d62614ae74b5|MECHEXP-dbdb2dec35acc76c517beab3,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,17,5
EXTPAYLOAD-edf5acaa0056f9afd5aaadc7,8a3e4d16315fbb38b07384a56f3c6f4184f31c5f4f3caffae01987a6511f1fec,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/8a3e4d16315fbb38b07384a56f3c6f4184f31c5f4f3caffae01987a6511f1fec.html,625659,html,text/html; charset=utf-8,data,EXTREADYQ-45b9c5c7796032d3142cdf67,EXTSOURCE-edf5acaa0056f9afd5aaadc7,,,,Buchanan,NY,2024,police,police,RESCAND-aa36403123c3a2dba978ae4b,ROOTCOMP-2c2b2be6a0aed5225b39449d|ROOTCOMP-839c31ccd15ac9a39bf79143|ROOTCOMP-efec2ceadaeb89665f8abcaa,MECHEXP-310017a62bceb4dee7b5d933|MECHEXP-4a14be344c1a73b85122eaad|MECHEXP-6d7ceeacd39a536e98262388|MECHEXP-713c8d53f0d9a988a14beea1|MECHEXP-99cdc1062f1dd944ac2332bb|MECHEXP-e5de5d16b3d921896288707b|MECHEXP-ee9e6666a0e5985d072bbf62|MECHEXP-f436a42cab741da0fa0510a8,,upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,staffing_and_headcount,,staffing_table,official_administrative_summary,high,current_30_gib_store,1,1,11,1
EXTPAYLOAD-090457cb322058558c1390c6,8a43e6e5cd5584b83228c88d953d715a8a00e795274598987aaae1ebd1fd927a,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/8a43e6e5cd5584b83228c88d953d715a8a00e795274598987aaae1ebd1fd927a.html,55924,html,text/html; charset=UTF-8,justice-expenditures-and-employment-united-states-2017,EXTREADYQ-ee3ef119ebe79ec4ade76198,EXTSOURCE-090457cb322058558c1390c6,,,,Cassopolis,MI,2017,police,police,RESCAND-e446d847f2a558591ee7a1ea,ROOTCOMP-8076d5b345579b96e1ad52b8,MECHEXP-06f1113a36b5e0b452ffdd7e|MECHEXP-665bdbb3d09fd8a52aeda91c|MECHEXP-779d1a79422740d5b3b058f0|MECHEXP-7dbc9cfcff4251095b930523|MECHEXP-7eac0ea7bfb81cac6ca33adb|MECHEXP-9380d00a54c3dce81bd8d6fb|MECHEXP-d87ecdb4fe09d56612c89676,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,8,5
EXTPAYLOAD-23810df51e77606d7a9fa42c,8a4a9b9370d541a80d51cd7d721ac745d76e87e62802c46c030c92e57a1f80d9,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/8a4a9b9370d541a80d51cd7d721ac745d76e87e62802c46c030c92e57a1f80d9.html,141381,html,text/html; charset=utf-8,Finance,EXTREADYQ-a86e1e92ca9620eb8f0979e9,EXTSOURCE-23810df51e77606d7a9fa42c,,,,Peoria Heights,IL,2025,all_units,all_units,EXTCAND-c29b9772ca3061de2b8a6cec,ROOTCOMP-eb34cb7b7db27922361ea19b,MECHEXP-066feeea0adef194350e056f|MECHEXP-08271f511e4fb8c17e410370|MECHEXP-23618ff447e47d59a089a59c|MECHEXP-8b57e7c373d2b52ec3173464|MECHEXP-e58e9558d79e26dcd255bb02|MECHEXP-f7ca75929b65f3be2086abe0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,7,6
EXTPAYLOAD-c176cd2d52517aca7ca7c1fe,8a4f7c07199609610e5813b416a9e44880f4edb757ffa9d1350a66eb9f2c3a1a,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/8a4f7c07199609610e5813b416a9e44880f4edb757ffa9d1350a66eb9f2c3a1a.pdf,6211513,pdf,application/pdf,tentative_budget_final_3.17.23.pdf,EXTREADYQ-3ca48696ed08069dc920a29e,EXTSOURCE-c176cd2d52517aca7ca7c1fe,,,,Tarrytown,NY,undated,all_units,all_units,EXTCAND-aa73221585317187ac0ecd52,ROOTCOMP-aac18810472644d0c020da0d|ROOTCOMP-f989fbb3c7c88956c14e54a6,MECHEXP-39c9bcf802050e85d74d3a74|MECHEXP-4442d2ce1318ef9a2bdaf640|MECHEXP-8272eff21149ea0dadb2edfe|MECHEXP-a6b543c8656eb327188a1aed|MECHEXP-b174b66c7199cb62cfb628b7|MECHEXP-ee32a0dfa8ba300d633467da,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,8,6
EXTPAYLOAD-c1668d5656f4f452b8a06c53,8a59362d8e28d53468ad6e6d47388f5402bfc94a750ff4d95c3e4b659c934ac1,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/8a59362d8e28d53468ad6e6d47388f5402bfc94a750ff4d95c3e4b659c934ac1.pdf,7230162,pdf,application/pdf,03_17_25.pdf,EXTREADYQ-585dc617aaafbc59d660f44f,EXTSOURCE-c1668d5656f4f452b8a06c53,,,,Austin,MN,2026,unclear,unclear,RESCAND-6aa264c9f9b7b3ea40c10c94,ROOTCOMP-50b310ccb083f249de381cc8|ROOTCOMP-55d6d7e5218640ef3a9713a4,MECHEXP-1307204c682b0d9f3b2d41c9|MECHEXP-2c5ca6fff4d022936d049211|MECHEXP-4dc4155acf4ef53fe7f9f6ba|MECHEXP-58e432aace24e5fc86a43ab2|MECHEXP-59046a56bd0e817ecdc29bfb|MECHEXP-910e8c9b62571daa788c1444|MECHEXP-a666337b45757f722b63593e|MECHEXP-cd91b66fb48a1236f8729f66|MECHEXP-d40129bc7d426ffbc7d0200a,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,11,5
EXTPAYLOAD-54a6a068d0e5f3fb778dd8f9,8a6962a97fd4acee39e284ccb48d2f8bec51cdb4e2fc719b0653fc3a70ff278b,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/8a6962a97fd4acee39e284ccb48d2f8bec51cdb4e2fc719b0653fc3a70ff278b.html,74476,html,text/html; charset=UTF-8,were-hiring-janitor-and-secretaries,EXTREADYQ-f47a0a5ab4c9c69542b1ae27,EXTSOURCE-54a6a068d0e5f3fb778dd8f9,,,,Canterbury,NH,2025,police,police,RESCAND-adf3d86923daf1c1915b3654,ROOTCOMP-89f32871f7d3725275c28d2e,MECHEXP-21fc892d79f7752cde74afd7|MECHEXP-3bb1d4fec2be6e59f3f5fddc|MECHEXP-7d3ef5925312b1407107e789|MECHEXP-bb7ed6355ae6fc8b8f6e9b03|MECHEXP-dbb5bee9084816e6a9da8a74,,no_material_upgrade,external_search_wave_002_exhaustive_residual,implementation_confirmation,,ordinance_or_resolution,official_administrative_summary,medium,current_30_gib_store,1,1,6,1
