canonical_source_record_id,retained_source_id,canonical_source_review_id,canonical_payload_id,SHA_256,local_artifact_path,byte_size,detected_file_type,MIME_type,original_filename,readiness_hint,source_quality,primary_content_family,secondary_content_families,administrative_source_type,final_priority_bucket,municipality,state,period,side_scope,department_scope,linked_search_waves,linked_candidate_ids,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,expected_claim_upgrade_tags,duplicate_relationship_count,exact_duplicate_source_review_ids,prior_reuse_source_review_ids,version_relationship_ids,payload_origin,source_review_only,analytical_extraction_performed
EXTREADYQ-00001e766439e0e0e3fe0754,EXTSOURCE-ecb872bd4087485a5dcddea5,EXTSRCREV-8d06ffd5bfcab51bc23e7002,EXTPAYLOAD-ecb872bd4087485a5dcddea5,5f2944b332f5e63254362c492de0c3df3d2983178ce2e895b144dd9f3e596f69,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5f2944b332f5e63254362c492de0c3df3d2983178ce2e895b144dd9f3e596f69.html,17472,html,text/html,employment,html_text_candidate,official_administrative_summary,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,payroll_roster,high,Corning,NY,2024,fire,fire,external_search_wave_002_exhaustive_residual,RESCAND-a5f63977b85696f8c2b6974b,ROOTCOMP-1f62e1ffd794397af42acc51|ROOTCOMP-3204a12657ec064cee54480a,MECHEXP-11aa3f0b5c5c93a8e4ef38c0|MECHEXP-56c7c308a2ffb0e82a868c42|MECHEXP-6ddd2fe0338d005a6a4a6f0f|MECHEXP-77d7d719ac330855cb3e31cc|MECHEXP-8be2fb65a89887e288dc7c08|MECHEXP-a2564ada3616a1d3b514b5c4|MECHEXP-c72ef61dfca4eb7922df1c13|MECHEXP-d7e9c85a84c8d988b4df715e|MECHEXP-f438cbd2c10defcdd25de864,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,0,,,,current_30_gib_store,True,False
EXTREADYQ-00037c8ed3380488aa2e2ecc,EXTSOURCE-e79bdb1a160674c3d3d22a1d,EXTSRCREV-2fa2f44d1a8435fe477bd15b,EXTPAYLOAD-e79bdb1a160674c3d3d22a1d,0385f1135c56fbe133b38c9a3f9950e580cab3373c2210710bd146b3db374d1d,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/0385f1135c56fbe133b38c9a3f9950e580cab3373c2210710bd146b3db374d1d.html,149132,html,text/html; charset=utf-8,Public-Pensions,html_text_candidate,official_administrative_summary,benefits_and_total_compensation,implementation_confirmation|payroll_and_earnings,pension_or_retirement_document,high,Bay,OH,2023,unclear,unclear,external_search_wave_002_exhaustive_residual,RESCAND-7eefa87c190a32533ac89e78,ROOTCOMP-cc9919d30ca4d1b847b715f3|ROOTCOMP-f08edbe1813352285d6529b3,MECHEXP-04d702a72ef10b3a278ed56a|MECHEXP-28f48a6c89028d89dda1a175|MECHEXP-5412f079d20a1a5b715c4ff8|MECHEXP-afa0d60d0cddbe7c2f07057e|MECHEXP-c42f55c18781e5f085d96d56|MECHEXP-e13b055f3b259803eb61a1e5|MECHEXP-eb2590e71d49eb0aadca0ce5|MECHEXP-f53f4c0eb860e24764ca1ffd,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,0,,,,current_30_gib_store,True,False
EXTREADYQ-00070031760554344978358c,EXTSOURCE-a65beba0637bcffe2c229336,EXTSRCREV-9dbc762bebdc7272a9cc7a85,EXTPAYLOAD-a65beba0637bcffe2c229336,74c9effa39dec718c8900b06898e139e47c732ad48c820c3f72e650f58920829,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/74c9effa39dec718c8900b06898e139e47c732ad48c820c3f72e650f58920829.html,14733,html,text/html;charset=UTF-8,16_CityView.cfm,html_text_candidate,official_administrative_summary,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,high,Stamping Ground,KY,2021,all_units,all_units,external_search_wave_001_compacted,EXTCAND-f29321efc782d7d3845074bc,ROOTCOMP-4b56d18e5c6cedbbec0ae587,MECHEXP-8c7f84b714a7c07ebae2e772|MECHEXP-8d777513bea007812d574d86|MECHEXP-8d820ae14a9853c7f133deb7|MECHEXP-8dea3d22ecc2fa68f0c780d5|MECHEXP-cbbdd2817e951472b2944373,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,0,,,,current_30_gib_store,True,False
EXTREADYQ-00074aabfe4d64b69d41d259,EXTSOURCE-029d1d070be28c27fe11f14b,EXTSRCREV-4c6c8a62657b501b06ee627b,EXTPAYLOAD-029d1d070be28c27fe11f14b,6c3fe78762263c97e2cc34ff8774e1ad4b8c338e97f58a490a2c5d120b83b90d,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/6c3fe78762263c97e2cc34ff8774e1ad4b8c338e97f58a490a2c5d120b83b90d.pdf,18915577,pdf,application/pdf,1844,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,payroll_roster,high,Champion,OH,2024,fire,fire,external_search_wave_002_exhaustive_residual,RESCAND-0fd184fbfa6aee5cdc0e63fb,ROOTCOMP-8132c228b5a66a4c6b434924|ROOTCOMP-b270d2e724f6e8fc01009d25,MECHEXP-25da37cfa7eb8d84c97c6484|MECHEXP-5cde5375edb1350a6af23931|MECHEXP-6e2a91e9ceadd97d5bc81805|MECHEXP-70fe34e575850bbd81fc39a5|MECHEXP-789f69ceddfcda4e22d10ed5|MECHEXP-8bccbb4e30c34104b2dd02b2|MECHEXP-fe3b3ff07e7702ccff819927,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,0,,,,current_30_gib_store,True,False
EXTREADYQ-0008dda15440acbbf73bfb72,EXTSOURCE-a2d3280f92b3b6a242325010,EXTSRCREV-d49bf334849101a3b371a25b,EXTPAYLOAD-a2d3280f92b3b6a242325010,5159a83443d01389aed442e941f5c4e61bb7e1315fa2ccf532b47c360f01d227,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5159a83443d01389aed442e941f5c4e61bb7e1315fa2ccf532b47c360f01d227.html,73089,html,text/html; charset=UTF-8,data,html_text_candidate,official_administrative_summary,tenure_and_progression,,government_dataset,repaired,Alfred,NY,undated-source-B4X2500LIVE-20260729-008894,police,police,external_search_wave_002_exhaustive_residual,RESCAND-b77a928ef33a0aee7d71c281,ROOTCOMP-217886081e86300a9c435339|ROOTCOMP-c52c516342745f5ffbe562c3|ROOTCOMP-d33544474155d0d46359bf6f,MECHEXP-1518828e57b604e8dd089fc0|MECHEXP-28f755abbe5245d85225518d|MECHEXP-29b6fb0498d43f55b45695b6|MECHEXP-308b8472247137bacf08caff|MECHEXP-77eccc9a11166fd1ca994261|MECHEXP-809ded7d1df5e030b71d8019|MECHEXP-9aa6064a4931c9fcad677e8c|MECHEXP-b1d1d5ed22884cfb3eedce08|MECHEXP-db55edc901bd1012d87bdc02,,no_material_upgrade,0,,,,current_30_gib_store,True,False
EXTREADYQ-000affadcf1d5bc1438f4fe5,EXTSOURCE-d0d4939e204979ecaa2baf52,EXTSRCREV-766913064e7eb8dd4c807e5c,EXTPAYLOAD-d0d4939e204979ecaa2baf52,524425bf0c83ec18a288f43cb355784c46c4cfb87cac22557ef25aeb8fc16e48,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/524425bf0c83ec18a288f43cb355784c46c4cfb87cac22557ef25aeb8fc16e48.html,37648,html,text/html; charset=UTF-8,generalinfo.php,html_text_candidate,official_administrative_summary,multi_family_administrative_source,benefits_and_total_compensation|payroll_and_earnings|staffing_and_headcount|tenure_and_progression,payroll_roster,high,Champaign,IL,2025,side_independent,side_independent,external_search_wave_001_compacted,EXTCAND-24e47abccece8e0d33984d04,ROOTCOMP-6b6d4507011e0682cdae31a7,MECHEXP-6f9b12cdfe5aca81d6605043|MECHEXP-7c43a4f39883a05c3bc01a7a|MECHEXP-ab47a04a9906be60fc3b8a78|MECHEXP-e77bb4cce46a1373f5027394,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,0,,,,current_30_gib_store,True,False
EXTREADYQ-000e890831f68e077ab80fc2,EXTSOURCE-ad2d49d906696bb277a9d3eb,EXTSRCREV-94ed43c898b1b88ddd45f26c,EXTPAYLOAD-ad2d49d906696bb277a9d3eb,6e50ebf0ec9dc3a170d07fa9269550e806ae7c31ce9822605dd6f3620722995e,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/6e50ebf0ec9dc3a170d07fa9269550e806ae7c31ce9822605dd6f3620722995e.html,114616,html,text/html; charset=UTF-8,graysville,html_text_candidate,official_administrative_summary,multi_family_administrative_source,benefits_and_total_compensation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,payroll_roster,high,Graysville,AL,2016,all_units,all_units,external_search_wave_001_compacted,EXTCAND-59d354be1e8a30c5f2c39668,ROOTCOMP-af3c5cdfd4b057b50f87727e,MECHEXP-3e03d84769d5de7929ce5a69|MECHEXP-5589d272418ca291820f51a0|MECHEXP-7e647fb3cdb2d264d456736a|MECHEXP-b3b840de0fa377eeab21c30d|MECHEXP-b69b542b246d9dc77c1b998e,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,0,,,,current_30_gib_store,True,False
EXTREADYQ-0011f5548d2f3ca8944ec137,EXTSOURCE-cadb2f67364deda78be67b24,EXTSRCREV-8d063980001b42d16313ef82,EXTPAYLOAD-cadb2f67364deda78be67b24,89d6e00259c6399305deb660d41376a9052b5c70a4700a10aeaa0ed6a63d6d49,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/89d6e00259c6399305deb660d41376a9052b5c70a4700a10aeaa0ed6a63d6d49.pdf,606170,pdf,application/pdf,August-12-2025.pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,payroll_roster,high,Brule,NE,2025,unclear,unclear,external_search_wave_002_exhaustive_residual,RESCAND-7a40ad7d9d4d41e248d477ff,ROOTCOMP-0a3a1a1ad0a09f995461ee95,MECHEXP-019f098118b8490019da530a|MECHEXP-126ea3f6e7122824432781b4|MECHEXP-18e2cda9b0a9a4efb46d8360|MECHEXP-2ed5ae587ef1435e373e5b47|MECHEXP-3bbc2cfff79bcfe16769420d,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,0,,,,current_30_gib_store,True,False
EXTREADYQ-00133a0f2031d624f73e1085,EXTSOURCE-3de846d871f1fb9e1b19123b,EXTSRCREV-faacb28bad8320f3964c99cf,EXTPAYLOAD-3de846d871f1fb9e1b19123b,54c4ca25029a7472307b8736de9cdd2564e9f856a65a81fc43ce2d29a51602de,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/54c4ca25029a7472307b8736de9cdd2564e9f856a65a81fc43ce2d29a51602de.html,70194,html,text/html; charset=UTF-8,human-resources,html_text_candidate,official_administrative_summary,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,high,Toledo,OH,undated,all_units,all_units,external_search_wave_001_compacted,EXTCAND-99b06170a7c66eeb88b98c49,ROOTCOMP-9c18f9ba7839d475e88112e8|ROOTCOMP-e408d4dccdc6d2a7c06daefa,MECHEXP-0c6a1356a8350827006c37b0|MECHEXP-465f32b12e26563a8593fefe|MECHEXP-73b07c502648739583fc5bd0|MECHEXP-9c5a0c77bfad8c9e730efb58|MECHEXP-e705825005db77f07b0370bc|MECHEXP-fa588140c84567ea2f87ab3e,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,0,,,,current_30_gib_store,True,False
EXTREADYQ-001759db5e5fe4b67c121b9b,EXTSOURCE-fc660717b7a4c4d577b2e335,EXTSRCREV-f8107bc8639da6f37a33f02c,EXTPAYLOAD-fc660717b7a4c4d577b2e335,45bc50cc7c30bdcaf6bf3860456322b37e07cc9cf6f1aa87402e24542d1c3c29,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/45bc50cc7c30bdcaf6bf3860456322b37e07cc9cf6f1aa87402e24542d1c3c29.html,35879,html,text/html; charset=UTF-8,fiscal-office,html_text_candidate,official_administrative_summary,multi_family_administrative_source,payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,payroll_roster,high,Washington,OH,2022,fire|police,fire|police,external_search_wave_001_compacted,EXTCAND-7dec92d599751d6ffb89239e,ROOTCOMP-64802d775b246ffeb989ee8f|ROOTCOMP-f4ac5458cb946a139e63466d,MECHEXP-0ca11d2993eba740a3100206|MECHEXP-174e8cae4415de9fa2e0017d|MECHEXP-330b016bd187b4881a8d9487|MECHEXP-46bfda300c1e05e6b73f4c61|MECHEXP-53495f77b5f0a7fee41078ea|MECHEXP-a687f23a56c8d7c0195952b9|MECHEXP-bfc091ce05450eac1d256668|MECHEXP-c9cf1a0da63a7de734b57953|MECHEXP-cecbb751004b1f6f78d14d05,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis,0,,,,current_30_gib_store,True,False
