MIME_type,SHA_256,administrative_source_type,analytical_rows_extracted,byte_size,candidate_fanout,canonical_payload_id,canonical_retained_source_ids,canonical_source_fanout,canonical_source_record_ids,claim_fanout,deferred_queue,department_scope,detected_file_type,diagnostic_full_text_persisted,diagnostics_json,duplicate_retained_source_ids,event_fanout,expected_claim_upgrade_tags,extraction_priority,extraction_ready,inspected_at,inspection_runtime_seconds,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,municipality,ocr_performed,original_filename,payload_origin,period,primary_extraction_queue,prior_retained_source_reuse_ids,readiness_lane_id,readiness_lane_sequence,readiness_reason_codes,readiness_result_id,readiness_status,review_priority,secondary_processing_hints,secondary_source_families,side_scope,source_family,source_quality,state,version_relationship_ids,html_bounded_inspection,html_bytes_inspected,html_diagnostic_text_persisted,html_encoding,html_form_count,html_link_count,html_navigation_density,html_payload_bytes,html_row_element_count,html_script_count,html_structured_data_script_count,html_table_count,html_valid_html_structure,html_visible_text_characters
text/html; charset=UTF-8,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac,payroll_roster,0,112559,1,EXTPAYLOAD-00036840dd1547c95ddf49b3,EXTSOURCE-00036840dd1547c95ddf49b3,1,EXTREADYQ-05ee892aced917ab99c30b4e,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":112559,""diagnostic_text_persisted"":false,""encoding"":""iso-8859-1"",""form_count"":1,""link_count"":816,""navigation_density"":0.089739,""payload_bytes"":112559,""row_element_count"":0,""script_count"":18,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":61526}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:39.078361+00:00,0.008184,RESCAND-86fac417501283fd1d0e9611,,MECHEXP-24a21baeaf1d06f52bd4fd97|MECHEXP-3d09c970abb4438a6a219ccd|MECHEXP-46f1b0b852f5b05c9bf1c512|MECHEXP-c1007c49dad782232eeb287f|MECHEXP-d30fa1ecadac5322190984a1,ROOTCOMP-6ec7d2e0b8f8ad5b11bd3e7e,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac.html,Atlantic Beach,False,execrpts.php,current_30_gib_store,2025,html_text_extraction_queue,,readiness_lane_005,5,substantive_visible_html_text,EXTREADINESS-ddc323c5a405da71ed7e3fc0,html_text_ready,high,,implementation_confirmation,unclear,payroll_and_earnings,official_administrative_summary,NC,,False,112559,False,iso-8859-1,1,816,0.089739,112559,0,18,0,0,True,61526
text/html; charset=utf-8,fcf9193252ae5495aed02119dc8bef6de418384ef99c3f23f090dbe6431aff6d,payroll_roster,0,208613,1,EXTPAYLOAD-001335100368c5fa28d271eb,EXTSOURCE-001335100368c5fa28d271eb,1,EXTREADYQ-3087bcbb15eff3a3787cb739,4,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":208613,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":0,""link_count"":133,""navigation_density"":0.259766,""payload_bytes"":208613,""row_element_count"":0,""script_count"":14,""structured_data_script_count"":2,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":3463}",,13,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:39.081684+00:00,0.002885,RESCAND-e58091e14bf29c80f4385c78,,MECHEXP-1c5cb11232a1006a83cbb598|MECHEXP-283b01d60c53d9ff9387a3a1|MECHEXP-4e6f14f9d6f9c31d1b3b8075|MECHEXP-5e37e7ff7e9482999f34c44b|MECHEXP-69147ac59fac4d111f032cd0|MECHEXP-72f0ed3526fa840c4a42afbe|MECHEXP-876653681d36f34acb7b266d|MECHEXP-8bcf0128e35ea0ccaead31de|MECHEXP-c7370163c1710845985fc0e2|MECHEXP-f2dec8ae18330c12fcf20a6a,ROOTCOMP-0e73882cff2cbe8b6101bacf|ROOTCOMP-809472877af099c2bc02b747|ROOTCOMP-892fab18d54b558f8057e9f6,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/fcf9193252ae5495aed02119dc8bef6de418384ef99c3f23f090dbe6431aff6d.html,Brookfield,False,financial-reports,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_005,6,structured_data_or_dataset_signal,EXTREADINESS-f768893f464ca0c6fd10cdeb,html_structured_data_candidate,high,table_candidate,implementation_confirmation,police,payroll_and_earnings,official_administrative_summary,OH,,False,208613,False,UTF-8,0,133,0.259766,208613,0,14,2,0,True,3463
text/html; charset=utf-8,47e463ffa35c44071cb9a7807fd1d80b1e7c0d9ed697ac78aec28913d0af0ca6,payroll_roster,0,16960,1,EXTPAYLOAD-001ba8bdc409337d8c467913,EXTSOURCE-001ba8bdc409337d8c467913,1,EXTREADYQ-7fa59054f231714075b84a90,6,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":16960,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":29,""navigation_density"":0.028798,""payload_bytes"":16960,""row_element_count"":0,""script_count"":13,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":6727}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:57:39.132823+00:00,0.006653,EXTCAND-29cf03f93d2d594afc6e81d2,,MECHEXP-02c0fee7643a0557ed8ca866|MECHEXP-5e4fa5b6f2d5f36d6e181e40|MECHEXP-bf98c3c8b8cae711c036eb6d|MECHEXP-d56419eee3a8a2eec7270bea|MECHEXP-fadbcb4a3a5bebc5d75f359d,ROOTCOMP-cd2a3cdcbe1ff5024fd718ed,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/47e463ffa35c44071cb9a7807fd1d80b1e7c0d9ed697ac78aec28913d0af0ca6.html,North Castle,False,mem,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_002,5,substantive_visible_html_text,EXTREADINESS-bf6867d1c05a010a3e48b0d4,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,NY,,False,16960,False,utf-8,0,29,0.028798,16960,0,13,0,0,True,6727
text/html; charset=UTF-8,d01e44ca1b30e12ad456a02ee62ee0ea0d8d9b1ddbb4c4ca45728270aeb51bf2,ordinance_or_resolution,0,165704,1,EXTPAYLOAD-001f6312d3c142563e4044fd,EXTSOURCE-001f6312d3c142563e4044fd,1,EXTREADYQ-e46f23f2ea71b4d164762ba8,2,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":165704,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":1,""link_count"":88,""navigation_density"":0.210024,""payload_bytes"":165704,""row_element_count"":1,""script_count"":20,""structured_data_script_count"":1,""table_count"":1,""valid_html_structure"":true,""visible_text_characters"":2886}",,5,upgrades_implementation_confirmation|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:39.084119+00:00,0.001936,RESCAND-55f667a74c880fe7d9f677df,,MECHEXP-18f1506410cbbc35f3f547a8|MECHEXP-4a16408f120d94c3bd4dc0bd|MECHEXP-7bb2defb4cc00e606b4360e4|MECHEXP-c970142a17afcea829075aee,ROOTCOMP-9a1ae9473389bc73d28446af,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d01e44ca1b30e12ad456a02ee62ee0ea0d8d9b1ddbb4c4ca45728270aeb51bf2.html,Blissfield,False,clerks-office,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_005,7,structured_data_or_dataset_signal,EXTREADINESS-3b766d8b82e8be919287b79e,html_structured_data_candidate,high,table_candidate,,unclear,implementation_confirmation,official_administrative_summary,MI,,False,165704,False,UTF-8,1,88,0.210024,165704,1,20,1,1,True,2886
text/html;charset=utf-8,7ee8a56406d2d52f6a61a2cc59b9b6ce2153f2732f0021ce9df039d8834e71e6,payroll_roster,0,38810,1,EXTPAYLOAD-0048c78471b3515ec2731089,EXTSOURCE-0048c78471b3515ec2731089,1,EXTREADYQ-b9125b47e9ed73d034f4fcb9,6,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":38810,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":2,""link_count"":30,""navigation_density"":0.024979,""payload_bytes"":38810,""row_element_count"":33,""script_count"":11,""structured_data_script_count"":0,""table_count"":1,""valid_html_structure"":true,""visible_text_characters"":8267}",,8,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:57:39.135979+00:00,0.002222,EXTCAND-824914d0bd91c7f2b7d1c135,,MECHEXP-25d2912a1ae40339977437af|MECHEXP-3b612a9b8a230c0cb5e0c6cc|MECHEXP-6e7faf29146eb4f217c6e1bc|MECHEXP-8762071983e8b0b901187177|MECHEXP-b59e634c8de02885ffa47fb0|MECHEXP-f9bc81c0418b0198118343bd|MECHEXP-fdb6a5434a51cb1f828dec8e,ROOTCOMP-eda485ac949a4da1c824d21d,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/7ee8a56406d2d52f6a61a2cc59b9b6ce2153f2732f0021ce9df039d8834e71e6.html,Gowrie,False,salaryBook,current_30_gib_store,2020,html_table_candidate_queue,,readiness_lane_002,6,html_table_structure_present,EXTREADINESS-7c1dbf808f09040fa05665c9,html_table_candidate_ready,high,table_candidate,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,IA,,False,38810,False,utf-8,2,30,0.024979,38810,33,11,0,1,True,8267
text/html; charset=utf-8,f04c69e62d0d9ed11fb2a955babe5d10e2b27f06072a366178d4f42484b0764d,payroll_roster,0,74324,1,EXTPAYLOAD-004e648ef843f16a60c20d54,EXTSOURCE-004e648ef843f16a60c20d54,1,EXTREADYQ-6d8104ad9b71ac792d139af1,4,shell_or_navigation_only_queue,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":74324,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":0,""navigation_density"":0.0,""payload_bytes"":74324,""row_element_count"":0,""script_count"":7,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":24}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,False,2026-08-05T18:57:39.137456+00:00,0.000764,RESCAND-92d525d3549bc81ffd73a546,,MECHEXP-5948c34e6057a15af8d5cee9|MECHEXP-74249fcb92400d8a342ac72a|MECHEXP-8bcc07fd0ec13229280b83da|MECHEXP-a46675e96b87ca64823f5b15,ROOTCOMP-1b29dfdf09ff5987a773febc,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f04c69e62d0d9ed11fb2a955babe5d10e2b27f06072a366178d4f42484b0764d.html,Buckhead,False,search,current_30_gib_store,undated-source-BRMGRS-20260802-7d838488546c50d5f639cdae,,,readiness_lane_002,7,script_shell_with_minimal_visible_text,EXTREADINESS-26b71c4b15e952a6189eadda,shell_or_navigation_only,high,,implementation_confirmation,unclear,payroll_and_earnings,official_administrative_summary,GA,,False,74324,False,utf-8,0,0,0.0,74324,0,7,0,0,True,24
text/html; charset=utf-8,7d9ddf4a7e40acfba5e95ead1b09cd5daa9d2fcd3ad5ed2838e441af55570ad5,ordinance_or_resolution,0,114603,1,EXTPAYLOAD-00695731fb429c889ad66e00,EXTSOURCE-00695731fb429c889ad66e00,1,EXTREADYQ-ed62ae4b22cc7f86ff415fd8,5,,all_units,html,False,"{""bounded_inspection"":false,""bytes_inspected"":114603,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":0,""link_count"":82,""navigation_density"":0.079457,""payload_bytes"":114603,""row_element_count"":75,""script_count"":14,""structured_data_script_count"":2,""table_count"":3,""valid_html_structure"":true,""visible_text_characters"":6556}",,8,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T19:03:39.091242+00:00,0.003818,EXTCAND-24b5f90189385db142845f29,,MECHEXP-217bdaa04a084354b3df5b0d|MECHEXP-4d82d79a47ef689b1c24aecc|MECHEXP-74f93057ec10433325c3305a|MECHEXP-cb3568b4426f45efaf7ef9b0|MECHEXP-e3f05c13daa7d4328866c219|MECHEXP-f8f94c5811529257d362a644,ROOTCOMP-5d6d05eba83a09c9447dad94|ROOTCOMP-a0133fc5af3d5c2f088d8b59,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/7d9ddf4a7e40acfba5e95ead1b09cd5daa9d2fcd3ad5ed2838e441af55570ad5.html,Fifield,False,2014-county-board-resolutions-and-ordinances,current_30_gib_store,undated,html_table_candidate_queue,,readiness_lane_004,4,structured_data_or_dataset_signal,EXTREADINESS-e82d2d15457826089f4b6d3f,html_structured_data_candidate,high,table_candidate,payroll_and_earnings|staffing_and_headcount|tenure_and_progression,all_units,implementation_confirmation,official_administrative_summary,WI,,False,114603,False,UTF-8,0,82,0.079457,114603,75,14,2,3,True,6556
text/html,782ccc694c510fbd34957d80a6a957f97bb04607718a2439b8410a77df99c857,salary_schedule,0,34649,1,EXTPAYLOAD-00771192db7aa066f7c1f3c5,EXTSOURCE-00771192db7aa066f7c1f3c5,1,EXTREADYQ-9d34fa442d0fbbdf2151cf9c,4,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":34649,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":1,""link_count"":131,""navigation_density"":0.23227,""payload_bytes"":34649,""row_element_count"":0,""script_count"":9,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":4120}",,6,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:03:39.092851+00:00,0.001129,EXTCAND-904a901fff3b84041007e42a,,MECHEXP-0840c2377c4beb9cbb298537|MECHEXP-0c6a46c61aa312241d1ea9a2|MECHEXP-5d51df67d8c0109154a7295b|MECHEXP-c254dc04100a1d37a3de7a0b|MECHEXP-d754172da4e6dae20100ee0d,ROOTCOMP-2d37a8a5660d4b9f3b6af254,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/782ccc694c510fbd34957d80a6a957f97bb04607718a2439b8410a77df99c857.html,Altamont,False,06-05-25-53223.html,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_004,5,substantive_visible_html_text,EXTREADINESS-adafd9ef1d77140f47db06bc,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,KS,,False,34649,False,UTF-8,1,131,0.23227,34649,0,9,0,0,True,4120
text/html; charset=utf-8,e2458787a3bf5577cfc22bbd45697a7398edcc148e451e1a69a3b7d7bcd7729a,other,0,39655,1,EXTPAYLOAD-0079b97aaafbf6d8287ecb36,EXTSOURCE-0079b97aaafbf6d8287ecb36,1,EXTREADYQ-bcfdac01b7b4f6e84d4369c4,2,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":39655,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":68,""navigation_density"":0.038375,""payload_bytes"":39655,""row_element_count"":0,""script_count"":23,""structured_data_script_count"":1,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":10893}",,6,upgrades_implementation_confirmation|upgrades_mechanism_claim,extraction_priority_medium,True,2026-08-05T18:54:39.007203+00:00,0.003513,RESCAND-9949d635bce603504f892796,,MECHEXP-4cbca477648991ff4b21c39e|MECHEXP-72c3af1a25b1eb3a88dc9d9b|MECHEXP-87db0c3584e40d0e6139dee2|MECHEXP-8a91ff019440e78ac28d09c7|MECHEXP-9b75dc57329babb3928b668c,ROOTCOMP-718e1f887425f6a7a9695970,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e2458787a3bf5577cfc22bbd45697a7398edcc148e451e1a69a3b7d7bcd7729a.html,Cochecton,False,22-NYCRR-25.22,current_30_gib_store,2024,html_table_candidate_queue,,readiness_lane_001,3,structured_data_or_dataset_signal,EXTREADINESS-1fed348148ced8885afcce87,html_structured_data_candidate,medium,table_candidate,implementation_confirmation,unclear,tenure_and_progression,official_administrative_summary,NY,,False,39655,False,utf-8,0,68,0.038375,39655,0,23,1,0,True,10893
text/html; charset=UTF-8,4dd54667c92c989807cbf4abfac19d60b8c947283f75374cb947293115ba4cbd,payroll_roster,0,80953,1,EXTPAYLOAD-008873b5b51a2c3bfd49fcc1,EXTSOURCE-008873b5b51a2c3bfd49fcc1,1,EXTREADYQ-7e1186ad0c574f3c0abaf033,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":80953,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":1,""link_count"":90,""navigation_density"":0.189873,""payload_bytes"":80953,""row_element_count"":0,""script_count"":72,""structured_data_script_count"":1,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":3226}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:00:39.097306+00:00,0.006308,RESCAND-514b2b49614e7fad20dc2f5f,,MECHEXP-24a21baeaf1d06f52bd4fd97|MECHEXP-3d09c970abb4438a6a219ccd|MECHEXP-46f1b0b852f5b05c9bf1c512|MECHEXP-c1007c49dad782232eeb287f|MECHEXP-d30fa1ecadac5322190984a1,ROOTCOMP-6ec7d2e0b8f8ad5b11bd3e7e,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4dd54667c92c989807cbf4abfac19d60b8c947283f75374cb947293115ba4cbd.html,Atlantic Beach,False,time-and-payroll-and-invoicing,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_003,5,structured_data_or_dataset_signal,EXTREADINESS-b5740c91946600b1471e5a5a,html_structured_data_candidate,high,table_candidate,implementation_confirmation|tenure_and_progression,unclear,payroll_and_earnings,official_administrative_summary,NC,,False,80953,False,utf-8,1,90,0.189873,80953,0,72,1,0,True,3226
