canonical_source_record_id,retained_source_id,canonical_payload_id,SHA_256,local_artifact_path,payload_origin,reconciliation_status
EXTREADYQ-00001e766439e0e0e3fe0754,EXTSOURCE-ecb872bd4087485a5dcddea5,EXTPAYLOAD-ecb872bd4087485a5dcddea5,5f2944b332f5e63254362c492de0c3df3d2983178ce2e895b144dd9f3e596f69,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5f2944b332f5e63254362c492de0c3df3d2983178ce2e895b144dd9f3e596f69.html,current_30_gib_store,valid_unique_payload
EXTREADYQ-00037c8ed3380488aa2e2ecc,EXTSOURCE-e79bdb1a160674c3d3d22a1d,EXTPAYLOAD-e79bdb1a160674c3d3d22a1d,0385f1135c56fbe133b38c9a3f9950e580cab3373c2210710bd146b3db374d1d,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/0385f1135c56fbe133b38c9a3f9950e580cab3373c2210710bd146b3db374d1d.html,current_30_gib_store,valid_unique_payload
EXTREADYQ-00070031760554344978358c,EXTSOURCE-a65beba0637bcffe2c229336,EXTPAYLOAD-a65beba0637bcffe2c229336,74c9effa39dec718c8900b06898e139e47c732ad48c820c3f72e650f58920829,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/74c9effa39dec718c8900b06898e139e47c732ad48c820c3f72e650f58920829.html,current_30_gib_store,valid_unique_payload
EXTREADYQ-00074aabfe4d64b69d41d259,EXTSOURCE-029d1d070be28c27fe11f14b,EXTPAYLOAD-029d1d070be28c27fe11f14b,6c3fe78762263c97e2cc34ff8774e1ad4b8c338e97f58a490a2c5d120b83b90d,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/6c3fe78762263c97e2cc34ff8774e1ad4b8c338e97f58a490a2c5d120b83b90d.pdf,current_30_gib_store,valid_unique_payload
EXTREADYQ-0008dda15440acbbf73bfb72,EXTSOURCE-a2d3280f92b3b6a242325010,EXTPAYLOAD-a2d3280f92b3b6a242325010,5159a83443d01389aed442e941f5c4e61bb7e1315fa2ccf532b47c360f01d227,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5159a83443d01389aed442e941f5c4e61bb7e1315fa2ccf532b47c360f01d227.html,current_30_gib_store,valid_unique_payload
EXTREADYQ-000affadcf1d5bc1438f4fe5,EXTSOURCE-d0d4939e204979ecaa2baf52,EXTPAYLOAD-d0d4939e204979ecaa2baf52,524425bf0c83ec18a288f43cb355784c46c4cfb87cac22557ef25aeb8fc16e48,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/524425bf0c83ec18a288f43cb355784c46c4cfb87cac22557ef25aeb8fc16e48.html,current_30_gib_store,valid_unique_payload
EXTREADYQ-000e890831f68e077ab80fc2,EXTSOURCE-ad2d49d906696bb277a9d3eb,EXTPAYLOAD-ad2d49d906696bb277a9d3eb,6e50ebf0ec9dc3a170d07fa9269550e806ae7c31ce9822605dd6f3620722995e,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/6e50ebf0ec9dc3a170d07fa9269550e806ae7c31ce9822605dd6f3620722995e.html,current_30_gib_store,valid_unique_payload
EXTREADYQ-0011f5548d2f3ca8944ec137,EXTSOURCE-cadb2f67364deda78be67b24,EXTPAYLOAD-cadb2f67364deda78be67b24,89d6e00259c6399305deb660d41376a9052b5c70a4700a10aeaa0ed6a63d6d49,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/89d6e00259c6399305deb660d41376a9052b5c70a4700a10aeaa0ed6a63d6d49.pdf,current_30_gib_store,valid_unique_payload
EXTREADYQ-00133a0f2031d624f73e1085,EXTSOURCE-3de846d871f1fb9e1b19123b,EXTPAYLOAD-3de846d871f1fb9e1b19123b,54c4ca25029a7472307b8736de9cdd2564e9f856a65a81fc43ce2d29a51602de,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/54c4ca25029a7472307b8736de9cdd2564e9f856a65a81fc43ce2d29a51602de.html,current_30_gib_store,valid_unique_payload
EXTREADYQ-001759db5e5fe4b67c121b9b,EXTSOURCE-fc660717b7a4c4d577b2e335,EXTPAYLOAD-fc660717b7a4c4d577b2e335,45bc50cc7c30bdcaf6bf3860456322b37e07cc9cf6f1aa87402e24542d1c3c29,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/45bc50cc7c30bdcaf6bf3860456322b37e07cc9cf6f1aa87402e24542d1c3c29.html,current_30_gib_store,valid_unique_payload
EXTREADYQ-00231b2232940294e820fd12,EXTSOURCE-a1399c94d22071a267d3632c,EXTPAYLOAD-a1399c94d22071a267d3632c,bf8ddb30f18514f8644e82338dbd93ced7625fcb0b16feb28bdffe2bff48d37a,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/bf8ddb30f18514f8644e82338dbd93ced7625fcb0b16feb28bdffe2bff48d37a.html,current_30_gib_store,valid_unique_payload
