canonical_payload_id,SHA_256,local_artifact_path,byte_size,detected_file_type,MIME_type,original_filename,canonical_source_record_ids,canonical_retained_source_ids,duplicate_retained_source_ids,prior_retained_source_reuse_ids,version_relationship_ids,municipality,state,period,side_scope,department_scope,linked_candidate_ids,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,expected_claim_upgrade_tags,linked_search_waves,source_family,secondary_source_families,administrative_source_type,source_quality,review_priority,payload_origin,canonical_source_fanout,candidate_fanout,event_fanout,claim_fanout,readiness_lane_id,readiness_lane_sequence,readiness_result_id,readiness_status,extraction_ready,primary_extraction_queue,deferred_queue,secondary_processing_hints,extraction_priority,readiness_reason_codes,diagnostics_json,diagnostic_full_text_persisted,analytical_rows_extracted,ocr_performed,inspected_at,inspection_runtime_seconds
EXTPAYLOAD-0079b97aaafbf6d8287ecb36,e2458787a3bf5577cfc22bbd45697a7398edcc148e451e1a69a3b7d7bcd7729a,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e2458787a3bf5577cfc22bbd45697a7398edcc148e451e1a69a3b7d7bcd7729a.html,39655,html,text/html; charset=utf-8,22-NYCRR-25.22,EXTREADYQ-bcfdac01b7b4f6e84d4369c4,EXTSOURCE-0079b97aaafbf6d8287ecb36,,,,Cochecton,NY,2024,unclear,unclear,RESCAND-9949d635bce603504f892796,ROOTCOMP-718e1f887425f6a7a9695970,MECHEXP-4cbca477648991ff4b21c39e|MECHEXP-72c3af1a25b1eb3a88dc9d9b|MECHEXP-87db0c3584e40d0e6139dee2|MECHEXP-8a91ff019440e78ac28d09c7|MECHEXP-9b75dc57329babb3928b668c,,upgrades_implementation_confirmation|upgrades_mechanism_claim,external_search_wave_002_exhaustive_residual,tenure_and_progression,implementation_confirmation,other,official_administrative_summary,medium,current_30_gib_store,1,1,6,2,readiness_lane_001,3,EXTREADINESS-1fed348148ced8885afcce87,html_structured_data_candidate,True,html_table_candidate_queue,,table_candidate,extraction_priority_medium,structured_data_or_dataset_signal,"{""bounded_inspection"":false,""bytes_inspected"":39655,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":68,""navigation_density"":0.038375,""payload_bytes"":39655,""row_element_count"":0,""script_count"":23,""structured_data_script_count"":1,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":10893}",False,0,False,2026-08-05T18:54:39.007203+00:00,0.003513
EXTPAYLOAD-009b8316cff17deee889190d,fe0f5e3d7d1ee5aa2532c117c808f577fe716fda962f237f41ef1ebd81002797,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/fe0f5e3d7d1ee5aa2532c117c808f577fe716fda962f237f41ef1ebd81002797.pdf,9645155,pdf,application/pdf,idcplg,EXTREADYQ-13c6c0fd5eca43c699d6030b,EXTSOURCE-009b8316cff17deee889190d,,,,Bedford,OH,2022,unclear,unclear,RESCAND-905d80bd8e4ff3c8c22a14cc,ROOTCOMP-9816b5f622e1700e4f78dfb3,MECHEXP-9917b1459bd16183bbeeb835|MECHEXP-9bb012b0b078e8111bc93f54|MECHEXP-da42f9eb0fdac028c3742521|MECHEXP-e6fca0aa8a7fc7ccea4758a1,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,5,5,readiness_lane_001,1795,EXTREADINESS-3d783c4cb6f26560b001a2ea,parse_text_pdf_ready,True,parse_text_pdf_extraction_queue,,,extraction_priority_high,usable_sampled_text_layer,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":29,""page_height_max"":3024.0,""page_height_min"":792.0,""page_width_max"":2160.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.7\r%âãÏÓ\r\n"",""sampled_image_object_count"":10,""sampled_page_count"":5,""sampled_text_characters"":6707,""valid_pdf_signature"":true}",False,0,False,2026-08-05T18:54:49.925455+00:00,0.433539
EXTPAYLOAD-00afd016a9870870057b9a2d,f9c8530eece3caefc2f11de26dcab07e73dc1a80ead93fcaba84a404e62a2b93,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f9c8530eece3caefc2f11de26dcab07e73dc1a80ead93fcaba84a404e62a2b93.pdf,900389,pdf,application/pdf,CompClassRFP.pdf,EXTREADYQ-a7fd0f49c9b995dc1ced7d43,EXTSOURCE-00afd016a9870870057b9a2d,,,,Austin,MN,2026,police,police,RESCAND-9e517a3e11e2089e4ba05b23,ROOTCOMP-50b310ccb083f249de381cc8|ROOTCOMP-55d6d7e5218640ef3a9713a4,MECHEXP-1307204c682b0d9f3b2d41c9|MECHEXP-2c5ca6fff4d022936d049211|MECHEXP-4dc4155acf4ef53fe7f9f6ba|MECHEXP-58e432aace24e5fc86a43ab2|MECHEXP-59046a56bd0e817ecdc29bfb|MECHEXP-910e8c9b62571daa788c1444|MECHEXP-a666337b45757f722b63593e|MECHEXP-cd91b66fb48a1236f8729f66|MECHEXP-d40129bc7d426ffbc7d0200a,,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,staffing_and_headcount,implementation_confirmation,staffing_table,direct_official_administrative_record,high,current_30_gib_store,1,1,11,3,readiness_lane_001,1796,EXTREADINESS-d3a65a2399467398c8edaf73,parse_text_pdf_ready,True,parse_text_pdf_extraction_queue,,,extraction_priority_high,usable_sampled_text_layer,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":11,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.6\r%âãÏÓ\r\n"",""sampled_image_object_count"":1,""sampled_page_count"":5,""sampled_text_characters"":5769,""valid_pdf_signature"":true}",False,0,False,2026-08-05T18:54:49.976337+00:00,0.050169
EXTPAYLOAD-00b6321428bf120ceee2c260,26be133fd06f6924c5591d8c5796634ec4f61fbdf3136f881877c2c8aa762533,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/26be133fd06f6924c5591d8c5796634ec4f61fbdf3136f881877c2c8aa762533.pdf,673848,pdf,application/pdf,FY22-Single-Audit-Supplemental-Report-Full.pdf,EXTREADYQ-c07b2887b4aff2a3ea88d6fd,EXTSOURCE-00b6321428bf120ceee2c260,,,,Bellwood,IL,undated-source-CBSRD-20260728-8965ce3bf0dccd365679,unclear,unclear,RESCAND-5b4fb31d5b0883fe55ac094c,ROOTCOMP-c7e8afc01d4545fd757c6fc6,MECHEXP-0405a5df91265c7c82b5d38a|MECHEXP-1668524a7700ef00069090db|MECHEXP-3c1d9dd86aa62dcabaf5a6f2|MECHEXP-a636552bbc5c0ecef1fcdc0a,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,5,5,readiness_lane_001,1797,EXTREADINESS-5f27740539fef23e9439f634,corrupt_or_broken,False,,corrupt_or_broken_queue,,extraction_priority_high,pdf_parser_error,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":true,""likely_image_only"":false,""page_count"":0,""page_height_max"":null,""page_height_min"":null,""page_width_max"":null,""page_width_min"":null,""parser_error"":""DependencyError: cryptography>=3.1 is required for AES algorithm"",""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.7\r\n%¡³Å×\r"",""sampled_image_object_count"":0,""sampled_page_count"":0,""sampled_text_characters"":0,""valid_pdf_signature"":true}",False,0,False,2026-08-05T18:54:50.005234+00:00,0.028226
EXTPAYLOAD-00b6f11cdc648372e82e9fda,3c409ec04ecd579301669ba2955e23d6cb3c5f05ac2de1f8b67cd61423467e07,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/3c409ec04ecd579301669ba2955e23d6cb3c5f05ac2de1f8b67cd61423467e07.html,128443,html,text/html; charset=utf-8,HR-Strategic-Plan-FY26-30,EXTREADYQ-b51edbf80b051627b600416a,EXTSOURCE-00b6f11cdc648372e82e9fda,,,,Augusta,KS,2024,unclear,unclear,RESCAND-5c78a9a4439babcdfe88aa6e,ROOTCOMP-11b00e149bbe06c8729dd152,MECHEXP-0fce3712151a40a57d72b6cc|MECHEXP-261e48a0a26d8a4e632ab3f3|MECHEXP-6db015de5987f23f3628f103|MECHEXP-e1e81ccb9a101d6bbe82da2f|MECHEXP-f74e51a5cc4d1eea1ee0c9d6,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,external_search_wave_002_exhaustive_residual,staffing_and_headcount,implementation_confirmation|payroll_and_earnings|tenure_and_progression,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,6,4,readiness_lane_001,4,EXTREADINESS-554958bfeb33353645690f3b,html_text_ready,True,html_text_extraction_queue,,,extraction_priority_high,substantive_visible_html_text,"{""bounded_inspection"":false,""bytes_inspected"":128443,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":88,""navigation_density"":0.354839,""payload_bytes"":128443,""row_element_count"":0,""script_count"":45,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":1808}",False,0,False,2026-08-05T18:54:39.010925+00:00,0.003087
EXTPAYLOAD-00caec74931993099b10c52d,469c927d9d7af4f12e6b57ef03932e1a55f24647e7008db3e393b993b900210e,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/469c927d9d7af4f12e6b57ef03932e1a55f24647e7008db3e393b993b900210e.html,40378,html,text/html,election-results,EXTREADYQ-16e5dc5d527aebb7b05ef51f,EXTSOURCE-00caec74931993099b10c52d,,,EXTVERSION-4b3d8a6701b64d312e44e9bc|EXTVERSION-5a919d5ec49c1d7c7823abfb,Athens,OH,2025,unclear,unclear,RESCAND-e733a3e454bb093c398c1515,ROOTCOMP-96df05e7770ea1bf200f9c72,MECHEXP-314f9e571629ba76e1e85f1b|MECHEXP-3cbd4ca67c211111183509cc|MECHEXP-8991ac5bf0a835e66b9d2265|MECHEXP-dbcdc4b00255b49421bfb1c0,,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,payroll_and_earnings,,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,5,2,readiness_lane_001,5,EXTREADINESS-c7d7b805133cba05a709b758,html_text_ready,True,html_text_extraction_queue,,,extraction_priority_high,substantive_visible_html_text,"{""bounded_inspection"":false,""bytes_inspected"":40378,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":0,""link_count"":73,""navigation_density"":0.207977,""payload_bytes"":40378,""row_element_count"":0,""script_count"":9,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":2337}",False,0,False,2026-08-05T18:54:39.012646+00:00,0.001101
EXTPAYLOAD-00e6dbf90850f05b3896d517,29feafd3d4d281eaa9cd7c21c22fbcba11cf5897b245085b1863404bd114764d,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/29feafd3d4d281eaa9cd7c21c22fbcba11cf5897b245085b1863404bd114764d.pdf,1748644,pdf,application/pdf,OAKLAND-TWP-FINAL-APPROVE-BUDGET-2025.pdf,EXTREADYQ-e3d67fe4f4ef48dee09d20d0,EXTSOURCE-00e6dbf90850f05b3896d517,,,,Oakland charter,MI,2024,fire,fire,EXTCAND-a02bd5880c3ca09bcf5318a3,ROOTCOMP-99bd0e515baa78283000af09,MECHEXP-3db1517a667329acf1790caa|MECHEXP-76fe4a68a819d698bdf8589d|MECHEXP-7cbbb39763bcece8130c1a5a|MECHEXP-8861a48aec3493eacb54b14f|MECHEXP-ed417481f9ac531060640080,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_001_compacted,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,6,5,readiness_lane_001,1798,EXTREADINESS-dece25cd7d252584b118fb31,parse_text_pdf_ready,True,parse_text_pdf_extraction_queue,,,extraction_priority_high,usable_sampled_text_layer,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":34,""page_height_max"":792.0,""page_height_min"":612.0,""page_width_max"":792.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.5\r%¦éÏÄ\r\n"",""sampled_image_object_count"":3,""sampled_page_count"":5,""sampled_text_characters"":9806,""valid_pdf_signature"":true}",False,0,False,2026-08-05T18:54:50.120133+00:00,0.114252
EXTPAYLOAD-010f89e234e564aad1cf7334,4c356888a9b87913887cab440d1fbf3cbbe5bffd200791476dbe26857413ed78,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/4c356888a9b87913887cab440d1fbf3cbbe5bffd200791476dbe26857413ed78.pdf,13467613,pdf,application/pdf,2020_Annual_Town_Report.pdf,EXTREADYQ-cf234a6f2a1295fbf17e9282,EXTSOURCE-010f89e234e564aad1cf7334,,,,Rowe,MA,2020,all_units,all_units,EXTCAND-0856b4c38c248cbac2455321,ROOTCOMP-3648408020a08a437fa18fce,MECHEXP-01bcbc093449a3fae5cbd395|MECHEXP-1453360698d1cec56f30b9b3|MECHEXP-16e7d88e73f87ece9fa60a1b|MECHEXP-57d172d580ab77713ae8d4e7|MECHEXP-90c7672fe30667ae019cd713|MECHEXP-f182badf92406bbe80aff7cb,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,7,4,readiness_lane_001,1799,EXTREADINESS-1f3b5cb8cbce8880d9f18cb1,parse_text_pdf_ready,True,parse_text_pdf_extraction_queue,,,extraction_priority_high,usable_sampled_text_layer,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":1,""encrypted"":false,""likely_image_only"":false,""page_count"":85,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.7\r\n%µµµµ\r"",""sampled_image_object_count"":6,""sampled_page_count"":5,""sampled_text_characters"":5303,""valid_pdf_signature"":true}",False,0,False,2026-08-05T18:54:50.181409+00:00,0.060645
EXTPAYLOAD-0110b924b486aa38c049dc5f,7f3c9472d9b08618722e62566a52717982994c5e8293322a73771111c4fecff7,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7f3c9472d9b08618722e62566a52717982994c5e8293322a73771111c4fecff7.pdf,38375407,pdf,application/pdf,2026-Preliminary-Budget-10.24.25.pdf,EXTREADYQ-722b4cf5e629f82455c003e8,EXTSOURCE-0110b924b486aa38c049dc5f,,,,Ulysses,NY,2025,side_independent,side_independent,EXTCAND-a9d012aa9c8dcb338dd733f3,ROOTCOMP-926589dfbb6aeab164e47996,MECHEXP-31e2ad4f425ebc32ebb07f33|MECHEXP-5f877d64248f57bdd82c37bc|MECHEXP-b11b04f3a2173115a27425e7|MECHEXP-c7ab3429908b306c75dfdc3d,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,external_search_wave_001_compacted,payroll_and_earnings,implementation_confirmation,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,5,4,readiness_lane_001,1800,EXTREADINESS-9e88e68042114b44cafc508c,parse_text_pdf_low_text_usable,True,low_text_pdf_extraction_queue,,,extraction_priority_high,sparse_nonempty_text_layer,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":1,""encrypted"":false,""likely_image_only"":false,""page_count"":134,""page_height_max"":792.0,""page_height_min"":612.0,""page_width_max"":792.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.7\r%âãÏÓ\r\n"",""sampled_image_object_count"":26,""sampled_page_count"":5,""sampled_text_characters"":182,""valid_pdf_signature"":true}",False,0,False,2026-08-05T18:54:50.536935+00:00,0.354825
EXTPAYLOAD-011289c779f8d4cebcccfd61,f975fd26ca7906fec6fa8e7f18466b42afaf4b16585c0a8e27857d7ce7063fb3,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f975fd26ca7906fec6fa8e7f18466b42afaf4b16585c0a8e27857d7ce7063fb3.html,59786,html,text/html; charset=UTF-8,recruitment-and-retention-study-series-sworn-sheriffs-personnel-0,EXTREADYQ-d695e41706ff4dcccbe6bb99,EXTSOURCE-011289c779f8d4cebcccfd61,,,,Chester,OH,2024,police,police,RESCAND-46d7d26481de559f7f7fc328,ROOTCOMP-05a699927ad91ea8d3221293|ROOTCOMP-2066cc30dd47024b60cc4c79,MECHEXP-2cf0bee45a75f59fd44b6986|MECHEXP-3ca92ac24a236e176e1c0977|MECHEXP-6aa4d1c688171767c29fd5cf|MECHEXP-7bf9068251f3e53232084e2d|MECHEXP-88fdee67c4726aa31ce79c7d|MECHEXP-9f87506f7a0335aaba1181b6|MECHEXP-ba0e3dcf307bd8acf11c75c9,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,recruitment_and_retention,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,recruitment_study,official_administrative_summary,high,current_30_gib_store,1,1,9,5,readiness_lane_001,6,EXTREADINESS-c35b33d323e1dff79c0aa7f2,html_structured_data_candidate,True,html_table_candidate_queue,,table_candidate,extraction_priority_medium,structured_data_or_dataset_signal,"{""bounded_inspection"":false,""bytes_inspected"":59786,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":107,""navigation_density"":0.126928,""payload_bytes"":59786,""row_element_count"":0,""script_count"":20,""structured_data_script_count"":1,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":5973}",False,0,False,2026-08-05T18:54:39.016217+00:00,0.00159
