canonical_payload_id,SHA_256,local_artifact_path,byte_size,detected_file_type,MIME_type,original_filename,canonical_source_record_ids,canonical_retained_source_ids,duplicate_retained_source_ids,prior_retained_source_reuse_ids,version_relationship_ids,municipality,state,period,side_scope,department_scope,linked_candidate_ids,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,expected_claim_upgrade_tags,linked_search_waves,source_family,secondary_source_families,administrative_source_type,source_quality,review_priority,payload_origin,canonical_source_fanout,candidate_fanout,event_fanout,claim_fanout
EXTPAYLOAD-16eb0e2040c2f2a828e9bcb0,00021ed21889afd2b2be7b47d8e6d4ed7cf7faf36a0a54f480df029dafcd874f,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00021ed21889afd2b2be7b47d8e6d4ed7cf7faf36a0a54f480df029dafcd874f.html,172279,html,text/html; charset=UTF-8,irm_06-335-002,EXTREADYQ-1ecb0094c329f72b45940c7a,EXTSOURCE-16eb0e2040c2f2a828e9bcb0,,,,Arnoldsville,GA,undated-source-B4X2500LIVE-20260729-009296,unclear,unclear,RESCAND-a2f63a63b305c7e73c7879b7,ROOTCOMP-5c7765ac3141b416e9a79713|ROOTCOMP-b7b8d337a7b00dcd532e6eff,MECHEXP-0ade829048f853a2aa17b6aa|MECHEXP-1120adea42601fe758828256|MECHEXP-2f1b36db769798c29b42ef2a|MECHEXP-2ff8cd6b796fec976c21ac3d|MECHEXP-529c3606ebb17872d65e0b90|MECHEXP-6da61985b9df60101713eec5|MECHEXP-7edcb6ba0cd8f998f28da470|MECHEXP-8c2070e823b08e0273c53070,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,external_search_wave_002_exhaustive_residual,payroll_and_earnings,implementation_confirmation,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,10,4
EXTPAYLOAD-58485afb8603d962b985814f,0014d12535cb4fe78fcf749607728fa0a539287c0f53b299d1354a4cd91e9da4,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/0014d12535cb4fe78fcf749607728fa0a539287c0f53b299d1354a4cd91e9da4.html,368531,html,text/html; charset=UTF-8,agendas-minutes,EXTREADYQ-93c8ef4f7ff5587be0159774,EXTSOURCE-58485afb8603d962b985814f,,,,Highspire,PA,2025,all_units,all_units,EXTCAND-84f17285c626f1db45396aa2,ROOTCOMP-d8f79bd2f7f331870a843403,MECHEXP-62911ff86a417c122d899141|MECHEXP-889fcd7996fbf686f4a84786|MECHEXP-a3ae09a96a95252370e893df|MECHEXP-ca6d81fe5b382fbe39614713|MECHEXP-e484de6a82774d3ec9f1e5d6,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,implementation_confirmation,benefits_and_total_compensation|payroll_and_earnings|staffing_and_headcount,ordinance_or_resolution,official_administrative_summary,high,current_30_gib_store,1,1,6,6
EXTPAYLOAD-ae3b5b02c8976ea737c0fefc,0014fb39433b0a30bb2030634c9806d2ef06d157f14cfab7ccca2284269fd593,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/0014fb39433b0a30bb2030634c9806d2ef06d157f14cfab7ccca2284269fd593.html,126410,html,text/html; charset=UTF-8,layoffs,EXTREADYQ-a3275538b6996e03c61ab3cc,EXTSOURCE-ae3b5b02c8976ea737c0fefc,,,,Buellton,CA,2026,unclear,unclear,RESCAND-f2d2fdb9d7ff18c7cdd43f80,ROOTCOMP-a971f405851350cd8cd686ce,MECHEXP-0f264b5ad2e439cde7ee0a38|MECHEXP-29616db048caaf2840addec4|MECHEXP-3d018428e3310a5c7bf5b57b|MECHEXP-88e1a65094ee73132f2d9f78|MECHEXP-d8572715840105b290cbad10|MECHEXP-ea77a58d13a3371f71e15d1a,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,7,5
EXTPAYLOAD-ee3ceba8e1fbbab3e3af9676,0015b7f86672ec199b3ab3836ad253a92f1cb9a1d082dba7516b46ecfc4c77cd,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/0015b7f86672ec199b3ab3836ad253a92f1cb9a1d082dba7516b46ecfc4c77cd.html,348164,html,text/html,administration-and-finance,EXTREADYQ-97dc1609bcb2f8f82d022182,EXTSOURCE-ee3ceba8e1fbbab3e3af9676,,,,Raynham,MA,2021,all_units,all_units,EXTCAND-951311c65bd2d1464b7db20f,ROOTCOMP-c70c94e0952f0a8e39a2d098,MECHEXP-24e5e0e52ca2d6314a1f881f|MECHEXP-2a29c41d3949e06124e90826|MECHEXP-6dd440eacfd3dece0f0f5de2|MECHEXP-71978642ca7c7a07d69c5233|MECHEXP-803a073ecce8e10fe97f9218|MECHEXP-a33dd6c6993719d83593a3fa|MECHEXP-c23741651f77df861d7c5d93,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,8,6
EXTPAYLOAD-c00be395a7a00c50d4a8e6dc,001f64a69ff66cae62e4457a53d2e44b380506dd3c6ae1647da8fe6122228ea3,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/001f64a69ff66cae62e4457a53d2e44b380506dd3c6ae1647da8fe6122228ea3.html,199084,html,text/html,CM 2.20.htm,EXTREADYQ-f83207e1e62646c966e84540,EXTSOURCE-c00be395a7a00c50d4a8e6dc,,,,Avoca,IA,2026,unclear,unclear,RESCAND-cd4672129293a77e45ea1fca,ROOTCOMP-257bfea8952a7fd8b16cbd83,MECHEXP-8b71d6ec40610d942b5108a9|MECHEXP-ca1c0c038bf90d45b60292e5|MECHEXP-cab300e4685652e9ba49cf42|MECHEXP-dcd8e1ca9ca122dbeac7412d|MECHEXP-e050409bde7407c57ae55c32,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,external_search_wave_002_exhaustive_residual,recruitment_and_retention,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,6,5
EXTPAYLOAD-0ab685b0adfbf787e8fe2132,001fbb9af2c8baa51c8cb793cf47611a7188a19fdb09af47f20cd8f4f9de60cf,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/001fbb9af2c8baa51c8cb793cf47611a7188a19fdb09af47f20cd8f4f9de60cf.pdf,1914009,pdf,application/pdf,5_jloscstafffindingsandrecommendationsreporttechnologyinvestmentcouncile9dfe4feaf2a6dfeae60ff0000a39f38.pdf,EXTREADYQ-1674a354abc5bb826b78a09f,EXTSOURCE-0ab685b0adfbf787e8fe2132,,,,Delaware,OH,2022,fire,fire,EXTCAND-94482899f9cc8f8130940b21,ROOTCOMP-84c490f731f5583eb5c24fe0,MECHEXP-19a063fd5356a006df6f3f6c|MECHEXP-1a421b1056fc5d52679f22a2|MECHEXP-22cde19638746491783cb001|MECHEXP-b32a5dbd382cf633f09540c2|MECHEXP-e519d5e3762e997fba1dfcb5|MECHEXP-f298a57bb638c4921005a55d,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,7,6
EXTPAYLOAD-f9a2db75e399eecb56079a14,002477497d8abb9554015fc8b8def1a7884dc139804433599c75b941ff018e4e,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/002477497d8abb9554015fc8b8def1a7884dc139804433599c75b941ff018e4e.pdf,39491304,pdf,application/pdf;charset=UTF-8,content,EXTREADYQ-285330f5da4508af5ba2dfd4,EXTSOURCE-f9a2db75e399eecb56079a14,,,,Avery,TX,2022,unclear,unclear,RESCAND-81063dc1e92ac271db49989e,ROOTCOMP-cb596b07b63ca45314acb50a,MECHEXP-3402ad339a9d3c356f61304b|MECHEXP-37095a20659e577ec34a3171|MECHEXP-38fcb5afdfd7736a0bb2b66b|MECHEXP-7cf43fb4a61e224c9b657e02|MECHEXP-e22be5f9d48da103c97dca45,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|tenure_and_progression,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,6,4
EXTPAYLOAD-bd7623a17224979297b503b6,00356951c8153d271c982a401cea80d806ab863f7055284d2004eda28eb4b169,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00356951c8153d271c982a401cea80d806ab863f7055284d2004eda28eb4b169.html,38685,html,text/html; charset=UTF-8,11247,EXTREADYQ-f0a1b5110adeee5e063185e5,EXTSOURCE-bd7623a17224979297b503b6,,,,Benson,MN,2024,unclear,unclear,RESCAND-e5f10b62952347e5a6b48dd8,ROOTCOMP-4b0d4cde888bccb30a193906|ROOTCOMP-5a250f6c6086ed0175709efd|ROOTCOMP-834a238660aa7b68240f46e2,MECHEXP-027eab439e704d1ddbb31c1d|MECHEXP-3467b2d9412becfa8bdae043|MECHEXP-4491c7bc31747edb23ee7d63|MECHEXP-5fce9a6aec97f15929688740|MECHEXP-67a22aef1316f1983ad92d53|MECHEXP-8d45fce2657c8cabc8b0d2c7|MECHEXP-914f8622bdd3b8f99dd0ed4a|MECHEXP-bb45c1fbe82f04168c726542|MECHEXP-df8ca8e00a318da0f5dfe910,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,external_search_wave_002_exhaustive_residual,payroll_and_earnings,implementation_confirmation,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,12,4
EXTPAYLOAD-e9efd0af38bc66c74e01ddb0,00392d11211727954250e712a8a3ca6535261f2bff7eb380225078f24de8902e,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/00392d11211727954250e712a8a3ca6535261f2bff7eb380225078f24de8902e.pdf,1216526,pdf,application/pdf,BREWSTER COUNTY ADOPTED 2025 COUNTY EMPLOYEE HANDBOOK.pdf,EXTREADYQ-be7cead0a316786151aaa81c,EXTSOURCE-e9efd0af38bc66c74e01ddb0,,,,Brewster,OH,2026,police,police,RESCAND-03f88691edd54a99de86de94,ROOTCOMP-0958449300948a6a0195e4d2|ROOTCOMP-19257741fd93963dcff0bfb8,MECHEXP-18ccf2a57ac329e71dd4b21f|MECHEXP-193881fc5a3002c3f8bfb85e|MECHEXP-4a4f2f9244228151bd374e5c|MECHEXP-5d9eb770e2d7f491283fe9b1|MECHEXP-61d1b55ef49134ee435984b9|MECHEXP-6d9188b6a5aa490289542e00|MECHEXP-7005320e9accbfa8b796143f|MECHEXP-a72e6767e478f2f3c0b50322|MECHEXP-b171de9eb51464024a86ed71|MECHEXP-f1075cc7c1936fd9b1dc5eb7,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,12,5
EXTPAYLOAD-396995b1cc9da65b8f9acfe6,004216c90ae0b7588a5c535ab76c6504c13b9fdf8b3ab5812f2bf4000d2151e1,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/004216c90ae0b7588a5c535ab76c6504c13b9fdf8b3ab5812f2bf4000d2151e1.html,89666,html,text/html; charset=UTF-8,date-of-entitlement-appointment-backdates-and-25-msa,EXTREADYQ-bca884a60252356cdae2985c,EXTSOURCE-396995b1cc9da65b8f9acfe6,,,,Carmel-by-the-Sea,CA,2024,non_safety,non_safety,RESCAND-d5fc0e855c1f39af7e7f5ced,ROOTCOMP-8280ebcc4caf526d373b4a05|ROOTCOMP-ceb4551cd1c7a3529346e5c1|ROOTCOMP-f7c869e33ce2212cae287fd7,MECHEXP-053fe7712de789a14b9cdbdb|MECHEXP-07e30946fc124ef631287be0|MECHEXP-11147515b78be2dc47176b67|MECHEXP-12ce50933f0c1b28948ed18c|MECHEXP-19040a3496fa101861465fe9|MECHEXP-39c9a613cb19fe40161fa17d|MECHEXP-4dea1dd06e9af3a304878670|MECHEXP-5b7b96b92ed8748b1caee557|MECHEXP-644fa0042332522d86b256de|MECHEXP-82e4a7a655a8605d690ac640|MECHEXP-a18bab5c3cf801aecfb32167|MECHEXP-c03ac126f91d235c8399a06c|MECHEXP-d311a1b9c3c1f09da17bb6db|MECHEXP-dd4321f3d253eb77144ae677|MECHEXP-e7c51a2fba2e45f3fb63e983|MECHEXP-f2c66fed0334dc388611b336|MECHEXP-f3d87ce5044febd6c90f0bfc|MECHEXP-feb0cbcc62d64e134f292bd2,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,21,5
