MIME_type,SHA_256,administrative_source_type,analytical_rows_extracted,byte_size,candidate_fanout,canonical_payload_id,canonical_retained_source_ids,canonical_source_fanout,canonical_source_record_ids,claim_fanout,deferred_queue,department_scope,detected_file_type,diagnostic_full_text_persisted,diagnostics_json,duplicate_retained_source_ids,event_fanout,expected_claim_upgrade_tags,extraction_priority,extraction_ready,inspected_at,inspection_runtime_seconds,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,municipality,ocr_performed,original_filename,payload_origin,period,primary_extraction_queue,prior_retained_source_reuse_ids,readiness_lane_id,readiness_lane_sequence,readiness_reason_codes,readiness_result_id,readiness_status,review_priority,secondary_processing_hints,secondary_source_families,side_scope,source_family,source_quality,state,version_relationship_ids
application/pdf,7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b,payroll_roster,0,641811,1,EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,EXTSOURCE-0001d1c2c0d00a9d04d43cb9,1,EXTREADYQ-3545b170bdc732ba58f96aa7,5,,side_independent,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":76,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.5\r\n%µµµµ\r"",""sampled_image_object_count"":0,""sampled_page_count"":5,""sampled_text_characters"":12723,""valid_pdf_signature"":true}",,19,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T19:00:49.856531+00:00,0.085524,EXTCAND-face135d7eb4850fb2777bdf,,MECHEXP-0a5ffef669e0c313a524367b|MECHEXP-1ec3ba98b10075af61174545|MECHEXP-22fcec4ded73ce00dc708256|MECHEXP-3d0f5f6dd72df46958a903e8|MECHEXP-4a19bf20a03ea846c78f1fec|MECHEXP-67b346ce72c31e9ac0d56eed|MECHEXP-6850c7634b58ad40335e8cd7|MECHEXP-6c9b2575947d896976ba6ded|MECHEXP-7bdbb117b13f9c85c1fbfd1a|MECHEXP-904daef7c909fd44e63b65c4|MECHEXP-91bedcc3759b16550f9aedfc|MECHEXP-9c9bd6d111e936e7b1aaf882|MECHEXP-aea193d0817fa1a6cfcb897a|MECHEXP-c053fe8baf45fd8420dd1a5a|MECHEXP-ea5dd33ef9cd429d763807ee|MECHEXP-eae62264c722357462d142e4,ROOTCOMP-2bd80b90004df8c40043a1c9|ROOTCOMP-36f76234fe1c0afa7230e10f|ROOTCOMP-db957cfd50d6dc21f6ee0133,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b.pdf,Siler City,False,SL2026-40.pdf,current_30_gib_store,2026,parse_text_pdf_extraction_queue,,readiness_lane_003,1796,usable_sampled_text_layer,EXTREADINESS-7a6c3a3ae955d1ae33e7db7f,parse_text_pdf_ready,high,,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,side_independent,multi_family_administrative_source,direct_official_administrative_record,NC,
text/html; charset=UTF-8,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac,payroll_roster,0,112559,1,EXTPAYLOAD-00036840dd1547c95ddf49b3,EXTSOURCE-00036840dd1547c95ddf49b3,1,EXTREADYQ-05ee892aced917ab99c30b4e,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":112559,""diagnostic_text_persisted"":false,""encoding"":""iso-8859-1"",""form_count"":1,""link_count"":816,""navigation_density"":0.089739,""payload_bytes"":112559,""row_element_count"":0,""script_count"":18,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":61526}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:39.078361+00:00,0.008184,RESCAND-86fac417501283fd1d0e9611,,MECHEXP-24a21baeaf1d06f52bd4fd97|MECHEXP-3d09c970abb4438a6a219ccd|MECHEXP-46f1b0b852f5b05c9bf1c512|MECHEXP-c1007c49dad782232eeb287f|MECHEXP-d30fa1ecadac5322190984a1,ROOTCOMP-6ec7d2e0b8f8ad5b11bd3e7e,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac.html,Atlantic Beach,False,execrpts.php,current_30_gib_store,2025,html_text_extraction_queue,,readiness_lane_005,5,substantive_visible_html_text,EXTREADINESS-ddc323c5a405da71ed7e3fc0,html_text_ready,high,,implementation_confirmation,unclear,payroll_and_earnings,official_administrative_summary,NC,
application/pdf,2e9feec2fcf77581902e9769f558840bb62f3a04f0d9a0421d0775d505e8d97e,payroll_roster,0,109881,1,EXTPAYLOAD-000842740a46817d53deae4c,EXTSOURCE-000842740a46817d53deae4c,1,EXTREADYQ-2bc0ef8f6ba45a1ab6167849,3,,police,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":3,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.7\r%âãÏÓ\r\n"",""sampled_image_object_count"":0,""sampled_page_count"":3,""sampled_text_characters"":2509,""valid_pdf_signature"":true}",,9,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T18:57:49.692011+00:00,0.025683,RESCAND-b76487c6181ae90841d733bf,,MECHEXP-2ead77f6d068bc7f3358ba43|MECHEXP-53f2452353e7fc1ecb1aefa9|MECHEXP-756192861174b17fd3165887|MECHEXP-82c6745d8484cffacb2be3c2|MECHEXP-8de5a281eb579a1bba9d1798|MECHEXP-90a6b5195448468ea78bd83d|MECHEXP-c64e5394c50e11a2c77c6b59,ROOTCOMP-4175b19a5d0189229fe93ab2|ROOTCOMP-d7270125af4f5fd9afbbfa1b,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2e9feec2fcf77581902e9769f558840bb62f3a04f0d9a0421d0775d505e8d97e.pdf,Champion,False,Questions  Issues Running List_5-5-26.pdf,current_30_gib_store,2020,parse_text_pdf_extraction_queue,,readiness_lane_002,1796,usable_sampled_text_layer,EXTREADINESS-9c66e3f92d60d13c2b4883f1,parse_text_pdf_ready,high,,staffing_and_headcount,police,payroll_and_earnings,direct_official_administrative_record,OH,
text/html; charset=utf-8,fcf9193252ae5495aed02119dc8bef6de418384ef99c3f23f090dbe6431aff6d,payroll_roster,0,208613,1,EXTPAYLOAD-001335100368c5fa28d271eb,EXTSOURCE-001335100368c5fa28d271eb,1,EXTREADYQ-3087bcbb15eff3a3787cb739,4,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":208613,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":0,""link_count"":133,""navigation_density"":0.259766,""payload_bytes"":208613,""row_element_count"":0,""script_count"":14,""structured_data_script_count"":2,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":3463}",,13,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:39.081684+00:00,0.002885,RESCAND-e58091e14bf29c80f4385c78,,MECHEXP-1c5cb11232a1006a83cbb598|MECHEXP-283b01d60c53d9ff9387a3a1|MECHEXP-4e6f14f9d6f9c31d1b3b8075|MECHEXP-5e37e7ff7e9482999f34c44b|MECHEXP-69147ac59fac4d111f032cd0|MECHEXP-72f0ed3526fa840c4a42afbe|MECHEXP-876653681d36f34acb7b266d|MECHEXP-8bcf0128e35ea0ccaead31de|MECHEXP-c7370163c1710845985fc0e2|MECHEXP-f2dec8ae18330c12fcf20a6a,ROOTCOMP-0e73882cff2cbe8b6101bacf|ROOTCOMP-809472877af099c2bc02b747|ROOTCOMP-892fab18d54b558f8057e9f6,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/fcf9193252ae5495aed02119dc8bef6de418384ef99c3f23f090dbe6431aff6d.html,Brookfield,False,financial-reports,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_005,6,structured_data_or_dataset_signal,EXTREADINESS-f768893f464ca0c6fd10cdeb,html_structured_data_candidate,high,table_candidate,implementation_confirmation,police,payroll_and_earnings,official_administrative_summary,OH,
application/pdf,ab7a50361484f6851226b41a9fc50aa27a2fbd6696d735cdc983a678a69d1899,payroll_roster,0,325617,1,EXTPAYLOAD-001a1204ca212b6b85f43ef5,EXTSOURCE-001a1204ca212b6b85f43ef5,1,EXTREADYQ-eea9f412bc68448b57fed427,6,,non_safety,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":36,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.7\r\n%¡³Å×\r"",""sampled_image_object_count"":1,""sampled_page_count"":5,""sampled_text_characters"":6385,""valid_pdf_signature"":true}",,7,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:06:50.054728+00:00,0.062968,EXTCAND-2b1b5bcd6839ae4bfbe0c15c,,MECHEXP-1e0969577c4208fcfa2fc3c1|MECHEXP-2df5f2a6a42538e788433ed6|MECHEXP-a0e897c2673b46028c6a96a7|MECHEXP-a58461f7da39deaca4a69945|MECHEXP-b3ffa96faeb8f389bd329334|MECHEXP-c949c13630e18dd3c4251344,ROOTCOMP-08a66c1ee67147d560198849,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/ab7a50361484f6851226b41a9fc50aa27a2fbd6696d735cdc983a678a69d1899.pdf,Watertown,False,December 2025 Board Session Minutes.pdf,current_30_gib_store,2026,parse_text_pdf_extraction_queue,,readiness_lane_005,1796,usable_sampled_text_layer,EXTREADINESS-c76f6a3dd7e3039fe7b148d3,parse_text_pdf_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,non_safety,multi_family_administrative_source,direct_official_administrative_record,NY,
text/html; charset=utf-8,47e463ffa35c44071cb9a7807fd1d80b1e7c0d9ed697ac78aec28913d0af0ca6,payroll_roster,0,16960,1,EXTPAYLOAD-001ba8bdc409337d8c467913,EXTSOURCE-001ba8bdc409337d8c467913,1,EXTREADYQ-7fa59054f231714075b84a90,6,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":16960,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":29,""navigation_density"":0.028798,""payload_bytes"":16960,""row_element_count"":0,""script_count"":13,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":6727}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:57:39.132823+00:00,0.006653,EXTCAND-29cf03f93d2d594afc6e81d2,,MECHEXP-02c0fee7643a0557ed8ca866|MECHEXP-5e4fa5b6f2d5f36d6e181e40|MECHEXP-bf98c3c8b8cae711c036eb6d|MECHEXP-d56419eee3a8a2eec7270bea|MECHEXP-fadbcb4a3a5bebc5d75f359d,ROOTCOMP-cd2a3cdcbe1ff5024fd718ed,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/47e463ffa35c44071cb9a7807fd1d80b1e7c0d9ed697ac78aec28913d0af0ca6.html,North Castle,False,mem,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_002,5,substantive_visible_html_text,EXTREADINESS-bf6867d1c05a010a3e48b0d4,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,NY,
text/html; charset=UTF-8,d01e44ca1b30e12ad456a02ee62ee0ea0d8d9b1ddbb4c4ca45728270aeb51bf2,ordinance_or_resolution,0,165704,1,EXTPAYLOAD-001f6312d3c142563e4044fd,EXTSOURCE-001f6312d3c142563e4044fd,1,EXTREADYQ-e46f23f2ea71b4d164762ba8,2,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":165704,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":1,""link_count"":88,""navigation_density"":0.210024,""payload_bytes"":165704,""row_element_count"":1,""script_count"":20,""structured_data_script_count"":1,""table_count"":1,""valid_html_structure"":true,""visible_text_characters"":2886}",,5,upgrades_implementation_confirmation|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:39.084119+00:00,0.001936,RESCAND-55f667a74c880fe7d9f677df,,MECHEXP-18f1506410cbbc35f3f547a8|MECHEXP-4a16408f120d94c3bd4dc0bd|MECHEXP-7bb2defb4cc00e606b4360e4|MECHEXP-c970142a17afcea829075aee,ROOTCOMP-9a1ae9473389bc73d28446af,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d01e44ca1b30e12ad456a02ee62ee0ea0d8d9b1ddbb4c4ca45728270aeb51bf2.html,Blissfield,False,clerks-office,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_005,7,structured_data_or_dataset_signal,EXTREADINESS-3b766d8b82e8be919287b79e,html_structured_data_candidate,high,table_candidate,,unclear,implementation_confirmation,official_administrative_summary,MI,
application/pdf,40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c,payroll_roster,0,97763,1,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTSOURCE-0027da9767f30538f6a95de6,1,EXTREADYQ-d936a50adfa3cf3fd1ff4c91,2,,police,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":21,""page_height_max"":793.22,""page_height_min"":792.0,""page_width_max"":615.051,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.6\r%âãÏÓ\r\n"",""sampled_image_object_count"":1,""sampled_page_count"":5,""sampled_text_characters"":6245,""valid_pdf_signature"":true}",,6,upgrades_growth_analysis|upgrades_local_wage_comparison,extraction_priority_high,True,2026-08-05T19:06:50.128266+00:00,0.072799,RESCAND-777f40bbcb93f6aa159ce49d,,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,ROOTCOMP-7f3da6a99285651f9427bbfa,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40cfb579681cbaf5f783d3a0509840dfad4ed04f31039400a38da8119948445c.pdf,Avon,False,m2009-266.pdf,current_30_gib_store,undated-source-B4X2500LIVE-20260729-001409,parse_text_pdf_extraction_queue,,readiness_lane_005,1797,usable_sampled_text_layer,EXTREADINESS-14fcee98088356faab483d19,parse_text_pdf_ready,high,,,police,payroll_and_earnings,direct_official_administrative_record,NY,
application/pdf,97d3079bb5d1ee4b42f36c01d6d917231fe2a020634742bfb114be7ffb37324e,payroll_roster,0,2564456,1,EXTPAYLOAD-00437bb92546727dc37ba255,EXTSOURCE-00437bb92546727dc37ba255,1,EXTREADYQ-bb65e99be7bd1d532ec081aa,4,,non_safety,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":1,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":196,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.4\n%âãÏÓ\n2"",""sampled_image_object_count"":0,""sampled_page_count"":5,""sampled_text_characters"":15095,""valid_pdf_signature"":true}",,15,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:00:49.881146+00:00,0.023986,RESCAND-cbc270e3a1d31b568a24d2e4,,MECHEXP-0090c971d55d88eb59b21a70|MECHEXP-10596d6ab509734bb5ab0636|MECHEXP-44e567bda43dda6bd4d5b93f|MECHEXP-496791b4a587faf7377d377f|MECHEXP-80d2cff250f9a79b648cf252|MECHEXP-aec6e39f56159567e600bc69|MECHEXP-b7c0565006d0123ae759f5f0|MECHEXP-c020974cd161b227dbdaa876|MECHEXP-c06c65ea22fb79dc58510240|MECHEXP-c5689aee182318b89d46804a|MECHEXP-d8cb3cf99155996b23e682b1|MECHEXP-f238b26494e15183de8cf45d,ROOTCOMP-9e7bdc798793ee82db315b4e|ROOTCOMP-e8d3d7131d55faa2a6278da3|ROOTCOMP-eb5d912c4a1d565682bd0023,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/97d3079bb5d1ee4b42f36c01d6d917231fe2a020634742bfb114be7ffb37324e.pdf,Conemaugh,False,CRPT-119hrpt236.pdf,current_30_gib_store,2026,parse_text_pdf_extraction_queue,,readiness_lane_003,1797,usable_sampled_text_layer,EXTREADINESS-84414f10258e4b74e77523da,parse_text_pdf_ready,high,,implementation_confirmation,non_safety,payroll_and_earnings,direct_official_administrative_record,PA,
application/pdf,ca72b92ed16d9b3efd26be99bd7a7602331c45f07a067bbf211407f986b00a2e,payroll_roster,0,186782,1,EXTPAYLOAD-00452fdbe1df698e6d99e5fb,EXTSOURCE-00452fdbe1df698e6d99e5fb,1,EXTREADYQ-d0013988463fdfb7c3d85cb3,6,,mixed,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":11,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.7\r\n%µµµµ\r"",""sampled_image_object_count"":0,""sampled_page_count"":5,""sampled_text_characters"":9437,""valid_pdf_signature"":true}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:06:50.201284+00:00,0.07237,EXTCAND-22c848de1a96aed88fcb342a,,MECHEXP-286f84b4b4c960ed31e9effd|MECHEXP-6727d44b69876c7d80154303|MECHEXP-8fa906f85c2a654aa85ec122|MECHEXP-a96bf5f6c79155c67261a21b,ROOTCOMP-09212dc81726e39a8d417625,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/ca72b92ed16d9b3efd26be99bd7a7602331c45f07a067bbf211407f986b00a2e.pdf,Wilkins,False,_02182025-564,current_30_gib_store,2025,parse_text_pdf_extraction_queue,,readiness_lane_005,1798,usable_sampled_text_layer,EXTREADINESS-950c903146e04fd235e66621,parse_text_pdf_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,mixed,multi_family_administrative_source,direct_official_administrative_record,PA,
