state,verification_rows,verified_reachable,unavailable,blocked_or_timeout,verification_error,global_analysis_readiness
AK,72,49,16,7,0,false
AL,154,101,48,5,0,false
AR,112,77,34,1,0,false
AZ,149,90,54,4,0,false
CA,403,192,203,6,0,false
CO,141,80,60,1,0,false
CT,266,121,138,7,0,false
DE,54,52,2,0,0,false
FL,177,90,78,8,0,false
GA,179,131,44,3,0,false
IA,161,127,31,3,0,false
ID,104,74,25,5,0,false
IL,429,270,155,4,0,false
IN,202,162,37,3,0,false
KS,149,99,47,2,0,false
KY,165,111,53,1,0,false
LA,145,121,12,12,0,false
MA,377,105,272,0,0,false
MD,123,76,47,0,0,false
ME,185,142,43,0,0,false
MI,307,208,93,6,0,false
MN,200,156,37,7,0,false
MO,188,104,84,0,0,false
MS,38,28,4,6,0,false
MT,120,96,19,5,0,false
NC,192,127,62,2,0,false
ND,106,97,6,3,0,false
NE,136,102,32,2,0,false
NH,198,74,112,12,0,false
NJ,281,161,120,0,0,false
NM,80,59,15,6,0,false
NV,18,17,1,0,0,false
NY,252,180,72,0,0,false
OH,253,208,44,1,0,false
OK,167,103,59,5,0,false
OR,148,76,66,6,0,false
PA,314,217,95,1,1,false
RI,99,62,37,0,0,false
SC,119,97,22,0,0,false
SD,120,95,16,9,0,false
TN,130,96,33,1,0,false
TX,266,148,116,2,0,false
UT,173,130,38,5,0,false
VA,164,98,58,8,0,false
VT,148,112,36,0,0,false
WA,219,117,95,7,0,false
WI,215,159,53,3,0,false
WV,99,62,36,1,0,false
WY,77,65,8,4,0,false
