residual_target_id,raw_target_id,raw_row_number,search_wave,prior_compacted_target_id,municipality,state,period,side_scope,department_scope,external_data_family,missingness_id,missing_external_variable,current_claim_family,current_evidence_status,likely_source_family,expected_claim_upgrade,search_priority,linked_root_event_id,linked_mechanism_exposure_event_ids,query_primary,query_repair,terminal_without_search,lane_id,lane_sequence,raw_resolution
RESIDUAL-38a19578ff54a9f6f508a9b5,EXTTARGET-f8eda1665e10774eddcb66b4,6,external_search_wave_002_exhaustive_residual,EXTSEARCH-74473e66fbe11e22e1bc4f2c,Abernathy,TX,2022,unclear,unclear,benefits_and_total_compensation,EXTMISS-d63db3b5740d1a2c740cf5c9,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",other_pay_setting_mechanism,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-c789f6897998d9512609bfa1,MECHEXP-5f4521b9369775d1602d4908|MECHEXP-60ede34f10784dc1b9799eca|MECHEXP-9db7e2278f4905d0d483eb23|MECHEXP-be3329ecadf0607aa1c0fe67,"""Abernathy"" ""TX"" ""2022"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Abernathy"" ""TX"" 2022 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,1,linked_to_compacted_live_target
RESIDUAL-640a8a4b39d834f769cb36ac,EXTTARGET-732cbee68552bb1a2c0cfdd2,11,external_search_wave_002_exhaustive_residual,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,unclear,tenure_and_progression,EXTMISS-c08bd2bca62a4ade6653443f,"employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier",retroactivity_implementation,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",distinguishes contractual progression from compositional or tenure differences,Tier 2,ROOTCOMP-2134158ea02e9cb8124a94ff,MECHEXP-04805b78bb1baff2a9ab7605|MECHEXP-29fa124156ef8ef95a887799|MECHEXP-7c029682218cdbf0adcdace5|MECHEXP-a345640ab1c506147745a4ea|MECHEXP-ab5d38f326f594af29447eb5|MECHEXP-eb8d1aa10444798557d46573,"""Acworth"" ""NH"" ""undated-source-B4X2500LIVE-20260729-006176"" unclear unclear employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Acworth"" ""NH"" undated-source-B4X2500LIVE-20260729-006176 tenure_and_progression employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,2,linked_to_compacted_live_target
RESIDUAL-cdfa86db8d821c9e91f19716,EXTTARGET-5606e73d54c240cf25691331,17,external_search_wave_002_exhaustive_residual,EXTSEARCH-0bc1f4a7337938440a02af2c,Adams,PA,2026,police,police,recruitment_and_retention,EXTMISS-f30aed3cd1b39e74f4b3a3c3,"applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies",other_pay_setting_mechanism,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests recruitment and retention pressure with comparable administrative outcomes,Tier 1,ROOTCOMP-1a63c59c9fabdbe7a1eb44b3,MECHEXP-3fdb630cb5ae7c41486bb587|MECHEXP-82597e9d414b37ea71911cd0|MECHEXP-b3b57adf0a1def89bf064213|MECHEXP-d70c5396bc23fa3593719eb7,"""Adams"" ""PA"" ""2026"" police police applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""PA"" 2026 recruitment_and_retention applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,3,linked_to_compacted_live_target
RESIDUAL-e560c40adc41ebbda2f8fc05,EXTTARGET-6ae537c81cbf0735919cec95,24,external_search_wave_002_exhaustive_residual,EXTSEARCH-692269f10e344434298a7739,Adams,WI,2024,non_safety,non_safety,recruitment_and_retention,EXTMISS-47942aa45726ea57e8384fc8,"applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests recruitment and retention pressure with comparable administrative outcomes,Tier 1,ROOTCOMP-d8da717fb16c45f92c9b5d49,MECHEXP-2278935578c369dc012f46e3|MECHEXP-51117b6b219b66ab9eb6d42c|MECHEXP-e8999630fc77a54139e5725c|MECHEXP-ff0bec2e139abef2e21abbe8,"""Adams"" ""WI"" ""2024"" non_safety non_safety applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""WI"" 2024 recruitment_and_retention applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,4,linked_to_compacted_live_target
RESIDUAL-1d3085abb26d934d27e0498e,EXTTARGET-c7f8d2a0a444d086e1dcb909,29,external_search_wave_002_exhaustive_residual,EXTSEARCH-c2f486f9f3334e9133faee17,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,unclear,payroll_and_earnings,EXTMISS-bd98d2d0f07dff100afeacbe,"actual wages paid, total earnings, overtime, premiums, retroactive payments",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",upgrades implementation from documented term to paid outcome,Tier 1,ROOTCOMP-4134eb3da21c42cad30bd5b1,MECHEXP-0202a7aaeb617270c4fde2d9|MECHEXP-5176388fda0afd08d8060dd1|MECHEXP-5a05ce861e4e7b1a6972999b|MECHEXP-5fd35b37e319dac107f0b8e4|MECHEXP-c04c7579c06610e11e7be989,"""Adams"" ""WI"" ""undated-source-B4X2500LIVE-20260729-000902"" unclear unclear actual wages paid, total earnings, overtime, premiums, retroactive payments retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""WI"" undated-source-B4X2500LIVE-20260729-000902 payroll_and_earnings actual wages paid, total earnings, overtime, premiums, retroactive payments (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,5,linked_to_compacted_live_target
RESIDUAL-529f4223457a5931596f9de3,EXTTARGET-003e8be84e428edfddef0d7e,35,external_search_wave_002_exhaustive_residual,,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,unclear,urbanicity_and_context,EXTMISS-be26408c2fafb0984b32c216,"authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",enables hex-density placement and contextual interpretation,Tier 2,,,"""Adams"" ""WI"" ""undated-source-B4X2500LIVE-20260729-000902"" unclear unclear authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""WI"" undated-source-B4X2500LIVE-20260729-000902 urbanicity_and_context authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime (site:.gov OR site:.us) filetype:pdf",resolved_by_authoritative_bulk_join,residual_search_lane_005,6,target_resolved_by_authoritative_bulk_join
RESIDUAL-f5ea4be429898d5205e5e790,EXTTARGET-a07fb5fa2f37666c75795a2e,41,external_search_wave_002_exhaustive_residual,EXTSEARCH-5f859efaf6056d04070de06c,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,unclear,benefits_and_total_compensation,EXTMISS-c42dcb608aebc39138b80c26,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-fc49bcf3fb8f8675662c1ef3,MECHEXP-0b405a1e9585bd4b83b7e942|MECHEXP-2e4f8f32e43ca2cda36d91e9|MECHEXP-b951577bf5151b91279148e2|MECHEXP-f2629b14757ccf1af7c66d3f,"""Addison"" ""IL"" ""undated-source-RS429-728fa34f79dffe429f1c"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Addison"" ""IL"" undated-source-RS429-728fa34f79dffe429f1c benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,7,linked_to_compacted_live_target
RESIDUAL-8c984aa59f7fce2ae800081b,EXTTARGET-82694dda3d6ce9f5a76edb62,47,external_search_wave_002_exhaustive_residual,EXTSEARCH-ed1e2fefaf60f8c5b6d69f46,Afton,KS,2025,unclear,unclear,implementation,EXTMISS-bd7eb6cd8257a30efd849798,"payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation",across_the_board_raise,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",confirms whether negotiated or adopted terms became operative and paid,Tier 1,ROOTCOMP-9fdaf9b547fac53e2c57a4aa,MECHEXP-46950f8d865d4408df6a5948|MECHEXP-4c0df2778a00e479059ac5a9|MECHEXP-abac30929fbf97a7eb024387|MECHEXP-d3a1d849d8dea7cf564796ac|MECHEXP-d99a294b9f5bec8fd0a6e5de|MECHEXP-fa61f462cf001d06fc6fae1c,"""Afton"" ""KS"" ""2025"" unclear unclear payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation across_the_board_raise municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Afton"" ""KS"" 2025 implementation payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,8,linked_to_compacted_live_target
RESIDUAL-8477e518066116ef4ec2dd32,EXTTARGET-a1a33ef0f819c147a7176dd5,53,external_search_wave_002_exhaustive_residual,EXTSEARCH-c97d8fd862124d4723bc54ee,Alaiedon,MI,2022,unclear,unclear,tenure_and_progression,EXTMISS-cc4ab5f7f2302d92ea20f43c,"employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",distinguishes contractual progression from compositional or tenure differences,Tier 2,ROOTCOMP-3217f1650f2ef8694d0aad14,MECHEXP-740de3ec351913151ee0ac97|MECHEXP-bdeb3fd11deeb96b724b6aa9|MECHEXP-e883c27e8f542f27847c672c|MECHEXP-faa4f2535fd46fb0eaa7f80a,"""Alaiedon"" ""MI"" ""2022"" unclear unclear employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Alaiedon"" ""MI"" 2022 tenure_and_progression employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,9,linked_to_compacted_live_target
RESIDUAL-a7626a265c84b7c11c86cbef,EXTTARGET-c9323eaa564e2124c202c6cf,58,external_search_wave_002_exhaustive_residual,EXTSEARCH-b866271979411a3a4a7389f6,Alban,WI,2022,unclear,unclear,staffing_and_headcount,EXTMISS-dbb6dc2344c1bcdba2494804,"authorized positions, filled positions, vacancy rate, layoffs, attrition",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests vacancy and staffing-reduction mechanisms with denominators,Tier 1,ROOTCOMP-f6a5356e1966b7ce1b190a17,MECHEXP-1d18f861ab95897d6507967d|MECHEXP-2af5ee42b1ee515661efb39c|MECHEXP-7a799fefb30950d6b3770e07|MECHEXP-ab700f378f74232929f1fce7,"""Alban"" ""WI"" ""2022"" unclear unclear authorized positions, filled positions, vacancy rate, layoffs, attrition budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Alban"" ""WI"" 2022 staffing_and_headcount authorized positions, filled positions, vacancy rate, layoffs, attrition (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,10,linked_to_compacted_live_target
RESIDUAL-fad6c71cb9f31e60db74a66e,EXTTARGET-be0b67a27006a4050f39e53f,64,external_search_wave_002_exhaustive_residual,EXTSEARCH-61c3a015d2296b0e0782b2ba,Albion,IN,2024,safety_combined,safety_combined,payroll_and_earnings,EXTMISS-42b2ed331b514678e3858145,"actual wages paid, total earnings, overtime, premiums, retroactive payments",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",upgrades implementation from documented term to paid outcome,Tier 1,ROOTCOMP-1564f55f3fa6ddb08a4c33b6,MECHEXP-012cc36548df9cf33955be65|MECHEXP-0e88a823884d8f830657976b|MECHEXP-8a30b9ba238b18ff28cc4451|MECHEXP-ad6a5a322d6e2def0bdcc67a|MECHEXP-e320c724c973355ff0676021,"""Albion"" ""IN"" ""2024"" safety_combined safety_combined actual wages paid, total earnings, overtime, premiums, retroactive payments retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Albion"" ""IN"" 2024 payroll_and_earnings actual wages paid, total earnings, overtime, premiums, retroactive payments (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,11,linked_to_compacted_live_target
