duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,confidence,raw_target_id
RESCAND-eeaf20b0eca2976e5d9c5e2a,RESCAND-08f7309045ff2b4e4cc580e6,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-5ba3abab546d39a7df99faba,RESCAND-ee86ab800683c54a4551bc4b,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-a38d1e891ba919c13f711034,RESCAND-00b397e0e938ebbac6db1dc5,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-53b0697a4049df8474ff6571,RESCAND-fcd58832035f7e6990725192,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-c475ecd8f37879840479d2ca,EXTCAND-596c2cae4d00b27588501cf2,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-bd50eee52528b20997f24881,EXTCAND-0c3b556d542788cbfe6725be,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-d48cf25f6226edabb84ad6b0,EXTCAND-d1ffe615d2c9209be2c018d1,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-37896ee0d5af3c511a19e65a,RESCAND-5b4a41a1311b102d74764e36,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-dffa9659852f267e5bc3a5e1,RESCAND-ac40b651575af783c2ae311c,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-ac45dffefd04d9d1d81845c5,EXTCAND-2a89328aacc118477740b9e2,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-4f7edbdf36126408a2cff1db,RESCAND-4f7edbdf36126408a2cff1db,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
RESCAND-20f9eb4d85b3a7f01dc46531,RESCAND-20f9eb4d85b3a7f01dc46531,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-ee68f2423a8fb9c7dd8045c8
