call_type,candidate_source_count,failure_class,finished_at,input_tokens,lane_id,output_tokens,query,query_version,raw_target_id,reasoning_tokens,residual_target_id,response_id_present,retry_linkage,search_call_id,started_at,terminal_status,total_tokens
production_primary,24,,2026-08-05T01:50:23.701012+00:00,12570,residual_search_lane_001,1415,"""Abernathy"" ""TX"" ""2022"" unclear unclear actual wages paid, total earnings, overtime, premiums, retroactive payments other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-493914af4730faa15f168204,151,RESIDUAL-6d26167a32c98f28670ecd84,True,,RESCALL-fdcf76d64a287bada6446152,2026-08-05T01:50:05.642108+00:00,success,13985
production_primary,27,,2026-08-05T01:52:44.453701+00:00,8736,residual_search_lane_001,833,"""Acworth"" ""NH"" ""undated-source-B4X2500LIVE-20260729-006176"" unclear unclear payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-e9404658cb490feb084cb0ae,78,RESIDUAL-f75e64eaa2fda9e6b0f550ab,True,,RESCALL-b34ba75114ed84933040443a,2026-08-05T01:52:33.396110+00:00,success,9569
production_primary,26,,2026-08-05T01:52:52.130720+00:00,8761,residual_search_lane_001,870,"""Adams"" ""PA"" ""2026"" police police payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-b9e191de295ac1fe92f9772a,131,RESIDUAL-cf64c06bb604edd0f8e4eb7c,True,,RESCALL-0e956a54666f6347aeef2e2a,2026-08-05T01:52:44.455810+00:00,success,9631
production_primary,21,,2026-08-05T01:53:00.503882+00:00,8401,residual_search_lane_001,902,"""Adams"" ""WI"" ""2024"" non_safety non_safety employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-90593a1242ae3ec19efbca1f,114,RESIDUAL-bcb20c9fa0610525c3012e0c,True,,RESCALL-286f5e0d5ccddbac0e1505a4,2026-08-05T01:52:52.134092+00:00,success,9303
production_primary,34,,2026-08-05T01:53:07.773291+00:00,8822,residual_search_lane_001,849,"""Adams"" ""WI"" ""undated-source-B4X2500LIVE-20260729-000902"" unclear unclear authorized positions, filled positions, vacancy rate, layoffs, attrition retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-a19e82e52e2ac140333213da,124,RESIDUAL-27093cef87f55634382168e9,True,,RESCALL-83cdd1e4f3d536c744003075,2026-08-05T01:53:00.505302+00:00,success,9671
production_primary,26,,2026-08-05T01:53:13.884970+00:00,8768,residual_search_lane_001,672,"""Addison"" ""IL"" ""undated-source-RS429-728fa34f79dffe429f1c"" unclear unclear actual wages paid, total earnings, overtime, premiums, retroactive payments budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-9aae871dd91635ea1238018c,113,RESIDUAL-9420029fec7c59fef1ae52b4,True,,RESCALL-3e814d890a5f7c180ecfb9b0,2026-08-05T01:53:07.777217+00:00,success,9440
production_primary,15,,2026-08-05T01:53:21.447259+00:00,8693,residual_search_lane_001,649,"""Afton"" ""KS"" ""2025"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects across_the_board_raise municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-598c98298df0bed92198f739,114,RESIDUAL-351d06fc539f72a7ea5b645e,True,,RESCALL-6e6748383588a917ab60cc06,2026-08-05T01:53:13.887056+00:00,success,9342
production_primary,28,,2026-08-05T01:53:29.668893+00:00,8755,residual_search_lane_001,1063,"""Alaiedon"" ""MI"" ""2022"" unclear unclear payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-67e94bacdd76f32340f17c25,125,RESIDUAL-f533f51bbb041e089d235b08,True,,RESCALL-8936f6c97cadb97e2606c666,2026-08-05T01:53:21.449945+00:00,success,9818
production_primary,23,,2026-08-05T01:53:36.428968+00:00,8728,residual_search_lane_001,764,"""Alban"" ""WI"" ""2022"" unclear unclear applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-89bba986fc0a41b5dcb4ae49,111,RESIDUAL-41a8ea7f5f8a5dbed01cd80d,True,,RESCALL-aa0217b421dde3a5c6007612,2026-08-05T01:53:29.671983+00:00,success,9492
production_primary,21,,2026-08-05T01:53:43.562619+00:00,8810,residual_search_lane_001,826,"""Albion"" ""IN"" ""2024"" safety_combined safety_combined authorized positions, filled positions, vacancy rate, layoffs, attrition retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-d7720d4764921f0a6ddc6f4c,132,RESIDUAL-015f8905b908eb23ea490622,True,,RESCALL-8bb636c408a3265757586e70,2026-08-05T01:53:36.432892+00:00,success,9636
production_primary,28,,2026-08-05T01:53:53.414761+00:00,8678,residual_search_lane_001,760,"""Albion"" ""NY"" ""undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57"" non_safety non_safety actual wages paid, total earnings, overtime, premiums, retroactive payments budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-6ba24dbe0752b9a979db1d6c,106,RESIDUAL-7d9ad32eeb276cb2de354186,True,,RESCALL-c1ee867ca225a3bb64bb808a,2026-08-05T01:53:43.565678+00:00,success,9438
production_primary,38,,2026-08-05T01:54:05.968536+00:00,12959,residual_search_lane_001,1132,"""Alburtis"" ""PA"" ""2018"" police police payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-f0d7434b2b42103487659be6,269,RESIDUAL-f8124c8013b61da172524f54,True,,RESCALL-b775eabc0b6dabfd796916c3,2026-08-05T01:53:53.420133+00:00,success,14091
production_primary,31,,2026-08-05T01:54:13.893819+00:00,8903,residual_search_lane_001,1033,"""Alburtis"" ""PA"" ""2018"" police police employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-60374cc8b2f34662150b085c,142,RESIDUAL-8df7fea5273cecc33a7d3b5e,True,,RESCALL-4e06632da2839a56e4f92460,2026-08-05T01:54:05.971794+00:00,success,9936
production_primary,42,,2026-08-05T01:54:24.743195+00:00,13043,residual_search_lane_001,1338,"""Alburtis"" ""PA"" ""2026"" unclear unclear applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-434c3c03973c7901f0414a35,229,RESIDUAL-c0953c5a712613bb9f66f0f9,True,,RESCALL-8796f20f25a8af180b1d8b3e,2026-08-05T01:54:13.898490+00:00,success,14381
production_primary,54,,2026-08-05T01:54:34.795736+00:00,13111,residual_search_lane_001,996,"""Alden"" ""NY"" ""2024"" police police authorized positions, filled positions, vacancy rate, layoffs, attrition retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-750ec50787b0ec311e0da925,235,RESIDUAL-90090e352ca45f50570568d2,True,,RESCALL-58e2387d04abef44befba815,2026-08-05T01:54:24.749472+00:00,success,14107
production_primary,25,,2026-08-05T01:54:46.554835+00:00,8800,residual_search_lane_001,1638,"""Alden"" ""NY"" ""2025"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-b3d5a71407edc290d8d91d97,120,RESIDUAL-0bd069cf4d1627d40be28a3d,True,,RESCALL-b30e2e7c1ddfc1a375e3c99c,2026-08-05T01:54:34.803377+00:00,success,10438
production_primary,33,,2026-08-05T01:54:59.417603+00:00,8806,residual_search_lane_001,1272,"""Alden"" ""NY"" ""undated-source-B4X2500LIVE-20260729-003896"" unclear unclear payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-9f0d9cb2aca4b4f09deb9ef3,103,RESIDUAL-f8bf1c61b8f3e743b973a7f6,True,,RESCALL-29d081fb8df57849e2664e73,2026-08-05T01:54:46.558583+00:00,success,10078
production_primary,28,,2026-08-05T01:55:08.630415+00:00,8807,residual_search_lane_001,1034,"""Alden"" ""NY"" ""undated-source-B4X2500LIVE-20260729-003896"" unclear unclear applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-9322ce290981e2d6c68c8ba7,119,RESIDUAL-0e51263e1c90d59453240645,True,,RESCALL-0c405cc7b4c275489090d718,2026-08-05T01:54:59.421353+00:00,success,9841
production_primary,29,,2026-08-05T01:55:15.774790+00:00,8859,residual_search_lane_001,823,"""Alexandria"" ""NJ"" ""2025"" unclear unclear actual wages paid, total earnings, overtime, premiums, retroactive payments retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-bb7307bfa88a8717ea987872,114,RESIDUAL-cd9206223a3c9b3a3f8f898b,True,,RESCALL-d3e02e6158e4bc8c62a169d1,2026-08-05T01:55:08.634784+00:00,success,9682
production_primary,24,,2026-08-05T01:55:26.840386+00:00,8742,residual_search_lane_001,1333,"""Alexandria"" ""NJ"" ""2026"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-d1df13c315d893a952ce8469,131,RESIDUAL-8724ef01adeb3a673783df52,True,,RESCALL-23eeb8e0f34d0f85869b3d30,2026-08-05T01:55:15.778221+00:00,success,10075
production_primary,27,,2026-08-05T01:55:38.913988+00:00,8751,residual_search_lane_001,1138,"""Alexandria"" ""NJ"" ""2026"" unclear unclear employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-3eff332c07eec318bd151e40,109,RESIDUAL-d33e664ae7ca0fa52e064df4,True,,RESCALL-33e395374a57f598c67dc877,2026-08-05T01:55:26.844501+00:00,success,9889
production_primary,50,,2026-08-05T01:55:52.293586+00:00,13165,residual_search_lane_001,1035,"""Alfred"" ""NY"" ""undated-source-B4X2500LIVE-20260729-008894"" police police authorized positions, filled positions, vacancy rate, layoffs, attrition retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-f643d8ae35c4acf0c946386c,208,RESIDUAL-15ed5605b135ec8c4e0bccb5,True,,RESCALL-9469e875dcdc647b6119b9d2,2026-08-05T01:55:38.916094+00:00,success,14200
production_primary,48,,2026-08-05T01:56:04.964050+00:00,12853,residual_search_lane_001,1169,"""Alfred"" ""NY"" ""undated-source-B4X2500LIVE-20260729-008894"" police police actual wages paid, total earnings, overtime, premiums, retroactive payments retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-6fe6cd47d6e47cf055135f76,190,RESIDUAL-6b440744b9c37f7b314ab6dc,True,,RESCALL-e55090504623750029a82fca,2026-08-05T01:55:52.297561+00:00,success,14022
production_primary,29,,2026-08-05T01:56:14.789607+00:00,8886,residual_search_lane_001,1124,"""Alfred"" ""NY"" ""undated-source-B4X2500LIVE-20260729-008894"" police police pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record",wave2_event_specific_v1,EXTTARGET-6c91d684111afcffa75b0ce7,130,RESIDUAL-cbd9ea566802be4e90800e7b,True,,RESCALL-02ecd52301a5e5c82139fad4,2026-08-05T01:56:04.968030+00:00,success,10010
