raw_row_number,raw_target_id,classification,prior_compacted_target_id,raw_resolution,terminal_without_search
1,EXTTARGET-493914af4730faa15f168204,residual,EXTSEARCH-74473e66fbe11e22e1bc4f2c,linked_to_compacted_live_target,
2,EXTTARGET-211fe64ad3075bd0a6da0895,residual,EXTSEARCH-74473e66fbe11e22e1bc4f2c,linked_to_compacted_live_target,
3,EXTTARGET-e1f155ebe99cdaa898c0a8ca,residual,EXTSEARCH-74473e66fbe11e22e1bc4f2c,linked_to_compacted_live_target,
4,EXTTARGET-0188f5c6972e4f91f825d22b,canonical_primary_representative,EXTSEARCH-74473e66fbe11e22e1bc4f2c,linked_to_compacted_live_target,prior_wave_primary_representative
5,EXTTARGET-621e831eb8b0f4623adde551,residual,EXTSEARCH-74473e66fbe11e22e1bc4f2c,linked_to_compacted_live_target,
6,EXTTARGET-f8eda1665e10774eddcb66b4,residual,EXTSEARCH-74473e66fbe11e22e1bc4f2c,linked_to_compacted_live_target,
7,EXTTARGET-9307bfd155e1b200b702141f,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
8,EXTTARGET-d4bc9d884677d7f7ee8b2443,residual,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,linked_to_compacted_live_target,
9,EXTTARGET-40c6da17f1ae752dc842181a,residual,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,linked_to_compacted_live_target,
10,EXTTARGET-ad90919b8df5381fd08ed706,residual,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,linked_to_compacted_live_target,
11,EXTTARGET-732cbee68552bb1a2c0cfdd2,residual,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,linked_to_compacted_live_target,
12,EXTTARGET-e9404658cb490feb084cb0ae,residual,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,linked_to_compacted_live_target,
13,EXTTARGET-0f84a6a89e51918691996006,canonical_primary_representative,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,linked_to_compacted_live_target,prior_wave_primary_representative
14,EXTTARGET-9beeefa9eddb29dbb57a3e48,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
15,EXTTARGET-68b2c58904403e43762706ad,residual,EXTSEARCH-0bc1f4a7337938440a02af2c,linked_to_compacted_live_target,
16,EXTTARGET-cfe92f1a324495d53e0a836f,residual,EXTSEARCH-0bc1f4a7337938440a02af2c,linked_to_compacted_live_target,
17,EXTTARGET-5606e73d54c240cf25691331,residual,EXTSEARCH-0bc1f4a7337938440a02af2c,linked_to_compacted_live_target,
18,EXTTARGET-15805e054d60f214f7ea157a,canonical_primary_representative,EXTSEARCH-0bc1f4a7337938440a02af2c,linked_to_compacted_live_target,prior_wave_primary_representative
19,EXTTARGET-b9e191de295ac1fe92f9772a,residual,EXTSEARCH-0bc1f4a7337938440a02af2c,linked_to_compacted_live_target,
20,EXTTARGET-aca8ec962b98cf0f46f78a97,residual,EXTSEARCH-0bc1f4a7337938440a02af2c,linked_to_compacted_live_target,
21,EXTTARGET-f62a29d54d1c31c2ebc0abff,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
22,EXTTARGET-3ca6ce8de63acc34ba662d6e,canonical_primary_representative,EXTSEARCH-692269f10e344434298a7739,linked_to_compacted_live_target,prior_wave_primary_representative
23,EXTTARGET-9a470edbc2fa9e37f75fab35,residual,EXTSEARCH-692269f10e344434298a7739,linked_to_compacted_live_target,
24,EXTTARGET-6ae537c81cbf0735919cec95,residual,EXTSEARCH-692269f10e344434298a7739,linked_to_compacted_live_target,
25,EXTTARGET-90593a1242ae3ec19efbca1f,residual,EXTSEARCH-692269f10e344434298a7739,linked_to_compacted_live_target,
26,EXTTARGET-5e44f143af1dfa1462465333,residual,EXTSEARCH-692269f10e344434298a7739,linked_to_compacted_live_target,
27,EXTTARGET-4242cdc4e61e3ba7605171f9,residual,EXTSEARCH-692269f10e344434298a7739,linked_to_compacted_live_target,
28,EXTTARGET-05b62574067decbf6a310d39,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
29,EXTTARGET-c7f8d2a0a444d086e1dcb909,residual,EXTSEARCH-c2f486f9f3334e9133faee17,linked_to_compacted_live_target,
30,EXTTARGET-a19e82e52e2ac140333213da,residual,EXTSEARCH-c2f486f9f3334e9133faee17,linked_to_compacted_live_target,
31,EXTTARGET-e116f58b6e96dbc4174cd8c8,residual,EXTSEARCH-c2f486f9f3334e9133faee17,linked_to_compacted_live_target,
32,EXTTARGET-f5adbf1719ec3bb29efc2e66,residual,EXTSEARCH-c2f486f9f3334e9133faee17,linked_to_compacted_live_target,
33,EXTTARGET-78183e8682866acbd0d89c64,residual,EXTSEARCH-c2f486f9f3334e9133faee17,linked_to_compacted_live_target,
34,EXTTARGET-1ed39590e0d1baddc55b167d,canonical_primary_representative,EXTSEARCH-c2f486f9f3334e9133faee17,linked_to_compacted_live_target,prior_wave_primary_representative
35,EXTTARGET-003e8be84e428edfddef0d7e,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
36,EXTTARGET-9aae871dd91635ea1238018c,residual,EXTSEARCH-5f859efaf6056d04070de06c,linked_to_compacted_live_target,
37,EXTTARGET-39b0887244f01707a4888b35,residual,EXTSEARCH-5f859efaf6056d04070de06c,linked_to_compacted_live_target,
38,EXTTARGET-f3b3b6cff6e7eca4a8d705da,residual,EXTSEARCH-5f859efaf6056d04070de06c,linked_to_compacted_live_target,
39,EXTTARGET-1d5a304dc1c3d8bb207c1d9d,canonical_primary_representative,EXTSEARCH-5f859efaf6056d04070de06c,linked_to_compacted_live_target,prior_wave_primary_representative
40,EXTTARGET-c84d0e4cd8d4e71eca28b6e1,residual,EXTSEARCH-5f859efaf6056d04070de06c,linked_to_compacted_live_target,
41,EXTTARGET-a07fb5fa2f37666c75795a2e,residual,EXTSEARCH-5f859efaf6056d04070de06c,linked_to_compacted_live_target,
42,EXTTARGET-9eb72c52c526c89f047e15cd,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
43,EXTTARGET-b0dcc6c2ea3267e072d569b1,residual,EXTSEARCH-ed1e2fefaf60f8c5b6d69f46,linked_to_compacted_live_target,
44,EXTTARGET-db440ca3c6d8d2695d1d5cc0,residual,EXTSEARCH-ed1e2fefaf60f8c5b6d69f46,linked_to_compacted_live_target,
45,EXTTARGET-4b5c215a85bdf54bac047094,canonical_primary_representative,EXTSEARCH-ed1e2fefaf60f8c5b6d69f46,linked_to_compacted_live_target,prior_wave_primary_representative
46,EXTTARGET-7d7e203112b18164c628a90d,residual,EXTSEARCH-ed1e2fefaf60f8c5b6d69f46,linked_to_compacted_live_target,
