residual_target_id,raw_target_id,raw_row_number,search_wave,prior_compacted_target_id,municipality,state,period,side_scope,department_scope,external_data_family,missingness_id,missing_external_variable,current_claim_family,current_evidence_status,likely_source_family,expected_claim_upgrade,search_priority,linked_root_event_id,linked_mechanism_exposure_event_ids,query_primary,query_repair,terminal_without_search,lane_id,lane_sequence,raw_resolution
RESIDUAL-0dd02b34562be4fd7346f393,EXTTARGET-e1f155ebe99cdaa898c0a8ca,3,external_search_wave_002_exhaustive_residual,EXTSEARCH-74473e66fbe11e22e1bc4f2c,Abernathy,TX,2022,unclear,unclear,recruitment_and_retention,EXTMISS-238a0ba22372dbcb5383e4ec,"applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies",other_pay_setting_mechanism,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests recruitment and retention pressure with comparable administrative outcomes,Tier 1,ROOTCOMP-c789f6897998d9512609bfa1,MECHEXP-5f4521b9369775d1602d4908|MECHEXP-60ede34f10784dc1b9799eca|MECHEXP-9db7e2278f4905d0d483eb23|MECHEXP-be3329ecadf0607aa1c0fe67,"""Abernathy"" ""TX"" ""2022"" unclear unclear applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Abernathy"" ""TX"" 2022 recruitment_and_retention applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,1,linked_to_compacted_live_target
RESIDUAL-9e7f644d45ff7209da66db33,EXTTARGET-40c6da17f1ae752dc842181a,9,external_search_wave_002_exhaustive_residual,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,unclear,staffing_and_headcount,EXTMISS-fdf6802b677d755bb5439613,"authorized positions, filled positions, vacancy rate, layoffs, attrition",retroactivity_implementation,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests vacancy and staffing-reduction mechanisms with denominators,Tier 1,ROOTCOMP-2134158ea02e9cb8124a94ff,MECHEXP-04805b78bb1baff2a9ab7605|MECHEXP-29fa124156ef8ef95a887799|MECHEXP-7c029682218cdbf0adcdace5|MECHEXP-a345640ab1c506147745a4ea|MECHEXP-ab5d38f326f594af29447eb5|MECHEXP-eb8d1aa10444798557d46573,"""Acworth"" ""NH"" ""undated-source-B4X2500LIVE-20260729-006176"" unclear unclear authorized positions, filled positions, vacancy rate, layoffs, attrition retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Acworth"" ""NH"" undated-source-B4X2500LIVE-20260729-006176 staffing_and_headcount authorized positions, filled positions, vacancy rate, layoffs, attrition (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,2,linked_to_compacted_live_target
RESIDUAL-d8f35f7c9cd4f62cc8bd057d,EXTTARGET-68b2c58904403e43762706ad,15,external_search_wave_002_exhaustive_residual,EXTSEARCH-0bc1f4a7337938440a02af2c,Adams,PA,2026,police,police,payroll_and_earnings,EXTMISS-2d4a5d5fe40b90a1cb7aac67,"actual wages paid, total earnings, overtime, premiums, retroactive payments",other_pay_setting_mechanism,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",upgrades implementation from documented term to paid outcome,Tier 1,ROOTCOMP-1a63c59c9fabdbe7a1eb44b3,MECHEXP-3fdb630cb5ae7c41486bb587|MECHEXP-82597e9d414b37ea71911cd0|MECHEXP-b3b57adf0a1def89bf064213|MECHEXP-d70c5396bc23fa3593719eb7,"""Adams"" ""PA"" ""2026"" police police actual wages paid, total earnings, overtime, premiums, retroactive payments other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""PA"" 2026 payroll_and_earnings actual wages paid, total earnings, overtime, premiums, retroactive payments (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,3,linked_to_compacted_live_target
RESIDUAL-12ffbf39583521fef9a09e1b,EXTTARGET-f62a29d54d1c31c2ebc0abff,21,external_search_wave_002_exhaustive_residual,,Adams,PA,2026,police,police,urbanicity_and_context,EXTMISS-8d2819788074c2e4bc50b294,"authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime",other_pay_setting_mechanism,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",enables hex-density placement and contextual interpretation,Tier 2,,,"""Adams"" ""PA"" ""2026"" police police authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""PA"" 2026 urbanicity_and_context authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime (site:.gov OR site:.us) filetype:pdf",resolved_by_authoritative_bulk_join,residual_search_lane_003,4,target_resolved_by_authoritative_bulk_join
RESIDUAL-0bdd4f520695f4992805aeee,EXTTARGET-4242cdc4e61e3ba7605171f9,27,external_search_wave_002_exhaustive_residual,EXTSEARCH-692269f10e344434298a7739,Adams,WI,2024,non_safety,non_safety,benefits_and_total_compensation,EXTMISS-5e8fde23828174ee270f8101,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-d8da717fb16c45f92c9b5d49,MECHEXP-2278935578c369dc012f46e3|MECHEXP-51117b6b219b66ab9eb6d42c|MECHEXP-e8999630fc77a54139e5725c|MECHEXP-ff0bec2e139abef2e21abbe8,"""Adams"" ""WI"" ""2024"" non_safety non_safety pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""WI"" 2024 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,5,linked_to_compacted_live_target
RESIDUAL-5e18188a355f65543293761c,EXTTARGET-f5adbf1719ec3bb29efc2e66,32,external_search_wave_002_exhaustive_residual,EXTSEARCH-c2f486f9f3334e9133faee17,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,unclear,tenure_and_progression,EXTMISS-a5039a1d9f9ab801273d188b,"employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",distinguishes contractual progression from compositional or tenure differences,Tier 2,ROOTCOMP-4134eb3da21c42cad30bd5b1,MECHEXP-0202a7aaeb617270c4fde2d9|MECHEXP-5176388fda0afd08d8060dd1|MECHEXP-5a05ce861e4e7b1a6972999b|MECHEXP-5fd35b37e319dac107f0b8e4|MECHEXP-c04c7579c06610e11e7be989,"""Adams"" ""WI"" ""undated-source-B4X2500LIVE-20260729-000902"" unclear unclear employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""WI"" undated-source-B4X2500LIVE-20260729-000902 tenure_and_progression employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,6,linked_to_compacted_live_target
RESIDUAL-222b1af6dd1f85f664375389,EXTTARGET-f3b3b6cff6e7eca4a8d705da,38,external_search_wave_002_exhaustive_residual,EXTSEARCH-5f859efaf6056d04070de06c,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,unclear,recruitment_and_retention,EXTMISS-a81f32d6b81f85f7b84e67f9,"applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests recruitment and retention pressure with comparable administrative outcomes,Tier 1,ROOTCOMP-fc49bcf3fb8f8675662c1ef3,MECHEXP-0b405a1e9585bd4b83b7e942|MECHEXP-2e4f8f32e43ca2cda36d91e9|MECHEXP-b951577bf5151b91279148e2|MECHEXP-f2629b14757ccf1af7c66d3f,"""Addison"" ""IL"" ""undated-source-RS429-728fa34f79dffe429f1c"" unclear unclear applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Addison"" ""IL"" undated-source-RS429-728fa34f79dffe429f1c recruitment_and_retention applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,7,linked_to_compacted_live_target
RESIDUAL-6a1bfdf8272cf3fd98315f6f,EXTTARGET-db440ca3c6d8d2695d1d5cc0,44,external_search_wave_002_exhaustive_residual,EXTSEARCH-ed1e2fefaf60f8c5b6d69f46,Afton,KS,2025,unclear,unclear,staffing_and_headcount,EXTMISS-f2dc5d4996dc60c2674dd4c6,"authorized positions, filled positions, vacancy rate, layoffs, attrition",across_the_board_raise,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests vacancy and staffing-reduction mechanisms with denominators,Tier 1,ROOTCOMP-9fdaf9b547fac53e2c57a4aa,MECHEXP-46950f8d865d4408df6a5948|MECHEXP-4c0df2778a00e479059ac5a9|MECHEXP-abac30929fbf97a7eb024387|MECHEXP-d3a1d849d8dea7cf564796ac|MECHEXP-d99a294b9f5bec8fd0a6e5de|MECHEXP-fa61f462cf001d06fc6fae1c,"""Afton"" ""KS"" ""2025"" unclear unclear authorized positions, filled positions, vacancy rate, layoffs, attrition across_the_board_raise municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Afton"" ""KS"" 2025 staffing_and_headcount authorized positions, filled positions, vacancy rate, layoffs, attrition (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,8,linked_to_compacted_live_target
RESIDUAL-e513ec21566fc4c283e53acf,EXTTARGET-7ba30e7393b67b21b0e73f50,50,external_search_wave_002_exhaustive_residual,EXTSEARCH-c97d8fd862124d4723bc54ee,Alaiedon,MI,2022,unclear,unclear,payroll_and_earnings,EXTMISS-98cf71f2e76f3d87084c623c,"actual wages paid, total earnings, overtime, premiums, retroactive payments",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",upgrades implementation from documented term to paid outcome,Tier 1,ROOTCOMP-3217f1650f2ef8694d0aad14,MECHEXP-740de3ec351913151ee0ac97|MECHEXP-bdeb3fd11deeb96b724b6aa9|MECHEXP-e883c27e8f542f27847c672c|MECHEXP-faa4f2535fd46fb0eaa7f80a,"""Alaiedon"" ""MI"" ""2022"" unclear unclear actual wages paid, total earnings, overtime, premiums, retroactive payments budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Alaiedon"" ""MI"" 2022 payroll_and_earnings actual wages paid, total earnings, overtime, premiums, retroactive payments (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,9,linked_to_compacted_live_target
RESIDUAL-0894e3bd7190581d9dcf5d95,EXTTARGET-4580a1183cd7af33e9f52b06,56,external_search_wave_002_exhaustive_residual,,Alaiedon,MI,2022,unclear,unclear,urbanicity_and_context,EXTMISS-ae438e161d7c7f03c56d38ef,"authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",enables hex-density placement and contextual interpretation,Tier 2,,,"""Alaiedon"" ""MI"" ""2022"" unclear unclear authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Alaiedon"" ""MI"" 2022 urbanicity_and_context authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime (site:.gov OR site:.us) filetype:pdf",resolved_by_authoritative_bulk_join,residual_search_lane_003,10,target_resolved_by_authoritative_bulk_join
