residual_target_id,raw_target_id,raw_row_number,search_wave,prior_compacted_target_id,municipality,state,period,side_scope,department_scope,external_data_family,missingness_id,missing_external_variable,current_claim_family,current_evidence_status,likely_source_family,expected_claim_upgrade,search_priority,linked_root_event_id,linked_mechanism_exposure_event_ids,query_primary,query_repair,terminal_without_search,lane_id,lane_sequence,raw_resolution,superseded_terminal_status,resume_reason,resume_required,resume_precondition
RESIDUAL-a1193d915e09e040cb15c94f,EXTTARGET-2bd0e015f5685ab89f9ab7c3,8094,external_search_wave_002_exhaustive_residual,EXTSEARCH-d641df4d0732b5825d3f87f5,Hamburg,NY,2026,unclear,unclear,staffing_and_headcount,EXTMISS-29b786336a966ce553d810bd,"authorized positions, filled positions, vacancy rate, layoffs, attrition",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests vacancy and staffing-reduction mechanisms with denominators,Tier 1,ROOTCOMP-6e41daab60d79e5cff44876c,MECHEXP-3969f3c923c95b36024f8c6f|MECHEXP-3d21b295f3cf1066d682c10b|MECHEXP-63776825e6e829810969fc01|MECHEXP-69d2f7e7cb46305f88b5353d|MECHEXP-bed59544423a32b9727f2b6c,"""Hamburg"" ""NY"" ""2026"" unclear unclear authorized positions, filled positions, vacancy rate, layoffs, attrition retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Hamburg"" ""NY"" 2026 staffing_and_headcount authorized positions, filled positions, vacancy rate, layoffs, attrition (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,1441,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
RESIDUAL-a11c2b9d10f4d3bf42209d23,EXTTARGET-475742274c113264ecf2e03a,9015,external_search_wave_002_exhaustive_residual,EXTSEARCH-11d636eb6e9883a77ba0b0a5,Howland,OH,2017,police,police,benefits_and_total_compensation,EXTMISS-38217223839ff9614b6858d8,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-090ca4455147ea76c2a2a3af|ROOTCOMP-2106a920ac47d9e9d6646e2a|ROOTCOMP-e7b551b2d82fdab6efa8681a,MECHEXP-13ca4e14a44a2ce8e02ee854|MECHEXP-344e5e828a36ded85f5533f3|MECHEXP-9da97a38d61608402756f77e|MECHEXP-d26ba0c86af4faf2bc7821e7|MECHEXP-e3bdc5275f8cf5f796a7d31f|MECHEXP-eb77ae025d90c763fd97cfd6|MECHEXP-eb90c98659c4124a7a2107b8|MECHEXP-eca39e34687e7b8209aa4506,"""Howland"" ""OH"" ""2017"" police police pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Howland"" ""OH"" 2017 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_004,1605,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
RESIDUAL-a11d36c353cfcc08918391c0,EXTTARGET-d956d0f7b44c8dfd6d69de86,20353,external_search_wave_002_exhaustive_residual,EXTSEARCH-17431e757d569320e46ff7ef,West Bridgewater,MA,2023,unclear,unclear,tenure_and_progression,EXTMISS-705cd7f57b0e644ba388d789,"employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier",step_schedule_seniority,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",distinguishes contractual progression from compositional or tenure differences,Tier 2,ROOTCOMP-2d56ff997e4a034f93c565ba|ROOTCOMP-dcc8889168c45771bf5140b8|ROOTCOMP-fc57e257ca434cbff83f505d,MECHEXP-023f308ae018d9e08e42c119|MECHEXP-213317744701c1ae953766a7|MECHEXP-43d16315296c35646225b14a|MECHEXP-471efa8231aab0a62c90245d|MECHEXP-64096c09714b56d0b2a46781|MECHEXP-8e61f0e40bca8ce27471971b|MECHEXP-9480ba3237ff1b81e7343e97|MECHEXP-9cfe3b07cdb2b1fa0cec8343|MECHEXP-ba6e7c69fd6abeba29604243|MECHEXP-c2fb49c509f711aa5766b7bd|MECHEXP-e88610eff33c148c1d0fd061|MECHEXP-f94106158dba2bde8d9318ea,"""West Bridgewater"" ""MA"" ""2023"" unclear unclear employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier step_schedule_seniority municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""West Bridgewater"" ""MA"" 2023 tenure_and_progression employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,3625,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
RESIDUAL-a11de08a4ffb11b70ffac440,EXTTARGET-815bea0b427112bbd6f29709,15966,external_search_wave_002_exhaustive_residual,EXTSEARCH-2de5453df016e46bda288c81,Ravenna,OH,2017,unclear,unclear,benefits_and_total_compensation,EXTMISS-55858735641196b0da210042,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-b52a7572760ebbcdcc2dccae,MECHEXP-1210e723c8443c8c47339178|MECHEXP-21a1faf7b71f7eaa602c125b|MECHEXP-62301fc79d6815a01277159d|MECHEXP-70fd6c5b8726628fde138217|MECHEXP-7bdffd596cb56362430084ac|MECHEXP-b9134cb347d0e577308b6bb8|MECHEXP-e323b48cf63182d5524b79fb,"""Ravenna"" ""OH"" ""2017"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Ravenna"" ""OH"" 2017 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,2843,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
RESIDUAL-a12489a245cb492e14abb1fc,EXTTARGET-50671cacb63bb1ecddcb9197,20829,external_search_wave_002_exhaustive_residual,EXTSEARCH-84adb3a1016eabd48caebb4a,Woodstock,NY,2026,police,police,tenure_and_progression,EXTMISS-4e93f79370fef7bd55b9f6b9,"employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",distinguishes contractual progression from compositional or tenure differences,Tier 2,ROOTCOMP-b638d70dd000d6d45dbe9578,MECHEXP-00f015ec54c9bc891ae98c32|MECHEXP-336ed9a00865e4c5bc164ec6|MECHEXP-93932e68d22cca2fffd5995a|MECHEXP-99e67840c7718f1a96fadd21|MECHEXP-ea963eecf2aa7d21a53f4f91,"""Woodstock"" ""NY"" ""2026"" police police employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Woodstock"" ""NY"" 2026 tenure_and_progression employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,3710,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
RESIDUAL-a127eb1ae380ae43410714ac,EXTTARGET-e5664ada96d009c3f08fd197,17296,external_search_wave_002_exhaustive_residual,EXTSEARCH-c3deddb6e74107176021c0ee,Shelby,WI,2024,unclear,unclear,benefits_and_total_compensation,EXTMISS-84518f60f8d4db3623b9ba87,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-7e2a2e44d918ee96f3d20508,MECHEXP-404a9549be26d082932569f2|MECHEXP-4fe3eef9db38fde9277a26ce|MECHEXP-74783ff6936eabcef8e39046|MECHEXP-752e2620c19eafbf3ce02684|MECHEXP-fc21b45fc31af0ee0a1fcf3e,"""Shelby"" ""WI"" ""2024"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Shelby"" ""WI"" 2024 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_004,3078,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
RESIDUAL-a12895c1e3df424fab0d75e6,EXTTARGET-6c7d4943615e530eb7fa1098,4755,external_search_wave_002_exhaustive_residual,EXTSEARCH-29fdbaa02d2cc200859385fb,Delhi,OH,2020,police,police,staffing_and_headcount,EXTMISS-721cc1ca57327eac578f2682,"authorized positions, filled positions, vacancy rate, layoffs, attrition",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests vacancy and staffing-reduction mechanisms with denominators,Tier 1,ROOTCOMP-30b755749f912907b859da27|ROOTCOMP-7b2a90de9dd639db96516969|ROOTCOMP-a95aacf3258883bf5391e081,MECHEXP-241f6103e953476b9d55f74d|MECHEXP-54c4437520e17f1254aadcf6|MECHEXP-57a2eea1342f88052eac1ba6|MECHEXP-6fbff2f192e65afaab5cf89a|MECHEXP-7e7d5dd8b442fcf587aa4e27|MECHEXP-942af039e43d3296a2a3b570|MECHEXP-9745cbcf022f21ae0dc2b9ae|MECHEXP-977081b67c173188b5ce340c|MECHEXP-a3ec18c43c574fc7d76216c9|MECHEXP-ab7a9b7d1cdfae72eaec6f8c|MECHEXP-b05327a0301048f5ed42cd76|MECHEXP-e96567ab9acd718128985ea6,"""Delhi"" ""OH"" ""2020"" police police authorized positions, filled positions, vacancy rate, layoffs, attrition retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Delhi"" ""OH"" 2020 staffing_and_headcount authorized positions, filled positions, vacancy rate, layoffs, attrition (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,847,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
RESIDUAL-a1290cb700fa12ba9abb8155,EXTTARGET-f10be5063068d7e8efdb7c42,11115,external_search_wave_002_exhaustive_residual,EXTSEARCH-f184f3a77c915220e4507a48,Liverpool,NY,undated-source-B4X2500LIVE-20260729-003967,police,police,benefits_and_total_compensation,EXTMISS-1a6e449d3e477349e1eb3e67,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-0f3c256e31db48f4a937ee0a|ROOTCOMP-1cba24252014a00afdf1d45e|ROOTCOMP-56ac33f39a7e9ba5740b2dd9,MECHEXP-15e41ab5ef374a04905e6f93|MECHEXP-1a68739fbac198709918dc8c|MECHEXP-22101841b4ab0a58f04f4452|MECHEXP-4063f1c91d1a0ecdd2af70b6|MECHEXP-477e11cda12ffb3bd7790f6b|MECHEXP-4fc784d299d58c1e118174a7|MECHEXP-9030497122a363f0476f507f|MECHEXP-93db6957132734a65f1fb518|MECHEXP-b1a9e61da3664fbd43c536f1|MECHEXP-c8c1cba3b66a8f681d9dc000|MECHEXP-d38b640ce2f3e8a13e8fcf1c|MECHEXP-f7a7191dacaa2356d7d1796d,"""Liverpool"" ""NY"" ""undated-source-B4X2500LIVE-20260729-003967"" police police pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Liverpool"" ""NY"" undated-source-B4X2500LIVE-20260729-003967 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,1981,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
RESIDUAL-a12db95bad1372486899871e,EXTTARGET-2f59232a4681095b84c8683b,15502,external_search_wave_002_exhaustive_residual,EXTSEARCH-6dc4249b5efb4198e229fb1e,Plano,IL,undated-source-CBSRD-20260728-9837b3bbeabc8e1748f1,unclear,unclear,tenure_and_progression,EXTMISS-9bec3169ccc692671d66b72d,"employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier",retroactivity_implementation,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",distinguishes contractual progression from compositional or tenure differences,Tier 2,ROOTCOMP-b815c308f61874ba0e90d9d1|ROOTCOMP-ed3e85b55634625305a656fe,MECHEXP-0916b26e2ffab8cadce4a4c9|MECHEXP-2d6fe74987066b0a02f035fc|MECHEXP-58fac264634045cc9fd05fb9|MECHEXP-a2631753cb1e6b8868dce545|MECHEXP-ae8baafa3c2fab7ecab7c695|MECHEXP-b9fdbb0526c5af1cfc258aed,"""Plano"" ""IL"" ""undated-source-CBSRD-20260728-9837b3bbeabc8e1748f1"" unclear unclear employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Plano"" ""IL"" undated-source-CBSRD-20260728-9837b3bbeabc8e1748f1 tenure_and_progression employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_004,2760,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
RESIDUAL-a13142e9dcfdd439f1b612d2,EXTTARGET-f168ad852b595b117da33c36,9066,external_search_wave_002_exhaustive_residual,EXTSEARCH-26f008f3cc8321f54507f63f,Howland,OH,2020,unclear,unclear,payroll_and_earnings,EXTMISS-ff86497c36871f56af90b530,"actual wages paid, total earnings, overtime, premiums, retroactive payments",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",upgrades implementation from documented term to paid outcome,Tier 1,ROOTCOMP-065f5485d32648cd3511f2a6|ROOTCOMP-34c5532ff0c293a68f8a936d|ROOTCOMP-84e2aad6d4323369d47085c2|ROOTCOMP-a68b4a7d515bf79a05afb003|ROOTCOMP-b51d35eee2ff6b31dc324563|ROOTCOMP-b9003b2ced5aea47aa7a3107|ROOTCOMP-c6cf97fab5420fa795e3a4f3|ROOTCOMP-dd348e30945b2c21e8bd96d9,MECHEXP-1001dc10c64d1327da267de6|MECHEXP-1dac51266831d40d55f3aabe|MECHEXP-1fff753e0efa3eb0ad6cc4ea|MECHEXP-27536cafb895e5050e21de11|MECHEXP-27a3a4864dd2bdb8e1a0551a|MECHEXP-2b6ce57cd86a95f11e3d7a4d|MECHEXP-533687589b04deaced80f88f|MECHEXP-5a02bbf228527110dc0ccec2|MECHEXP-710aa5877c8203ac0aa4e9df|MECHEXP-7961b8b7b61620f29c74e73b|MECHEXP-8e41d3f987d63875d0da4dcd|MECHEXP-ac4a66e4cbc0e530b83b879d|MECHEXP-b31e4976ee99bf0247f42a84|MECHEXP-b4f5e0d698b7e7c73efd15b5|MECHEXP-c4e11f7f42e2c63e52731b34|MECHEXP-ccc0959761747c1d2ff597e8|MECHEXP-e3497cf02fca5eeb8f023cf9|MECHEXP-e47a365a1e166ad8630846f0|MECHEXP-e6e9c63524699bf98c2b5a23|MECHEXP-ebe2d4af8d6f4e5652f6cf7b|MECHEXP-f2132e48c967ef6a6c32cdd9|MECHEXP-f21db009bad0e0725ef6061d|MECHEXP-fbe3383f4469d094e3c1a631,"""Howland"" ""OH"" ""2020"" unclear unclear actual wages paid, total earnings, overtime, premiums, retroactive payments retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Howland"" ""OH"" 2020 payroll_and_earnings actual wages paid, total earnings, overtime, premiums, retroactive payments (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_004,1615,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe
