residual_target_id,raw_target_id,lane_id,original_terminal_status,corrected_terminal_status,correction_reason,resume_required,original_primary_call_completed,original_repair_call_used,candidate_count
RESIDUAL-0002bd0ed13dca440a0eabfb,EXTTARGET-15725750492f872255d52e89,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-00059fa1209013300830974f,EXTTARGET-2f270d661a9c97a910e13789,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0007bf3026be3f1d4f2413aa,EXTTARGET-59c1fb0e3a200356ef04475d,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0009373ecb1b928c7b5e7ab3,EXTTARGET-6beb2bfdd9bdf0b3122438c7,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-000d1030c2535865abc7d508,EXTTARGET-6848ef315300e705962c0d32,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-00141c6088fe3abc839a7d59,EXTTARGET-eab10c2f17bb5c2eef97491b,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-002e0b6b3a283a96dba1d92f,EXTTARGET-8307c4de8cd0c6809388874c,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-002e4c8d9bce30bd88c5316e,EXTTARGET-d25af988e533c99611937d79,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-00315f8a37d82377450b0b1c,EXTTARGET-d1af794722244437d8afd6dd,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-003499bfdf40aa15a60ba8e4,EXTTARGET-e6dace332c70fe0f7f2d0215,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-003c42d9a3856bb5ce1e92f6,EXTTARGET-b231b5b1cfca2d3927cda19e,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-003f14062c31a409f3364c21,EXTTARGET-71000f32d95de3a90b852f62,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0040980e0acdb5788921b9d5,EXTTARGET-57a2645ab7ca01489047b2c2,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0047f537e4eed322fe45a82b,EXTTARGET-751f166514a907d017bf2e18,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0055800b1748f573f22c07ce,EXTTARGET-d4fb790a61e39ac9d7e745b4,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0059ac07d67f2cd28ab7e858,EXTTARGET-ef645e426d92211735429ed9,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-005d0c35a94bcf9f9b9b92da,EXTTARGET-6c4bc9c865e2e5a43bfccab9,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-00610da44a0a57385fbfb522,EXTTARGET-cb8e07613d9b1132461d2aff,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0061ba00060428e4c9ecfd62,EXTTARGET-b566e0039bd641d6712c81e3,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-00674d87428e9ad3ecb5276c,EXTTARGET-6adf633cb4de1cd472e20ce0,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-006d6159afe648c4367fddd5,EXTTARGET-5a7cda241ccdef32ecdbb731,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-006f9b4316eee4ac9cf61c19,EXTTARGET-1f707350e6754cfaecf70783,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0072232b42305b16b1ff6b08,EXTTARGET-7948e4fded91b262129c7b32,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0076d3e7ffc5fac4201e9602,EXTTARGET-bc5fc34fec83f304363ee7ee,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-00899f0343435b2024291d7d,EXTTARGET-3cbafa0de3112aedc9d77b9e,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-008ad8efa9881415af2e45cf,EXTTARGET-9684fb6da626ac04209100bf,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-008b174798caed6327e26da4,EXTTARGET-93657b96db41e9ccefd31bb5,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0098a746a76ca3aacdaf268e,EXTTARGET-f9b2a027f1324f91dd90f077,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-0099ea0ebf7ce72c3e91a190,EXTTARGET-fe07ec334cc8d2e0b30d721c,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-009fe48c46abc3a0b105eaab,EXTTARGET-46eb0f7a7d7118d220213109,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
