residual_target_id,raw_target_id,lane_id,original_terminal_status,corrected_terminal_status,correction_reason,resume_required,original_primary_call_completed,original_repair_call_used,candidate_count
RESIDUAL-a1193d915e09e040cb15c94f,EXTTARGET-2bd0e015f5685ab89f9ab7c3,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a11c2b9d10f4d3bf42209d23,EXTTARGET-475742274c113264ecf2e03a,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a11d36c353cfcc08918391c0,EXTTARGET-d956d0f7b44c8dfd6d69de86,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a11de08a4ffb11b70ffac440,EXTTARGET-815bea0b427112bbd6f29709,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a12489a245cb492e14abb1fc,EXTTARGET-50671cacb63bb1ecddcb9197,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a127eb1ae380ae43410714ac,EXTTARGET-e5664ada96d009c3f08fd197,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a12895c1e3df424fab0d75e6,EXTTARGET-6c7d4943615e530eb7fa1098,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a1290cb700fa12ba9abb8155,EXTTARGET-f10be5063068d7e8efdb7c42,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a12db95bad1372486899871e,EXTTARGET-2f59232a4681095b84c8683b,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a13142e9dcfdd439f1b612d2,EXTTARGET-f168ad852b595b117da33c36,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a1314fe25eb1e37baa7f8663,EXTTARGET-a940e066e559d3f97dc52ccd,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a131c64f604fd0c7ac431bef,EXTTARGET-b4cf4368711025db81c452b3,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a1327c7d5ee7b4411c5ff5f4,EXTTARGET-66badedb7a7e8fb34def1ac8,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a133b8132358fbb5b945ff63,EXTTARGET-6cf1d43a3a6e6ee23cbc1fd7,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a139d7357a1d0375b39a91fd,EXTTARGET-e498f13619c8b2771a01163f,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a13ad09decc7a929356cef39,EXTTARGET-8df5dd7866510fa6702a7b4c,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a1426feff1f964b7e63546af,EXTTARGET-531238a4fd01ada64b810470,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a142da27338d53fad3bf16fc,EXTTARGET-c79f6e05d4bf3a03d208b41c,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a1443cdfeb27e0dae68c6ee0,EXTTARGET-f0fed8f3b2ae64f7efc15488,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a14660b6bfbce4e0b5db4e7b,EXTTARGET-7940d86ce822fa53e5d737f3,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a1471694a76bf90b9ced257e,EXTTARGET-675418f3981c28ccb00bff6f,residual_search_lane_001,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a14c369c036c4af71ab918b1,EXTTARGET-9bd7075bad4aef3d1f329563,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a1529ffeefe99fa438a2f6bf,EXTTARGET-8d51860d844fb961bdffb931,residual_search_lane_004,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a15d12f3c8f9d9fbe306715b,EXTTARGET-fb30399926d87ed021477e2b,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a164976f88945c6e980565bd,EXTTARGET-e36592aa09248e79674a7e6a,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a165d38251bf5859e94d3432,EXTTARGET-eca73a5d4b39a546372636f9,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a167161123f419752f2f0585,EXTTARGET-cc10076c7f344d833e9a39c1,residual_search_lane_003,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a16936c42c0bfe15508f21f8,EXTTARGET-be2d6296c4808d3d37ae9ac4,residual_search_lane_002,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
RESIDUAL-a169ce0b4503626449573266,EXTTARGET-b7c74da318796126bff7e74b,residual_search_lane_005,zero_candidate,hosted_search_backend_error,global_category_B_zero_source_transition,true,true,true,0
