absolute_difference,aggressive_tier,caveat,claim_links,computed_percentage,corroboration_status,direction,directional_value_retained,duplicate_representations,formula,magnitude,mechanism,municipality,non_safety_value,pay_basis,percentage_difference,period,ratio,raw_values,relaxation_rule,reported_percentage,reproduced,result_id,safety_value,semantic_outcome,side,source_basis,source_coordinates,source_count,source_ids,source_record_id,staffing_review_class,staffing_type,state,stored_percentage,strict_eligibility,unique_mechanism_events,unique_municipalities,unique_root_events,unique_sources,unit_type
22.35,tier_3_directional_or_mechanism_supporting,"The same-source arithmetic reproduces, but the chief is outside the bargaining unit and job/hour equivalence is weak; appendix placement only.",safety_wage_comparison,,not_corroborated,safety_favorable,,1,safety - non_safety; (safety - non_safety) / non_safety * 100; safety / non_safety,22.35,,Alburtis,11.22,hourly,199.19786096256684,2018,2.991978609625668,"[33.57, 11.22]",ROLE-3,,,AGGRES-c5aaeed0a009a5cff5615eb5,33.57,downgrade_to_tier_3,,exact retained documentary values with prior QA and formula reproduction,"{""period"": ""2018-01-01 through 2018-06-30 overlapping rate window; source ordinance and police award cycle labeled 2018-2021"", ""source_lineage"": ""Both values trace to Alburtis Ordinance No. 546, PDF page 4, downloaded from the municipal codified-ordinance site. The retained PDF is B4X2500SRD-20260730-6ddfdb5fcb55a74977c0 (SHA-256 e1071e681d9ca1aa6ba1e9b73ce02084c3ca6e2f196868d861000ca11ea151d4), linked through scout target B4X2500-20260729-03846, verification row B4X2500V-20260730-04057, readiness row B4X2500RDY-20260730-49b270db104d6d876965, and extraction B4X2500TXT-20260730-a7728e27d6a354107235.""}",1,BROAD-STATE-4X2500-BOUNDED-WAGE-DIFFERENTIAL-VALIDATION-2026-07-30,AGGLOCAL-f635eb68edb0727b14b22125,,,PA,,named_bounded_documentary,,,,,local_comparison
,tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,2.5974025974025974,corroborated,positive,2.597403,,(later-prior)/prior*100,,COLA_CPI,Lincoln Center,,,,2023->2024,,"[""$19.25"", ""$19.75"", """"]",GROWTH-3,,True,AGGRES-9460bdb87d2e09b039766fc6,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-6b99a6c9a5917737ebece148"", ""prior_span_id"": ""B4X2500SPAN-20260730-ee7f16d11c575ca413da0713"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-6a50c501e353de82649a,,,KS,2.597403,defensible_unit_level_match,,,,,growth
,tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,0.0,corroborated,neutral_or_unspecified,0.0,,(later-prior)/prior*100,,base_wage_schedule_change,Berlin,,,,2019->2020,,"[""$75.00; $15.00"", ""$75.00; $15.00"", """"]",GROWTH-3,,True,AGGRES-9842e6ded6cb2f1743c3da45,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-e28f97bc0e47b93f9e5a0522"", ""prior_span_id"": ""B4X2500SPAN-20260730-287258b2efeb3a75bce4e8bd"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-9b22544ad3954edb8f6b,,,NJ,0.0,defensible_unit_level_match,,,,,growth
,tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,2.000000000000005,corroborated,positive,2.0,,(later-prior)/prior*100,,base_wage_schedule_change,Harrington Park,,,,2018->2019,,"[""$15.00"", ""$15.30"", """"]",GROWTH-3,,True,AGGRES-86dd3ca31b063e4379bf44bd,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-ee600f8920038f901a3f8f73"", ""prior_span_id"": ""B4X2500SPAN-20260730-d13e2d3406364fd28c27b1f3"", ""span_id"": """"}",4,4,B4X2500GROWTHCONT-7e25c88d38000f0588a5,,,NJ,2.0,defensible_unit_level_match,,,,,growth
,tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,0.0,corroborated,neutral_or_unspecified,0.0,,(later-prior)/prior*100,,implementation_retroactivity,Clinton,,,,2023->2024,,"[""$59.50"", ""$59.50"", """"]",GROWTH-3,,True,AGGRES-eb31e8dce0ab3f924fdc461e,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-4e73b408ef1ba5091dc3f45e"", ""prior_span_id"": ""B4X2500SPAN-20260730-1cca50bf4850436738161f09"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-47aefec37527f18a3e06,,,OH,0.0,defensible_unit_level_match,,,,,growth
,tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,4.49500554938956,corroborated,positive,4.495006,,(later-prior)/prior*100,,step_schedule_progression,Jerome,,,,2022->2023,,"[""$18.02; $25.91; $20.55; $29.55; $26.19; $37.65"", ""$18.83; $27.07; $21.47; $30.88; $27.37; $39.35"", """"]",GROWTH-3,,True,AGGRES-b17f640fa3768a8168473d5f,,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-22f3e7f275c1aff27de31963"", ""prior_span_id"": ""B4X2500SPAN-20260730-f828c5d73d268d8d084dd4df"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-b4fd939fc2834a332840,,,OH,4.495006,defensible_unit_level_match,,,,,growth
,tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,4.823247453565007,corroborated,positive,4.823247,,(later-prior)/prior*100,,base_wage_schedule_change,Monongahela,,,,2022->2024,,"[""$33.38"", ""$34.99"", """"]",GROWTH-3,,True,AGGRES-fe2c8b7dd38d811df5971e25,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-0de90496144d4728ce0e739e"", ""prior_span_id"": ""B4X2500SPAN-20260730-06f94071d33d7e2499d7cbc8"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-7d0654bfa25eaf4359c6,,,PA,4.823247,defensible_unit_level_match,,,,,growth
,tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,1.4705882352941175,corroborated,positive,1.470588,,(later-prior)/prior*100,,base_wage_schedule_change,Vershire,,,,2021->2022,,"[""$17.00"", ""$17.25"", """"]",GROWTH-3,,True,AGGRES-babdbda6a5c0c300d4951b36,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-802897e413238400a808d6e5"", ""prior_span_id"": ""B4X2500SPAN-20260730-e442afef6f540316341b0cf7"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-07e9c354dabfcfd51ab7,,,VT,1.470588,defensible_unit_level_match,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.5,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Ligonier,,,,->,,"["""", """", ""3.5%""]",GROWTH-3,3.5,True,AGGRES-489abf5e606286aa59b8c0f8,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-7b2e1a3d5508606e630636b4""}",1,,B4X2500GROWTHSRC-742d1a8b4b670fb85764,,,IN,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,1.5,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Ligonier,,,,->,,"["""", """", ""1.5%""]",GROWTH-3,1.5,True,AGGRES-8c68346ed23e5753c96b2f67,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-8c9b0e907e1911adb8bb1223""}",1,,B4X2500GROWTHSRC-dc70d9887bb14fb2858c,,,IN,,source_reported_growth_rate,,,,,growth
