readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag,extraction_id,extraction_lane_id,extraction_lane_sequence,locked_source_path,queue_locked_at,extraction_status,extraction_method,extraction_timestamp,extracted_text_artifact_path,extracted_text_sha256,extracted_text_byte_size,character_count,approximate_word_count,line_count,page_count_input,pages_successfully_parsed,empty_page_count,characters_per_page,quality_flags,boilerplate_or_noise_flag,error_class,error_message_redacted,span_extraction_run_flag,rating_run_flag,ingestion_run_flag,codification_run_flag,pages_attempted,pages_extracted,pages_failed_or_problematic,extracted_character_count,extracted_byte_count,extraction_reason_code
RMRDY-20260802-86a248fe85b67e4bbd06,readiness_lane_005,186,html,html,RMSRD-20260802-98e8ebe5d99aa9145e45,RMV-20260801-02291,BRM5C-BRM5-20260731-06699-01,BRM5-20260731-06699,NY,Northeast,Corinth,"Village Board Minutes April 6, 2022 — Resolution #77 (Authorize Mayor to sign 2022-2025 Collective Bargaining Agreement with CSEA)",https://villageofcorinthny.gov/corinth/boardminutes/2022_04_06Bdminutes.shtml,https://villageofcorinthny.gov/corinth/boardminutes/2022_04_06Bdminutes.shtml,wage_schedule,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-98e8ebe5d99aa9145e45.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-98e8ebe5d99aa9145e45.html,sha256:1120d3b9f1d125f09092b6fe33d5897635a252d5de470b6c52a9729ff3dedf49,locally_available,local_only_not_replicated,local_research_workspace,23398,1120d3b9f1d125f09092b6fe33d5897635a252d5de470b6c52a9729ff3dedf49,23398,1120d3b9f1d125f09092b6fe33d5897635a252d5de470b6c52a9729ff3dedf49,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,8139,24,0,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:55:04Z,false,false,RMTXT-20260802-9c46437521c0b2d3e6de,text_extraction_lane_001,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-98e8ebe5d99aa9145e45.html,2026-08-02T17:52:04Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:15Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-9c46437521c0b2d3e6de.txt,bd5f2ca10e22bf73f3451223333f7e14d4d464aaae9f1f9618935752099ae06a,11419,10631,1669,326,,,,,high_replacement_character_ratio,false,,,false,false,false,false,,,,10631,11419,high_replacement_character_ratio
RMRDY-20260802-ed03f7c048b7098e25e7,readiness_lane_002,235,html,html,RMSRD-20260802-b69d80afd4d15e8d813a,RMV-20260801-03761,BRM5C-BRM5-20260731-09036-01,BRM5-20260731-09036,MN,Midwest,New Auburn,"New Auburn Personnel Policy (effective June 10, 2020; updated March 13, 2023)",https://www.newauburnmn.com/documents/504/2023_Personnel_Policy_updated_3-13-2023.pdf,https://newauburnmn.com/404.html,personnel_policy,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-b69d80afd4d15e8d813a.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-b69d80afd4d15e8d813a.html,sha256:5ee3265a745705267c194fd96cd42ea0ed70e5f07f89e9595df311da537cec6c,locally_available,local_only_not_replicated,local_research_workspace,29497,5ee3265a745705267c194fd96cd42ea0ed70e5f07f89e9595df311da537cec6c,29497,5ee3265a745705267c194fd96cd42ea0ed70e5f07f89e9595df311da537cec6c,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,1447,79,12,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:31:06Z,false,false,RMTXT-20260802-c58de352e3607c6d795d,text_extraction_lane_001,69,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-b69d80afd4d15e8d813a.html,2026-08-02T17:52:02Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:19Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-c58de352e3607c6d795d.txt,d3e65b4bbefcf2691baee04016b8e0ebc6dc380ea27ad0d3e347cc27137821fb,313,310,57,14,,,,,html_low_word_count_or_link_dense,false,,,false,false,false,false,,,,310,313,html_low_word_count_or_link_dense
RMRDY-20260802-2d3ad5c2b16a95305f4c,readiness_lane_004,94,html,html,RMSRD-20260802-1ec0898b33659f4c8c39,RMV-20260801-01794,BRM5C-BRM5-20260731-03739-01,BRM5-20260731-03739,TX,South,Woodbranch,City of Woodbranch Village - Agendas (landing page),https://www.woodbranchtx.us/government/city-hall/agendas,https://woodbranchtx.us/government/city-hall/agendas,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-1ec0898b33659f4c8c39.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-1ec0898b33659f4c8c39.html,sha256:b628c12f817876dd7650c3e64ba9364a2cee4b9aed4d3175a088d9fa531648ab,locally_available,local_only_not_replicated,local_research_workspace,18531,b628c12f817876dd7650c3e64ba9364a2cee4b9aed4d3175a088d9fa531648ab,18531,b628c12f817876dd7650c3e64ba9364a2cee4b9aed4d3175a088d9fa531648ab,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,814,39,11,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:47:02Z,false,false,RMTXT-20260802-ff07c0257f231f82984c,text_extraction_lane_001,79,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-1ec0898b33659f4c8c39.html,2026-08-02T17:52:03Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:19Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-ff07c0257f231f82984c.txt,6c9b51ba8798d549ab28a640d307a32c8dc2b97d98162d8d62e968db46593fc9,856,856,134,79,,,,,html_low_word_count_or_link_dense,false,,,false,false,false,false,,,,856,856,html_low_word_count_or_link_dense
RMRDY-20260802-cd6973debe204a638ae5,readiness_lane_004,285,html,html,RMSRD-20260802-da4cecccca24b04e5d2d,RMV-20260801-02586,BRM5C-BRM5-20260731-02879-02,BRM5-20260731-02879,WI,Midwest,Whitestown,"Town of Whitestown, Wisconsin — Meeting Minutes (index/landing page)",https://sites.google.com/view/townofwhitestown/meeting-minutes,https://sites.google.com/view/townofwhitestown/meeting-minutes,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-da4cecccca24b04e5d2d.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-da4cecccca24b04e5d2d.html,sha256:029ee9ee3b105c8bca515f0de7eff08344a4bb95df721711bb49729da3faa949,locally_available,local_only_not_replicated,local_research_workspace,126156,029ee9ee3b105c8bca515f0de7eff08344a4bb95df721711bb49729da3faa949,126156,029ee9ee3b105c8bca515f0de7eff08344a4bb95df721711bb49729da3faa949,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,738,36,15,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:47:07Z,false,false,RMTXT-20260802-302506d70324444c64f6,text_extraction_lane_001,86,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-da4cecccca24b04e5d2d.html,2026-08-02T17:52:04Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:19Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-302506d70324444c64f6.txt,1e31dd3c22eecae2199dcd8f404aef50d64e1e6f6470f060b4ecf0e6f24eaf98,366,366,50,55,,,,,html_low_word_count_or_link_dense,false,,,false,false,false,false,,,,366,366,html_low_word_count_or_link_dense
RMRDY-20260802-c28b78cdd6e92f28af41,readiness_lane_003,257,html,html,RMSRD-20260802-5556e97f1699a26fd24e,RMV-20260801-00315,BRM5C-BRM5-20260731-05472-02,BRM5-20260731-05472,MO,Midwest,Chula,MEETINGS NOTICES/MINUTES (City of Chula) — index,https://www.cityofchula.com/team-4,https://cityofchula.com/team-4,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-5556e97f1699a26fd24e.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-5556e97f1699a26fd24e.html,sha256:9ff898268b32f514b7bab1336691c0102302b5670e487780157fcc4b41557a5d,locally_available,local_only_not_replicated,local_research_workspace,453574,9ff898268b32f514b7bab1336691c0102302b5670e487780157fcc4b41557a5d,453574,9ff898268b32f514b7bab1336691c0102302b5670e487780157fcc4b41557a5d,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,1766,90,26,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:39:06Z,false,false,RMTXT-20260802-7813cd96967f6e990f14,text_extraction_lane_001,98,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-5556e97f1699a26fd24e.html,2026-08-02T17:52:03Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:19Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-7813cd96967f6e990f14.txt,d6e23f7cc79004595fde39112c603ccc62117bd969c97257261f5b3473830efe,2061,2034,317,183,,,,,html_low_word_count_or_link_dense,false,,,false,false,false,false,,,,2034,2061,html_low_word_count_or_link_dense
RMRDY-20260802-7c2fa09b97cce57e6b08,readiness_lane_005,339,html,html,RMSRD-20260802-4ba25df85fc81fb6afa9,RMV-20260801-00805,BRM5C-BRM5-20260731-04175-02,BRM5-20260731-04175,IL,Midwest,Roseville,Agendas | Village of Roseville,https://villageofroseville.com/agendas,https://villageofroseville.com/agendas,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-4ba25df85fc81fb6afa9.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-4ba25df85fc81fb6afa9.html,sha256:5e24073f3956621e23a9772e87490fc47ed64dc5f9f1148d6b827a29bc8e1d0a,locally_available,local_only_not_replicated,local_research_workspace,47400,5e24073f3956621e23a9772e87490fc47ed64dc5f9f1148d6b827a29bc8e1d0a,47400,5e24073f3956621e23a9772e87490fc47ed64dc5f9f1148d6b827a29bc8e1d0a,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,2612,112,12,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:55:07Z,false,false,RMTXT-20260802-a3429daa4b9da2350cde,text_extraction_lane_001,102,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-4ba25df85fc81fb6afa9.html,2026-08-02T17:52:04Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:20Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-a3429daa4b9da2350cde.txt,3db2bbcbc31834465f56866e940bcea1a7e6b0ef9fbbd1b1579688d0113a51f2,1476,1476,247,129,,,,,html_low_word_count_or_link_dense,false,,,false,false,false,false,,,,1476,1476,html_low_word_count_or_link_dense
RMRDY-20260802-9b48463837368c9fc158,readiness_lane_003,572,html,html,RMSRD-20260802-611863e53f04e272ea22,RMV-20260801-00347,BRM5C-BRM5-20260731-06927-02,BRM5-20260731-06927,PA,Northeast,Douglass,"BOS Agenda's (Douglass Township, Berks County) [labor-related items may be embedded in agenda PDFs]",https://douglassberks.org/bos-agendas,https://douglassberks.org/bos-agendas,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-611863e53f04e272ea22.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-611863e53f04e272ea22.html,sha256:d5c5bf82ca2c78f0334da37048be65d8d7871dcd891cc9c3124a624061f51758,locally_available,local_only_not_replicated,local_research_workspace,77220,d5c5bf82ca2c78f0334da37048be65d8d7871dcd891cc9c3124a624061f51758,77220,d5c5bf82ca2c78f0334da37048be65d8d7871dcd891cc9c3124a624061f51758,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,2152,130,16,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:39:13Z,false,false,RMTXT-20260802-9bfd50fa3ddd488cafe8,text_extraction_lane_001,113,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-611863e53f04e272ea22.html,2026-08-02T17:52:03Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:20Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-9bfd50fa3ddd488cafe8.txt,5ba9b5856cba0301046007045ab0ffbac2b87933cb390516f71ce8df7cafb00a,2107,2107,423,221,,,,,html_low_word_count_or_link_dense,false,,,false,false,false,false,,,,2107,2107,html_low_word_count_or_link_dense
RMRDY-20260802-f53f33d15e7f5ec4104a,readiness_lane_002,259,html,html,RMSRD-20260802-860c0a32c6edd72c57d3,RMV-20260801-02368,BRM5C-BRM5-20260731-00693-03,BRM5-20260731-00693,IN,Midwest,Roann,Town of Roann — Meeting Minutes (landing/index page by year/month),https://www.in.gov/towns/roann/meeting-minutes,https://in.gov/towns/roann/meeting-minutes,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-860c0a32c6edd72c57d3.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-860c0a32c6edd72c57d3.html,sha256:0ed5f6e8f7a363c33f7d29be72c15c68dc70d7feac24c10d345fed258c0609ed,locally_available,local_only_not_replicated,local_research_workspace,76786,0ed5f6e8f7a363c33f7d29be72c15c68dc70d7feac24c10d345fed258c0609ed,76786,0ed5f6e8f7a363c33f7d29be72c15c68dc70d7feac24c10d345fed258c0609ed,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,4235,474,11,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:31:07Z,false,false,RMTXT-20260802-eb85789126102c01dc04,text_extraction_lane_001,121,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-860c0a32c6edd72c57d3.html,2026-08-02T17:52:02Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:20Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-eb85789126102c01dc04.txt,0f845802e89aeacc2635e815273144990229769a2832a03144362c147950b18f,4533,4533,565,945,,,,,html_low_word_count_or_link_dense,false,,,false,false,false,false,,,,4533,4533,html_low_word_count_or_link_dense
RMRDY-20260802-ccf695c064a76ec47a79,readiness_lane_001,178,html,html,RMSRD-20260802-18b6dfab382dc5bb6a4e,RMV-20260801-00002,BRM5C-BRM5-20260731-07280-01,BRM5-20260731-07280,GA,South,Argyle,"Meeting Agendas & Minutes (City of Argyle, GA)",https://argylega.com/meeting-agendas-and-minutes,https://argylega.com/meeting-agendas-and-minutes,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-18b6dfab382dc5bb6a4e.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-18b6dfab382dc5bb6a4e.html,sha256:19628942d0f97325e5f383f099ca61ac5cf18c33ee6007c4b19688a14ae3c4b5,locally_available,local_only_not_replicated,local_research_workspace,37015,19628942d0f97325e5f383f099ca61ac5cf18c33ee6007c4b19688a14ae3c4b5,37015,19628942d0f97325e5f383f099ca61ac5cf18c33ee6007c4b19688a14ae3c4b5,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,2395,121,12,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:23:04Z,false,false,RMTXT-20260802-d670deee4a8a0beaae12,text_extraction_lane_001,124,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-18b6dfab382dc5bb6a4e.html,2026-08-02T17:52:01Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:20Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-d670deee4a8a0beaae12.txt,c7e2e0bb0aa34e58e8e38dd5fb7651d439cbc8b79e781cab03da2c02060dbee5,577,576,89,17,,,,,html_low_word_count_or_link_dense,false,,,false,false,false,false,,,,576,577,html_low_word_count_or_link_dense
RMRDY-20260802-7a6ed577857eff6b8a37,readiness_lane_003,354,html,html,RMSRD-20260802-4ae5e031e7aa6f7cca68,RMV-20260801-00288,BRM5C-BRM5-20260731-15616-02,BRM5-20260731-15616,IN,Midwest,Medaryville,"Medaryville Town Council Adopts 2020 Budget, Considers Salary Ordinance",https://wkvi.com/2019/10/medaryville-town-council-adopts-2020-budget-considers-salary-ordinance/,https://wkvi.com/2019/10/medaryville-town-council-adopts-2020-budget-considers-salary-ordinance,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-4ae5e031e7aa6f7cca68.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-4ae5e031e7aa6f7cca68.html,sha256:fea9ea200dea88da331fb9e693cfbdf492cf496128536a079cfe440d4aae8f85,locally_available,local_only_not_replicated,local_research_workspace,108144,fea9ea200dea88da331fb9e693cfbdf492cf496128536a079cfe440d4aae8f85,108144,fea9ea200dea88da331fb9e693cfbdf492cf496128536a079cfe440d4aae8f85,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,4062,81,30,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:39:09Z,false,false,RMTXT-20260802-fdc77e8786b3807ab88b,text_extraction_lane_001,126,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-4ae5e031e7aa6f7cca68.html,2026-08-02T17:52:03Z,extracted_low_text_but_usable,stdlib_htmlparser_visible_text_cleanup,2026-08-02T17:52:20Z,artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-fdc77e8786b3807ab88b.txt,2890c2c769cafdd0e6e0e530dba0d6112c6dab0ed446dbc54b9405ce181811f3,1778,1766,290,77,,,,,html_low_word_count_or_link_dense,false,,,false,false,false,false,,,,1766,1778,html_low_word_count_or_link_dense
