failure_mode,expected_behavior
prior_verified_hash_or_offset_mismatch,fail_closed
repeated_anchor_unique_context,accept_only_unique_margin
repeated_anchor_equal_context,remain_ambiguous
unavailable_no_exact_tokens,remain_unavailable
fuzzy_or_paraphrased_candidate,reject
cross_page_candidate,reject
full_page_text_leakage,fail_closed
non_target_page_access,fail_closed
ocr_later_document,fail_closed
wrong_pdf_hash,fail_closed
checkpoint_schema_mismatch,fail_closed
partial_checkpoint,partial_only
idempotent_rerun,reuse_only_matching_inputs
duplicate_observation_id,fail_closed
multiline_span,reject
