qualitative_observation_id,extraction_case_id,document_identity_id,source_review_id,text_table_detection_id,retained_content_hash,pdf_sha256,page_number,bounded_evidence_pointer,mechanism_type,literal_verbatim_evidence_span,span_start,span_end,span_length,span_sha256,span_capture_status,span_failure_reason,span_capture_reason_code,span_candidate_count,span_qa_pass,qa_status,prior_span_capture_status,span_disambiguation_action,span_disambiguation_rule,span_disambiguation_candidate_count,span_disambiguation_top_score,span_disambiguation_score_margin,span_qa_status
lobs_d506ecdba49defa12e0e8b6c,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,sr_440fd5a0042b486017759ca5,ttd_13926f4d65d55b318a6273b8,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=21,implementation_or_effective_date_logic,effective on their layoff date.,1243,1274,31,166fadd98d27f1db85d9c7964ccf943ace43cc71b5f1d15e3e980a7be42f8c2e,span_ambiguous_multiple_candidates,,literal_mechanism_anchor_segment;candidate_count=5,5,false,navigation_only_span_not_qa_sufficient,span_ambiguous_multiple_candidates,remains_ambiguous,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
lobs_ca089076a19f73b174532b8f,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,sr_440fd5a0042b486017759ca5,ttd_13926f4d65d55b318a6273b8,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=21,memorandum_or_settlement_terms,,,,0,,span_unavailable_or_unverified,no_exact_structured_or_literal_mechanism_match,no_exact_structured_or_literal_mechanism_match,0,false,navigation_only_span_not_qa_sufficient,span_unavailable_or_unverified,remains_unavailable,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
lobs_09ef3fafa4e8d99440cd7329,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,sr_440fd5a0042b486017759ca5,ttd_13926f4d65d55b318a6273b8,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,20,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=20,implementation_or_effective_date_logic,subcontracting shall receive two (2) weeks official notice and may exercise,1223,1298,75,2535c0a541dff71f793125ff8c1ec39f81054d0427e6be9bcff88137ded5d08c,span_ambiguous_multiple_candidates,,literal_mechanism_anchor_segment;candidate_count=2,2,false,navigation_only_span_not_qa_sufficient,span_ambiguous_multiple_candidates,remains_ambiguous,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
lobs_4d560df30b6a38d7f38351d0,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,33,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=33,implementation_or_effective_date_logic,Overtime shall be paid for all work performed outside the regularly scheduled shift.,344,428,84,2c016b58e0ccdb1207990da19e8583085d8bcd02f6200188bf4b5b97b691d52a,span_ambiguous_multiple_candidates,,literal_mechanism_anchor_segment;candidate_count=2,2,false,navigation_only_span_not_qa_sufficient,span_ambiguous_multiple_candidates,remains_ambiguous,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
lobs_67b0ac3d5ac5a2ea83d19275,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,33,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=33,implementation_or_effective_date_logic,Overtime shall be paid for all work performed outside the regularly scheduled shift.,344,428,84,2c016b58e0ccdb1207990da19e8583085d8bcd02f6200188bf4b5b97b691d52a,span_ambiguous_multiple_candidates,,literal_mechanism_anchor_segment;candidate_count=2,2,false,navigation_only_span_not_qa_sufficient,span_ambiguous_multiple_candidates,remains_ambiguous,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
lobs_3927f2ce7f61932d8c996d04,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,32,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=32,arbitration_or_factfinding_reasoning,,,,0,,span_unavailable_or_unverified,no_exact_structured_or_literal_mechanism_match,no_exact_structured_or_literal_mechanism_match,0,false,navigation_only_span_not_qa_sufficient,span_unavailable_or_unverified,remains_unavailable,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
lobs_a92440905e9762cfdf93f485,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,34,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=34,implementation_or_effective_date_logic,Any court appearance within one (1) ho ur of employee's shift shall be paid at the,2082,2164,82,b5e5e8701c873f2f7d71d93a022946f11fd6b97b16c2b46b8823b09beadf9ec7,span_ambiguous_multiple_candidates,,literal_mechanism_anchor_segment;candidate_count=3,3,false,navigation_only_span_not_qa_sufficient,span_ambiguous_multiple_candidates,remains_ambiguous,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
lobs_1547f92c49fc4ce216b399eb,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,42,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=42,collective_bargaining_agreement_terms,,,,0,,span_unavailable_or_unverified,no_exact_structured_or_literal_mechanism_match,no_exact_structured_or_literal_mechanism_match,0,false,navigation_only_span_not_qa_sufficient,span_unavailable_or_unverified,remains_unavailable,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
lobs_84fc020578c1abc7e7fb9b88,cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,sr_66f1bcfc906b687ba2b5f6b1,ttd_8e861bd2c1a8288eb2f035d4,46c1e7b4a56098753b7dc4ef91022ad8e2b1d75c13c57e7f91d4b394431b4862,46c1e7b4a56098753b7dc4ef91022ad8e2b1d75c13c57e7f91d4b394431b4862,2,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=2,fiscal_constraint_or_budget_logic,FISCAL NOTE,19,30,11,50ea5e018b232a78b70b8695255fab72a0a7533ac911ee8b09ef0ac9a2c4daf2,span_ambiguous_multiple_candidates,,literal_mechanism_anchor_segment;candidate_count=4,4,false,navigation_only_span_not_qa_sufficient,span_ambiguous_multiple_candidates,remains_ambiguous,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
lobs_a1a46b41b1556d96375afe6a,cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,sr_66f1bcfc906b687ba2b5f6b1,ttd_8e861bd2c1a8288eb2f035d4,46c1e7b4a56098753b7dc4ef91022ad8e2b1d75c13c57e7f91d4b394431b4862,46c1e7b4a56098753b7dc4ef91022ad8e2b1d75c13c57e7f91d4b394431b4862,1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=1,implementation_or_effective_date_logic,The effective date of this Ordinanc,1391,1426,35,44364414317af1aa9a3f65e252fa75252c121df2b3999afbedbe144da3f7d358,span_ambiguous_multiple_candidates,,literal_mechanism_anchor_segment;candidate_count=3,3,false,navigation_only_span_not_qa_sufficient,span_ambiguous_multiple_candidates,remains_ambiguous,no_strict_exact_disambiguation_candidate,0,,,navigation_only_span_not_qa_sufficient
