period_rescue_id,normalization_id,original_period_status,original_period_label,period_rescue_status,cleaned_period_label,period_evidence_basis,period_rescue_confidence,source_title,raw_period_tokens,source_locator_lineage
BRMPERRES-88710f571ba887e68a1034e2,BRMQNORM-20260803-0001d204e3083ffa11178fb4,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,"Labor Agreement (Law Enforcement Labor Services, Inc.) — Sergeants",[],"{""candidate_id"": ""BRM5C-BRM5-20260731-05046-02"", ""final"": ""https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/6723970b97e4e117adfca55c/1730385675756/ActiveContract%2B-%2BBaxter%2BSergeants%2B-%2B12-31-2025.pdf"", ""original"": ""https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/6723970b97e4e117adfca55c/1730385675756/ActiveContract%2B-%2BBaxter%2BSergeants%2B-%2B12-31-2025.pdf"", ""scout_target_id"": ""BRM5-20260731-05046""}"
BRMPERRES-1f279a593d527ceb4fbd6df1,BRMQNORM-20260803-0019c67d5a7b6139d3b33aa0,explicit_or_bounded_repair,2025–2026,explicit_period_rescued,2025–2026,existing explicit or bounded normalized period,high,City of Seagraves 2025-2026 Adopted Budget (approved-budget-2025-2026.pdf),"[""2025-2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-18678-01"", ""final"": ""https://seagravestx.us/docs/public-notices/approved-budget-2025-2026.pdf"", ""original"": ""https://www.seagravestx.us/docs/public-notices/approved-budget-2025-2026.pdf"", ""scout_target_id"": ""BRM5-20260731-18678""}"
BRMPERRES-f0a1a35397fdc5130a3844ad,BRMQNORM-20260803-002774e291c25766cf48352d,explicit_or_bounded_repair,2023,explicit_period_rescued,2023,existing explicit or bounded normalized period,high,"Board of Supervisors Minutes — November 13, 2023 (Police Contract Approval + Public Works Extension; date range references)","[""2023"",""November 13, 2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14370-02"", ""final"": ""https://brightontwp.org/wp-content/uploads/2023/12/Board-of-Sup-min11.13.2023.pdf"", ""original"": ""https://brightontwp.org/wp-content/uploads/2023/12/Board-of-Sup-min11.13.2023.pdf"", ""scout_target_id"": ""BRM5-20260731-14370""}"
BRMPERRES-7c7cdd15f68dea9a54448e0d,BRMQNORM-20260803-00396f477d2d99f08596e07d,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,MINUTES OF THE REGULAR TOWN BOARD & ORGANIZATIONAL MEETING OF THE TOWN OF FORT ANN (1.13.25),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-17930-02"", ""final"": ""https://townoffortannny.gov/uploads/7/3/6/3/73635113/1.13.25_tbm___organizational_meeting_minutes.pdf"", ""original"": ""https://www.townoffortannny.gov/uploads/7/3/6/3/73635113/1.13.25_tbm___organizational_meeting_minutes.pdf"", ""scout_target_id"": ""BRM5-20260731-17930""}"
BRMPERRES-6a304cbc982c199a62fbcce7,BRMQNORM-20260803-004400e5f13287d7c9b8a2e3,explicit_or_bounded_repair,2022–2023,explicit_period_rescued,2022–2023,existing explicit or bounded normalized period,high,Village of St Johnsville 2022-2023 Budget (Web Copy) — Police Dept line items (no explicit wage schedule),"[""2022-2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-03092-01"", ""final"": ""https://static-gcs.edit.site/users-files/4f05183b03da372c2a98445a02f51fd2/2022-2023-st-johnsville-budget-final%283%29.pdf"", ""original"": ""https://static-gcs.edit.site/users-files/4f05183b03da372c2a98445a02f51fd2/2022-2023-st-johnsville-budget-final%283%29.pdf?dl=1"", ""scout_target_id"": ""BRM5-20260731-03092""}"
BRMPERRES-4e0bbcac10e7ad907bb55e95,BRMQNORM-20260803-00483a69cc1c55342a75e42a,explicit_or_bounded_repair,2025–2026,explicit_period_rescued,2025–2026,existing explicit or bounded normalized period,high,City of Marshfield 2025-2026 Compensation Plan,"[""2025"",""2025-2026"",""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02772-03"", ""final"": ""https://cms4files1.revize.com/marshfieldwi/Human%20Resources/Policies%20%26%20Procedures/2025-2026%20Salary%20Schedule%20Marshfield%20-%20Website%20Info.pdf"", ""original"": ""https://cms4files1.revize.com/marshfieldwi/Human%20Resources/Policies%20%26%20Procedures/2025-2026%20Salary%20Schedule%20Marshfield%20-%20Website%20Info.pdf"", ""scout_target_id"": ""BRM5-20260731-02772""}"
BRMPERRES-9f71e307cfc2637f36175a45,BRMQNORM-20260803-004c72492f5829efbcca89c7,explicit_or_bounded_repair,2022,explicit_period_rescued,2022,existing explicit or bounded normalized period,high,"April 4, 2022 Meeting Minutes Highlights (Approved an Ordinance to pay the Zoning Commissioner $28.80/hr)","[""April 4, 2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-05453-01"", ""final"": ""https://townofaugustamo.org/april-4-2022-meeting-minutes-highlights"", ""original"": ""https://www.townofaugustamo.org/april-4-2022-meeting-minutes-highlights/"", ""scout_target_id"": ""BRM5-20260731-05453""}"
BRMPERRES-3dc791737b8a4f19b37e5573,BRMQNORM-20260803-0076a52fdca6d2e21f407c00,explicit_or_bounded_repair,2025,explicit_period_rescued,2025,existing explicit or bounded normalized period,high,City of Hillsboro 2025 Adopted Budget (Police wages line items),"[""2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10217-01"", ""final"": ""https://storage.googleapis.com/juniper-media-library/65/2025/09/2025%20Adopted%20Budget.pdf"", ""original"": ""https://storage.googleapis.com/juniper-media-library/65/2025/09/2025%20Adopted%20Budget.pdf"", ""scout_target_id"": ""BRM5-20260731-10217""}"
BRMPERRES-f5fd6c4ac5c2c3200a8006c4,BRMQNORM-20260803-0078e04f670b46fc3a9f7e7b,explicit_or_bounded_repair,2022–2023,explicit_period_rescued,2022–2023,existing explicit or bounded normalized period,high,"Village of DeRuyter minutes (Regular Meeting) — April 13, 2022","[""2022-2023"",""April 13, 2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02963-02"", ""final"": ""https://deruyter.gov/wp-content/uploads/2025/06/Village-Minutes-April-13-2022.pdf"", ""original"": ""https://deruyter.gov/wp-content/uploads/2025/06/Village-Minutes-April-13-2022.pdf"", ""scout_target_id"": ""BRM5-20260731-02963""}"
BRMPERRES-ffdd4cbce5ed91c776a0cec9,BRMQNORM-20260803-007b180c9fb80b697e4b7b19,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,CITY OF SABINAL 2024_2025 BUDGET.pdf (Profit & Loss Budget Overview; Police Department line-item salaries),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-14924-01"", ""final"": ""https://webgen1files1.revize.com/sabinaltx/CITY%20OF%20SABINAL%202024_2025%20BUDGET.pdf"", ""original"": ""https://webgen1files1.revize.com/sabinaltx/CITY%20OF%20SABINAL%202024_2025%20BUDGET.pdf"", ""scout_target_id"": ""BRM5-20260731-14924""}"
