cross_side_routing_id,match_id,original_missing_cross_side_flag,cleaned_analysis_use_primary_category,final_blocker_resolution,cross_side_route,source_locator_lineage
BRMCROSSROUTE-cd7117080e0a75cd0b330b10,BRMMATCH-20260803-00051531bcd0e57b6d8d0ff9,true,non_scalar_structuring_needed,routed_to_repair_needed,repair_queue,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-02334-01\"", \""final\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-04-0593.pdf\"", \""original\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-04-0593.pdf\"", \""scout_target_id\"": \""BRM5-20260731-02334\""}""]"
BRMCROSSROUTE-97166b6a099c140bc8edbaac,BRMMATCH-20260803-00060370a3242ffd768e5fa3,true,non_scalar_structuring_needed,routed_to_repair_needed,repair_queue,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-17749-01\"", \""final\"": \""https://villageofoakdalewi.gov/wp-content/uploads/2026/01/12.15.2025-BOARD-MTG-MINUTES.pdf\"", \""original\"": \""https://villageofoakdalewi.gov/wp-content/uploads/2026/01/12.15.2025-BOARD-MTG-MINUTES.pdf\"", \""scout_target_id\"": \""BRM5-20260731-17749\""}""]"
BRMCROSSROUTE-5e8334760548efff35d37822,BRMMATCH-20260803-000a33dad47c82bf812ce56a,true,non_scalar_structuring_needed,routed_to_repair_needed,repair_queue,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-17861-02\"", \""final\"": \""https://knowlton-nj.com/wp-content/uploads/2023/12/November-13-Meeting-Minutes.pdf\"", \""original\"": \""https://knowlton-nj.com/wp-content/uploads/2023/12/November-13-Meeting-Minutes.pdf\"", \""scout_target_id\"": \""BRM5-20260731-17861\""}""]"
BRMCROSSROUTE-27a0064a798f521ac04ae0c9,BRMMATCH-20260803-000c835a28373faa0a3f6cb4,true,same_side_growth_evidence,routed_to_non_comparison_analysis_use,retain_for_non_comparison_analysis,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-06379-01\"", \""final\"": \""https://baraboowi.gov/vertical/sites/%7BD06131C5-F452-44C7-954E-97BD998BCA20%7D/uploads/8-13-19_Council_Packet.pdf\"", \""original\"": \""https://baraboowi.gov/vertical/sites/%7BD06131C5-F452-44C7-954E-97BD998BCA20%7D/uploads/8-13-19_Council_Packet.pdf\"", \""scout_target_id\"": \""BRM5-20260731-06379\""}""]"
BRMCROSSROUTE-aaf7e0a426d91e17a8d63eda,BRMMATCH-20260803-000d228b6cc0e2215f1c6648,true,role_side_repair_needed,routed_to_repair_needed,repair_queue,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-09036-02\"", \""final\"": \""https://newauburnmn.com/documents/504/2022_Fire_Dept._Policies_5-9-22.pdf\"", \""original\"": \""https://newauburnmn.com/documents/504/2022_Fire_Dept._Policies_5-9-22.pdf\"", \""scout_target_id\"": \""BRM5-20260731-09036\""}""]"
BRMCROSSROUTE-03cc27ad568805db7e20951e,BRMMATCH-20260803-00102c0e19c30216d08e6441,true,role_side_repair_needed,routed_to_repair_needed,repair_queue,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-09677-03\"", \""final\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-08-0794.pdf\"", \""original\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-08-0794.pdf\"", \""scout_target_id\"": \""BRM5-20260731-09677\""}""]"
BRMCROSSROUTE-91dceb8a4e237bb177f6228a,BRMMATCH-20260803-00124394d626816809e3a9c4,true,non_scalar_structuring_needed,routed_to_repair_needed,repair_queue,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-11280-01\"", \""final\"": \""https://ocheyedaniowa.gov/city-ordinances-code\"", \""original\"": \""https://ocheyedaniowa.gov/city-ordinances-code/\"", \""scout_target_id\"": \""BRM5-20260731-11280\""}""]"
BRMCROSSROUTE-8dd4b1cc237703f58965af29,BRMMATCH-20260803-0014a155348063656eae66a5,true,role_side_repair_needed,routed_to_repair_needed,repair_queue,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-08760-01\"", \""final\"": \""https://whitewatertownshipmi.gov/uploads/2/1/9/6/21966412/special_board_meeting_packet__03.24.2025.pdf\"", \""original\"": \""https://www.whitewatertownshipmi.gov/uploads/2/1/9/6/21966412/special_board_meeting_packet__03.24.2025.pdf\"", \""scout_target_id\"": \""BRM5-20260731-08760\""}""]"
BRMCROSSROUTE-e1551f4396caa277a7d1a895,BRMMATCH-20260803-00163c41dd18560d8efbd546,true,national_readiness_stratum_only,routed_to_non_comparison_analysis_use,retain_for_non_comparison_analysis,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07649-02\"", \""final\"": \""https://cms3.revize.com/revize/villageofcherryvalley/BOARD%20MINUTES%2003-04-2025.pdf\"", \""original\"": \""https://cms3.revize.com/revize/villageofcherryvalley/BOARD%20MINUTES%2003-04-2025.pdf\"", \""scout_target_id\"": \""BRM5-20260731-07649\""}""]"
BRMCROSSROUTE-2bb176e66300e0080235644f,BRMMATCH-20260803-0016cec16e54cf29bf5a9738,true,non_scalar_structuring_needed,routed_to_repair_needed,repair_queue,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07276-01\"", \""final\"": \""https://perb.delaware.gov/wp-content/uploads/sites/127/2023/12/1391-ULP-Order-of-Dismissal-binder.pdf\"", \""original\"": \""https://perb.delaware.gov/wp-content/uploads/sites/127/2023/12/1391-ULP-Order-of-Dismissal-binder.pdf\"", \""scout_target_id\"": \""BRM5-20260731-07276\""}""]"
