lane_id,scout_target_id,municipality,state,target_rank,skip_reason,live_attempted,candidate_count,notes
lane_2,TS4-2-c9096657aee2c128,Brookhaven,NY,1,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-1003d13e0e282a86,Oyster Bay,NY,3,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-2f089fc4bb05b994,North Hempstead,NY,4,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-1ea3958be6eb01df,Huntington,NY,6,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-3557b905468ad5c8,North,IN,8,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-cb2fcd68106686b4,Ramapo,NY,9,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-a95f90834783d47c,Center,IN,10,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-44ed8fd3001a86c1,Washington,IN,18,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-e3fc3bb2caa4d666,Maine,IL,19,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-a2ea4679d6ae68f6,York,IL,22,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-78c6eb1dda7afda4,Perry,IN,23,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-07c517ec808cc76d,Milton,IL,24,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-9a568e78dd8f95dc,Bloomingdale,IL,29,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-ce75ec8004b34e59,Niles,IL,31,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-1bf3af2b6c9bad83,Warren,IN,33,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-72c56241614ad72a,Clay,IN,38,schema_or_response_failure,yes,0,Bounded request failed; no raw response persisted.
lane_2,TS4-2-ab0f58e7c5d381e4,Toms River,NJ,40,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-00c823f7c3259e35,Greenburgh,NY,48,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-7f133ac0c7ec16ff,Wheatland,IL,51,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_2,TS4-2-1ac9601459d190a0,Calumet,IN,52,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
