triage_id,candidate_queue_row_id,verification_id,verification_round_id,municipality_id,census_gov_id,state,municipality,government_name,candidate_url,final_url,candidate_title,candidate_source_type,candidate_status_before_verification,verification_status,content_type,source_locator,triage_bucket,candidate_priority,verification_lane_id,duplicate_source_group_id,duplicate_group_size,duplicate_group_role_for_triage,source_owner_type,unit_type_scouted,population,state_candidate_rows_per_covered,matched_set_potential,official_domain_signal,triage_selection_rank,triage_stage,triage_status,triage_status_detail,source_relevance_prelim,source_officialness_prelim,employer_match_prelim,municipality_match_prelim,bargaining_unit_match_prelim,safety_unit_signal_prelim,non_safety_unit_signal_prelim,source_document_type_prelim,source_year_or_period_prelim,wage_table_signal_prelim,wage_growth_signal_prelim,mechanism_language_signal_prelim,extraction_readiness_prelim,priority_for_content_review,recommended_next_action,duplicate_handling_status,oversized_handling_status,manual_review_reason,triage_notes,reviewer,triaged_at,urls_opened,network_calls,documents_downloaded,documents_parsed,pdfs_parsed,ocr_runs,content_artifacts_written,content_triage_round_id,content_triage_merge_id,content_triage_merged_at,content_triage_lane_id,content_triage_stage
TRI-57986e1553f30efbfbff,NSCQ-AK-20260720-0001,VER-4fdf394f47920a005a87,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_194463,194463,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,https://www.muni.org/Departments/employee_relations/Collective%20bargaining%20agreements/2021-2027%20Collective%20Bargaining%20Agreement.pdf,https://www.muni.org/Departments/employee_relations/Collective%20bargaining%20agreements/2021-2027%20Collective%20Bargaining%20Agreement.pdf,Collective Bargaining Agreement Between Anchorage Police Department Employees Association and Municipality of Anchorage,cba,scheduled,reachable_pdf_or_document,application/pdf,https://www.muni.org/Departments/employee_relations/Collective%20bargaining%20agreements/2021-2027%20Collective%20Bargaining%20Agreement.pdf,high_priority_later_verify,high,lane_3,URL-3184b4a801bfd4681ca2,1,canonical_representative,city,police,,2.230769,yes,likely_official,191,metadata_only_triaged_not_content_reviewed,high_priority_content_review,scheduled CBA-labeled PDF with a reachable-document routing outcome; metadata only,likely_relevant,unknown,unknown,unknown,unknown,unknown,unknown,cba_candidate_metadata_only,unknown,unknown,unknown,unknown,medium,p1,content_review_download_allowed_later,representative_or_group_review_needed,not_oversized_in_selected_round,,Prioritize for later authorized content review based only on committed candidate and routing metadata; actual CBA identity and wage content remain unverified.,script_metadata_only,2026-07-24T17:44:23Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_3,metadata_only_triaged_not_content_reviewed
TRI-948d69a30fc401448a3e,NSCQ-AK-20260720-0002,VER-4da66dac97ed3faad975,VERIFICATION-SCALE-ROUND2-3X1000-REMAINDER-2026-07-24,cog_2025_194463,194463,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,https://www.muni.org/Departments/employee_relations/Collective%20bargaining%20agreements/Final%20AMEA%20Contract%20Signed.pdf,https://www.muni.org/Departments/employee_relations/Collective%20bargaining%20agreements/Final%20AMEA%20Contract%20Signed.pdf,"COLLECTIVE BARGAINING AGREEMENT BETWEEN MUNICIPALITY OF ANCHORAGE (MOA) AND ANCHORAGE MUNICIPAL EMPLOYEES ASSOCIATION, INC. (AMEA)",cba,scheduled,reachable_pdf_or_document,application/pdf,https://www.muni.org/Departments/employee_relations/Collective%20bargaining%20agreements/Final%20AMEA%20Contract%20Signed.pdf,medium_priority_later_verify,medium,lane_1,URL-d858e8d00580211af4a2,1,canonical_representative,city,non_safety,,2.230769,yes,likely_official,1922,metadata_only_triaged_not_content_reviewed,medium_priority_content_review,reachable_pdf_or_document candidate retained for later review; metadata only,possibly_relevant,unknown,unknown,unknown,unknown,unknown,unknown,cba_candidate_metadata_only,unknown,unknown,unknown,unknown,medium,p2,content_review_download_allowed_later,representative_or_group_review_needed,not_oversized_in_selected_round,,"The routing and candidate labels support later review, but metadata-only triage did not access or validate source content.",script_metadata_only,2026-07-24T17:44:22Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_2,metadata_only_triaged_not_content_reviewed
TRI-46c0c8bf3d65ac9aed5d,NSCQ-AK-20260720-0003,VER-b7a25df2eb740b455934,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_194463,194463,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,https://www.muni.org/departments/employee_relations/letters%20of%20agreement/iaff%20cba%202009-2014.pdf,https://www.muni.org/departments/employee_relations/letters%20of%20agreement/iaff%20cba%202009-2014.pdf,Labor Contract,cba,scheduled,not_found,text/html,https://www.muni.org/departments/employee_relations/letters%20of%20agreement/iaff%20cba%202009-2014.pdf,high_priority_later_verify,high,lane_1,URL-4465d2869bb144c91591,1,canonical_representative,city,fire,,2.230769,yes,likely_official,1602,metadata_only_triaged_not_content_reviewed,blocked_or_unreachable_defer,not_found routing outcome deferred; metadata only,unknown,unknown,unknown,unknown,unknown,unknown,unknown,cba_candidate_metadata_only,unknown,unknown,unknown,unknown,none,defer,blocked_status_review_later,representative_or_group_review_needed,not_oversized_in_selected_round,routing_outcome_not_found,The URL-routing exception is not a municipality source-absence finding; metadata-only triage accessed no content.,script_metadata_only,2026-07-24T17:44:22Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_2,metadata_only_triaged_not_content_reviewed
TRI-ed34b5789418cb38600d,NSCQ-AK-20260720-0004,VER-34c8588e167dbce11657,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_100216,100216,AK,Fairbanks,CITY OF FAIRBANKS,https://www.fairbanksalaska.us/media/7606,https://www.fairbanks.gov/media/7606,"City of Fairbanks – Public Safety Employees Association (PSEA) Fairbanks Police Command Unit (FPCU) Collective Bargaining Agreement (effective through Dec 31, 2023; within Dec 14, 2020 City Council agenda packet)",cba,scheduled,not_found,text/html,https://www.fairbanks.gov/media/7606,high_priority_later_verify,high,lane_2,URL-e39c4923b8bd627baa9c,1,canonical_representative,city,police,,2.230769,yes,likely_official,1603,metadata_only_triaged_not_content_reviewed,blocked_or_unreachable_defer,not_found routing outcome deferred; metadata only,unknown,unknown,unknown,unknown,unknown,unknown,unknown,cba_candidate_metadata_only,unknown,unknown,unknown,unknown,none,defer,blocked_status_review_later,representative_or_group_review_needed,not_oversized_in_selected_round,routing_outcome_not_found,The URL-routing exception is not a municipality source-absence finding; metadata-only triage accessed no content.,script_metadata_only,2026-07-24T17:44:23Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_3,metadata_only_triaged_not_content_reviewed
TRI-ea0c45fb36707f775668,NSCQ-AK-20260720-0005,VER-4a1fbac1b71fd7324c8d,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_100216,100216,AK,Fairbanks,CITY OF FAIRBANKS,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6211_amending_ffu_cba.pdf.pdf,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6211_amending_ffu_cba.pdf.pdf,"Ordinance No. 6211 – Amending the Collective Bargaining Agreement between the City of Fairbanks and Fairbanks Firefighters Union IAFF Local 1324 (FFU) (effective Oct 1, 2021 through Sep 30, 2024; includes LOA details)",memorandum_or_settlement,scheduled,reachable_pdf_or_document,application/pdf,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6211_amending_ffu_cba.pdf.pdf,high_priority_later_verify,high,lane_3,URL-696e316b6512c1b2524a,1,canonical_representative,city,fire,,2.230769,yes,likely_official,1219,metadata_only_triaged_not_content_reviewed,medium_priority_content_review,reachable_pdf_or_document candidate retained for later review; metadata only,possibly_relevant,unknown,unknown,unknown,unknown,unknown,unknown,memorandum_or_settlement_candidate_metadata_only,unknown,unknown,unknown,unknown,medium,p2,content_review_download_allowed_later,representative_or_group_review_needed,not_oversized_in_selected_round,,"The routing and candidate labels support later review, but metadata-only triage did not access or validate source content.",script_metadata_only,2026-07-24T17:44:23Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_3,metadata_only_triaged_not_content_reviewed
TRI-6c194d783c80dd12b0f6,NSCQ-AK-20260720-0006,VER-107d4126d69d0b4243ac,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_100216,100216,AK,Fairbanks,CITY OF FAIRBANKS,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6241_amending_schedule_a_of_city_afl-cio_crafts_council_cba.pdf.pdf,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6241_amending_schedule_a_of_city_afl-cio_crafts_council_cba.pdf.pdf,Ordinance No. 6241 – Amending Schedule A of the Collective Bargaining Agreement between the City of Fairbanks and the Fairbanks AFL-CIO Crafts Council (includes wage/package rate changes and schedule tables),wage_schedule_or_compensation_plan,scheduled,reachable_pdf_or_document,application/pdf,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6241_amending_schedule_a_of_city_afl-cio_crafts_council_cba.pdf.pdf,high_priority_later_verify,high,lane_1,URL-f34d6b97e7bdaebf3ad5,1,canonical_representative,city,non_safety,,2.230769,yes,likely_official,830,metadata_only_triaged_not_content_reviewed,medium_priority_content_review,reachable_pdf_or_document candidate retained for later review; metadata only,possibly_relevant,unknown,unknown,unknown,unknown,unknown,unknown,wage_schedule_or_compensation_plan_candidate_metadata_only,unknown,unknown,unknown,unknown,medium,p2,content_review_download_allowed_later,representative_or_group_review_needed,not_oversized_in_selected_round,,"The routing and candidate labels support later review, but metadata-only triage did not access or validate source content.",script_metadata_only,2026-07-24T17:44:22Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_2,metadata_only_triaged_not_content_reviewed
TRI-b2ee0e47c37296a4b7e6,NSCQ-AK-20260720-0007,VER-12d34a0c2e93351405a3,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_160762,160762,AK,Juneau,CITY AND BOROUGH OF JUNEAU,https://juneau.org/wp-content/uploads/2022/10/PSEA-CBJ-22-25-CBA-final.pdf,https://juneau.org/wp-content/uploads/2022/10/PSEA-CBJ-22-25-CBA-final.pdf,"Collective Bargaining Agreement By and Between City and Borough of Juneau, Alaska and Public Safety Employees Association, Inc. (PSEA) — July 1, 2022 - June 30, 2025",cba,scheduled,reachable_pdf_or_document,application/pdf,https://juneau.org/wp-content/uploads/2022/10/PSEA-CBJ-22-25-CBA-final.pdf,high_priority_later_verify,high,lane_2,URL-c2b11154d497c833c28b,1,canonical_representative,city,police,,2.230769,yes,likely_official,192,metadata_only_triaged_not_content_reviewed,high_priority_content_review,scheduled CBA-labeled PDF with a reachable-document routing outcome; metadata only,likely_relevant,unknown,unknown,unknown,unknown,unknown,unknown,cba_candidate_metadata_only,unknown,unknown,unknown,unknown,medium,p1,content_review_download_allowed_later,representative_or_group_review_needed,not_oversized_in_selected_round,,Prioritize for later authorized content review based only on committed candidate and routing metadata; actual CBA identity and wage content remain unverified.,script_metadata_only,2026-07-24T17:44:23Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_4,metadata_only_triaged_not_content_reviewed
TRI-43870da907000ac3a3dc,NSCQ-AK-20260720-0008,VER-7f27b858b1e7f128ea96,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_160762,160762,AK,Juneau,CITY AND BOROUGH OF JUNEAU,https://juneau.org/wp-content/uploads/2023/08/IAFF-Bargaining-Agreement-2022-2025.pdf,https://juneau.org/wp-content/uploads/2023/08/IAFF-Bargaining-Agreement-2022-2025.pdf,"Collective Bargaining Agreement By and Between City and Borough of Juneau, Alaska and International Association of Fire Fighters, Local 4303 — July 1, 2022 - June 30, 2025",cba,scheduled,reachable_pdf_or_document,application/pdf,https://juneau.org/wp-content/uploads/2023/08/IAFF-Bargaining-Agreement-2022-2025.pdf,high_priority_later_verify,high,lane_3,URL-4f7bc8316f9ec26435fa,1,canonical_representative,city,fire,,2.230769,yes,likely_official,193,metadata_only_triaged_not_content_reviewed,high_priority_content_review,scheduled CBA-labeled PDF with a reachable-document routing outcome; metadata only,likely_relevant,unknown,unknown,unknown,unknown,unknown,unknown,cba_candidate_metadata_only,unknown,unknown,unknown,unknown,medium,p1,content_review_download_allowed_later,representative_or_group_review_needed,not_oversized_in_selected_round,,Prioritize for later authorized content review based only on committed candidate and routing metadata; actual CBA identity and wage content remain unverified.,script_metadata_only,2026-07-24T17:44:22Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_1,metadata_only_triaged_not_content_reviewed
TRI-9f64aefe41722b25fdd8,NSCQ-AK-20260720-0009,VER-dbbfcb8438e1aa936c24,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_160762,160762,AK,Juneau,CITY AND BOROUGH OF JUNEAU,https://juneau.org/wp-content/uploads/2023/03/MEBA-Whole-CBA-22-25-Final.pdf,https://juneau.org/wp-content/uploads/2023/03/MEBA-Whole-CBA-22-25-Final.pdf,MEBA Bargaining Agreement 2022-2025 (Whole CBA Final) — MEBA (and unrepresented/related pay references),cba,scheduled,reachable_pdf_or_document,application/pdf,https://juneau.org/wp-content/uploads/2023/03/MEBA-Whole-CBA-22-25-Final.pdf,high_priority_later_verify,high,lane_1,URL-28f4db4014baf386cfec,1,canonical_representative,city,non_safety,,2.230769,yes,likely_official,194,metadata_only_triaged_not_content_reviewed,high_priority_content_review,scheduled CBA-labeled PDF with a reachable-document routing outcome; metadata only,likely_relevant,unknown,unknown,unknown,unknown,unknown,unknown,cba_candidate_metadata_only,unknown,unknown,unknown,unknown,medium,p1,content_review_download_allowed_later,representative_or_group_review_needed,not_oversized_in_selected_round,,Prioritize for later authorized content review based only on committed candidate and routing metadata; actual CBA identity and wage content remain unverified.,script_metadata_only,2026-07-24T17:44:22Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_2,metadata_only_triaged_not_content_reviewed
TRI-472199dfdfded0d3ba93,NSCQ-AK-20260720-0010,VER-f7b18ffea2c40710479a,VERIFICATION-SCALE-ROUND2-3X1000-REMAINDER-2026-07-24,cog_2025_160762,160762,AK,Juneau,CITY AND BOROUGH OF JUNEAU,https://juneau.org/wp-content/uploads/2023/03/MEBA-and-Non-rep-Wage-Scales-eff-07.01.24.pdf,https://juneau.org/wp-content/uploads/2023/03/MEBA-and-Non-rep-Wage-Scales-eff-07.01.24.pdf,MEBA & Nonrep Wage Scales (Effective 07/01/24) — FY23-FY25 Wage Scales,wage_schedule_or_compensation_plan,duplicate_hold,reachable_pdf_or_document,application/pdf,https://juneau.org/wp-content/uploads/2023/03/MEBA-and-Non-rep-Wage-Scales-eff-07.01.24.pdf,likely_duplicate_hold,held,lane_1,URL-e9bb7204acdd3c0a4e29,1,canonical_representative,city,non_safety,,2.230769,yes,likely_official,2960,metadata_only_triaged_not_content_reviewed,duplicate_defer_to_canonical,original duplicate-hold disposition preserved; metadata only,possibly_relevant,unknown,unknown,unknown,unknown,unknown,unknown,wage_schedule_or_compensation_plan_candidate_metadata_only,unknown,unknown,unknown,unknown,unknown,defer,duplicate_group_review,duplicate_group_review,not_oversized_in_selected_round,original_duplicate_hold,The lower duplicate disposition was preserved; metadata-only triage did not access source content.,script_metadata_only,2026-07-24T17:44:23Z,0,0,0,0,0,0,0,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,CONTENT-TRIAGE-FULL-UNIVERSE-METADATA-MERGE-2026-07-24,2026-07-24T18:05:14Z,lane_4,metadata_only_triaged_not_content_reviewed
