post_pi_wave_rank,original_priority_rank,post_pi_wave_id,worker_batch,worker_batch_row,future_live_queue_id,municipality_id,census_gov_id,state,municipality,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,total_priority_score,priority_tier,priority_confidence,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,evidence_signal_score,retry_flag,failure_only_flag,scout_coverage_status,candidate_row_count,future_scout_eligible_flag,future_scout_exclusion_reason,priority_reason_summary,source_priority_file,source_priority_commit,search_hints_available,search_hint_1,search_hint_2,search_hint_3,search_hint_4,search_hint_5,already_canonical_flag,candidate_positive_flag,expected_units_to_search,verification_notes,recommended_scout_status,worker_id,worker_state_scope,worker_rank_min,worker_rank_max,worker_assignment_method
151,165,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,1,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_194759,194759,FL,Plant City,CITY OF PLANT CITY,municipal,place,40571,1,no,Hillsborough County (12057; primary),75.274,Tier 1,medium,23.581,10.000,17.089,11.950,7.654,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 96.6; municipal/place; state evidence medium; smoothed yield component 17.1/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF PLANT CITY"" FL official website","""CITY OF PLANT CITY"" FL collective bargaining agreement","""CITY OF PLANT CITY"" FL police union contract","""CITY OF PLANT CITY"" FL fire union contract","""CITY OF PLANT CITY"" FL salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF PLANT CITY (Census government ID 194759; locked municipality ID cog_2025_194759). County context: Hillsborough County (12057; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
152,166,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,2,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_173694,173694,OR,Pendleton,CITY OF PENDLETON,municipal,place,17289,1,no,Umatilla County (41059; primary),75.271,Tier 1,low,22.057,10.000,16.964,12.684,8.565,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 91.9; municipal/place; state evidence low; smoothed yield component 17.0/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF PENDLETON"" OR official website","""CITY OF PENDLETON"" OR collective bargaining agreement","""CITY OF PENDLETON"" OR police union contract","""CITY OF PENDLETON"" OR fire union contract","""CITY OF PENDLETON"" OR salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF PENDLETON (Census government ID 173694; locked municipality ID cog_2025_173694). County context: Umatilla County (41059; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
153,167,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,3,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_184245,184245,WA,Camas,CITY OF CAMAS,municipal,place,27254,1,no,Clark County (53011; primary),75.256,Tier 1,medium,22.909,10.000,16.923,12.131,8.293,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 94.7; municipal/place; state evidence medium; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF CAMAS"" WA official website","""CITY OF CAMAS"" WA collective bargaining agreement","""CITY OF CAMAS"" WA police union contract","""CITY OF CAMAS"" WA fire union contract","""CITY OF CAMAS"" WA salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF CAMAS (Census government ID 184245; locked municipality ID cog_2025_184245). County context: Clark County (53011; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
154,168,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,4,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_176886,176886,WA,Tumwater,CITY OF TUMWATER,municipal,place,27239,1,no,Thurston County (53067; primary),75.255,Tier 1,medium,22.908,10.000,16.923,12.131,8.293,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 94.7; municipal/place; state evidence medium; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF TUMWATER"" WA official website","""CITY OF TUMWATER"" WA collective bargaining agreement","""CITY OF TUMWATER"" WA police union contract","""CITY OF TUMWATER"" WA fire union contract","""CITY OF TUMWATER"" WA salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF TUMWATER (Census government ID 176886; locked municipality ID cog_2025_176886). County context: Thurston County (53067; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
155,169,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,5,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_132510,132510,OH,Kent,CITY OF KENT,municipal,place,27601,1,no,Portage County (39133; primary),75.253,Tier 1,low,22.933,10.000,16.670,11.977,8.673,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 94.8; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF KENT"" OH official website","""CITY OF KENT"" OH collective bargaining agreement","""CITY OF KENT"" OH police union contract","""CITY OF KENT"" OH fire union contract","""CITY OF KENT"" OH salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF KENT (Census government ID 132510; locked municipality ID cog_2025_132510). County context: Portage County (39133; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
156,170,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,6,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_101983,101983,FL,Greenacres,CITY OF GREENACRES,municipal,place,44103,1,no,Palm Beach County (12099; primary),75.248,Tier 1,medium,23.709,10.000,17.089,11.950,7.500,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 96.9; municipal/place; state evidence medium; smoothed yield component 17.1/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF GREENACRES"" FL official website","""CITY OF GREENACRES"" FL collective bargaining agreement","""CITY OF GREENACRES"" FL police union contract","""CITY OF GREENACRES"" FL fire union contract","""CITY OF GREENACRES"" FL salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF GREENACRES (Census government ID 101983; locked municipality ID cog_2025_101983). County context: Palm Beach County (12099; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
157,171,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,7,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_114625,114625,WA,Issaquah,CITY OF ISSAQUAH,municipal,place,38977,1,no,King County (53033; primary),75.248,Tier 1,medium,23.516,10.000,16.923,12.131,7.678,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 96.4; municipal/place; state evidence medium; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF ISSAQUAH"" WA official website","""CITY OF ISSAQUAH"" WA collective bargaining agreement","""CITY OF ISSAQUAH"" WA police union contract","""CITY OF ISSAQUAH"" WA fire union contract","""CITY OF ISSAQUAH"" WA salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF ISSAQUAH (Census government ID 114625; locked municipality ID cog_2025_114625). County context: King County (53033; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
158,172,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,8,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_184771,184771,FL,Ormond Beach,CITY OF ORMOND BEACH,municipal,place,44277,1,no,Volusia County (12127; primary),75.232,Tier 1,medium,23.716,10.000,17.089,11.950,7.478,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 96.9; municipal/place; state evidence medium; smoothed yield component 17.1/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF ORMOND BEACH"" FL official website","""CITY OF ORMOND BEACH"" FL collective bargaining agreement","""CITY OF ORMOND BEACH"" FL police union contract","""CITY OF ORMOND BEACH"" FL fire union contract","""CITY OF ORMOND BEACH"" FL salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF ORMOND BEACH (Census government ID 184771; locked municipality ID cog_2025_184771). County context: Volusia County (12127; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
159,173,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,9,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_161675,161675,FL,Lake Worth Beach,CITY OF LAKE WORTH BEACH,municipal,place,43346,1,no,Palm Beach County (12099; primary),75.222,Tier 1,medium,23.683,10.000,17.089,11.950,7.500,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 96.8; municipal/place; state evidence medium; smoothed yield component 17.1/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF LAKE WORTH BEACH"" FL official website","""CITY OF LAKE WORTH BEACH"" FL collective bargaining agreement","""CITY OF LAKE WORTH BEACH"" FL police union contract","""CITY OF LAKE WORTH BEACH"" FL fire union contract","""CITY OF LAKE WORTH BEACH"" FL salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF LAKE WORTH BEACH (Census government ID 161675; locked municipality ID cog_2025_161675). County context: Palm Beach County (12099; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
160,174,POST-PI-PARALLEL-ROUND1-2026-07-23,parallel_lane_2,10,POST-PI-PARALLEL-ROUND1-2026-07-23-LANE2,cog_2025_106395,106395,MI,Saginaw,CITY OF SAGINAW,municipal,place,43185,1,no,Saginaw County (26145; primary),75.216,Tier 1,low,23.677,10.000,16.291,11.702,8.548,0.000,no,no,not_scouted,0,yes,eligible_new_scout,population percentile 96.8; municipal/place; state evidence low; smoothed yield component 16.3/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF SAGINAW"" MI official website","""CITY OF SAGINAW"" MI collective bargaining agreement","""CITY OF SAGINAW"" MI police union contract","""CITY OF SAGINAW"" MI fire union contract","""CITY OF SAGINAW"" MI salary schedule employee compensation plan",no,no,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF SAGINAW (Census government ID 106395; locked municipality ID cog_2025_106395). County context: Saginaw County (26145; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-parallel-round1-2026-07-23_lane_2,lane_2,CROSS_STATE_PARALLEL_SCOUT_ROUND,151,300,rank_ordered_disjoint_parallel_lane
