mechanism_prep_id,span_rating_id,source_rating_id,span_id,side_label,mechanism_class,source_family,municipality,state,source_ids,span_ids,claim_readiness_bucket,downstream_use_bucket,mechanism_strength,clear_side_confidence,attachable_to_quantitative_cluster_flag,attachable_to_growth_cluster_flag,attachable_to_comparison_cluster_flag,recommended_use,reconciliation_reason_codes,source_locator_lineage
BRMMECHPREP-20260803-28166c10724482ce0489554a,BRMGRT-20260802-acf4a871436d99c14d303e81,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-2480c2ce5e76ad544da1b4d4,police_direct,non_base_compensation,cba,Warren,MI,"[""BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee""]","[""BRMSPAN-20260802-2480c2ce5e76ad544da1b4d4""]",weak_or_not_supported,manual_review_candidate,weak,high,true,false,false,defer,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMMECHPREP-20260803-5683a714a012ebd004a732e3,BRMGRT-20260802-f7b0b98e7b9a3e6deffce61f,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-280acfe352455ce4eea7763d,police_direct,market_recruitment_retention,cba,Warren,MI,"[""BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee""]","[""BRMSPAN-20260802-280acfe352455ce4eea7763d""]",local_context_only,local_context_candidate,weak,high,true,false,false,local context,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMMECHPREP-20260803-9c17e1abe6bf599786043311,BRMGRT-20260802-fcbd39ebfea24d126ad034c2,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-405a5e325d93778da07b1c39,police_direct,classification_civil_service,cba,Warren,MI,"[""BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee""]","[""BRMSPAN-20260802-405a5e325d93778da07b1c39""]",weak_or_not_supported,manual_review_candidate,weak,high,true,false,false,defer,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMMECHPREP-20260803-c199b582a9022b4feee3b66c,BRMGRT-20260802-50484d9cc71644e693922588,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-699c77463eef68b551964471,police_direct,strike_no_strike_dispute_process,cba,Warren,MI,"[""BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee""]","[""BRMSPAN-20260802-699c77463eef68b551964471""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,moderate,high,true,false,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMMECHPREP-20260803-9c532ebe484b0390828dd676,BRMGRT-20260802-da4082b7ed480f71c21b629a,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-866e24d465e8e3f0ccb0e6bc,police_direct,classification_civil_service,cba,Warren,MI,"[""BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee""]","[""BRMSPAN-20260802-866e24d465e8e3f0ccb0e6bc""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,moderate,original_rating_preserved,true,false,false,mechanism summary,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMMECHPREP-20260803-2d78cb3f2b70997543a93ea4,BRMGRT-20260802-cd405cd7eeae768d8ce51a17,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-ae4115f2c58f14fba63a2cd1,police_direct,other_pay_setting_mechanism,cba,Warren,MI,"[""BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee""]","[""BRMSPAN-20260802-ae4115f2c58f14fba63a2cd1""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,moderate,high,true,false,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMMECHPREP-20260803-aedb1cbe24a8f0ba422c56e0,BRMGRT-20260802-4210009f842923788b559938,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-bd956e95ab5937685acf180a,police_direct,non_base_compensation,cba,Warren,MI,"[""BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee""]","[""BRMSPAN-20260802-bd956e95ab5937685acf180a""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,moderate,high,true,false,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMMECHPREP-20260803-70184514196fcd54828a663f,BRMGRT-20260802-d15a97bba99cb82a676f8ac9,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-c8656b818553f8e826845472,police_direct,classification_civil_service,cba,Warren,MI,"[""BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee""]","[""BRMSPAN-20260802-c8656b818553f8e826845472""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,moderate,high,true,false,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMMECHPREP-20260803-d2f0d2589b435bf740bed9aa,BRMGRT-20260802-1040b64e2b81489692774aac,BRMGRS-20260802-826ffacd36837db576eecc01,BRMSPAN-20260802-95a4dd73b812a2fb06dc0270,non_safety_direct,other_pay_setting_mechanism,factfinding_report,Kinderhook,NY,"[""BRMGRS-20260802-826ffacd36837db576eecc01""]","[""BRMSPAN-20260802-95a4dd73b812a2fb06dc0270""]",qualitative_mechanism_claim_ready,manual_review_candidate,weak,high,true,false,false,defer,"[""primary_anchor:non_safety_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14215-01"", ""final"": ""https://cf003.cdn.4science.cloud/4s-assetstore-prod--cornell--ecommons/85/44/59/85445921641594557227811551705330764477"", ""original"": ""https://ecommons.cornell.edu/bitstreams/44ef4a8a-2af2-4125-8c8c-dd37fd019615/download"", ""scout_target_id"": ""BRM5-20260731-14215""}"
BRMMECHPREP-20260803-ccf52d8485e22aaea68c0087,BRMGRT-20260802-0183303dcf283d1b64bb17d2,BRMGRS-20260802-6aa4c26c6c4ab3998a8a9cf7,BRMSPAN-20260802-03baa1dc88b5211c1a533a00,safety_combined_direct,other_pay_setting_mechanism,salary_ordinance,Waterloo,WI,"[""BRMGRS-20260802-6aa4c26c6c4ab3998a8a9cf7""]","[""BRMSPAN-20260802-03baa1dc88b5211c1a533a00""]",qualitative_mechanism_claim_ready,supporting_example_candidate,moderate,original_rating_preserved,false,false,false,supporting,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-06613-01"", ""final"": ""https://waterloowi.us/documents/689/EmployeeHandbookApproved06-06-2022AMENDMENTS.pdf"", ""original"": ""https://waterloowi.us/documents/689/EmployeeHandbookApproved06-06-2022AMENDMENTS.pdf"", ""scout_target_id"": ""BRM5-20260731-06613""}"
