matching_prep_id,municipality,state,region,cluster_type,source_ids_involved,span_ids_involved,side_labels_represented,has_police,has_fire,has_safety_combined,has_non_safety,has_mixed,clear_safety_anchor_count,clear_non_safety_anchor_count,quantitative_record_count,qualitative_mechanism_record_count,growth_continuity_record_count,comparison_seed_record_count,compatible_pay_basis_flag,compatible_period_flag,same_source_flag,same_document_flag,same_page_or_section_flag,same_cycle_flag,same_fiscal_year_flag,same_contract_period_flag,adjacent_period_flag,period_anchor_quality,role_unit_anchor_quality,pay_basis_compatibility,source_family_mix,strongest_match_tier,matching_prep_confidence,matching_blockers,recommended_next_action,cba_non_cba_hint,evidence_category,claim_readiness_bucket,downstream_use_bucket,mechanism_strength_level,source_locator_lineage
BRMMATCHPREP-20260803-003460b5d96bac52bdab00e5,Ingham,MI,Midwest,same_municipality_same_effective_period,"[""BRMGRS-20260802-6b77a98a8f930c2f26f3a620""]","[""BRMSPAN-20260802-281765bffd7d238bd4fda7f6""]","[""police_direct""]",true,false,false,false,false,1,0,1,0,1,0,true,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,candidate_compatible_unverified,"[""wage_schedule""]",Tier E,moderate,"[""missing_clear_cross_side_anchor""]",growth_continuity_review,"[""non_cba_or_unresolved_hint""]","[""quant_percentage_raise_or_cola""]","[""quantitative_direct_text_claim_ready""]","[""quantitative_normalization_candidate""]","[""moderate""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-16102-01\"", \""final\"": \""https://cclp.us/wp-content/uploads/ICSO-LE-CBA-FINAL-12-27-24-12-31-27.pdf\"", \""original\"": \""https://cclp.us/wp-content/uploads/ICSO-LE-CBA-FINAL-12-27-24-12-31-27.pdf\"", \""scout_target_id\"": \""BRM5-20260731-16102\""}""]"
BRMMATCHPREP-20260803-00b1ea3287a0469771eda6a7,Upper St. Clair,PA,Northeast,same_municipality_same_effective_period,"[""BRMGRS-20260802-6f739953465bd33b9c980a9f""]","[""BRMSPAN-20260802-45d643eefc94dff785915def"",""BRMSPAN-20260802-7d09dec54b5bd289512ae222"",""BRMSPAN-20260802-85d996e1721e6d0f25595001"",""BRMSPAN-20260802-fb8d85cbcd97ea201bb433d1""]","[""police_direct""]",true,false,false,false,false,4,0,4,0,4,0,true,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,candidate_compatible_unverified,"[""budget_or_pay_plan""]",Tier E,moderate,"[""missing_clear_cross_side_anchor""]",growth_continuity_review,"[""non_cba_or_unresolved_hint""]","[""quant_percentage_raise_or_cola""]","[""quantitative_direct_text_claim_ready""]","[""supporting_example_candidate""]","[""none""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-10959-01\"", \""final\"": \""https://cms8.revize.com/revize/usctpa/Finance/2025Budget.pdf\"", \""original\"": \""https://cms8.revize.com/revize/usctpa/Finance/2025Budget.pdf\"", \""scout_target_id\"": \""BRM5-20260731-10959\""}""]"
BRMMATCHPREP-20260803-00e3f6cea84f4f087cc95f25,Bethel,MN,Midwest,same_municipality_same_effective_period,"[""BRMGRS-20260802-a5604e58ae60e76092efefc7""]","[""BRMSPAN-20260802-0a285f1c582b838a820f6f84"",""BRMSPAN-20260802-0cd3cc1ded4eb308c4ae9976"",""BRMSPAN-20260802-2e8ed3e3771511c3a2604a8f"",""BRMSPAN-20260802-84e1048b913cddba47728c82"",""BRMSPAN-20260802-ace5a80a5d7bfc9552d82dc9"",""BRMSPAN-20260802-c52a6c43e43cb1a9b4768236"",""BRMSPAN-20260802-e57daf387457c0f743466687"",""BRMSPAN-20260802-f79bc4245c1cb1d60ee9c225"",""BRMSPAN-20260802-fdacc7bcd17e4235f09642e9""]","[""fire_direct""]",false,true,false,false,false,9,0,0,9,0,0,false,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,needs_review,"[""other_local_government_pay_policy""]",Tier F,moderate,"[""missing_clear_cross_side_anchor"",""pay_basis_needs_review""]",mechanism_attribution_review,"[""non_cba_or_unresolved_hint""]","[""qual_market_recruitment_retention_pressure"",""qual_ordinance_or_council_adoption""]","[""qualitative_mechanism_claim_ready"",""source_navigation_or_reference_only"",""weak_or_not_supported""]","[""exclude_or_write_off"",""mechanism_summary_candidate""]","[""central"",""none"",""weak""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-16277-01\"", \""final\"": \""https://bethelmn.gov/wp-content/uploads/2025/01/Bethel-Codebook-Jan-1-2025.pdf\"", \""original\"": \""https://bethelmn.gov/wp-content/uploads/2025/01/Bethel-Codebook-Jan-1-2025.pdf\"", \""scout_target_id\"": \""BRM5-20260731-16277\""}""]"
BRMMATCHPREP-20260803-01254d6763bc6a0c780c89f9,Bedford,OH,Midwest,same_municipality_same_effective_period,"[""BRMGRS-20260802-3c6502885a3f2e23e949613d""]","[""BRMSPAN-20260802-115131321f41040d1403b0a5"",""BRMSPAN-20260802-14bbeaed04e0513fc83dc060"",""BRMSPAN-20260802-1717f80e2bcc9346c3afd6e8"",""BRMSPAN-20260802-196bde8d0028ec46f0effb45"",""BRMSPAN-20260802-1dc9999dbbe2ba24b5f94556"",""BRMSPAN-20260802-3067795fe13c0cc25f8edeef"",""BRMSPAN-20260802-31cb28bdbb7f46d16d221426"",""BRMSPAN-20260802-3c8c4ce835264c25c6e2e611"",""BRMSPAN-20260802-3cbc7f11c5149716c301d520"",""BRMSPAN-20260802-48f9da5dd217542052c482f7"",""BRMSPAN-20260802-553efd02af675d8287d50883"",""BRMSPAN-20260802-5d19a77c20dd83c6c95b243e"",""BRMSPAN-20260802-69a7b631d2f6bfce44d8e9ee"",""BRMSPAN-20260802-6fa03fe2c323bf942e72b940"",""BRMSPAN-20260802-8c30c805d204570ffb119c1e"",""BRMSPAN-20260802-9990007c643c7353e9d5c669"",""BRMSPAN-20260802-9db551d6daed155d71702a7f"",""BRMSPAN-20260802-b67ea5703fb371447ee43583"",""BRMSPAN-20260802-bd969c46594ca90847216eda"",""BRMSPAN-20260802-c713b73fb235ec6740fe94f2"",""BRMSPAN-20260802-cc6604b7b547fa7a90962bdf"",""BRMSPAN-20260802-dc87d02762a96c8afca5d0af"",""BRMSPAN-20260802-ddde77d269e420d67a3e1983"",""BRMSPAN-20260802-df0133ee4e8c00adee1ab0ca"",""BRMSPAN-20260802-e3a0950227dd4eeec89c7bdd""]","[""police_direct""]",true,false,false,false,false,25,0,15,11,3,0,false,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,needs_review,"[""salary_ordinance""]",Tier E,moderate,"[""missing_clear_cross_side_anchor"",""pay_basis_needs_review""]",growth_continuity_review,"[""non_cba_or_unresolved_hint""]","[""qual_non_base_compensation_mechanism"",""qual_ordinance_or_council_adoption"",""qual_position_classification_or_civil_service_structure"",""qual_strike_no_strike_or_labor_dispute_process"",""quant_allowance_or_reimbursement"",""quant_base_wage_direct_value"",""quant_longevity_or_service_pay"",""quant_other_compensation_value"",""quant_overtime_or_holiday_rate"",""quant_step_schedule_progression"",""quant_stipend_or_premium""]","[""local_context_only"",""qualitative_mechanism_claim_ready"",""quantitative_direct_text_claim_ready"",""quantitative_needs_normalization"",""source_navigation_or_reference_only"",""weak_or_not_supported""]","[""core_finding_candidate"",""exclude_or_write_off"",""local_context_candidate"",""manual_review_candidate"",""mechanism_summary_candidate"",""supporting_example_candidate""]","[""moderate"",""none"",""weak""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-09676-01\"", \""final\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2023/23-MED-10-0992.pdf\"", \""original\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2023/23-MED-10-0992.pdf\"", \""scout_target_id\"": \""BRM5-20260731-09676\""}""]"
BRMMATCHPREP-20260803-0125f67f544b46d1edf90fdd,Urbana,IL,Midwest,same_municipality_same_effective_period,"[""BRMGRS-20260802-91675ace91c40522b785d902""]","[""BRMSPAN-20260802-998fd78a2062f9958d8b7169""]","[""police_direct""]",true,false,false,false,false,1,0,0,1,0,0,false,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,needs_review,"[""wage_schedule""]",Tier F,moderate,"[""missing_clear_cross_side_anchor"",""pay_basis_needs_review""]",mechanism_attribution_review,"[""non_cba_or_unresolved_hint""]","[""qual_ordinance_or_council_adoption""]","[""source_navigation_or_reference_only""]","[""manual_review_candidate""]","[""none""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-04238-01\"", \""final\"": \""https://mccmeetings.blob.core.usgovcloudapi.net/urbanail-pubu/MEET-Packet-e18763c98638444ea81bc3e276ad0e26.pdf\"", \""original\"": \""https://mccmeetings.blob.core.usgovcloudapi.net/urbanail-pubu/MEET-Packet-e18763c98638444ea81bc3e276ad0e26.pdf\"", \""scout_target_id\"": \""BRM5-20260731-04238\""}""]"
BRMMATCHPREP-20260803-012cbb2fdd2d29a76be28f2a,Colona,IL,Midwest,same_municipality_same_effective_period,"[""BRMGRS-20260802-018ef44d267ec396deb08e51""]","[""BRMSPAN-20260802-02806f4d2efc7c6445f376fd"",""BRMSPAN-20260802-0b1bdcfec2d463cc30b6ef4c"",""BRMSPAN-20260802-5a664b55687518f4950cd854"",""BRMSPAN-20260802-6cddbc45d6330f22e1196b62"",""BRMSPAN-20260802-82540973dbd2940ded782aa6"",""BRMSPAN-20260802-834966d69d9e70926ee7f38a"",""BRMSPAN-20260802-8c3bcc8555be6667dd585200"",""BRMSPAN-20260802-950e8ed98bc682dae136f468"",""BRMSPAN-20260802-9f41c150552ac2aae587e3cc"",""BRMSPAN-20260802-c56f8361443912fa4b49090b"",""BRMSPAN-20260802-d529591caa3ddffba72f7da3"",""BRMSPAN-20260802-e6b297cacb596c1f73d3f21a""]","[""non_safety_direct""]",false,false,false,true,false,0,12,8,7,0,0,true,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,candidate_compatible_unverified,"[""wage_schedule""]",Tier F,moderate,"[""missing_clear_cross_side_anchor""]",mechanism_attribution_review,"[""non_cba_or_unresolved_hint""]","[""qual_collective_bargaining"",""qual_market_recruitment_retention_pressure"",""qual_non_base_compensation_mechanism"",""qual_ordinance_or_council_adoption"",""quant_allowance_or_reimbursement"",""quant_other_compensation_value""]","[""directional_hint_only"",""qualitative_mechanism_claim_ready"",""quantitative_direct_text_claim_ready"",""source_navigation_or_reference_only""]","[""core_finding_candidate"",""exclude_or_write_off"",""local_context_candidate"",""manual_review_candidate"",""mechanism_summary_candidate"",""supporting_example_candidate""]","[""moderate"",""none"",""weak""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-15145-04\"", \""final\"": \""https://colonail.com/vertical/sites/%7BFC142F78-E9D2-49AE-8B50-7910B5B74E0C%7D/uploads/12.22.25_Packet.pdf\"", \""original\"": \""https://www.colonail.com/vertical/sites/%7BFC142F78-E9D2-49AE-8B50-7910B5B74E0C%7D/uploads/12.22.25_Packet.pdf\"", \""scout_target_id\"": \""BRM5-20260731-15145\""}""]"
BRMMATCHPREP-20260803-014088616fc489290d21ae6b,Norwalk,OH,Midwest,same_municipality_same_effective_period,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-def22846110170d6642efc1e""]","[""police_direct""]",true,false,false,false,false,1,0,1,0,0,0,false,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,needs_review,"[""cba""]",Tier G,low,"[""missing_clear_cross_side_anchor"",""pay_basis_needs_review""]",defer_or_exclude,"[""cba_arbitration_factfinding_hint""]","[""quant_other_compensation_value""]","[""source_navigation_or_reference_only""]","[""local_context_candidate""]","[""none""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-17323-01\"", \""final\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf\"", \""original\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf\"", \""scout_target_id\"": \""BRM5-20260731-17323\""}""]"
BRMMATCHPREP-20260803-01d317ec8df9166cd2e8f695,Marion,IN,Midwest,same_municipality_same_effective_period,"[""BRMGRS-20260802-81c1c04a58935e89d66f424e""]","[""BRMSPAN-20260802-19e84ee3887aa3f3dc0b5aad"",""BRMSPAN-20260802-547747de5ac6112cab8ea61c"",""BRMSPAN-20260802-7f6b96c3fb46fa74076d8b51"",""BRMSPAN-20260802-d9a701753c20c888f08d5516"",""BRMSPAN-20260802-fc7bad86fdf4a72bff1c87fd""]","[""police_direct""]",true,false,false,false,false,5,0,1,4,1,0,false,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,needs_review,"[""wage_schedule""]",Tier E,moderate,"[""missing_clear_cross_side_anchor"",""pay_basis_needs_review""]",growth_continuity_review,"[""non_cba_or_unresolved_hint""]","[""qual_collective_bargaining"",""qual_comparability_or_parity_language"",""qual_retroactivity_or_implementation_timing"",""quant_retroactive_pay_or_lump_sum""]","[""source_navigation_or_reference_only"",""weak_or_not_supported""]","[""exclude_or_write_off"",""local_context_candidate"",""manual_review_candidate""]","[""none"",""weak""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-08121-04\"", \""final\"": \""https://s3.us-east-2.amazonaws.com/marion-prod/downloads/meeting/regular-meeting-115/12-18-18.m.pdf\"", \""original\"": \""https://s3.us-east-2.amazonaws.com/marion-prod/downloads/meeting/regular-meeting-115/12-18-18.m.pdf\"", \""scout_target_id\"": \""BRM5-20260731-08121\""}""]"
BRMMATCHPREP-20260803-01eb4e08f056713d08b1b264,Hiram,OH,Midwest,same_municipality_same_effective_period,"[""BRMGRS-20260802-7b554369b34097189cf9ec12""]","[""BRMSPAN-20260802-b31bf934360e55c546a7f7bf"",""BRMSPAN-20260802-cb5cb7e63d4a488cc690f77d"",""BRMSPAN-20260802-df99f75041c95b1fbce8daad""]","[""police_direct""]",true,false,false,false,false,3,0,3,0,0,0,true,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,candidate_compatible_unverified,"[""other_local_government_pay_policy""]",Tier G,low,"[""missing_clear_cross_side_anchor""]",defer_or_exclude,"[""non_cba_or_unresolved_hint""]","[""quant_base_wage_direct_value""]","[""quantitative_direct_text_claim_ready""]","[""core_finding_candidate""]","[""none""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-13517-01\"", \""final\"": \""https://cms2.revize.com/revize/hiramoh/Documents/Government/Village%20Council/Legislations/2013%20Ordinances%20Adopted/Ordinance_2013-34_Setting_Base_Salary_Ranges.pdf\"", \""original\"": \""https://cms2.revize.com/revize/hiramoh/Documents/Government/Village%20Council/Legislations/2013%20Ordinances%20Adopted/Ordinance_2013-34_Setting_Base_Salary_Ranges.pdf\"", \""scout_target_id\"": \""BRM5-20260731-13517\""}""]"
BRMMATCHPREP-20260803-024e3a16c932b6ea3f29ea1d,Clearcreek,OH,Midwest,same_municipality_same_effective_period,"[""BRMGRS-20260802-57ef52cf079a8b0a39d79eb0""]","[""BRMSPAN-20260802-0d48c4feed5511857401a410"",""BRMSPAN-20260802-1b6746198d45ba421385906b"",""BRMSPAN-20260802-24b48796e88d90b15f1790df"",""BRMSPAN-20260802-33192ca7c4fc8a3f87ea7d8e"",""BRMSPAN-20260802-45efdcff4d1313af013e2d95"",""BRMSPAN-20260802-537d962596ef25d24ab3cc17"",""BRMSPAN-20260802-658f8a76bdaa840ece6a4c1a"",""BRMSPAN-20260802-7872bf54e10d30ecd5163c84"",""BRMSPAN-20260802-8c4be5effc08ffece8e29b4b"",""BRMSPAN-20260802-b67635a59489fbbc4ad08b7f""]","[""police_direct""]",true,false,false,false,false,10,0,2,8,0,0,true,true,false,false,false,true,true,true,false,explicit_raw_token,clear_single_side_or_mixed,candidate_compatible_unverified,"[""mou_or_memorandum""]",Tier F,moderate,"[""missing_clear_cross_side_anchor""]",mechanism_attribution_review,"[""non_cba_or_unresolved_hint""]","[""qual_collective_bargaining"",""qual_mou_or_settlement"",""qual_non_base_compensation_mechanism"",""qual_other_pay_setting_mechanism"",""quant_other_compensation_value"",""quant_overtime_or_holiday_rate""]","[""local_context_only"",""source_navigation_or_reference_only"",""weak_or_not_supported""]","[""exclude_or_write_off"",""local_context_candidate"",""manual_review_candidate""]","[""none""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05970-02\"", \""final\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Addendums/2023/23-MED-10-0877.pdf\"", \""original\"": \""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Addendums/2023/23-MED-10-0877.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05970\""}""]"
