source_document_cluster_id,source_rating_id,retained_source_id,municipality,state,region,source_type,source_family,span_ids,span_rating_ids,span_count,side_labels_represented,clear_safety_anchor_count,clear_non_safety_anchor_count,quantitative_record_count,qualitative_mechanism_record_count,growth_continuity_record_count,comparison_seed_record_count,raw_period_anchors,pay_basis_hints,same_document_cross_side_candidate,source_locator_lineage
BRMSRCDOC-20260803-a268bab76233e3a2519566c5,BRMGRS-20260802-001e740160db7635a4ffc95a,RMSRD-20260802-dbba089b005836fe99d8,Westgate,IA,Midwest,pdf,agenda_packet_or_minutes,"[""BRMSPAN-20260802-b86da73b19d44ac75ac886cf""]","[""BRMGRT-20260802-80d4b036a12d79b67747b7e5""]",1,"[""write_off""]",0,0,0,0,0,0,"[""2023/2024""]","[""budget_amount""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-15053-01"", ""final"": ""https://westgate.lib.ia.us/application/files/9016/7708/2872/February_2023.pdf"", ""original"": ""https://www.westgate.lib.ia.us/application/files/9016/7708/2872/February_2023.pdf"", ""scout_target_id"": ""BRM5-20260731-15053""}"
BRMSRCDOC-20260803-1ea90bd39c2e849c178a3273,BRMGRS-20260802-00348fb13587fc649da28e1e,RMSRD-20260802-1461014ca31dc37f0c92,Elgin,ND,Midwest,pdf,agenda_packet_or_minutes,"[""BRMSPAN-20260802-111c69cca0442b16f0bfa3a2"",""BRMSPAN-20260802-4e86174fba7107879b2ccd3f""]","[""BRMGRT-20260802-dfcd7bb7a9144c75246b136e"",""BRMGRT-20260802-f53ed76673bbeb6da5acc5f1""]",2,"[""non_safety_direct"",""remains_unclear""]",0,1,0,1,0,0,"[""January 9, 2025""]","[""percentage_raise""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-01925-01"", ""final"": ""https://ndpublicnotices.newzgroup.com/NDLegals/2025/394387-2025-01-23_1001.pdf"", ""original"": ""https://ndpublicnotices.newzgroup.com/NDLegals/2025/394387-2025-01-23_1001.pdf"", ""scout_target_id"": ""BRM5-20260731-01925""}"
BRMSRCDOC-20260803-4b5955466ecc47de20652d54,BRMGRS-20260802-0071edbfd9d288558a307252,RMSRD-20260802-e618aa0185308d0e5111,Troy,WI,Midwest,pdf,budget_or_pay_plan,"[""BRMSPAN-20260802-75dc0c8d16870fc43924214e"",""BRMSPAN-20260802-8aee64be44ab95f633036d7d"",""BRMSPAN-20260802-b5cbd4016ff15555e0b85f4a"",""BRMSPAN-20260802-d0e56fcd6d30cd6d6be78b05"",""BRMSPAN-20260802-e9da6c89c85265de46fc6e16""]","[""BRMGRT-20260802-438633c33e411fa37f4d95b9"",""BRMGRT-20260802-fa9383a05f73754bb9db1608"",""BRMGRT-20260802-a4e45e9e9605d14182a983bb"",""BRMGRT-20260802-91d1c9b45fcf5727927d46c9"",""BRMGRT-20260802-92999ec06e4a2c1fbf2374e5""]",5,"[""remains_unclear""]",0,0,0,0,0,0,"[""2026"",""FY 2026""]","[""budget_amount""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-02856-02"", ""final"": ""https://files.heygov.com/townoftroy.com/meetings/me_01kj2mdrzhr1ak3bxr7wp749ka/251023twn-brd-mtng-pckt-1.pdf"", ""original"": ""https://files.heygov.com/townoftroy.com/meetings/me_01kj2mdrzhr1ak3bxr7wp749ka/251023twn-brd-mtng-pckt-1.pdf"", ""scout_target_id"": ""BRM5-20260731-02856""}"
BRMSRCDOC-20260803-569421d97be319dc42ee4064,BRMGRS-20260802-008dabf453533f56ac1fca60,RMSRD-20260802-d34b8ba9cbc2e7d70d1e,Medford,MN,Midwest,pdf,agenda_packet_or_minutes,"[""BRMSPAN-20260802-00194bf43a9d28d35b55ef7a"",""BRMSPAN-20260802-1230b4da410afc47518acb58"",""BRMSPAN-20260802-348f085f3ecf616190ffe541"",""BRMSPAN-20260802-441cdd4db6849cd5cce8c7a6"",""BRMSPAN-20260802-514652b0c66d1f06618d27d5"",""BRMSPAN-20260802-577062205c1a5f94d0e2090a"",""BRMSPAN-20260802-84cbfec04ef8b7a554cb3da7"",""BRMSPAN-20260802-88188dbabd426760f21af4ff"",""BRMSPAN-20260802-9311d8278ca54aadc2b1ad31"",""BRMSPAN-20260802-973a98bdb704bff8e370f6a1"",""BRMSPAN-20260802-9746e2fd7bb7d0d079b03d56"",""BRMSPAN-20260802-ac17b271360539803204f184"",""BRMSPAN-20260802-b01412aba7198aaae7f389be"",""BRMSPAN-20260802-c29d78cbea6a73439fcf4eeb"",""BRMSPAN-20260802-c3331adf7ff77d3e277562dd"",""BRMSPAN-20260802-c4c2b996629996114f1ffae1"",""BRMSPAN-20260802-f314e8f43507eb946fd5554b""]","[""BRMGRT-20260802-c3798909f704ad0c66fc37a6"",""BRMGRT-20260802-b9d3504c6750a1c805164eb7"",""BRMGRT-20260802-deccb6a6f75a7f9c25b66708"",""BRMGRT-20260802-cabaee903f411829e58b6c9b"",""BRMGRT-20260802-0f975cf276a2175d31c93f0b"",""BRMGRT-20260802-8c6114cde6f7bd771bfbebcd"",""BRMGRT-20260802-1bf9fb8eff6b0ce90ab7ea52"",""BRMGRT-20260802-a21f8d9a0af0be31c3eff7e7"",""BRMGRT-20260802-9b1b40a6bd2f2e5eff09659e"",""BRMGRT-20260802-e483c3e189e0b19f5a6719ae"",""BRMGRT-20260802-1cdfe4d6d1f314a77818de57"",""BRMGRT-20260802-722dcdfdf96f530893e903d0"",""BRMGRT-20260802-2f43c0d9a83a2c8654792d9f"",""BRMGRT-20260802-e7670e3bd7eaedaef6920d9a"",""BRMGRT-20260802-e325528796dd10757c9d0da6"",""BRMGRT-20260802-e1621a2712db95fcfff5414a"",""BRMGRT-20260802-a61b08a989930fc580a378c4""]",17,"[""non_safety_direct"",""not_applicable"",""remains_unclear"",""write_off""]",0,3,1,3,0,0,"[""2020"",""2021"",""April 1, 2020"",""June 2, 2020""]","[""budget_amount"",""hourly"",""percentage_raise"",""unknown_or_mixed""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-05271-02"", ""final"": ""https://medfordminnesota.com/files/5716/1375/0102/Minutes_2020.pdf"", ""original"": ""https://www.medfordminnesota.com/index.php/download_file/1355/154/"", ""scout_target_id"": ""BRM5-20260731-05271""}"
BRMSRCDOC-20260803-77a9f301e41ab003e7d2b89e,BRMGRS-20260802-00a804e1a36014fec5abd7f8,RMSRD-20260802-8dfa7f33ee52b1b46842,Cleveland,WI,Midwest,pdf,agenda_packet_or_minutes,"[""BRMSPAN-20260802-02a56f7add7dc27b478d3c2c"",""BRMSPAN-20260802-63ff76689fb128a1d4f80d5a""]","[""BRMGRT-20260802-294e81b1e33faa1248d2a5c8"",""BRMGRT-20260802-0201491e25557025997d887b""]",2,"[""write_off""]",0,0,0,0,0,0,[],"[""overtime_rate""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-13896-02"", ""final"": ""https://clevelandwi.gov/wp-content/uploads/2015/12/2016-12-20-VB-mtg-minutes-FINAL-WEB.pdf"", ""original"": ""https://clevelandwi.gov/wp-content/uploads/2015/12/2016-12-20-VB-mtg-minutes-FINAL-WEB.pdf"", ""scout_target_id"": ""BRM5-20260731-13896""}"
BRMSRCDOC-20260803-36fceabdb88efc84d8f3ab6f,BRMGRS-20260802-00bbf8d8986390eebf468973,RMSRD-20260802-04be8989ae400035b049,Bart,PA,Northeast,pdf,wage_schedule,"[""BRMSPAN-20260802-f34a4b1f2305336394b90fe6""]","[""BRMGRT-20260802-13f399f1e35b2e2f7f430481""]",1,"[""remains_unclear""]",0,0,0,0,0,0,[],"[""monthly""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-03130-01"", ""final"": ""https://barttwp.com/_files/ugd/06bb39_447e62abb9c8495d898754721fb6bcdb.pdf"", ""original"": ""https://www.barttwp.com/_files/ugd/06bb39_447e62abb9c8495d898754721fb6bcdb.pdf"", ""scout_target_id"": ""BRM5-20260731-03130""}"
BRMSRCDOC-20260803-6ef701a1a8b547bd81b918ff,BRMGRS-20260802-00f1e3dbf459f3bfb42b72c2,RMSRD-20260802-19326c5a9e861b02cade,Blissfield,MI,Midwest,pdf,budget_or_pay_plan,"[""BRMSPAN-20260802-49bf8ef3c2dcc26e82d4dc93"",""BRMSPAN-20260802-62ba69dd9d5709517b10e378"",""BRMSPAN-20260802-6694219c4cc421d40d3a8771""]","[""BRMGRT-20260802-32a31721c3e889e4a26b3813"",""BRMGRT-20260802-3f3c9446406c229db3c649c0"",""BRMGRT-20260802-ab86c37a4c4c7cdad3d7f1fb""]",3,"[""not_applicable"",""remains_unclear""]",0,0,0,0,0,0,"[""2022"",""FY 2025-2026""]","[""budget_amount""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-04791-01"", ""final"": ""https://blissfieldmichigan.gov/wp-content/uploads/2025/07/Full-Budget-Binder.pdf"", ""original"": ""https://blissfieldmichigan.gov/wp-content/uploads/2025/07/Full-Budget-Binder.pdf"", ""scout_target_id"": ""BRM5-20260731-04791""}"
BRMSRCDOC-20260803-4c18b01c25c537baacdae66a,BRMGRS-20260802-00f35ae9f17e436810b28613,RMSRD-20260802-980c0189298fd979c57e,Harris,OH,Midwest,pdf,agenda_packet_or_minutes,"[""BRMSPAN-20260802-043c94ac33bee5291619c855"",""BRMSPAN-20260802-13f4adce1fd3e2c9d02ccbda"",""BRMSPAN-20260802-3f4548d6a412bd364bab9a28"",""BRMSPAN-20260802-6d812d6cf7b68aab236bc15e"",""BRMSPAN-20260802-798b45f9cf2832db629ea162"",""BRMSPAN-20260802-8d2ebc06f34e04e5946940ad"",""BRMSPAN-20260802-bc7070564ac930f77b51691b"",""BRMSPAN-20260802-d445dd19bc2af8a87c6d6842"",""BRMSPAN-20260802-eed5c033db8959e2ce455691"",""BRMSPAN-20260802-fa9a074f3222c0b7ee6dd82b""]","[""BRMGRT-20260802-88200759c846dbc54c599a6b"",""BRMGRT-20260802-a7322145520986451a073683"",""BRMGRT-20260802-96d17b32ac6ea18eca51f603"",""BRMGRT-20260802-783059a1b8f6dc828156bfd5"",""BRMGRT-20260802-733e6385d0375c510cbce49a"",""BRMGRT-20260802-532de6dd2c7a35fd0ba4516d"",""BRMGRT-20260802-8bf9d3f8f489624763c50932"",""BRMGRT-20260802-ea85d41bcade90a04b057e08"",""BRMGRT-20260802-c0e5b7b0f1a38b1b46d493d9"",""BRMGRT-20260802-5dea165734f9dcc902834998""]",10,"[""non_safety_direct"",""not_applicable"",""remains_unclear""]",0,2,2,1,0,0,"[""2022""]","[""allowance"",""hourly"",""overtime_rate"",""unknown_or_mixed""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-17237-01"", ""final"": ""https://harristownshipohio.com/wp-content/uploads/2023/02/Minutes-12.28.22-special-organizational.pdf"", ""original"": ""https://www.harristownshipohio.com/wp-content/uploads/2023/02/Minutes-12.28.22-special-organizational.pdf"", ""scout_target_id"": ""BRM5-20260731-17237""}"
BRMSRCDOC-20260803-9d56d241fcd2dc3805c92a02,BRMGRS-20260802-01180096e06a34fedae259c0,RMSRD-20260802-45d0c35f3c2c548decd0,Bound Brook,NJ,Northeast,pdf,personnel_policy,"[""BRMSPAN-20260802-01c6a6602664ed6db3629f90"",""BRMSPAN-20260802-44e55f2dd606517b216555ea"",""BRMSPAN-20260802-6b38b6e386bc486a30e80481"",""BRMSPAN-20260802-badaf02f6832fd03c8a2eb37"",""BRMSPAN-20260802-e256d802fc27c9ca77bdfdf0""]","[""BRMGRT-20260802-8fae59791e9af466fb2de312"",""BRMGRT-20260802-d28779b111865ba372018e85"",""BRMGRT-20260802-91454d59104e269472b61534"",""BRMGRT-20260802-4dcf4d054b2e2a2f82430b8b"",""BRMGRT-20260802-1160784436edc850587347b8""]",5,"[""non_safety_direct"",""not_applicable""]",0,1,0,1,0,0,"[""2022""]","[""budget_amount"",""unknown_or_mixed""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-06637-08"", ""final"": ""https://boundbrook-nj.org/wp-content/uploads/2022/10/10-11-2022_Final-Agenda-Packet_Public_10-11-22.pdf"", ""original"": ""https://boundbrook-nj.org/wp-content/uploads/2022/10/10-11-2022_Final-Agenda-Packet_Public_10-11-22.pdf"", ""scout_target_id"": ""BRM5-20260731-06637""}"
BRMSRCDOC-20260803-08c235d755c9c616d28fc072,BRMGRS-20260802-012d0866950f2ebcb04e4b99,RMSRD-20260802-f801c5ea293b7addfe14,Hamilton,OH,Midwest,pdf,wage_schedule,"[""BRMSPAN-20260802-0528078e597648e871363142"",""BRMSPAN-20260802-2e47c8911ecfe7026503a04d"",""BRMSPAN-20260802-337f20100fc79fb5eef7678d"",""BRMSPAN-20260802-4b18e3382d793d613673a075"",""BRMSPAN-20260802-4fed83296309f6df866c141d"",""BRMSPAN-20260802-526dd78a9958c351090d5bc6"",""BRMSPAN-20260802-69b0807829dc9ee0c518155b"",""BRMSPAN-20260802-795c83c3fe42fd99ea403f1a"",""BRMSPAN-20260802-8c0bfd668af977fa6ccd8e53"",""BRMSPAN-20260802-a431dc723498f548c17a7625"",""BRMSPAN-20260802-a9989eb5450a96552588362f"",""BRMSPAN-20260802-afc3932e5aef26d1e5882c14"",""BRMSPAN-20260802-b10cb6e31c56f37301ea9c20"",""BRMSPAN-20260802-bf02d6c03563aa0ca5a7af3c"",""BRMSPAN-20260802-d63673235a5613f1f8e80bb4"",""BRMSPAN-20260802-f486238b113228f9358fcea5"",""BRMSPAN-20260802-f770499db19723ee5342080c"",""BRMSPAN-20260802-faa62b0c69141733f6e9d668""]","[""BRMGRT-20260802-eadc5d45aadf49ee70393533"",""BRMGRT-20260802-a3d26c555375366e8b92c599"",""BRMGRT-20260802-b1bcea63fb28c57837dfeacc"",""BRMGRT-20260802-64eee5ba5db01e0badfa5b04"",""BRMGRT-20260802-e897793f8fca9327e8db8497"",""BRMGRT-20260802-1d64c0c270f3716cf0226f25"",""BRMGRT-20260802-4eee5feaf5c69de1a2ff98ef"",""BRMGRT-20260802-eac47e7d4684cd9f934f6d0f"",""BRMGRT-20260802-ac41e152fa6b888abb101f97"",""BRMGRT-20260802-f1555e971c9d8de519ca958a"",""BRMGRT-20260802-25f6c4f5f2509288b7cfa112"",""BRMGRT-20260802-6696a6c28d03a914d897e67b"",""BRMGRT-20260802-88f103f3d7d641e49c2c350e"",""BRMGRT-20260802-09170b55cbf50e08afe76558"",""BRMGRT-20260802-ae4b32a8c69195159ea37f8a"",""BRMGRT-20260802-e978831d6cfc1050e25584ba"",""BRMGRT-20260802-c09eb9f1c47d5b7e08139ba6"",""BRMGRT-20260802-baf172816d337b7ff3708ced""]",18,"[""police_direct"",""remains_unclear"",""write_off""]",7,0,4,5,2,0,"[""FEBRUARY 28, 2021"",""January 1, 2016""]","[""allowance"",""annual_salary"",""step_schedule"",""unknown_or_mixed""]",false,"{""candidate_id"": ""BRM5C-BRM5-20260731-02274-01"", ""final"": ""https://gis.hamilton-oh.gov/webdocs/Dept%20CSP/Employment%20Agreements/FOP---Rank-and-File-.pdf"", ""original"": ""https://gis.hamilton-oh.gov/webdocs/Dept%20CSP/Employment%20Agreements/FOP---Rank-and-File-.pdf"", ""scout_target_id"": ""BRM5-20260731-02274""}"
