span_rating_id,source_rating_id,span_id,municipality,state,region,source_family,evidence_category,claim_readiness_bucket,downstream_use_bucket,final_side_relevance_rating,reconciliation_confidence,reconciliation_reason_codes,role_unit_anchor_category,period_cycle_anchor_category,primary_raw_period_anchor,pay_basis_hint,source_locator_lineage
BRMGRT-20260802-1040b64e2b81489692774aac,BRMGRS-20260802-826ffacd36837db576eecc01,BRMSPAN-20260802-95a4dd73b812a2fb06dc0270,Kinderhook,NY,Northeast,factfinding_report,quant_other_compensation_value,qualitative_mechanism_claim_ready,manual_review_candidate,non_safety_direct,high,"[""primary_anchor:non_safety_direct""]",non_safety_role,explicit_effective_date,"January 1, 2020",unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-14215-01"", ""final"": ""https://cf003.cdn.4science.cloud/4s-assetstore-prod--cornell--ecommons/85/44/59/85445921641594557227811551705330764477"", ""original"": ""https://ecommons.cornell.edu/bitstreams/44ef4a8a-2af2-4125-8c8c-dd37fd019615/download"", ""scout_target_id"": ""BRM5-20260731-14215""}"
BRMGRT-20260802-2867857b2d6833c44a64d12f,BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8,BRMSPAN-20260802-3d576e33ae40f040451c267d,Richland,PA,Northeast,budget_or_pay_plan,qual_non_base_compensation_mechanism,quantitative_needs_normalization,supporting_example_candidate,non_safety_direct,high,"[""primary_anchor:non_safety_direct""]",non_safety_role,explicit_effective_date,2019,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMGRT-20260802-4eb13c94b1bcc4507624bd54,BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8,BRMSPAN-20260802-8cb9a1d1d07da3e60e35a7d4,Richland,PA,Northeast,budget_or_pay_plan,quant_overtime_or_holiday_rate,quantitative_needs_normalization,supporting_example_candidate,non_safety_direct,high,"[""primary_anchor:non_safety_direct""]",non_safety_role,explicit_effective_date,2019,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMGRT-20260802-cd12fcefdeab1f92606abe6f,BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8,BRMSPAN-20260802-90ff95a55572135d0421b9bb,Richland,PA,Northeast,budget_or_pay_plan,qual_non_base_compensation_mechanism,quantitative_needs_normalization,supporting_example_candidate,non_safety_direct,high,"[""primary_anchor:non_safety_direct""]",non_safety_role,explicit_effective_date,2019,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMGRT-20260802-7693f99abfc60b2c1f061066,BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8,BRMSPAN-20260802-a537187634d1b1e4eb7dd3d5,Richland,PA,Northeast,budget_or_pay_plan,quant_overtime_or_holiday_rate,quantitative_needs_normalization,supporting_example_candidate,non_safety_direct,high,"[""primary_anchor:non_safety_direct""]",non_safety_role,explicit_effective_date,2019,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMGRT-20260802-e3b9b0b9c91d180960296057,BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8,BRMSPAN-20260802-df4a483206fe3aae365cca02,Richland,PA,Northeast,budget_or_pay_plan,qual_non_base_compensation_mechanism,quantitative_needs_normalization,supporting_example_candidate,non_safety_direct,high,"[""primary_anchor:non_safety_direct""]",non_safety_role,explicit_effective_date,2019,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMGRT-20260802-b48a24d9600c475e908fe004,BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8,BRMSPAN-20260802-ec0815413e7f8b72c0424afb,Richland,PA,Northeast,budget_or_pay_plan,quant_overtime_or_holiday_rate,quantitative_needs_normalization,supporting_example_candidate,non_safety_direct,high,"[""primary_anchor:non_safety_direct""]",non_safety_role,explicit_effective_date,2019,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMGRT-20260802-19fecd44376d4daaf47668dd,BRMGRS-20260802-883db23b989cde1460b78a97,BRMSPAN-20260802-6cdd2e6e096e2b3c3aabf5d5,Milton,WI,Midwest,arbitration_award,qual_collective_bargaining,local_context_only,local_context_candidate,non_safety_direct,original_rating_preserved,[],non_safety_role,missing_period_anchor,,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-14007-02"", ""final"": ""https://werc.wi.gov/interest_awards/int30430.pdf"", ""original"": ""https://werc.wi.gov/interest_awards/int30430.pdf"", ""scout_target_id"": ""BRM5-20260731-14007""}"
BRMGRT-20260802-ca14b4852be2fa05c20e6c3e,BRMGRS-20260802-883db23b989cde1460b78a97,BRMSPAN-20260802-7da28abfa855af7c5da86ec0,Milton,WI,Midwest,arbitration_award,qual_collective_bargaining,qualitative_mechanism_claim_ready,local_context_candidate,non_safety_direct,high,"[""primary_anchor:non_safety_direct"", ""broad_title_conflict_resolved_by_local_anchor""]",non_safety_role,missing_period_anchor,,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-14007-02"", ""final"": ""https://werc.wi.gov/interest_awards/int30430.pdf"", ""original"": ""https://werc.wi.gov/interest_awards/int30430.pdf"", ""scout_target_id"": ""BRM5-20260731-14007""}"
BRMGRT-20260802-7de5c1532c130d7902c000c3,BRMGRS-20260802-ccf26f0e064697502b89f53b,BRMSPAN-20260802-06742d86e0738476b70209bc,Moorhead,MN,Midwest,cba,qual_collective_bargaining,qualitative_mechanism_claim_ready,core_finding_candidate,non_safety_direct,high,"[""source_title_anchor:non_safety_direct""]",non_safety_role,explicit_contract_period,2025-2027,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-16504-01"", ""final"": ""https://moorheadmn.gov/media/plfnds1z/afscme-65-2025-2027-agreement.pdf"", ""original"": ""https://www.moorheadmn.gov/media/plfnds1z/afscme-65-2025-2027-agreement.pdf?id=9312"", ""scout_target_id"": ""BRM5-20260731-16504""}"
