span_rating_id,source_rating_id,span_id,municipality,state,region,source_family,evidence_category,claim_readiness_bucket,downstream_use_bucket,final_side_relevance_rating,reconciliation_confidence,reconciliation_reason_codes,role_unit_anchor_category,period_cycle_anchor_category,primary_raw_period_anchor,pay_basis_hint,source_locator_lineage
BRMGRT-20260802-e85be1c46c48f0b54a21f683,BRMGRS-20260802-b8ee0b48f1e68b3aa93ea677,BRMSPAN-20260802-af585eebc959a6b436f45547,Bay,MI,Midwest,wage_schedule,qual_other_pay_setting_mechanism,local_context_only,local_context_candidate,mixed_direct,original_rating_preserved,[],mixed_role,explicit_effective_date,"June 30, 2023",unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-12267-02"", ""final"": ""https://mackinac.org/archives/2023/S2023-06_Bay_City_Officers_2019-2023.pdf"", ""original"": ""https://www.mackinac.org/archives/2023/S2023-06_Bay_City_Officers_2019-2023.pdf"", ""scout_target_id"": ""BRM5-20260731-12267""}"
BRMGRT-20260802-f739f71a3ac414487078c702,BRMGRS-20260802-ba3ae4960fd2ef73e2640ebc,BRMSPAN-20260802-2cfd42ca10aafe1f1d09969e,Hillsboro,IL,Midwest,agenda_packet_or_minutes,qual_collective_bargaining,local_context_only,local_context_candidate,mixed_direct,high,"[""source_title_anchor:mixed_direct""]",mixed_role,explicit_effective_date,"May 7, 2024",unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-15238-02"", ""final"": ""https://hillsboroillinois.net/wp-content/uploads/5-7-24-City-Council-agenda.pdf"", ""original"": ""https://hillsboroillinois.net/wp-content/uploads/5-7-24-City-Council-agenda.pdf"", ""scout_target_id"": ""BRM5-20260731-15238""}"
BRMGRT-20260802-6ae3f0d2d7c12b13c627c562,BRMGRS-20260802-ba3ae4960fd2ef73e2640ebc,BRMSPAN-20260802-8862b50ed3791948df860cdf,Hillsboro,IL,Midwest,agenda_packet_or_minutes,qual_collective_bargaining,local_context_only,local_context_candidate,mixed_direct,high,"[""source_title_anchor:mixed_direct""]",mixed_role,explicit_effective_date,"May 7, 2024",unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-15238-02"", ""final"": ""https://hillsboroillinois.net/wp-content/uploads/5-7-24-City-Council-agenda.pdf"", ""original"": ""https://hillsboroillinois.net/wp-content/uploads/5-7-24-City-Council-agenda.pdf"", ""scout_target_id"": ""BRM5-20260731-15238""}"
BRMGRT-20260802-c90b6ca68e7d1fd0be195a32,BRMGRS-20260802-b538813ddb9f55de9b49eacf,BRMSPAN-20260802-906ed9f95d506022987503df,Franklin,IN,Midwest,budget_or_pay_plan,qual_market_recruitment_retention_pressure,quantitative_direct_text_claim_ready,core_finding_candidate,mixed_direct,high,"[""primary_anchor:mixed_direct""]",mixed_role,explicit_calendar_year,2024,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-04330-01"", ""final"": ""https://franklin.in.gov/egov/documents/1708436842_10086.pdf"", ""original"": ""https://www.franklin.in.gov/egov/documents/1708436842_10086.pdf"", ""scout_target_id"": ""BRM5-20260731-04330""}"
BRMGRT-20260802-e8a4e866f7982176ab6ff42d,BRMGRS-20260802-7aef382735b8074cca38d297,BRMSPAN-20260802-876e3e088d60142c13eb8e27,Odell,IL,Midwest,wage_schedule,quant_other_compensation_value,weak_or_not_supported,manual_review_candidate,mixed_direct,high,"[""primary_anchor:mixed_direct""]",mixed_role,explicit_contract_period,2026-2027,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-00387-01"", ""final"": ""https://odell-il.com/author/jackandjill602"", ""original"": ""https://odell-il.com/author/jackandjill602/"", ""scout_target_id"": ""BRM5-20260731-00387""}"
BRMGRT-20260802-3900f6efab4903b761fba517,BRMGRS-20260802-249a8f92ce053fe5b683dded,BRMSPAN-20260802-ef0ef5d53596080dde293d06,East Fallowfield,PA,Northeast,agenda_packet_or_minutes,quant_base_wage_direct_value,quantitative_direct_text_claim_ready,supporting_example_candidate,mixed_direct,original_rating_preserved,[],mixed_role,explicit_effective_date,"March 24, 2026",hourly,"{""candidate_id"": ""BRM5C-BRM5-20260731-14430-01"", ""final"": ""https://eastfallowfield.org/2015pdf/April.28.2026.BOSmeeting.packet.compressed.pdf"", ""original"": ""https://eastfallowfield.org/2015pdf/April.28.2026.BOSmeeting.packet.compressed.pdf"", ""scout_target_id"": ""BRM5-20260731-14430""}"
BRMGRT-20260802-4c9ac976f727acdb9a8ed984,BRMGRS-20260802-86eb181f5a708a9562429b72,BRMSPAN-20260802-cb6cdc37031f62b059129a8c,Sterling,IL,Midwest,cba,quant_other_compensation_value,local_context_only,manual_review_candidate,mixed_direct,high,"[""primary_anchor:mixed_direct""]",mixed_role,explicit_effective_date,"May 1, 2011",unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-00471-02"", ""final"": ""https://sterling-il.gov/ArchiveCenter/ViewFile/Item/75"", ""original"": ""https://www.sterling-il.gov/ArchiveCenter/ViewFile/Item/75"", ""scout_target_id"": ""BRM5-20260731-00471""}"
BRMGRT-20260802-aea15c5c90cf3730e0429056,BRMGRS-20260802-377ce5f15533f90571c7ef6c,BRMSPAN-20260802-06a27dd1356f64d428ff84c7,Wilkins,PA,Northeast,other_local_government_pay_policy,quant_other_compensation_value,directional_hint_only,exclude_or_write_off,mixed_direct,high,"[""source_title_anchor:mixed_direct""]",mixed_role,explicit_effective_date,2025,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-18471-01"", ""final"": ""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf"", ""original"": ""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010"", ""scout_target_id"": ""BRM5-20260731-18471""}"
BRMGRT-20260802-202ac409de2c77050c2cf12b,BRMGRS-20260802-377ce5f15533f90571c7ef6c,BRMSPAN-20260802-2748cbc4e81469084bc83a64,Wilkins,PA,Northeast,other_local_government_pay_policy,quant_other_compensation_value,source_navigation_or_reference_only,exclude_or_write_off,mixed_direct,high,"[""source_title_anchor:mixed_direct""]",mixed_role,explicit_effective_date,2025,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-18471-01"", ""final"": ""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf"", ""original"": ""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010"", ""scout_target_id"": ""BRM5-20260731-18471""}"
BRMGRT-20260802-199c101aa695b477a2aa31fc,BRMGRS-20260802-377ce5f15533f90571c7ef6c,BRMSPAN-20260802-68f25df304e3c44570e94b41,Wilkins,PA,Northeast,other_local_government_pay_policy,quant_other_compensation_value,source_navigation_or_reference_only,exclude_or_write_off,mixed_direct,high,"[""source_title_anchor:mixed_direct""]",mixed_role,explicit_effective_date,2025,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-18471-01"", ""final"": ""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf"", ""original"": ""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010"", ""scout_target_id"": ""BRM5-20260731-18471""}"
