span_rating_id,source_rating_id,span_id,municipality,state,region,final_side_relevance_rating,period_cycle_anchor_category,primary_raw_period_anchor,raw_date_effective_period_token_candidates,period_anchor_quality,source_title,page_location_pointer,source_locator_lineage
BRMGRT-20260802-08cf2e6af4fda8e2024b5e61,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-0d9f6f8bab842a361f583775,Warren,MI,Midwest,not_applicable,explicit_contract_period,1989-1992,"[""1989-1992""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),935,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-6b8bd29bd7fcd6cb25a6c71a,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-13d1502670ca3cdc93d9873a,Warren,MI,Midwest,police_direct,explicit_contract_period,1989-1992,"[""1989-1992"",""July 1, 1990""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),36926,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-7c5524d24cdd18d1833119de,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-2156ddc9ae33ee55937ca5be,Warren,MI,Midwest,not_applicable,explicit_contract_period,1989-1992,"[""1989-1992""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),594,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-acf4a871436d99c14d303e81,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-2480c2ce5e76ad544da1b4d4,Warren,MI,Midwest,police_direct,explicit_contract_period,1989-1992,"[""1989-1992""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),12859,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-f7b0b98e7b9a3e6deffce61f,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-280acfe352455ce4eea7763d,Warren,MI,Midwest,police_direct,explicit_contract_period,1989-1992,"[""1989-1992""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),13197,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-48fd6105807ce57fea6c09e2,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-3439a13f281b8605f98e22e2,Warren,MI,Midwest,not_applicable,explicit_contract_period,1989-1992,"[""1989-1992""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),641,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-f963db1886b10f97c99ce6fc,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-3498332bcec9c791acd5943e,Warren,MI,Midwest,not_applicable,explicit_contract_period,1989-1992,"[""1989-1992""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),38979,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-5c46d7b69f6e48fcf62b7ba0,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-3f7b27530142af176cf49427,Warren,MI,Midwest,not_applicable,explicit_contract_period,1989-1992,"[""1989-1992""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),313,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-fcbd39ebfea24d126ad034c2,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-405a5e325d93778da07b1c39,Warren,MI,Midwest,police_direct,explicit_contract_period,1989-1992,"[""1989-1992""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),14383,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-50484d9cc71644e693922588,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-699c77463eef68b551964471,Warren,MI,Midwest,police_direct,explicit_contract_period,1989-1992,"[""1989-1992""]",explicit,COLLECTIVE BARGAINING AGREEMENT between City of Warren and Warren Police Command Officers Association (1989-1992),10187,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
