lane_id,shard_id,worker_id,shard_sequence,scout_target_id,municipality_id,municipality,state,region,parse_status,success_status,failure_type,attempt_count,candidate_count,target_input_sha256,target_output_dir,input_tokens,reasoning_tokens,output_tokens,total_tokens,response_id_present
scout_lane_004,broad_4x2500_shard_004,worker_004,1,B4X2500-20260729-07501,cog_2025_164416,Ackley,IA,Midwest,parseable,completed_parseable,,1,2,8cd8fb5f31997b06a215a24f31c3263634fe461138c24a385c199f87abb5a605,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0001_B4X2500-20260729-07501/run,26591,884,1617,28208,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,2,B4X2500-20260729-07502,cog_2025_126556,Adair,IA,Midwest,parseable,completed_parseable,,1,0,d3be4fcff443fe993ee5a55d7a83d2b0cb01b0dc9ed2a4032ff67760f60ad3a3,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0002_B4X2500-20260729-07502/run,20930,487,517,21447,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,3,B4X2500-20260729-07503,cog_2025_164586,Agency,IA,Midwest,parseable,completed_parseable,,1,1,16b5d9ebd943e77d487844168ade9e2588ab30101039937a99eed2076c6ebf98,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0003_B4X2500-20260729-07503/run,31794,986,1411,33205,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,4,B4X2500-20260729-07504,cog_2025_164417,Alden,IA,Midwest,parseable,completed_parseable,,1,1,ce6d0344e0bece7cd588b8a0656bde50b0148b20306fe815e86cb901723061b8,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0004_B4X2500-20260729-07504/run,20957,927,1297,22254,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,5,B4X2500-20260729-07505,cog_2025_126575,Allison,IA,Midwest,parseable,completed_parseable,,1,2,d2ac2fb826e7ed5f99976ed6d84b7d5e26e4ceebd65146c68985cbcc9fb41f6d,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0005_B4X2500-20260729-07505/run,22329,998,1672,24001,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,6,B4X2500-20260729-07506,cog_2025_208047,Ashton,IA,Midwest,parseable,completed_parseable,,1,0,8c155bf076fc41559869179598fd22af8619af8b6d504785519a3a4246e6a1d8,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0006_B4X2500-20260729-07506/run,18062,562,592,18654,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,7,B4X2500-20260729-07507,cog_2025_164289,Atkins,IA,Midwest,parseable,completed_parseable,,1,0,1ae5ef6129e169ca942f9f4c1a79e70e7cffada518162e89479dcfc2a7fc281c,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0007_B4X2500-20260729-07507/run,18417,718,740,19157,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,8,B4X2500-20260729-07508,cog_2025_164335,Aurelia,IA,Midwest,parseable,completed_parseable,,1,0,c89ff8cf142100f46d3262a7def89f104098d0fe5b16467f0cf55371e78eafad,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0008_B4X2500-20260729-07508/run,18191,605,636,18827,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,9,B4X2500-20260729-07509,cog_2025_208067,Bedford,IA,Midwest,parseable,completed_parseable,,1,0,b8fe70499a159aa6d77f239130f2ececb3b8f1b0cdc959d385d0de131d0da318,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0009_B4X2500-20260729-07509/run,24452,935,965,25417,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,10,B4X2500-20260729-07510,cog_2025_208027,Bellevue,IA,Midwest,parseable,completed_parseable,,1,0,a9288dd5a2f6074a1fe5ca79a5691827b696f85b312b0b100ea37ff11d0c8d56,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0010_B4X2500-20260729-07510/run,17857,497,527,18384,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,11,B4X2500-20260729-07511,cog_2025_104337,Blairstown,IA,Midwest,parseable,completed_parseable,,1,0,af8b536eb57084c62875c850beb44e4eb1f657214067f42ef1c6c3114eaa5095,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0011_B4X2500-20260729-07511/run,13943,360,394,14337,yes
scout_lane_004,broad_4x2500_shard_004,worker_004,12,B4X2500-20260729-07512,cog_2025_126701,Blue Grass,IA,Midwest,parseable,completed_parseable,,1,0,9daf5dbf285ced3e70a1457f29309003046a8696e6c6c30f6d1fd206d09a05ba,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/targets/0012_B4X2500-20260729-07512/run,17630,369,399,18029,yes
