qualitative_observation_id,extraction_case_id,source_review_id,text_table_detection_id,mechanism_type,page_number,bounded_evidence_pointer,span_capture_status,span_qa_status,span_failure_reason,span_candidate_count,span_disambiguation_rule,evidence_contract_tier,evidence_contract_reason_code
lobs_4c208cc57c9c701387c20c2c,cexrem_949425a848add81ee3831174,sr_2e6b140569db57018f2b22f0,ttd_62cffe1e02ca181bf501d4f9,step_movement_or_seniority,26,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0344_sr_2e6b140569db57018f2b22f0.pdf#page=26,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,6,multiple_equally_plausible_exact_candidates,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_805feea0552c3adbc168b429,cexrem_27b934e4605d6618b56843d4,sr_3509ecc184e2110363a7fdf7,ttd_5e525d0bb72413b1b76135cb,implementation_or_effective_date_logic,3,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0004_sr_3509ecc184e2110363a7fdf7.pdf#page=3,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,3,multiple_equally_plausible_exact_candidates,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_4d560df30b6a38d7f38351d0,cex_6967b92238ab419d9d658bb2,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,implementation_or_effective_date_logic,33,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=33,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,2,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_6cbf1c39b0f51086f0e11eea,cex_33977d3af49d1e09bf99cb6c,sr_b3eafc2ef5bb713329952dbb,ttd_2474baf52a21a32eb2a6f8fc,arbitration_or_factfinding_reasoning,16,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=16,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,20,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_359d46747fdc16980aa23ed1,cex_725c50f0497ea75657efbb1b,sr_d4359b50179a608a008b5492,ttd_0417d59a7250feec283c1dca,implementation_or_effective_date_logic,26,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0296_sr_d4359b50179a608a008b5492.pdf#page=26,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,2,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_72654539f45d350da3772979,cex_ba95127c5b7fe60b82867d85,sr_01a6ca1e036caa63d95335f7,ttd_51c81e66701e4c081685b546,fiscal_constraint_or_budget_logic,2,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0484_sr_01a6ca1e036caa63d95335f7.pdf#page=2,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,2,multiple_equally_plausible_exact_candidates,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_70b2c23c6a09f0f96f1ccd4a,cex_900c12fa52ca5fdf295c8eb9,sr_263589e3abfca650d7288515,ttd_2880129db1e4d15e6c69f11e,certification_or_education_incentive,36,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0050_sr_263589e3abfca650d7288515.pdf#page=36,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,2,multiple_equally_plausible_exact_candidates,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_f964c57dd48b53deb6e4cb50,cexrem_f5110135bab659770ec736ca,sr_7964bd8c7c96cde38be9dc3d,ttd_9dcc6eb79d2fd684e3057af2,implementation_or_effective_date_logic,24,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0013_sr_7964bd8c7c96cde38be9dc3d.pdf#page=24,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,2,multiple_equally_plausible_exact_candidates,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_5ff95cd62e0697f5a1e9973c,cex_f7e1ffb88a98dca15b3b31ed,sr_beca2c6f925f1f106b4960f9,ttd_bd3711b6fcca034fd7440c04,certification_or_education_incentive,11,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0155_sr_beca2c6f925f1f106b4960f9.pdf#page=11,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,2,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_61c0412a5fdbd57e612b93fe,cex_f2800367486af56f45ff40d1,sr_249d682a88da5e652aa8acba,ttd_84069d61968762940d7bd65b,implementation_or_effective_date_logic,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0122_sr_249d682a88da5e652aa8acba.pdf#page=21,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,3,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_3cc8ffaf1ad91803bf12adab,cex_7a9626f998f407c9c69284fb,sr_dcc2b1972bc6b0b16b0ce555,ttd_8645a41873546b0b7bc32986,implementation_or_effective_date_logic,16,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0078_sr_dcc2b1972bc6b0b16b0ce555.pdf#page=16,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,2,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_adac346a35aaf58c811439d5,cex_deb2b4781b4fabbbd1b55572,sr_0d78f79614e34a7ada7dceb1,ttd_0d59199b2b670d5f7b3b7df0,certification_or_education_incentive,9,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0476_sr_0d78f79614e34a7ada7dceb1.pdf#page=9,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,9,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_6a58717160e111f15ed36ee6,cexrem_804fdf02fc05f4834231d87a,sr_5f0368a2840df9c86be0eb1f,ttd_6d4894327c3eb0c1d4772631,implementation_or_effective_date_logic,4,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0479_sr_5f0368a2840df9c86be0eb1f.pdf#page=4,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,7,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_6cc637f539064f5afeb513a3,cex_a8b0a89bfcd3f21db563404c,sr_5c336396ca5dee10f7c15151,ttd_47afca94785efa8720695f20,implementation_or_effective_date_logic,11,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=11,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,3,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_7635976b0d861763cb2fa1eb,cexrem_59dbc58c49bab227835759a8,sr_4df7d032d5e831a67fdfe510,ttd_83a87fe802f4d6d28a01427a,CPI_or_COLA_indexing,2,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf#page=2,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,5,multiple_equally_plausible_exact_candidates,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_c578414cc7360ba0cf53899e,cex_d311365a123de527d7950e4a,sr_ac108846d0117628713a0f49,ttd_1161bec180f1b73ba765d9ba,implementation_or_effective_date_logic,35,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0249_sr_ac108846d0117628713a0f49.pdf#page=35,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,2,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
lobs_850c41de0c6719b9c0935b05,cex_bfdc42924c7f5a79c445e581,sr_686d9d15b5e1ad7bd1e10a9d,ttd_b909ab3d8e9cf244b0394a43,implementation_or_effective_date_logic,15,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0056_sr_686d9d15b5e1ad7bd1e10a9d.pdf#page=15,span_ambiguous_multiple_candidates,navigation_only_span_not_qa_sufficient,,3,no_strict_exact_disambiguation_candidate,ambiguous_exact_span_navigation,multiple_plausible_exact_spans_remain
