qualitative_observation_id,extraction_case_id,source_review_id,text_table_detection_id,mechanism_type,page_number,bounded_evidence_pointer,span_capture_status,span_qa_status,span_failure_reason,span_candidate_count,span_disambiguation_rule,evidence_contract_tier,evidence_contract_reason_code
lobs_f33724fde7c15ac22f51bf72,cex_ed38a7c02ff6e2e22f3986cb,sr_b2c34bb09493514105371bf3,ttd_4f51ed8a5d13d3c29b52fceb,collective_bargaining_agreement_terms,35,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0298_sr_b2c34bb09493514105371bf3.pdf#page=35,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_2a0fbe986e56e76671d03792,cex_ed9a2b4a19df1546cf996d8a,sr_e1ffd4859fe8d0caa25e3340,ttd_1bb0a452e20698a51cb0e7a6,implementation_or_effective_date_logic,4,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0078_sr_e1ffd4859fe8d0caa25e3340.pdf#page=4,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_4564a17023f8eae2501f8170,cexrem_b607038e8e9e36db50101e16,sr_c83e03d8991d20b06c0c182f,ttd_3d18baa547b7e890f8e888c4,implementation_or_effective_date_logic,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0317_sr_c83e03d8991d20b06c0c182f.pdf#page=21,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_8036654f54d6a93bdc6b1d62,cex_add0da7d13790ea6a03c61b7,sr_826de1e12cc50be7613ce961,ttd_db0b181f3557830bf288028b,collective_bargaining_agreement_terms,8,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0074_sr_826de1e12cc50be7613ce961.pdf#page=8,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_7f3a977c0b7288d0335200aa,cexrem_aeba084f70b0e44d0917fb58,sr_a5c1a35862248be299363ebd,ttd_dce03d9d92ebd2b94dcd8792,comparability_or_market_study,10,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0035_sr_a5c1a35862248be299363ebd.pdf#page=10,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,multiple_equally_plausible_exact_candidates,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_b0e7d9f8b42bf0d6db4e3a12,cexrem_505ce39c39cbde30ccdc3bab,sr_d9735560c6e104bb1db551cc,ttd_dbfb0f4f15eb5bc2a3897640,implementation_or_effective_date_logic,11,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0323_sr_d9735560c6e104bb1db551cc.pdf#page=11,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_f74f7955fa0f67e37477a7e8,cex_c7f6a83f0075983e6133362e,sr_6321f1a152ec8a147d43e2e3,ttd_34dbaa89b5de655a88ec0ade,longevity_or_service_based_pay,15,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0125_sr_6321f1a152ec8a147d43e2e3.pdf#page=15,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_7bbd6764491a469ace64d38c,cex_d5ed2156ae97aa3dd668ebe3,sr_0ff1dac200e72f30d16d4dd5,ttd_72c352c4dba80cb9c189ed08,other,14,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0001_sr_0ff1dac200e72f30d16d4dd5.pdf#page=14,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_d49dbe7a1253a4345cd3bb9a,cex_82223aa069f7db92f4dfaaae,sr_a6e0fc7c12662a36a230c7df,ttd_d3ec1849f23489e603988198,other,21,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0030_sr_a6e0fc7c12662a36a230c7df.pdf#page=21,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_19229b1c2362acdadb3bd016,cex_58b44cb12e5b9d3c82cf0691,sr_9220b2ed14ba80cc5616ebd2,ttd_6f428a160f6384b1424dc90c,other,14,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0425_sr_9220b2ed14ba80cc5616ebd2.pdf#page=14,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
