mechanism_exposure_event_id,root_compensation_event_id,municipality,state,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence
MECHEXP-f7e024707d614e56f23b1a77,ROOTCOMP-72235c06cc403d6cea3b6108,Loachapoka,AL,2022,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-3b03d0e81bd856972ed9dc96,ROOTCOMP-6eea590c08c4af3bfb842a41,Sand City,CA,2024,compensation_outcome,cola_cpi_adjustment,non_safety,implemented,high
MECHEXP-b2672ad1da5bea3bd7ee6d06,ROOTCOMP-c55722b3a6fbbfbb6bf0f607,Sand City,CA,2025,compensation_outcome,cola_cpi_adjustment,non_safety,implemented,high
MECHEXP-66a1f383127f583fc3eda4dc,ROOTCOMP-a5260ce8159f7d5fadc2d149,Dinosaur,CO,undated-source-B4X2500LIVE-20260729-004829,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-67af477ede64914f2c32eb21,ROOTCOMP-cfd7515849c5c7d5111c31a6,Chattahoochee Hills,GA,2022,compensation_outcome,cola_cpi_adjustment,remains_unclear,formally_adopted,high
MECHEXP-6b325455f2d05eecd030372f,ROOTCOMP-9d515c323c0a76ea278ad914,Social Circle,GA,2022,compensation_outcome,cola_cpi_adjustment,remains_unclear,formally_adopted,high
MECHEXP-d6031ef943a85aead86096da,ROOTCOMP-e8a656bb10cbbb33d755751e,Pleasantville,IA,2025,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-fea209934d5751c0eef7e2ab,ROOTCOMP-636ffba21d179448d418c4ac,Moore,ID,2020,compensation_outcome,cola_cpi_adjustment,remains_unclear,formally_adopted,high
MECHEXP-0c845851cbe58479f0df1be7,ROOTCOMP-2caf386df9adc9199b74389a,Moore,ID,2020,compensation_outcome,cola_cpi_adjustment,non_safety,formally_adopted,high
MECHEXP-325577bb1ae0909de0f80070,ROOTCOMP-09d2bbbc03c07957a55ee668,Flossmoor,IL,2018,compensation_outcome,cola_cpi_adjustment,remains_unclear,formally_adopted,high
MECHEXP-2093c139b023c72e03994fb7,ROOTCOMP-4fd4a3ffb06cf163eddee3bb,Flossmoor,IL,undated-source-B4X2500LIVE-20260729-000125,compensation_outcome,cola_cpi_adjustment,remains_unclear,formally_adopted,high
MECHEXP-34736144d3f27fb913ee95ad,ROOTCOMP-cf0bb51f5c464e07eebb9daa,Kewanee,IL,2019,compensation_outcome,cola_cpi_adjustment,fire,implemented,high
MECHEXP-46869840f793194ce789b675,ROOTCOMP-88136d6fa3ba6e8f3a6f36fd,Kewanee,IL,2020,compensation_outcome,cola_cpi_adjustment,fire,implemented,high
MECHEXP-16a7c7bcc7fb52addcf2308e,ROOTCOMP-c66ec031d12da2c6392c920a,Kewanee,IL,2021,compensation_outcome,cola_cpi_adjustment,fire,implemented,high
MECHEXP-eb95b86f4804114eaa18bd53,ROOTCOMP-75c5857ad500d37df16b9aa4,Rockdale,IL,2025,compensation_outcome,cola_cpi_adjustment,police,implemented,high
MECHEXP-a52e7b3fcf0e6c8dd54749e3,ROOTCOMP-eb9cded3e16bad8df8360735,Urbana,IL,2024,compensation_outcome,cola_cpi_adjustment,police,implemented,high
MECHEXP-df428f6a32cb7a5142b33ec9,ROOTCOMP-c4d853ac46c6549859ad109b,Winnebago,IL,undated-source-B4X2500LIVE-20260729-002703,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-57628211b8e8e6f09830e2e8,ROOTCOMP-5af8518094504b6cd635a812,Winnebago,IL,undated-source-BRMGRS-20260802-f3d1ffb85508cb7b3ec3c913,compensation_outcome,cola_cpi_adjustment,police,implemented,high
MECHEXP-d7034d8dac40139f08df6a98,ROOTCOMP-d15f81ab5b70d1dfb9697090,Edna,KS,2021,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-770f9bbd22eccb1b6953cec3,ROOTCOMP-6481bfa0b76cc0371cf45eff,Lincoln,KS,undated-source-BRMGRS-20260802-44cedcc20c84114820b24837,compensation_outcome,cola_cpi_adjustment,side_independent,implemented,high
MECHEXP-4cfcf09f1ddd749f279d3242,ROOTCOMP-d9381930d6c0d14132a97da3,Lincoln Center,KS,2023,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-9c926fef4578b418a306c89d,ROOTCOMP-425ed80c6370b1660152e613,Lincoln Center,KS,2024,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-29ddfade2c60e8173f6debf6,ROOTCOMP-7c2835524446b6de4b7d1046,Grosse Tete,LA,2024,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-aa8d285f7b0f540be5ad8772,ROOTCOMP-4a846391818b59ce47962161,Simsboro,LA,undated-source-B4X2500LIVE-20260729-004434,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-eee4b5cac1a4b4d8cc5b38b1,ROOTCOMP-b217f02f395d71e5bebc9b32,Gill,MA,2025,compensation_outcome,cola_cpi_adjustment,police,formally_adopted,high
MECHEXP-7434c38ca2f82b626bc97562,ROOTCOMP-ed78ce1106175837935ba006,Gill,MA,undated-source-B4X2500LIVE-20260729-001032,compensation_outcome,cola_cpi_adjustment,remains_unclear,formally_adopted,high
MECHEXP-4ecbedecb6bdf77f4bcf0030,ROOTCOMP-011b0ab83e5ecaf0399ec6f0,Phippsburg,ME,2023,compensation_outcome,cola_cpi_adjustment,police,implemented,high
MECHEXP-8e4491e9bb107dff7d6e140c,ROOTCOMP-bd9efa6235fec0916955d02b,Algonac,MI,undated-source-B4X2500LIVE-20260729-002884,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high
MECHEXP-cdf85a950da142e07b574c15,ROOTCOMP-e08f309bee0ce504feecd8e2,Bloomfield,MI,2026,compensation_outcome,cola_cpi_adjustment,non_safety,implemented,high
