mechanism_exposure_event_id,root_compensation_event_id,municipality,state,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence
MECHEXP-101bd534cc5c032f56643e2c,ROOTCOMP-8579bd70344616ba47d5c4e0,Stevenson,AL,undated-source-B4X2500LIVE-20260729-009226,compensation_outcome,no_direct_compensation_outcome,side_independent,formally_adopted,high
MECHEXP-0ff2db4b3d227596669648e7,ROOTCOMP-4d65163d3dc538fb2d9ad50b,Blue Lake,CA,2024,compensation_outcome,no_direct_compensation_outcome,side_independent,formally_adopted,high
MECHEXP-13ca68f5deb8f46086a8a7af,ROOTCOMP-8eaf51f5ac368f0f83e35473,Tulelake,CA,2021,compensation_outcome,no_direct_compensation_outcome,remains_unclear,formally_adopted,high
MECHEXP-74249fcb92400d8a342ac72a,ROOTCOMP-1b29dfdf09ff5987a773febc,Buckhead,GA,undated-source-BRMGRS-20260802-7d838488546c50d5f639cdae,compensation_outcome,no_direct_compensation_outcome,side_independent,implemented,high
MECHEXP-462a4d534302355371454840,ROOTCOMP-cd22c641ecf31d838a35eb3e,Nicholson,GA,2025,compensation_outcome,no_direct_compensation_outcome,side_independent,formally_adopted,high
MECHEXP-039f9d66d396911d560904b6,ROOTCOMP-65a7972bd10f2f0549d0d8f1,Pinehurst,GA,2024,compensation_outcome,no_direct_compensation_outcome,police,implemented,high
MECHEXP-eeec83a294e9ba1879cc2349,ROOTCOMP-13e2873358b960601503bc17,Statham,GA,2022,compensation_outcome,no_direct_compensation_outcome,side_independent,formally_adopted,high
MECHEXP-b0ef3309df5c605fcfd6b68a,ROOTCOMP-b9b7a2f20266b93987d1355b,Andrew,IA,undated-source-BRMGRS-20260802-b9e543c91933b26b74a8f15d,compensation_outcome,no_direct_compensation_outcome,side_independent,implemented,high
MECHEXP-edd846c54994504bac3c6af6,ROOTCOMP-ffb9af7ddbb8361ca4a58b1a,Calamus,IA,2024,compensation_outcome,no_direct_compensation_outcome,non_safety,implemented,high
MECHEXP-40e02ea50fa7c6deee74ec29,ROOTCOMP-8a61462ed69c965f853fbfce,Calamus,IA,2024,compensation_outcome,no_direct_compensation_outcome,side_independent,implemented,high
MECHEXP-518fc5857e8139cd6aecc9c4,ROOTCOMP-fc93008f70ab9f2c1f02fc2d,Callender,IA,2025,compensation_outcome,no_direct_compensation_outcome,remains_unclear,implemented,high
MECHEXP-cd961830677c06cf6c1759d2,ROOTCOMP-cd809daff7f9a6bf560a8746,Hawkeye,IA,undated-source-BRMGRS-20260802-2750acaaab23932f49a06a46,compensation_outcome,no_direct_compensation_outcome,side_independent,implemented,high
MECHEXP-28b85cb1250d6d7c5b47684e,ROOTCOMP-b6bc12371aae7256551831f4,Madrid,IA,2025,compensation_outcome,no_direct_compensation_outcome,remains_unclear,formally_adopted,high
MECHEXP-ab0285af831a2a67e4366766,ROOTCOMP-9c3932306ebbdade36ac6125,Pilot Mound,IA,2025,compensation_outcome,no_direct_compensation_outcome,side_independent,implemented,high
MECHEXP-6b7d96b979fe55e8f718b7b5,ROOTCOMP-bfddc970f8af6f1ecb88f578,Templeton,IA,undated-source-BRMGRS-20260802-fac6f03389e983e247b4b28d,compensation_outcome,no_direct_compensation_outcome,side_independent,implemented,high
MECHEXP-9670b44dec7b56e066c7418c,ROOTCOMP-8ef97d336a80fdf699805b91,Webb,IA,2014,compensation_outcome,no_direct_compensation_outcome,side_independent,implemented,high
MECHEXP-61a8c98a9b3b33588cb0a40a,ROOTCOMP-6aa513790b3b37d25b978186,Webb,IA,2017,compensation_outcome,no_direct_compensation_outcome,side_independent,implemented,high
MECHEXP-2e4f8f32e43ca2cda36d91e9,ROOTCOMP-fc49bcf3fb8f8675662c1ef3,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,compensation_outcome,no_direct_compensation_outcome,side_independent,implemented,high
