mechanism_exposure_event_id,root_compensation_event_id,municipality,state,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence
MECHEXP-19250b3608f2b3c50aa30d4c,ROOTCOMP-a4da9f04cb9103f6cb85678a,Montgomery,IL,2026,compensation_outcome,salary_range_change,side_independent,implemented,high
MECHEXP-1c8c681366ef91e2ba2cf70d,ROOTCOMP-e4ba53d6c1f0a7e6c06bdae4,Blandford,MA,2022,compensation_outcome,salary_range_change,remains_unclear,implemented,high
MECHEXP-4a857756b655c1deb8ee7644,ROOTCOMP-a185d4edc7acdf7b5cede608,Glencoe,MN,2022,compensation_outcome,salary_range_change,police,implemented,high
MECHEXP-34a639f189c0a0a265a5d2be,ROOTCOMP-a713671b84be8341e0705c7c,Pierz,MN,2024,compensation_outcome,salary_range_change,police,implemented,high
MECHEXP-8606198a8d4ac53180af1ac9,ROOTCOMP-adacd910625e94c9182b32bb,Erwin,NC,2025,compensation_outcome,salary_range_change,remains_unclear,implemented,high
MECHEXP-461e34f5a59b842974e39f59,ROOTCOMP-c6f5b5fbd7d7859a8cedf218,La Grange,NC,2021,compensation_outcome,salary_range_change,remains_unclear,formally_adopted,high
MECHEXP-6b8cb5bf584b0e343bb9ff3e,ROOTCOMP-075079b11f8ed3eb53b5b89d,Landis,NC,2023,compensation_outcome,salary_range_change,remains_unclear,implemented,high
MECHEXP-b5e6a8d318beb28765dd6a1a,ROOTCOMP-77a42a6f2bee46726ba97202,Red Springs,NC,2022,compensation_outcome,salary_range_change,remains_unclear,implemented,high
MECHEXP-bd25cb2ac60116f7539d758b,ROOTCOMP-2a3d3b280ec9de9cede6c876,Robbins,NC,undated-source-B4X2500LIVE-20260729-007033,compensation_outcome,salary_range_change,remains_unclear,implemented,high
MECHEXP-46bce320126bcd7caec3c1d6,ROOTCOMP-288285f09cf0f1734d294027,Valdese,NC,2023,compensation_outcome,salary_range_change,remains_unclear,implemented,high
MECHEXP-474a5699e6dfb2194a401814,ROOTCOMP-fc6c3082482675242818c175,Green,NJ,2017,compensation_outcome,salary_range_change,remains_unclear,implemented,high
MECHEXP-9f0426166e3c1fd3aaded0b3,ROOTCOMP-13dc010c0eb2ed6ae4f2ae7a,Jefferson,NJ,2026,compensation_outcome,salary_range_change,remains_unclear,implemented,high
