mechanism_exposure_event_id,root_compensation_event_id,municipality,state,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence
MECHEXP-a366ef4b89e199b0d0248746,ROOTCOMP-0302906b70d6b1d2bba29cc7,Sand City,CA,2020,compensation_outcome,overtime,police,implemented,high
MECHEXP-b7c3649b935613a731c1da08,ROOTCOMP-0ef92b502abdb6256454c508,Dinosaur,CO,undated-source-B4X2500LIVE-20260729-004829,compensation_outcome,overtime,remains_unclear,implemented,high
MECHEXP-23a7ae556ba6386f1c280ab3,ROOTCOMP-4634a4838821badfe38584fe,Bethlehem,CT,undated-source-B4X2500LIVE-20260729-003497,compensation_outcome,overtime,remains_unclear,formally_adopted,high
MECHEXP-f1e0a95c5c435498de7e7115,ROOTCOMP-adbec70874a11548724ddc8f,Danielsville,GA,undated-source-B4X2500LIVE-20260729-006802,compensation_outcome,overtime,non_safety,implemented,high
MECHEXP-51094b648622e614cef4c3ac,ROOTCOMP-d080ec30eca78848d5dbad56,Fisher,IL,undated-source-BRMGRS-20260802-8979866a3aae9a795f4e2655,compensation_outcome,overtime,remains_unclear,formally_adopted,high
MECHEXP-f7dacc2b1ccfe1509577166f,ROOTCOMP-33d3b90870284183eb1177c5,Stonington,IL,2023,compensation_outcome,overtime,remains_unclear,implemented,high
MECHEXP-89923c449a52d38458a8aafb,ROOTCOMP-c27cbd3cea23d955da632cd4,Fairmount,IN,undated-source-B4X2500LIVE-20260729-005206,compensation_outcome,overtime,remains_unclear,implemented,high
MECHEXP-5abc1e2d7ac46128c8aad6d9,ROOTCOMP-cff20665b1fa89333bdf9c9b,Andover,ME,2020,compensation_outcome,overtime,remains_unclear,implemented,high
MECHEXP-60fa202cb022f5cc3497f0da,ROOTCOMP-84e33d91754e6c4ecfbc5c62,Bradley,ME,2026,compensation_outcome,overtime,remains_unclear,implemented,high
MECHEXP-839da38aa66f7311a1179097,ROOTCOMP-cba9b8f2107d2eebcb528fdd,Bloomfield Hills,MI,undated-source-B4X2500LIVE-20260729-005354,compensation_outcome,overtime,remains_unclear,implemented,high
MECHEXP-3deb4aa0d5d2ee436cc459b7,ROOTCOMP-c1f378c651a5ac0ebd91a065,Estral Beach,MI,undated-source-BRMGRS-20260802-3f2ceb706d3194fad2ee2343,compensation_outcome,overtime,remains_unclear,formally_adopted,high
MECHEXP-94d135535c5ea25c40b6d9a5,ROOTCOMP-22b8f89f3ad08ac2562215bd,Ingham,MI,2018,compensation_outcome,overtime,police,implemented,high
MECHEXP-19024f9d9105b9ccb04d0b99,ROOTCOMP-509f6e1fbebe555959255d5e,Williamston,MI,undated-source-B4X2500LIVE-20260729-007968,compensation_outcome,overtime,police,implemented,high
MECHEXP-132909b46b4844e64644a77d,ROOTCOMP-051066c77514a95be30ac9cb,Blooming Prairie,MN,2026,compensation_outcome,overtime,remains_unclear,paid_or_observed,high
MECHEXP-1d8aa0cdc9168f3dee8eac2c,ROOTCOMP-2ecbcfba8c0fac4d35ed5c8b,Mantorville,MN,2023,compensation_outcome,overtime,remains_unclear,formally_adopted,high
MECHEXP-293cc3cfa47b20835e147de1,ROOTCOMP-2a3caa37345e97c602d6ab53,Spencer,NC,2025,compensation_outcome,overtime,remains_unclear,paid_or_observed,high
MECHEXP-e4547496101e6b8ba911402f,ROOTCOMP-590dfc25957d58e217f799e5,Guttenberg,NJ,2023,compensation_outcome,overtime,police,implemented,high
MECHEXP-f079d5e24c40ed48f81da8e5,ROOTCOMP-63e9d2ef908e2936a5f1a9d6,Lambertville,NJ,2024,compensation_outcome,overtime,police,implemented,high
MECHEXP-fdc41bffe8875f462e92f282,ROOTCOMP-f1552a1cab500b4ba723e609,Lumberton,NJ,2014,compensation_outcome,overtime,police,implemented,high
MECHEXP-7f017b69f1ed367497da762e,ROOTCOMP-189f810fc5a7bf09d5a2cd2e,Merchantville,NJ,undated-source-B4X2500LIVE-20260729-006284,compensation_outcome,overtime,remains_unclear,formally_adopted,high
MECHEXP-a29958b24805646ffcd4fdcc,ROOTCOMP-2e019b8bfdbd37889b6aba83,Shamong,NJ,2025,compensation_outcome,overtime,remains_unclear,implemented,high
MECHEXP-1d0ccc422ee912d5670e4a21,ROOTCOMP-c5e6689ce311bcb3c7e0cf8b,Washington,NJ,2019,compensation_outcome,overtime,police,formally_adopted,high
MECHEXP-28f755abbe5245d85225518d,ROOTCOMP-217886081e86300a9c435339,Alfred,NY,undated-source-B4X2500LIVE-20260729-008894,compensation_outcome,overtime,police,implemented,high
MECHEXP-5ef9c548897b7137cc2a6dd7,ROOTCOMP-9012b2c3d1408dec34c1a121,Chittenango,NY,undated-source-B4X2500LIVE-20260729-006401,compensation_outcome,overtime,non_safety,implemented,high
MECHEXP-98533058f8fca6e86f5bb6f3,ROOTCOMP-61dfba5d47796866ae538442,Kinderhook,NY,undated-source-BRMGRS-20260802-0519ec359389d05900dd7d38,compensation_outcome,overtime,side_independent,implemented,high
MECHEXP-08e74eef0f6af123dcf1e227,ROOTCOMP-8f86e3ce66a34defc33f80c1,Kinderhook,NY,undated-source-BRMGRS-20260802-826ffacd36837db576eecc01,compensation_outcome,overtime,remains_unclear,implemented,high
MECHEXP-c8c1cba3b66a8f681d9dc000,ROOTCOMP-0f3c256e31db48f4a937ee0a,Liverpool,NY,undated-source-B4X2500LIVE-20260729-003967,compensation_outcome,overtime,police,implemented,high
MECHEXP-460fb57161564a1511e43033,ROOTCOMP-7f033dbbe0a9a94d6e45f686,Southold,NY,2026,compensation_outcome,overtime,remains_unclear,paid_or_observed,high
MECHEXP-27372f74106edc3a3740f4cc,ROOTCOMP-64c8b28f4841e568905b615b,Watkins Glen,NY,2020,compensation_outcome,overtime,police,paid_or_observed,high
MECHEXP-f039b98d6c60a5e9e9417be3,ROOTCOMP-a7aa197ba0e7daa48f7954d3,Brookfield,OH,2022,compensation_outcome,overtime,fire,implemented,high
MECHEXP-7b5832204f37ccf2d84bf313,ROOTCOMP-e946cd1a708e7739da3eb4d1,Marion,OH,2016,compensation_outcome,overtime,fire,implemented,high
MECHEXP-133743339592431e4fc8abce,ROOTCOMP-571122e8f9609abcb659621f,Marion,OH,2019,compensation_outcome,overtime,fire,implemented,high
MECHEXP-077106a0100ca6e7cebeb426,ROOTCOMP-8fb40a0f0dcd33782b6bbbf0,Painesville,OH,2022,compensation_outcome,overtime,remains_unclear,implemented,high
MECHEXP-2863191f64ca81325f437900,ROOTCOMP-5abfbd4754b1069cb36323d4,Ravenna,OH,2020,compensation_outcome,overtime,fire,implemented,high
MECHEXP-cfe9439abee329f1c414bcac,ROOTCOMP-462aed5cd076445a3f649c83,Salem,OH,2020,compensation_outcome,overtime,side_independent,implemented,high
