mechanism_exposure_event_id,root_compensation_event_id,municipality,state,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence
MECHEXP-7c108a78835756f33b50193c,ROOTCOMP-c7f61f8b689a6eb09ae7c638,Colma,CA,2019,compensation_outcome,holiday_pay,police,formally_adopted,high
MECHEXP-ddd116068e503879c89cc2b2,ROOTCOMP-300308c1a1187615fed3ca96,River Forest,IL,2019,compensation_outcome,holiday_pay,police,implemented,high
MECHEXP-e8f233118dd9d91ef231a98f,ROOTCOMP-5f81e3297fdef99a3cfb8821,River Forest,IL,undated-source-B4X2500LIVE-20260729-005147,compensation_outcome,holiday_pay,police,implemented,high
MECHEXP-5405aed01974c0c354564a75,ROOTCOMP-fc6567f39baac4ae281e49d2,River Forest,IL,undated-source-BRMGRS-20260802-9b7101700da56ca3bcc11235,compensation_outcome,holiday_pay,police,implemented,high
MECHEXP-cf5a7661c3600b7618681c24,ROOTCOMP-0c29ad4ce4691b29a550a294,Mount Olivet,KY,2025,compensation_outcome,holiday_pay,police,implemented,high
MECHEXP-091c1b98f4a4a882539a1945,ROOTCOMP-452586b9027c5023ae68affd,DeWitt charter,MI,undated-source-B4X2500LIVE-20260729-000398,compensation_outcome,holiday_pay,police,implemented,high
MECHEXP-52d9b6d1d307b0de300f531a,ROOTCOMP-e24d723c09e56572d19c4dda,Ithaca,MI,2024,compensation_outcome,holiday_pay,remains_unclear,implemented,high
MECHEXP-2cc345e3bb5d7dfb8f64663a,ROOTCOMP-36310bc547b4ed66f3213790,Soo,MI,2024,compensation_outcome,holiday_pay,non_safety,implemented,high
MECHEXP-0348bc9e4482b4d1f9887c75,ROOTCOMP-d78944be65d440bcac3bb33b,Warren,MI,undated-source-BRMGRS-20260802-4238c2abe9c48e3212f187c5,compensation_outcome,holiday_pay,remains_unclear,implemented,high
MECHEXP-181971a7e9d8df139c82d52c,ROOTCOMP-2a7b01d8145510ad9eccabab,Grand Marais,MN,2023,compensation_outcome,holiday_pay,remains_unclear,implemented,high
MECHEXP-510ff71908f82c4ebe375e19,ROOTCOMP-7bb50cb189e0022db5724773,Oak Park Heights,MN,2025,compensation_outcome,holiday_pay,mixed,implemented,high
MECHEXP-b89fa1c3a7004ac60b82af57,ROOTCOMP-3ca6154fa81bbacda5226800,Brooklawn,NJ,2022,compensation_outcome,holiday_pay,remains_unclear,implemented,high
MECHEXP-63c5ed905018ca5e67d66dfc,ROOTCOMP-1c160ecf02b82931e0d62302,Brooklawn,NJ,2024,compensation_outcome,holiday_pay,remains_unclear,implemented,high
MECHEXP-fd90255a51576d5a6909c5fa,ROOTCOMP-cb056d020a3319fd77927354,Camillus,NY,undated-source-B4X2500LIVE-20260729-008907,compensation_outcome,holiday_pay,police,implemented,high
MECHEXP-366b7a12d8ca1eca7096708a,ROOTCOMP-27754c6086a4719a7fd39f15,Fishkill,NY,undated-source-B4X2500LIVE-20260729-008926,compensation_outcome,holiday_pay,police,formally_adopted,high
MECHEXP-05d7ffb91543ed0a0e47842d,ROOTCOMP-64bb76364028207e2cbfc94b,Kinderhook,NY,undated-source-BRMGRS-20260802-ab169279593adfe98ca4fb44,compensation_outcome,holiday_pay,side_independent,implemented,high
MECHEXP-37883088229cebf1f7b684e9,ROOTCOMP-e4fc802273c7eaaf7718fd57,Bainbridge,OH,2022,compensation_outcome,holiday_pay,fire,implemented,high
MECHEXP-4b1dac98a6abb887e56b4e1b,ROOTCOMP-a7aa197ba0e7daa48f7954d3,Brookfield,OH,2022,compensation_outcome,holiday_pay,fire,implemented,high
MECHEXP-06611edae2a2737edb40dd28,ROOTCOMP-96272d9f857aedbd5915818a,Chester,OH,2015,compensation_outcome,holiday_pay,police,implemented,high
MECHEXP-accee801fa46e05c50748713,ROOTCOMP-5351e11bcecf0d5e1f8b84f7,Clearcreek,OH,2023,compensation_outcome,holiday_pay,police,implemented,high
MECHEXP-6b62489038f693b7627818fa,ROOTCOMP-7a545ddc4257a77463d5dc4d,Warren,OH,2019,compensation_outcome,holiday_pay,fire,implemented,high
MECHEXP-f3149661ef4e6e63db170793,ROOTCOMP-cb686b86da99134b567e594f,Waupun,WI,undated-source-BRMGRS-20260802-3bf30dde4b17871fa3d92c16,compensation_outcome,holiday_pay,side_independent,implemented,high
