text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,source_review_pilot_id,state,municipality,government_name,unit_type,candidate_source_type,priority_for_content_review,source_officialness_rating,source_relevance_rating,document_type_rating,extraction_readiness_rating,content_artifact_path,content_hash,content_byte_size,content_type_observed,pdf_page_count,text_layer_status,text_table_detection_pilot_id,text_table_detection_lane_id,pilot_selection_rank,page_count_bin,artifact_byte_size_bin,sample_selection_reason
ttd_8073d41b17da59bdbf6a9b2f,pr_ed10e89451d9f45d12190340,sr_5e5d78dc1fd735cb75c047d9,NSCQ-CA-20260720-0204,TRI-f41fe2b91377e3c2c7f8,VER-1a5f0100b33b952ae861,SOURCE-REVIEW-BATCH2-500-2026-07-24,CA,Merced,CITY OF MERCED,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0135_sr_5e5d78dc1fd735cb75c047d9.pdf,633945b1405878225f847fe1f11380f2602e0fc13f913d76136e0a9481c6f8c4,315041,application/pdf,24,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,1,11_to_25,small_le_512_kib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_ba5dd4828e837bd87087bf93,pr_94634f978939737c8d0acdc7,sr_fcadd3108c18a1c9641bb49f,NSCQ-MN-20260720-0102,TRI-662773e02d1fe00aa26d,VER-e38c38f0fd0500a4a5db,SOURCE-REVIEW-BATCH2-500-2026-07-24,MN,Stillwater,CITY OF STILLWATER,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0143_sr_fcadd3108c18a1c9641bb49f.pdf,d61d67cd1ca54ac4b55ccac5f1d8614c946c81b0bf8ed2d05dac051b5e0ad29a,322751,application/pdf,25,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,2,11_to_25,small_le_512_kib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_85d73c796f99a0e46cdb6236,pr_553341e01e5d0167a73d83ff,sr_ee69ac8fe1ff11fbe6ecde89,NSCQ-OR-20260720-0127,TRI-ee4670bf4b43622413e9,VER-bb50f641a5ddcddd4f91,SOURCE-REVIEW-BATCH2-500-2026-07-24,OR,Baker City,CITY OF BAKER CITY,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0220_sr_ee69ac8fe1ff11fbe6ecde89.pdf,59077feb530ebc8c791c22e3fb4a69f036d9e0f739f80cac3d512b1372b6c036,593782,application/pdf,25,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,3,11_to_25,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_cda123c09eabbe5cac4014ac,pr_bce446368d43de212afd4cc6,sr_77b67714d14cb264f07a14e8,NSCQ-WI-20260720-0171,TRI-915bd1d0f1bc5dc728ce,VER-2e029472d05f42a554ce,SOURCE-REVIEW-BATCH2-500-2026-07-24,WI,Portage,CITY OF PORTAGE,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0209_sr_77b67714d14cb264f07a14e8.pdf,7867ba960d75541da132cb05ecec94419e90a4b5acdf7571bfb969d0c2fcf0ec,392519,application/pdf,22,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,4,11_to_25,small_le_512_kib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_fe71005930ed47e1b9dea0ec,pr_d88a46124b7c48c11a72cd9b,sr_23fcca0dae6ac60c3489cc1d,NSCQ-CA-20260720-0174,TRI-10dfab20b5a2ce70c3cd,VER-f13e1275c336058a3cad,SOURCE-REVIEW-BATCH2-500-2026-07-24,CA,West Covina,CITY OF WEST COVINA,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0138_sr_23fcca0dae6ac60c3489cc1d.pdf,341f295be65eef5cb2b9e6a4818dc491a62af04aa09dabf29388d7173c2f670a,588573,application/pdf,33,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,5,26_to_50,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_b700fd514bb9ec49b5579209,pr_bd5537daaf363d5a85149292,sr_bc9b295228d24d1405ee8985,NSCQ-IA-20260720-0034,TRI-3872104e70e9a5445237,VER-1f90f2e77cf71711e5a9,SOURCE-REVIEW-BATCH2-500-2026-07-24,IA,Marion,CITY OF MARION,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0096_sr_bc9b295228d24d1405ee8985.pdf,6d32983aed768b45edacda3ae2f56b052935ecf876b01db4cdc36a1cfb555d09,627529,application/pdf,36,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,6,26_to_50,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_95f7565bec553b4cdc14bc7c,pr_b9ced45d846b9a01c21185b4,sr_8cb6411a735b99bb72396e3b,NSCQ-IL-20260720-0257,TRI-3a7723299a9e393a026e,VER-baca46792ea2efad0f7c,SOURCE-REVIEW-BATCH2-500-2026-07-24,IL,Zion,CITY OF ZION,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0087_sr_8cb6411a735b99bb72396e3b.pdf,7b1da16c4ad9d7e2b2818b0d36788fb3dec1dc88246d3557e06e96b819066287,787644,application/pdf,50,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,7,26_to_50,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_97278cc9341d1f52876104d7,pr_b1139fbef5adf0a61b5e4464,sr_c2de7412319b83818bb2469b,NSCQ-MD-20260720-0024,TRI-48e4aa5bb141d39b3f64,VER-17e9a160e280f6054632,SOURCE-REVIEW-BATCH2-500-2026-07-24,MD,Salisbury,CITY OF SALISBURY,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0057_sr_c2de7412319b83818bb2469b.pdf,962a04dad57292cf2b60cc41801469ba51ae6ba487a86140edc1ec09f4a05367,811720,application/pdf,33,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,8,26_to_50,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_97f97bd4ff7a3bb845850c5a,pr_6b1fcd3374cbde8819fdf341,sr_c3230c5176346f281993f8fc,NSCQ-MT-20260720-0009,TRI-963044138a4fa602b784,VER-b4d5fe5449f7c84320e5,SOURCE-REVIEW-BATCH2-500-2026-07-24,MT,Great Falls,CITY OF GREAT FALLS,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0053_sr_c3230c5176346f281993f8fc.pdf,b72dd37eb5c5bb5c0537973872435311a96078c71ebbf3bc799c4ecadb729b2e,204330,application/pdf,33,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,9,26_to_50,small_le_512_kib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_6446b37d9e361128d56ec8fb,pr_c1c2bd669a8fe4b9c3b0ebe0,sr_c4cfa4dead0a2e5c13552f5c,NSCQ-NM-20260720-0008,TRI-d270135033d842c28d9d,VER-16d46acd64ec9402ff5f,SOURCE-REVIEW-BATCH2-500-2026-07-24,NM,Las Cruces,CITY OF LAS CRUCES,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0163_sr_c4cfa4dead0a2e5c13552f5c.pdf,025466e7ab25011e581c88bf95f2843a993615e4c08bde7898cfd48552f608cb,569287,application/pdf,44,partial,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,10,26_to_50,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_ceee24aff27a0c6c302fb1c6,pr_f2dab497daea57a3c2d2dee0,sr_f55485a0532588e0076f396c,NSCQ-OH-20260720-0597,TRI-c42b84273c7b192cd205,VER-02a05201803e949ae440,SOURCE-REVIEW-BATCH2-500-2026-07-24,OH,Kenton,CITY OF KENTON,fire,cba,p1,official_state_repository,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0031_sr_f55485a0532588e0076f396c.pdf,31bb4c7468ec4553622f7f7b6559478a9471aa5a7c9d47c1af30396725109224,2840651,application/pdf,45,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,11,26_to_50,large_2_to_5_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_5edae1080f7a8b81676b5857,pr_5f64391c177385dd827c83c5,sr_7aeeaf1682a1fb71f7c1a050,NSCQ-OR-20260720-0017,TRI-3957b9d0205394440804,VER-c8dac915a11352fe80a9,SOURCE-REVIEW-BATCH2-500-2026-07-24,OR,Gresham,CITY OF GRESHAM,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0092_sr_7aeeaf1682a1fb71f7c1a050.pdf,14a408207018f45dbfad227ffa46c459c2bea44bedb9e7bb60456f2f0a4e9b59,680926,application/pdf,43,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,12,26_to_50,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_050ca791392a2b056a21c2b7,pr_a0801cd5c750139582c18895,sr_d0f86bce738c8cf4acbbf754,NSCQ-PA-20260720-0064,TRI-8986097ad5d543d9bb71,VER-1c5a60226c2a5be78e5d,SOURCE-REVIEW-BATCH2-500-2026-07-24,PA,York,CITY OF YORK,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0050_sr_d0f86bce738c8cf4acbbf754.pdf,878d06ae0d5748c3e051c07997a219a0c5663c9d7f646b066ce80e3cebd6d91c,580223,application/pdf,30,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,13,26_to_50,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_2562401fefdc349b6b4e2f0b,pr_83d8cf6cac36f27673638e3c,sr_9d62e15d815337d20f379263,NSCQ-TX-20260720-0091,TRI-36b60fb3489b97c8e605,VER-6e8150eab3625770b097,SOURCE-REVIEW-BATCH2-500-2026-07-24,TX,San Marcos,CITY OF SAN MARCOS,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0062_sr_9d62e15d815337d20f379263.pdf,3e0db22863845c599c7f8ac308e1d48c52c56fd8c68cde000ce742d5c83f6f15,868247,application/pdf,46,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,14,26_to_50,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_22f64f3afd4f65ac49242941,pr_cc0ef57350f92c10f1f92680,sr_e6845e2324cccd5f4349b2d3,NSCQ-WA-20260720-0151,TRI-2a4cd8b78c2f64a37671,VER-21f00daf2be08757617c,SOURCE-REVIEW-BATCH2-500-2026-07-24,WA,Anacortes,CITY OF ANACORTES,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0222_sr_e6845e2324cccd5f4349b2d3.pdf,34c7da2a0333f378421f68ab09b2dfb6f3421be1c8d08ce125028e6bec82337b,412008,application/pdf,34,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,15,26_to_50,small_le_512_kib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_1e61196bea9be54207270747,pr_6d3bc511a2ec6fa752d7ae98,sr_5d5568bfe9ca9e9f2612c73f,NSCQ-WI-20260720-0061,TRI-50c5a45df076558a6f2d,VER-c5a525237efd0ff21c7d,SOURCE-REVIEW-BATCH2-500-2026-07-24,WI,Manitowoc,CITY OF MANITOWOC,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0093_sr_5d5568bfe9ca9e9f2612c73f.pdf,cf5fa73fefe8765eebc7555d8bda5ea8e5e23dda6f1b0fac10818184a6bdf5a5,461910,application/pdf,31,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,16,26_to_50,small_le_512_kib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_2a55ee6b2c8223ef749fc72f,pr_fe95e10f66f327508a27239f,sr_a7f9d97071b761d1975ad5f8,NSCQ-CA-20260720-0155,TRI-1fb5258a1f39163f8613,VER-a56e596bb1d2b764d480,SOURCE-REVIEW-BATCH2-500-2026-07-24,CA,Murrieta,CITY OF MURRIETA,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0218_sr_a7f9d97071b761d1975ad5f8.pdf,7c13206e8843ded835d2ad382fdec3302acfa624a6930a340d875c3837609cb7,1524051,application/pdf,54,present,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,17,51_to_100,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
ttd_b20d67e96806f6c0ccaf488a,pr_5efd69fbdd63a6123dcab82f,sr_3283b5fca0e170f8265f266b,NSCQ-FL-20260720-0112,TRI-b450a05b49505954fc90,VER-6e9063ad95d6c4d1f5c2,SOURCE-REVIEW-BATCH2-500-2026-07-24,FL,Pensacola,CITY OF PENSACOLA,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0216_sr_3283b5fca0e170f8265f266b.pdf,d9cfa0346ee8d2c10b9db93cabeb0ffc348c0b6e7bf1e13af5c3d1026c96e06d,1085481,application/pdf,72,partial,TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24,lane_1,18,51_to_100,medium_512_kib_to_2_mib,complete durable parse_text_layer_later universe under frozen heuristic
