visual_input,cross_exam_status,rendered,correction_required,hold_reason
"{""csv_sha256"":""7296510b1e208acdaa5450435b300fd6e97f645a59a4192fd43e22938f216385"",""jsonl_sha256"":""cd3e165dfe2e0244910219241440da56007d988565d6d53ffd1e3b20198df4cd"",""name"":""corpus_scale_visual_table"",""rows"":1}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""e6198d73fbf6c5f6befaeeb82003163b5a2179e4eccf618b205abec498de3a5c"",""jsonl_sha256"":""e536ece1d0a6bc32a43b7c973547146afbdc52b37dd66303cfc743e49ed03ae7"",""name"":""pipeline_attrition_visual_table"",""rows"":7}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""c1e2a2fee393d2917864d33f279dc2d6045c8650216bb58a276e4f1e58a54633"",""jsonl_sha256"":""b7e5c407e082cc8e523d203daf16ca582163381a0d8a5a99888a037b2f54ef98"",""name"":""state_coverage_visual_table"",""rows"":42}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""05debb423d0d3e408a188bb2b28a8034ad792f0129de278b7dd8b3703448f74f"",""jsonl_sha256"":""65008765e8cbf95f5db31ab00003a96746e40d6fc7325d6dcb641e7b8d995fcf"",""name"":""staffing_distribution_visual_table"",""rows"":6}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""feda595385f992bf140d378fb366f33b211c1c28190bee584578a3ae4bc5e10b"",""jsonl_sha256"":""7d5efd8867c648c841bdd5bcd35100f0f5358a2c7ea4de9674f924f03fbcb6db"",""name"":""staffing_side_visual_table"",""rows"":6}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""026243faffd77ef81f67841e033f8ed899d8756d8baa315a52b5ef5c48a0f0e1"",""jsonl_sha256"":""1272a80453aa7eb14e2e5cc767d542e86f79afc1473efea22a4c79aacbcbd9eb"",""name"":""staffing_geography_visual_table"",""rows"":1}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""0f8a11767946da552f12596f9585062434fdfc4e3834af50f37a58e7025b1400"",""jsonl_sha256"":""ddeec486ae9896691be9f2c23881080a792de76d4998c6ae486699d60d692fb0"",""name"":""implementation_lifecycle_visual_table"",""rows"":7}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""a9908df719e44ab40543ead07f5bfcfe8eecd5250ecd4f47593b473f212590c2"",""jsonl_sha256"":""5533c4c5c2f510bb6c66f2a95087c9b79ed5286a96dda3d50650dee90b34d1ea"",""name"":""mechanism_support_visual_table"",""rows"":38}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""d263c07a8f0650dd202df93be48a0ed55d777e142103c9eb64813d786340fa5f"",""jsonl_sha256"":""9ee774b96c451c95928fe297fc953f1d5081a110aadedc2f5c9fbe81558f83b5"",""name"":""documentary_growth_visual_table"",""rows"":99}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""a2a5f657651930a41173c91a77d34d5d848d243fe0f9daed265998ba50715b16"",""jsonl_sha256"":""ca6180e0614d1dc3ef29cf1b6b2dff19a335ecba51472d0ce5eec45686c8bc02"",""name"":""local_comparison_visual_table"",""rows"":4}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""5d65fd87b83283dff0e3e20afc4a37f69a8db053cb283bda27f4a1404699b57e"",""jsonl_sha256"":""8a2508d58fccfbac1f8af8ae9a4e6b8fba15db388f1576430afa0c8f3670e803"",""name"":""counterexample_visual_table"",""rows"":7}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""64245b6eecf53ab455292649cbe92af3e5f28ac93914447f8ad48d602a8d1069"",""jsonl_sha256"":""7d59602e3f49f7c38191ed27b9ee51ca2abf41f4e3314618b6aa9bbddd7cce06"",""name"":""conflict_hold_visual_table"",""rows"":4}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""0da4e4e39daf59c12bab5bf08d78e02bad0b1488f1018cc05f32ce9e42a880d0"",""jsonl_sha256"":""6a58efdc2f47d5158cce8c2f7490ec69a7c542d045497329c8a18109f655e40f"",""name"":""claim_evidence_matrix_visual_table"",""rows"":14}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""410f0d9cd0f7d301a94ed7fe486e60b5ee007fca5b7fc1e6bda3dc8475e7525c"",""jsonl_sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""name"":""hex_density_visual_table"",""rows"":0}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""96fd404eddd4f88c4f256e07d92c387911d88ab6ce89ef62cbeb3f7fd0ed04d7"",""jsonl_sha256"":""3e0f5cee195144c2779e4bf2169d6be303409c53dcc556007684f6a380f1326e"",""name"":""urban_rural_visual_table"",""rows"":1}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
"{""csv_sha256"":""e6198d73fbf6c5f6befaeeb82003163b5a2179e4eccf618b205abec498de3a5c"",""jsonl_sha256"":""e536ece1d0a6bc32a43b7c973547146afbdc52b37dd66303cfc743e49ed03ae7"",""name"":""evidence_readiness_visual_table"",""rows"":7}",retained_with_evidence_status_update,False,False,semantic evidence status must be applied during later visual production
